Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1997 Mo Mexico Libertad Onza - 1 troy oz .999 Fine Silver Coin BU - Key Date,306781905206,"Feb 22, 2026",$585.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306781905206,1
,,"Nov 13, 2025",$279.00,$4.76,,,Fixed price,,1
,,"Nov 18, 2025",$394.00,$8.10,,,Auction,,1
,,"Jan 6, 2026",$524.00,$4.95,,,Auction,,1
1997 Mo Mexico Libertad Onza - 1 troy oz .999 Fine Silver Coin BU - Key Date !,317761474390,"Jan 20, 2026",$499.00,$4.95,,,Auction,https://www.ebay.com/itm/317761474390,1
"Mexico 1 onza 1997 Mo, NGC MS65, ""Silver Bullion Coinage ""Libertad""",317946308680,"Mar 3, 2026",$424.00,$24.00,,,Fixed price,https://www.ebay.com/itm/317946308680,1
,,"Jan 1, 2026",$894.95,$0.00,,,Fixed price,,1
1997MO NGC MS 68 MEXICO 1 oz Silver Libertad Coin #6523,326963324179,"Jan 29, 2026",$625.00,$5.00,,,Fixed price,https://www.ebay.com/itm/326963324179,1
,,"Dec 19, 2025",$435.00,$0.00,,,Auction,,1
,,"Dec 6, 2025",$119.99,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$54.99,$0.00,,,Fixed price,,1
"1997 Mexico Libertad Victory Angel Set 1/20, 1/10, 1/4 Onza 999 Fine Silver Coin",358147577642,"Feb 4, 2026",$187.50,$3.00,,,Auction,https://www.ebay.com/itm/358147577642,1
,,"Jan 3, 2026",$495.00,$4.87,,,Fixed price,,1
1997 Libertad Mexico 1 troy oz .999 Fine Silver Coin,366111648151,"Jan 16, 2026",$475.00,$4.65,,,Fixed price,https://www.ebay.com/itm/366111648151,1
Mexico Libertad 1 Oz Silver 1997,375714692717,"Mar 6, 2026",$500.00,$100.00,,,Fixed price,https://www.ebay.com/itm/375714692717,1
,,"Dec 21, 2025",$89.95,$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$259.95,$0.00,,,Fixed price,,1
,,"Oct 31, 2025",$449.95,$0.00,,,Fixed price,,1
1 oz Silver Mexico Libertad 1997 PCGS MS66 KEY DATE TOP Express Shipping,376693693531,"Jan 1, 2026",$330.00,$35.00,,,Fixed price,https://www.ebay.com/itm/376693693531,1
1997 Mexico Libertad 1/2 Oz. Silver Coin - NGC MS68,376816918040,"Jan 14, 2026",$249.95,$0.00,,,Fixed price,https://www.ebay.com/itm/376816918040,1
1997 Mexico Libertad 1/4 Oz. Silver Coin - NGC MS68,376816945880,"Mar 5, 2026",$169.95,$23.05,,,Fixed price,https://www.ebay.com/itm/376816945880,1
1997 Mexico Silver 1 Oz. Libertad .999 Silver Key Date,377042333936,"Mar 17, 2026",$395.00,$9.95,,,Fixed price,https://www.ebay.com/itm/377042333936,1
,,"Nov 2, 2025",$285.00,$16.99,,,Auction,,1
,,"Nov 16, 2025",$350.00,$14.99,,,Auction,,1
,,"Dec 7, 2025",$375.00,$14.99,,,Auction,,1
,,"Dec 15, 2025",$490.00,$5.95,,,Auction,,1
,,"Dec 22, 2025",$405.00,$7.90,,,Auction,,1
,,"Dec 29, 2025",$422.00,$8.10,,,Auction,,1
,,"Jan 5, 2026",$540.00,$5.24,,,Auction,,1
,,"Jan 12, 2026",$495.00,$14.99,,,Auction,,1
,,"Nov 5, 2025",$431.00,$4.85,,,Auction,,1
,,"Nov 1, 2025",$350.00,$7.50,,,Fixed price,,1
,,"Nov 5, 2025",$320.00,$7.50,,,Fixed price,,1
,,"Dec 1, 2025",$399.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$550.00,$8.95,,,Auction,,1
1997 Mexico 1 oz .999 Silver Libertad Coin MS-69 NGC LowMintage,397661990550,"Feb 28, 2026","$1,000.00",$0.00,,,Fixed price,https://www.ebay.com/itm/397661990550,1
1997 MEXICO SILVER 1 Oz WINGED VICTORY LIBERTAD UNC,397694213224,"Mar 16, 2026",$454.89,$9.95,,,Auction,https://www.ebay.com/itm/397694213224,1
,,"Dec 20, 2025",$275.00,$0.00,,,Fixed price,,1
