Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 317811395007,317811395007,"Mar 17, 2026",$63.99,$0.00,,,Fixed price,
1887 Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin Collectible,365541243772,"Apr 3, 2026",$109.49,$0.00,,,Fixed price,https://www.ebay.com/itm/365541243772
1887 Morgan Dollar MS 63 CAC Silver Uncirculated $1 Coin Cert#7498.63/905541873,406771202536,"Apr 5, 2026",$132.59,$5.47,,,Fixed price,https://www.ebay.com/itm/406771202536
1887 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305430592458,"Mar 12, 2026",$106.49,$0.00,,,Fixed price,https://www.ebay.com/itm/305430592458
1887 P $1 Morgan Silver Dollar MS64 NGC,157364243792,"Mar 23, 2026",$108.50,$6.00,,,Fixed price,https://www.ebay.com/itm/157364243792
* 1887-P * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164752942951,"Apr 5, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/164752942951
1887 Morgan Silver Dollar MS64 PCGS,293197834925,"Apr 3, 2026",$141.75,$0.00,,,Fixed price,https://www.ebay.com/itm/293197834925
morgan silver dollars us coins,306830033151,"Apr 2, 2026",$122.53,$5.76,,,Fixed price,https://www.ebay.com/itm/306830033151
1887 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365467822903,"Apr 2, 2026",$95.49,$0.00,,,Fixed price,https://www.ebay.com/itm/365467822903
**RAINBOW TONED** 1887 Morgan Silver Dollar Philadelphia Mint Graded MS64 by NGC,115854221412,"Apr 4, 2026",$179.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115854221412
Original Bag Fragment 1887 Morgan Dollar NGC Brilliant Uncirculated,116380676522,"Mar 31, 2026",$105.00,$5.52,,,Fixed price,https://www.ebay.com/itm/116380676522
1887s ANACS MS61 VAM 5 MORGAN SILVER DOLLAR SAN FRANCISCO MINT,116976386302,"Mar 31, 2026",$166.25,$5.30,,,Fixed price,https://www.ebay.com/itm/116976386302
"4 MORGAN SILVER DOLLARS; 1878, 1885, 1887, 1889 All from the Philadelphia Mint",117019044913,"Mar 31, 2026",$278.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117019044913
1887 P Morgan Silver Dollar ~ TONED ~ GRADED by PCI ~ 90% Silver $1,117064890672,"Mar 6, 2026",$152.50,$6.75,,,Auction,https://www.ebay.com/itm/117064890672
1887 Morgan Silver Dollar BU+ (cn16445),117068599092,"Mar 9, 2026",$100.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117068599092
1887 O Morgan Silver Dollar MS++,117070385134,"Mar 29, 2026",$115.00,$5.40,,,Fixed price,https://www.ebay.com/itm/117070385134
1887 Morgan Silver Dollar Coin,117073199521,"Mar 6, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117073199521
MORGAN SILVER DOLLAR 1887 PCGS MS 64++ BLAZING FROSTY WHITE PQ UNDER GRADE,117073479501,"Mar 12, 2026",$120.50,$5.95,,,Auction,https://www.ebay.com/itm/117073479501
1887 Morgan Silver Dollar ANACS MS63 Beautiful Toning!!! PQ+,117076860951,"Mar 14, 2026",$150.00,$5.85,,,Fixed price,https://www.ebay.com/itm/117076860951
"1887 Uncirculated Morgan Dollar (Ungraded, Loose)",117082101840,"Mar 18, 2026",$70.09,$14.61,,,Auction,https://www.ebay.com/itm/117082101840
1887 Possible Slider to Uncirculated Morgan Dollar,117082120553,"Mar 18, 2026",$71.00,$7.70,,,Auction,https://www.ebay.com/itm/117082120553
1887-O Morgan Silver Dollar -nice Coin,117082519316,"Mar 18, 2026",$64.00,$5.99,,,Auction,https://www.ebay.com/itm/117082519316
"1884 P, 1887 O Silver DOLLARS! 2 Coins! Well Worn Morgans",117085686390,"Mar 14, 2026",$124.00,$4.00,,,Auction,https://www.ebay.com/itm/117085686390
1887 P MORGAN SILVER DOLLAR! BEAUTIFUL Uncirculated Coin! Some Tone! WOW!,117085717806,"Mar 14, 2026",$70.96,$2.06,,,Auction,https://www.ebay.com/itm/117085717806
DETAIL 1887-O MORGAN SILVER DOLLAR BEAUTIFUL TONING COLLECTOR COIN M-1670,117086512258,"Apr 4, 2026",$88.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117086512258
1887 O Morgan Silver Dollar - VF !!,117087983840,"Mar 24, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117087983840
"Morgan Silver Dollar 1887, circulated, nearly uncirculated details",117092566810,"Mar 22, 2026",$99.95,$5.45,,,Auction,https://www.ebay.com/itm/117092566810
1887-O MORGAN SILVER DOLLAR ATTRACTIVE TONING COLLECTOR COIN 90% silver,117095419031,"Mar 19, 2026",$78.00,$4.95,,,Fixed price,https://www.ebay.com/itm/117095419031
1887 Morgan Silver Dollar NGC MS-64,117096463400,"Mar 19, 2026",$103.95,$5.50,,,Fixed price,https://www.ebay.com/itm/117096463400
One(1) Beautiful 1887 Morgan Silver Dollar PCGS MS63 1562,117096800637,"Mar 29, 2026",$85.00,$7.95,,,Auction,https://www.ebay.com/itm/117096800637
1887-P $1 Morgan Silver Dollar MS BU UNC Uncirculated Nice Coin 031902,117097179875,"Mar 26, 2026",$68.04,$5.00,,,Auction,https://www.ebay.com/itm/117097179875
1890 Morgan Silver Dollar Nice BU condition w/ rim toning,117104534033,"Apr 2, 2026",$65.00,$5.95,,,Auction,https://www.ebay.com/itm/117104534033
"1901 Morgan Silver Dollar, Rare Tough Semi-Key Date, High Grade!",117106100724,"Mar 24, 2026",$260.00,$5.95,,,Fixed price,https://www.ebay.com/itm/117106100724
1887 Morgan Silver Dollar VERY SHINY Uncirculated MS++,117106439889,"Mar 29, 2026",$73.50,$0.00,,,Fixed price,https://www.ebay.com/itm/117106439889
"1887 Morgan U.S. silver dollar. Near gem BU, white deep satin luster. #ru3",117106894772,"Mar 24, 2026",$70.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117106894772
🔴🟡🟢 1887-P GORGEOUS U.S. MORGAN SILVER DOLLAR COIN,117109966542,"Mar 31, 2026",$65.00,$5.25,,,Auction,https://www.ebay.com/itm/117109966542
UNC/MS DETAIL 1887 MORGAN SILVER DOLLAR BEAUTIFUL TONING COLLECTOR COIN M-1751,117113916370,"Mar 30, 2026",$97.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117113916370
"1887 -P Morgan Silver Dollar , B,U Uncirculated",117116642888,"Apr 4, 2026",$99.95,$5.62,,,Auction,https://www.ebay.com/itm/117116642888
"1887 MORGAN SILVER DOLLAR $1 ""BLAST WHITE"" *PCGS MS64 CHOICE BU* OGH OLD GREEN",126387664579,"Apr 4, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/126387664579
MS60 1887 Morgan Silver Dollar VAM-12A Top 100 ICG Alligator Eyes *5907,126683690504,"Mar 16, 2026",$139.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126683690504
1887 Morgan Silver Dollar Alligator Eye MS63 ICG *1606,126784440278,"Mar 16, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/126784440278
1887-O Morgan Silver Dollar AU58 ICG *3301,126846951070,"Mar 18, 2026",$94.95,$0.00,,,Fixed price,https://www.ebay.com/itm/126846951070
1887 Morgan Silver Dollar Vam 12 Alligator Eye DDO Top 100 *5088,127029523065,"Mar 16, 2026",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127029523065
1887 Morgan Silver Dollar Alligator Eye MS63 ICG *1666,127029587589,"Mar 16, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127029587589
[Removed] Item 205997207643,205997207643,"Jan 28, 2026",$71.14,$0.00,,,Fixed price,,105
VF 1887-O Morgan Silver Dollar (1 coin),135244734625,"Jan 2, 2026",$54.79,$0.00,,,Fixed price,https://www.ebay.com/itm/135244734625,88
,,"Nov 19, 2025",$34.70,$0.00,,,Fixed price,,43
1887 Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin Collectible,365541243772,"Apr 10, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365541243772,25
[Removed] Item 317811395007,317811395007,"Mar 17, 2026",$64.51,$0.00,,,Fixed price,,23
1887 S $1 Morgan Silver Dollars in Capsule,236741709278,"Apr 13, 2026",$62.36,$0.00,,,Fixed price,https://www.ebay.com/itm/236741709278,22
,,"Nov 19, 2025",$32.84,$0.00,,,Fixed price,,19
1887 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305430592458,"Apr 12, 2026",$96.85,$0.00,,,Fixed price,https://www.ebay.com/itm/305430592458,18
[Removed] Item 317497176135,317497176135,"Nov 18, 2025",$34.00,$0.00,,,Fixed price,,18
* 1887-P * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164752942951,"Apr 5, 2026",$137.46,$0.00,,,Fixed price,https://www.ebay.com/itm/164752942951,16
,,"Jan 19, 2026",$63.11,$0.00,,,Fixed price,,16
1887 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365467822903,"Apr 13, 2026",$100.49,$0.00,,,Fixed price,https://www.ebay.com/itm/365467822903,16
AU+ 1887-S Morgan Silver Dollar (1 coin),134845188058,"Apr 3, 2026",$83.28,$14.12,,,Fixed price,https://www.ebay.com/itm/134845188058,27
VF 1887 (P) Morgan Silver Dollar (1 coin),127304912546,"Jan 11, 2026",$54.12,$0.00,,,Fixed price,https://www.ebay.com/itm/127304912546,19
[Removed] Item 406406599012,406406599012,"Nov 30, 2025",$37.62,$0.00,,,Fixed price,,14
1887 UNCIRCULATED MORGAN SILVER DOLLAR 90% $1 COIN US BRIGHT FLASHY FROM ROLL,126233179195,"Dec 9, 2025",$48.98,$4.20,,,Fixed price,https://www.ebay.com/itm/126233179195,8
[Removed] Item 406438171483,406438171483,"Dec 5, 2025",$38.54,$0.00,,,Fixed price,,9
AU+ 1887-O Morgan Silver Dollar (1 coin),126227206582,"Feb 15, 2026",$86.33,$5.67,,,Fixed price,https://www.ebay.com/itm/126227206582,7
AU+ 1887 (P) Morgan Silver Dollar (1 coin),127139095893,"Jan 13, 2026",$60.40,$0.00,,,Fixed price,https://www.ebay.com/itm/127139095893,7
1887 Morgan Silver Dollar MS64 PCGS,293197834925,"Apr 5, 2026",$129.25,$0.00,,,Fixed price,https://www.ebay.com/itm/293197834925,7
1887 Morgan Silver Dollar VAM-12A DDO Top 100 Alligator Eye MS63 ANACS,365949664484,"Feb 2, 2026",$122.97,$0.00,,,Fixed price,https://www.ebay.com/itm/365949664484,7
[Removed] Item 205764346671,205764346671,"Oct 22, 2025",$82.25,$0.00,,,Fixed price,,8
BU/Unc 1887 (P) Morgan Silver Dollar (1 coin),133156563982,"Nov 27, 2025",$68.38,$13.58,,,Fixed price,https://www.ebay.com/itm/133156563982,7
XF 1887-O Morgan Silver Dollar (1 coin),136592459822,"Jan 2, 2026",$59.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136592459822,13
1887 Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266775244451,"Jan 14, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/266775244451,5
,,"Nov 12, 2025",$75.00,$3.00,,,Fixed price,,5
"1878-1904 Morgan Dollar BU Uncirculated Half Roll 10 Coins Choice O, S, P Mint",365251207772,"Jan 8, 2026",$739.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365251207772,5
1887 Morgan Silver Dollar NGC MS63 $1,389306336603,"Jan 22, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/389306336603,5
,,"Oct 16, 2025",$80.71,$0.00,,,Fixed price,,7
1887 Morgan Silver Dollar MS64 NGC,362734321472,"Apr 13, 2026",$141.75,$0.00,,,Fixed price,https://www.ebay.com/itm/362734321472,4
3 MORGAN Silver Dollar US COPY Coins 1887 1888 1889 Circulated Antique Look/Feel,376552186922,"Feb 18, 2026",$8.73,$1.50,,,Fixed price,https://www.ebay.com/itm/376552186922,4
"Morgan Silver dollar coins 1887 nm, 1890 o, 1901 o -grade Very Good to Fine",127659072580,"Feb 2, 2026",$70.00,$7.95,,,Fixed price,https://www.ebay.com/itm/127659072580,4
,,"Dec 27, 2025",$84.94,$7.62,,,Fixed price,,6
,,"Nov 8, 2025",$31.99,$5.00,,,Fixed price,,3
1887 O Morgan Dollar ~ VF VERY FINE ~ 90% Silver $1 US Coin Collectible,266665197323,"Nov 19, 2025",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/266665197323,3
Morgan Silver Dollar 1887 PCGS MS 64 Uncirculated 90% Silver $1 Coin,376102901631,"Jan 26, 2026",$120.75,$10.02,,,Fixed price,https://www.ebay.com/itm/376102901631,5
,,"Dec 22, 2025",$79.99,$5.33,,,Fixed price,,5
,,"Jan 6, 2026",$63.00,$4.00,,,Fixed price,,4
"1887 BU/UNC Morgan Silver Dollar - PCS LEGENDS OF THE WEST ""Buffalo Bill Cody""",115887797949,"Jan 19, 2026",$83.62,$2.85,,,Fixed price,https://www.ebay.com/itm/115887797949,3
[Removed] Item 116843903535,116843903535,"Dec 23, 2025",$8.95,$0.00,,,Fixed price,,2
VG/F 1887-O Morgan Silver Dollar (1 coin),126671179250,"Jan 22, 2026",$61.22,$0.00,,,Fixed price,https://www.ebay.com/itm/126671179250,2
VG/F 1887 (P) Morgan Silver Dollar (1 coin),127087150589,"Jan 5, 2026",$53.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127087150589,2
,,"Dec 10, 2025",$151.00,$0.00,,,Fixed price,,2
1887 $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,147126548139,"Feb 8, 2026",$109.18,$0.00,,,Fixed price,https://www.ebay.com/itm/147126548139,2
1887 Morgan Silver Dollar NGC MS 63 Certified Original Bag Fragment Series Coin,156382564701,"Feb 16, 2026",$90.00,$5.95,,,Fixed price,https://www.ebay.com/itm/156382564701,2
1887 Morgan Silver Dollar – AU – Strong Strike & Collector Appeal!-RARE,157107151947,"Jan 20, 2026",$58.50,$7.55,,,Fixed price,https://www.ebay.com/itm/157107151947,4
1887-O Morgan Silver Dollar – Affordable Collector’s Piece!,157110558885,"Jan 22, 2026",$68.95,$5.58,,,Fixed price,https://www.ebay.com/itm/157110558885,2
,,"Jan 7, 2026",$94.18,$18.02,,,Fixed price,,6
VF+ 1887 MORGAN SILVER DOLLAR BEAUTIFUL VF+ DETAIL COLLECTOR COIN M-1388,177786166174,"Mar 3, 2026",$82.50,$3.80,,,Fixed price,https://www.ebay.com/itm/177786166174,2
1887-P Morgan Silver Dollar Absolutely Super Nice Detail 7 Tail Feathers 204,235794763838,"Mar 28, 2026",$109.87,$5.80,,,Fixed price,https://www.ebay.com/itm/235794763838,2
,,"Dec 1, 2025",$41.30,$4.65,,,Fixed price,,2
,,"Jan 6, 2026",$89.95,$0.00,,,Fixed price,,2
,,"Nov 8, 2025",$86.69,$0.00,,,Fixed price,,2
[Removed] Item 317567628700,317567628700,"Nov 24, 2025",$39.98,$0.00,,,Fixed price,,2
1887 Morgan Silver Dollar MS64 PCGS Blue Label,365064376715,"Jan 14, 2026",$114.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365064376715,2
