Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1939-S Liberty Walking Half Dollar - Actual Coin Shown - 90% Silver INV#220,358384557569,"Jun 24, 2026",$37.55,$0.00,,,Fixed price,https://www.ebay.com/itm/358384557569,2
1939 D Liberty Walking Half Dollar F Fine 90% Silver 50c US Coin Collectible,365467826373,"Jun 19, 2026",$47.74,$0.00,,,Fixed price,https://www.ebay.com/itm/365467826373,2
1939-S Liberty Walking Half Dollar (Gem BU) 90% Silver Item # 6975,116991128155,"May 30, 2026",$117.50,$0.00,,,Fixed price,https://www.ebay.com/itm/116991128155,1
BU 1939 (P) Walking Liberty Half Dollar Uncirculated 90% Silver,133952562914,"May 28, 2026",$49.95,$0.00,,,Fixed price,https://www.ebay.com/itm/133952562914,3
1939-D Walking Liberty Half Dollar In AU Condition,326086235266,"May 16, 2026",$60.86,$0.00,,,Fixed price,https://www.ebay.com/itm/326086235266,2
Lot of 3 1939 (P) Walking Liberty Silver Half Dollar #69 Free Shipping,327108696486,"May 8, 2026",$81.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327108696486,3
1939-D Walking Liberty Silver Half Dollar MS65 PCGS,364036606013,"May 8, 2026",$315.00,$0.00,,,Fixed price,https://www.ebay.com/itm/364036606013,2
[Removed] Item 206239573150,206239573150,"May 3, 2026",$17.99,$8.74,,,Fixed price,,5
Lot of 3 1939S Walking Liberty Silver Half Dollar #67 Free Shipping,327108700283,"Apr 29, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327108700283,3
1939 Walking Liberty Half Dollar ~ Borderline Uncirculated (AU++) ~ 90% Silver,294359903175,"Apr 23, 2026",$45.06,$4.98,,,Fixed price,https://www.ebay.com/itm/294359903175,2
1939 Walking Liberty Half Dollar VG/VF,113920990381,"Apr 21, 2026",$42.77,$0.00,,,Fixed price,https://www.ebay.com/itm/113920990381,1
"1939 P Walking Liberty Half Dollar 90% Silver VG-F ""As Pictured-Not Cleaned""",117006393594,"Apr 11, 2026",$30.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117006393594,1
1939 Walking Liberty Half Dollar In AU Condition,226087680416,"Apr 8, 2026",$56.69,$0.00,,,Fixed price,https://www.ebay.com/itm/226087680416
Sweet UNC details Silver 1939 Walking Liberty Half Dollar,116969361535,"Apr 6, 2026",$49.99,$6.00,,,Fixed price,https://www.ebay.com/itm/116969361535,1
1939-S Walking Liberty Half Dollar XF,113371374701,"Mar 26, 2026",$46.78,$0.00,,,Fixed price,https://www.ebay.com/itm/113371374701
1939-D Walking Liberty Half Dollar XF,124651352931,"Mar 20, 2026",$45.98,$0.00,,,Fixed price,https://www.ebay.com/itm/124651352931
1939-S Walking Liberty Half Dollar ~ Borderline Uncirculated AU++ ~ 90% Silver,297088403743,"Mar 19, 2026",$71.99,$2.75,,,Fixed price,https://www.ebay.com/itm/297088403743
Liberty Walking Half Dollars 50c Album Folder Vol #1 Whitman 9021 Silver 1916-36,404955008831,"Mar 17, 2026",$9.54,$0.00,,,Fixed price,https://www.ebay.com/itm/404955008831
Liberty Walking Half Dollars 50c Album Folder Vol #2 Whitman 9021 Silver 1937-47,386976177326,"Mar 13, 2026",$9.47,$0.00,,,Fixed price,https://www.ebay.com/itm/386976177326
NEW** Coin Rings Handmade from 1939-1947 Walking Liberty Half Dollars 90% Silver,182099070753,"Mar 13, 2026",$99.00,$5.14,,,Fixed price,https://www.ebay.com/itm/182099070753
1939-S Walking Liberty Half Dollar Nice Circulated Condition,325910328008,"Mar 7, 2026",$38.81,$0.00,,,Fixed price,https://www.ebay.com/itm/325910328008
1939-S Walking Liberty Half Dollar - Almost Uncirculated (AU) - 90% Silver,136805039914,"Mar 3, 2026",$62.57,$3.99,,,Fixed price,https://www.ebay.com/itm/136805039914
1939 Philadelphia Silver Walking Liberty Half Dollar Coin!,365327187757,"Mar 3, 2026",$34.95,$3.23,,,Fixed price,https://www.ebay.com/itm/365327187757
,,"Feb 23, 2026",$49.77,$1.09,,,Auction,,1
,,"Feb 22, 2026",$44.00,$5.70,,,Auction,,1
,,"Feb 21, 2026",$173.50,$4.95,,,Auction,,1
,,"Feb 20, 2026",$135.50,$0.00,,,Auction,,1
,,"Feb 10, 2026",$39.00,$0.00,,,Auction,,1
,,"Feb 3, 2026",$31.00,$0.00,,,Auction,,1
,,"Feb 1, 2026",$53.00,$5.00,,,Auction,,1
,,"Jan 31, 2026",$75.00,$5.00,,,Fixed price,,1
,,"Jan 27, 2026",$27.88,$6.46,,,Auction,,1
1939-D Walking Liberty Half Dollar ~ Borderline Uncirculated AU++ ~ 90% Silver,306304306559,"Jan 25, 2026",$45.19,$3.98,,,Fixed price,https://www.ebay.com/itm/306304306559
,,"Jan 25, 2026",$399.95,$12.10,,,Fixed price,,1
,,"Jan 25, 2026",$19.64,$1.03,,,Fixed price,,1
XF/AU 1939-D Walking Liberty Half Dollar Polished 90% Silver,366026206789,"Jan 22, 2026",$39.71,$0.00,,,Fixed price,https://www.ebay.com/itm/366026206789
walking liberty half dollar 1939-D,116855145070,"Jan 22, 2026",$28.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116855145070
,,"Jan 22, 2026",$28.00,$5.00,,,Fixed price,,1
1939-S XF Walking Liberty Half Dollar,365426996481,"Jan 21, 2026",$30.39,$0.00,,,Fixed price,https://www.ebay.com/itm/365426996481
"1938, 1939 and 1940 Walking Liberty Half Dollar Set of 3",116237332911,"Jan 21, 2026",$180.00,$8.95,,,Fixed price,https://www.ebay.com/itm/116237332911
,,"Jan 21, 2026",$180.00,$8.95,,,Fixed price,,1
,,"Jan 21, 2026",$31.91,$0.00,,,Auction,,1
,,"Jan 21, 2026",$36.00,$0.00,,,Auction,,1
10 1933-1939 Walking Liberty Half Dollars 90% Silver Mixed Dates Lot $5 Face,306678798903,"Jan 18, 2026",$304.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306678798903
,,"Jan 18, 2026",$304.95,$0.00,,,Fixed price,,2
,,"Jan 17, 2026",$31.25,$1.03,,,Auction,,1
walking liberty half dollar 1939-p,116855136043,"Jan 15, 2026",$30.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116855136043
,,"Jan 15, 2026",$30.00,$5.00,,,Fixed price,,1
,,"Jan 15, 2026",$27.91,$1.16,,,Auction,,1
,,"Jan 15, 2026",$32.00,$5.33,,,Fixed price,,1
,,"Jan 12, 2026",$25.91,$1.13,,,Auction,,1
,,"Jan 4, 2026",$144.49,$3.36,,,Auction,,1
,,"Jan 3, 2026",$99.00,$1.93,,,Auction,
XF/AU 1939 Walking Liberty Half Dollar Polished,135241359841,"Dec 31, 2025",$24.83,$0.00,,,Fixed price,https://www.ebay.com/itm/135241359841
1939-S Walking Liberty Half Dollar MS65 PCGS,388632845170,"Dec 31, 2025",$419.25,$0.00,,,Fixed price,https://www.ebay.com/itm/388632845170
1939 AU Walking Liberty Half Dollar,362912153978,"Dec 27, 2025",$34.95,$0.00,,,Fixed price,https://www.ebay.com/itm/362912153978
,,"Dec 27, 2025",$24.91,$8.50,,,Auction,
,,"Dec 25, 2025",$640.00,$5.00,,,Fixed price,
,,"Dec 22, 2025",$21.95,$5.49,,,Fixed price,
,,"Dec 20, 2025",$24.50,$0.00,,,Auction,
1939-D XF Walking Liberty Half Dollar,134813824813,"Dec 15, 2025",$23.99,$0.00,,,Fixed price,https://www.ebay.com/itm/134813824813
,,"Dec 15, 2025",$207.50,$4.76,,,Auction,
,,"Dec 12, 2025",$20.00,$0.00,,,Auction,
,,"Dec 10, 2025",$99.00,$5.09,,,Fixed price,
,,"Dec 5, 2025",$18.00,$1.03,,,Auction,
,,"Dec 3, 2025",$20.00,$4.65,,,Auction,
,,"Dec 3, 2025",$18.25,$0.00,,,Fixed price,
,,"Nov 30, 2025",$19.35,$0.00,,,Fixed price,
,,"Nov 28, 2025",$13.50,$4.95,,,Auction,
1939 XF Walking Liberty Half Dollar,126192025450,"Nov 26, 2025",$22.20,$0.00,,,Fixed price,https://www.ebay.com/itm/126192025450
,,"Nov 25, 2025",$18.00,$0.00,,,Fixed price,
,,"Nov 22, 2025",$229.00,$0.00,,,Fixed price,
,,"Nov 22, 2025",$22.00,$5.00,,,Fixed price,
,,"Nov 17, 2025",$14.00,$3.00,,,Auction,
,,"Nov 15, 2025",$39.99,$4.00,,,Auction,
,,"Nov 11, 2025",$20.00,$0.00,,,Fixed price,
,,"Nov 10, 2025",$51.66,$4.95,,,Auction,
,,"Nov 6, 2025",$50.55,$13.96,,,Fixed price,
,,"Nov 4, 2025",$17.49,$0.00,,,Fixed price,
,,"Nov 1, 2025",$13.50,$1.00,,,Auction,
,,"Oct 26, 2025",$35.34,$8.40,,,Auction,
,,"Oct 23, 2025",$650.00,$5.00,,,Fixed price,
1939-S Walking Liberty Half Dollar AU,115856876321,"Oct 17, 2025",$85.55,$0.00,,,Fixed price,https://www.ebay.com/itm/115856876321
,,"Oct 16, 2025",$178.05,$5.24,,,Auction,
,,"Oct 13, 2025",$11.50,$0.51,,,Auction,
