Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1895-O 10c Barber Silver Dime - Series Key Date,377058867184,"Apr 15, 2026",$550.00,$5.20,,,Fixed price,https://www.ebay.com/itm/377058867184,1
Certified 1895-O Barber Dime NGC Good Details Obverse Wheel Mark Silver 10c,406835596947,"Apr 13, 2026",$389.00,$13.75,,,Auction,https://www.ebay.com/itm/406835596947,1
1895 O Barber Silver Dime 10C Rare Key Date XF,188251712937,"Apr 13, 2026",$787.00,$10.64,,,Auction,https://www.ebay.com/itm/188251712937,1
"1895-O Barber Dime Good G Coin, Scratch #38083",397790339946,"Apr 13, 2026",$469.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397790339946,1
[Removed] Item 287258442401,287258442401,"Apr 11, 2026",$25.00,$0.00,,,Fixed price,,1
$1 face~Barber Dimes~1895-o to 1916-s~All Dif~90% Silver~.75 tr~FreeShip~Lot 1!,168275119371,"Apr 11, 2026",$295.66,$0.00,,,Auction,https://www.ebay.com/itm/168275119371,1
1895-O Barber Dime 10C Coin - Certified PCGS Fine Details - Rare Key Date Coin!,188264590302,"Apr 11, 2026",$850.25,$0.00,,,Fixed price,https://www.ebay.com/itm/188264590302,1
1895-O Barber Silver Dime G Uncertified #310,365384345046,"Apr 10, 2026",$619.50,$0.00,,,Fixed price,https://www.ebay.com/itm/365384345046,1
"1895-O, U.S. BARBER DIME",376777154576,"Apr 9, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376777154576,1
1895-O Barber Dime Good G Coin #36602,397699145835,"Apr 8, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397699145835,1
Barber Dime 1895/O PCGS AG 3 Condition,205940168250,"Apr 5, 2026",$395.00,$4.86,,,Fixed price,https://www.ebay.com/itm/205940168250
1895-O Barber Dime 10c - Old US Coin - Key Date!,257432500730,"Apr 5, 2026",$805.00,$0.00,,,Auction,https://www.ebay.com/itm/257432500730,1
"1895-O Barber Dime, Better Date New Orleans Mint Issue, Excellent Condition",358402294647,"Apr 4, 2026",$39.50,$0.00,,,Fixed price,https://www.ebay.com/itm/358402294647
Lot of 3 1895-O 1901-S 1913-S Barber Dime Silver 10C Key Date Coin,358404571713,"Apr 4, 2026",$50.00,$8.00,,,Fixed price,https://www.ebay.com/itm/358404571713,1
"1895-O Barber Dime, Better Date New Orleans Mint Issue, Excellent Condition",358376561856,"Mar 31, 2026",$37.00,$3.00,,,Fixed price,https://www.ebay.com/itm/358376561856
"1895-O Barber Dime, Fair",389813246918,"Mar 31, 2026",$225.00,$4.95,,,Fixed price,https://www.ebay.com/itm/389813246918
1895-O VG Detail Barber Dime FULL RIMS both sides See Description WCO,358255774812,"Mar 30, 2026",$455.00,$5.35,,,Fixed price,https://www.ebay.com/itm/358255774812
1895-O Barber Dime - Key Date 10C; Nice Details; Y052,157762958485,"Mar 29, 2026",$470.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157762958485
1895 O Barber Dime Coin Fine,137154353703,"Mar 28, 2026",$900.00,$7.70,,,Fixed price,https://www.ebay.com/itm/137154353703
USA 1895-O Barber Liberty Head Dime Exonumia Fantasy Token,287141547572,"Mar 27, 2026",$15.50,$1.50,,,Fixed price,https://www.ebay.com/itm/287141547572,1
"1895-O Barber Dime New Orleans US Mint American Coin, Very Fine Condition",358205787297,"Mar 24, 2026",$39.95,$3.00,,,Fixed price,https://www.ebay.com/itm/358205787297
1895-O Barber Dime Key Date (B3398),298101972792,"Mar 24, 2026",$595.00,$4.50,,,Fixed price,https://www.ebay.com/itm/298101972792
,,"Mar 23, 2026",$39.95,$3.00,,,Fixed price,,5
[Removed] Item 397739062539,397739062539,"Mar 22, 2026",$34.95,$3.00,,,Fixed price,
