Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1889-CC MORGAN SILVER DOLLAR OLD SOAPBOX HOLDER ANACS VF35 01XXCB26,136962788025,"Jan 21, 2026","$2,600.00",$35.00,,,Fixed price,https://www.ebay.com/itm/136962788025,1
1889 CC Morgan Silver Dollar Proof Coin National Collerctors Unciculated,136969552973,"Jan 21, 2026",$89.99,$7.95,,,Fixed price,https://www.ebay.com/itm/136969552973,1
1889-CC Morgan Silver Dollar FINE E391 GWFMS,136999277013,"Feb 3, 2026","$1,150.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136999277013,1
1890-CC Morgan Dollar - AG Details rim bump 1:00 (#61346-L),137024244398,"Feb 19, 2026",$112.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137024244398,1
,,"Dec 7, 2025",$984.00,$0.00,,,Fixed price,,1
,,"Nov 6, 2025","$1,505.75",$0.00,,,Fixed price,,1
,,"Nov 3, 2025","$1,450.40",$12.50,,,Fixed price,,1
,,"Oct 29, 2025","$1,330.00",$0.00,,,Auction,,1
,,"Jan 2, 2026",$895.00,$0.00,,,Fixed price,,1
,,"Dec 31, 2025",$900.00,$0.00,,,Fixed price,,1
,,"Jan 7, 2026","$5,096.75",$0.00,,,Fixed price,,1
,,"Jan 1, 2026","$1,050.00",$3.95,,,Auction,,1
1889-CC Morgan Silver Dollar-PCGS Genuine-Key Date Morgan Dollar-Original Tone,147057966447,"Jan 16, 2026",$995.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147057966447,1
1889-CC MORGAN SILVER DOLLAR NGC VF25 08XXIA25,147087416288,"Feb 5, 2026","$2,150.00",$16.99,,,Fixed price,https://www.ebay.com/itm/147087416288,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified NGC VF Details,147097198514,"Feb 14, 2026","$1,705.25",$0.00,,,Fixed price,https://www.ebay.com/itm/147097198514,1
1889 CC Morgan Dollar - #107 *Combined Shipping for Multiple Orders*,147107998038,"Feb 2, 2026","$2,075.00",$5.52,,,Auction,https://www.ebay.com/itm/147107998038,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified NGC VF Details,147109462834,"Feb 13, 2026","$1,558.28",$0.00,,,Fixed price,https://www.ebay.com/itm/147109462834,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified PCGS Good Details,147113973719,"Feb 4, 2026",$745.65,$0.00,,,Fixed price,https://www.ebay.com/itm/147113973719,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified PCGS VG Details,147116206601,"Feb 5, 2026",$992.75,$0.00,,,Fixed price,https://www.ebay.com/itm/147116206601,1
1889-CC Morgan Silver Dollar $1 Carson City - Certified ANACS XF40 Detail (EF40),147124597799,"Feb 14, 2026","$2,598.25",$0.00,,,Fixed price,https://www.ebay.com/itm/147124597799,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - XF Details (Graffiti),147136767939,"Feb 5, 2026","$1,350.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147136767939,1
"1889 CC Morgan silver dollar, cleaned and very pleasing to look at.",147146076955,"Feb 14, 2026","$1,500.00",$5.00,,,Auction,https://www.ebay.com/itm/147146076955,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified PCGS AU Details,147158606499,"Feb 23, 2026","$5,800.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147158606499,1
1889 CC Morgan Silver Dollar Proof Coin; National Collectors Mint; Uncirculated,147165375929,"Feb 25, 2026",$149.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147165375929,1
1889-CC Morgan Dollar PCGS F15 Key Carson City Date! #2FJO,147172631796,"Mar 1, 2026","$1,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147172631796,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified PCGS Fine Details,147225172019,"Apr 11, 2026","$1,182.75",$0.00,,,Fixed price,https://www.ebay.com/itm/147225172019,1
1889 Morgan Dollar CC Silver Uncirculated Coin COPY EA2218,147241884791,"Apr 11, 2026",$4.00,$7.00,,,Auction,https://www.ebay.com/itm/147241884791,1
,,"Oct 26, 2025","$1,100.00",$4.69,,,Fixed price,,1
,,"Oct 25, 2025","$2,440.00",$0.00,,,Fixed price,,1
,,"Oct 25, 2025","$3,831.45",$0.00,,,Fixed price,,1
,,"Nov 7, 2025","$1,500.00",$0.00,,,Fixed price,,1
,,"Dec 13, 2025","$1,038.00",$11.30,,,Fixed price,,1
,,"Oct 18, 2025",$34.00,$0.00,,,Auction,,1
,,"Oct 18, 2025",$565.00,$8.40,,,Fixed price,,1
,,"Nov 26, 2025",$900.00,$13.00,,,Fixed price,,1
,,"Nov 24, 2025",$27.00,$5.15,,,Auction,,1
,,"Jan 12, 2026","$1,230.00",$0.00,,,Fixed price,,1
,,"Jan 11, 2026","$1,525.50",$0.00,,,Fixed price,,1
,,"Jan 10, 2026","$2,199.00",$0.00,,,Fixed price,,1
114f) 1889 CC Morgan Silver Dollar - NGC VF25 - Starts at $1750.00,157613772378,"Jan 21, 2026","$1,932.00",$10.00,,,Auction,https://www.ebay.com/itm/157613772378,1
"KEY 1889-CC MORGAN SILVER DOLLAR, PCGS VF-35. Nicely toned with muted luster.",157626599256,"Jan 30, 2026","$3,205.00",$8.75,,,Auction,https://www.ebay.com/itm/157626599256,1
* 1889-CC * CHOICE AU++ MORGAN SILVER DOLLAR * FROM ORIGINAL COLLECTION,157633441353,"Feb 1, 2026","$6,600.00",$19.99,,,Auction,https://www.ebay.com/itm/157633441353,1
"KEY, PCGS VF-details 1889-CC MORGAN DOLLAR. filed rims. Looks VF-30+",157644686627,"Feb 7, 2026","$1,231.00",$8.75,,,Auction,https://www.ebay.com/itm/157644686627,1
1889-CC Morgan Silver Dollar Carson City,157657341487,"Feb 8, 2026","$1,500.00",$0.00,,,Auction,https://www.ebay.com/itm/157657341487,1
1889-CC Morgan Silver Dollar | Carson City | Key Date | 90% Silver,157676697272,"Feb 22, 2026","$1,174.00",$4.78,,,Auction,https://www.ebay.com/itm/157676697272,1
02/0000020 L#5065 1889 CC Morgan Silver Dollar Coin (pkr),157694091017,"Feb 20, 2026",$905.00,$0.00,,,Auction,https://www.ebay.com/itm/157694091017,1
02/00000027 L#518 1889 CC Morgan Silver Dollar COin (xurz),157704514390,"Feb 27, 2026",$880.00,$0.00,,,Auction,https://www.ebay.com/itm/157704514390,1
02/00000028 L#1192 1889 CC Morgan Silver DOllar (erjz),157715182981,"Feb 28, 2026","$1,025.00",$0.00,,,Auction,https://www.ebay.com/itm/157715182981,1
1889-CC Morgan Silver Dollar Carson City Key Date Clear Wear Raw - Lot #24,157731659784,"Mar 9, 2026",$610.00,$5.00,,,Auction,https://www.ebay.com/itm/157731659784,1
* 1889-CC * CHOICE FINE+/VF MORGAN SILVER DOLLAR * FROM ORIGINAL COLLECTION,157809615702,"Apr 12, 2026","$1,909.02",$11.99,,,Auction,https://www.ebay.com/itm/157809615702,1
1889 cc Morgan Silver Dollar In Nice Display Case!,157809893623,"Apr 6, 2026",$660.99,$0.00,,,Fixed price,https://www.ebay.com/itm/157809893623,1
,,"Nov 30, 2025","$1,850.00",$0.00,,,Fixed price,,1
,,"Jan 4, 2026","$1,149.00",$5.04,,,Fixed price,,1
,,"Oct 26, 2025",$860.00,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$799.00,$0.00,,,Fixed price,,1
,,"Nov 19, 2025",$688.75,$0.00,,,Fixed price,,1
,,"Nov 8, 2025",$975.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$749.00,$0.00,,,Fixed price,,1
,,"Dec 18, 2025",$552.00,$5.55,,,Auction,,1
,,"Dec 19, 2025",$750.00,$7.80,,,Fixed price,,1
,,"Dec 30, 2025",$851.20,$3.95,,,Auction,,1
,,"Jan 4, 2026","$2,025.00",$11.99,,,Auction,,1
