Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"2006 PROOF GOLD AMERICAN BUFFALO BOX, COA, COVER BOX *NO COIN / NO CAPSULE*",137030618274,"Mar 5, 2026",$25.20,$8.81,,,Fixed price,https://www.ebay.com/itm/137030618274,2
2006 24K Gold-Plated American Gold Buffalo Indian Head Coin (CLAD) LIBERTY,137071601231,"Mar 4, 2026",$0.99,$5.29,,,Auction,https://www.ebay.com/itm/137071601231,1
2006 US Mint Buffalo $50 One Troy Ounce 1 oz .9999 GOLD Coin (UNC) First Year,146905334435,"Jan 22, 2026","$5,124.00",$18.45,,,Fixed price,https://www.ebay.com/itm/146905334435,1
2006-W $50 1-oz Proof American Gold Buffalo PCGS PR70DCAM Blue Label,146956470572,"Jan 2, 2026","$4,833.66",$0.00,,,Fixed price,https://www.ebay.com/itm/146956470572,1
,,"Jan 9, 2026","$4,400.00",$29.55,,,Fixed price,,1
2006w American Buffalo $50 Gold Coin 1oz. Proof .9999 pure COA MINT,147165515717,"Feb 21, 2026","$5,225.00",$15.00,,,Fixed price,https://www.ebay.com/itm/147165515717,1
"2006-W 1 oz Proof American Gold Buffalo Coin (Box, CoA)",157122965964,"Dec 25, 2025","$4,981.30",$0.00,,,Fixed price,https://www.ebay.com/itm/157122965964,1
,,"Jan 9, 2026","$4,850.00",$5.37,,,Fixed price,,1
US Mint 1oz American Gold Buffalo 2006 1oz .9999 Fine Gold 31.1g,157627748530,"Feb 16, 2026","$5,150.00",$30.00,,,Fixed price,https://www.ebay.com/itm/157627748530,1
,,"Jan 5, 2026","$4,675.00",$0.00,,,Fixed price,,1
2006 W American Gold Buffalo Proof (1 oz) $50,168170027626,"Feb 25, 2026","$5,475.00",$0.00,,,Auction,https://www.ebay.com/itm/168170027626,1
2006-W $50 American Gold Buffalo PCGS PR 69 DCAM,168291310838,"Apr 10, 2026","$4,900.00",$0.00,,,Fixed price,https://www.ebay.com/itm/168291310838,1
2006-W Proof $50 American Gold Buffalo NGC PF70UC Brown Label,176509137628,"Dec 21, 2025","$4,893.25",$0.00,,,Fixed price,https://www.ebay.com/itm/176509137628,1
2006 $50 American Gold Buffalo 1 oz Brilliant Uncirculated,177267587431,"Nov 1, 2025","$4,375.97",$0.00,,,Fixed price,https://www.ebay.com/itm/177267587431,1
,,"Nov 11, 2025","$4,299.00",$5.15,,,Fixed price,,1
,,"Nov 23, 2025","$4,372.55",$1.93,,,Auction,,1
"2006 PROOF GOLD AMERICAN BUFFALO BOX, COA, COVER BOX *NO COIN / NO CAPSULE*",177677597684,"Jan 20, 2026",$34.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177677597684,1
2006-Now $50 1 oz American Buffalo Prong Set Square Coin Bezel in 14k Gold,185375693472,"Dec 25, 2025","$2,108.99",$0.00,,,Fixed price,https://www.ebay.com/itm/185375693472,1
2006-Now $50 1 oz American Buffalo Prong Set Western Rope Coin Bezel in 14k Gold,185375693502,"Oct 28, 2025","$1,297.99",$0.00,,,Fixed price,https://www.ebay.com/itm/185375693502,1
,,"Oct 30, 2025","$4,700.00",$12.70,,,Fixed price,,1
,,"Nov 22, 2025","$4,500.00",$4.92,,,Auction,,1
,,"Jan 3, 2026","$4,800.00",$5.99,,,Auction,,1
,,"Jan 6, 2026","$4,800.00",$0.00,,,Fixed price,,1
2006 W US Buffalo 1 oz Proof Gold Coin $50 NGC PF70 Ultra Cameo,187988621732,"Feb 1, 2026","$5,769.00",$5.99,,,Auction,https://www.ebay.com/itm/187988621732,1
2006 US Buffalo $50 1 oz Gold .9999 NGC MS70 First Strike,188002245616,"Feb 5, 2026","$5,351.00",$4.99,,,Auction,https://www.ebay.com/itm/188002245616,1
2006 $50 Gold Buffalo 1oz .9999 Fine Gold - NGC MS70 FIRST STRIKES - Perfect 70g,188110257853,"Mar 1, 2026","$5,625.00",$7.31,,,Fixed price,https://www.ebay.com/itm/188110257853,1
2006 US Buffalo 1 oz Gold Eagle .9999 $50 PCGS MS69 First Strike,188245176277,"Apr 12, 2026","$4,849.00",$4.99,,,Auction,https://www.ebay.com/itm/188245176277,1
,,"Oct 21, 2025","$4,500.00",$4.87,,,Fixed price,,1
,,"Jan 13, 2026","$4,900.00",$0.00,,,Fixed price,,1
2006 G$50 1 oz Gold American Buffalo - PQ - First Strike - NGC MS 69 - SKU-G2848,204580481109,"Jan 28, 2026","$5,795.00",$12.50,,,Fixed price,https://www.ebay.com/itm/204580481109,1
,,"Dec 21, 2025","$4,675.00",$9.90,,,Fixed price,,1
,,"Jan 18, 2026","$5,200.00",$0.00,,,Auction,,1
2006 W AMERICAN BUFFALO ONE OUNCE PROOF GOLD COIN~1ST YEAR OF ISSUE,227167687322,"Feb 28, 2026","$5,500.00",$0.00,,,Fixed price,https://www.ebay.com/itm/227167687322,1
2006 American Buffalo 1 oz Gold Proof Coin,227175794135,"Jan 22, 2026","$5,199.00",$0.00,,,Auction,https://www.ebay.com/itm/227175794135,1
"2006 PROOF GOLD AMERICAN BUFFALO BOX, COA, COVER BOX AND CAPSULE - *NO COIN*",227176849827,"Feb 5, 2026",$29.95,$5.39,,,Fixed price,https://www.ebay.com/itm/227176849827,1
,,"Dec 21, 2025","$4,750.00",$0.00,,,Auction,,1
,,"Dec 22, 2025","$4,750.00",$0.00,,,Fixed price,,1
,,"Dec 3, 2025",$24.99,$5.00,,,Fixed price,,1
,,"Oct 28, 2025",$45.00,$5.15,,,Fixed price,,1
,,"Oct 28, 2025","$4,300.00",$0.00,,,Fixed price,,1
,,"Oct 28, 2025","$4,299.00",$20.00,,,Fixed price,,1
,,"Nov 3, 2025","$4,200.00",$0.00,,,Fixed price,,1
,,"Jan 7, 2026","$4,650.00",$0.00,,,Auction,,1
NGC 2006 $50 MS69 1 oz. Gold American Buffalo 🦬🇺🇸,287120308225,"Feb 4, 2026","$5,391.99",$8.75,,,Auction,https://www.ebay.com/itm/287120308225,1
,,"Nov 13, 2025","$4,501.00",$0.00,,,Auction,,1
2006 $50 Gold Buffalo 🦬 - ANACS MS69 – 1 oz .9999 Gold First-Year,297847474580,"Jan 21, 2026","$5,057.22",$0.00,,,Fixed price,https://www.ebay.com/itm/297847474580,1
,,"Dec 22, 2025","$4,550.00",$14.20,,,Auction,,1
,,"Jan 10, 2026","$4,779.99",$4.00,,,Fixed price,,1
🌟 2006-W $50 1 oz .9999 Gold Indian Buffalo PROOF 1st Year Coin BU (NO BOX),297953433414,"Jan 22, 2026","$5,199.99",$0.00,,,Fixed price,https://www.ebay.com/itm/297953433414,1
2006 Proof Gold Buffalo in OGP .9999 pure 1 oz,297971995683,"Jan 26, 2026","$5,299.00",$0.00,,,Fixed price,https://www.ebay.com/itm/297971995683,1
🌟 2006 $50 1 oz .9999 Gold Indian Buffalo 1ST YEAR Coin NGC MS70 FIRST STRIKE,297983787150,"Jan 31, 2026","$5,299.99",$13.00,,,Fixed price,https://www.ebay.com/itm/297983787150,1
🌟 2006-W $50 1 oz .9999 Gold Indian Buffalo 1st Year PROOF Coin BU w/OGP,298002776125,"Feb 5, 2026","$5,249.99",$13.00,,,Fixed price,https://www.ebay.com/itm/298002776125,1
,,"Dec 15, 2025","$4,750.00",$0.00,,,Fixed price,,1
,,"Nov 5, 2025","$4,885.00",$0.00,,,Fixed price,,1
,,"Dec 30, 2025","$5,050.00",$0.00,,,Fixed price,,2
,,"Nov 15, 2025","$4,712.59",$0.00,,,Fixed price,,1
,,"Jan 15, 2026","$4,600.00",$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$12.50,$10.00,,,Auction,,1
,,"Oct 21, 2025",$16.50,$10.00,,,Auction,,1
,,"Oct 27, 2025",$2.00,$10.00,,,Auction,,1
,,"Nov 1, 2025",$34.00,$10.00,,,Auction,,1
,,"Nov 3, 2025",$6.95,$10.00,,,Auction,,1
,,"Nov 13, 2025",$1.00,$10.00,,,Auction,,1
,,"Nov 14, 2025",$1.00,$10.00,,,Auction,,1
,,"Nov 15, 2025",$6.50,$10.00,,,Auction,,1
,,"Nov 19, 2025",$2.25,$10.00,,,Auction,,1
,,"Nov 23, 2025",$26.00,$10.00,,,Auction,,1
,,"Nov 20, 2025","$2,400.00",$0.00,,,Fixed price,,1
,,"Nov 28, 2025",$1.75,$10.00,,,Auction,,1
,,"Dec 12, 2025",$2.25,$10.00,,,Auction,,1
