Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2003 Canada 5-Coin Silver Maple Leaf Set (Hologram),127871427361,"May 18, 2026",$185.08,$0.00,,,Fixed price,https://www.ebay.com/itm/127871427361,1
2003 Canada Maple Leaf 1/10 oz Proof Silver Coin 15th Anniversary Hologram NGC,136892372213,"May 10, 2026",$69.99,$0.00,,,Fixed price,https://www.ebay.com/itm/136892372213,1
"2003 Canada Silver Maple Leaf 1 oz Sheep privy w/ COA - LOW MINTAGE OF 25,000",227235446280,"May 7, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227235446280,2
2003 RCM Canadian 15th Anniversary Silver Maple Leaf Hologram Box Set with COA,127833915163,"May 5, 2026",$271.00,$9.42,,,Fixed price,https://www.ebay.com/itm/127833915163,1
2003 $5 Canadian 1 oz Silver Maple leaf in OGP Sealed BU,227327271790,"May 4, 2026",$76.49,$7.12,,,Fixed price,https://www.ebay.com/itm/227327271790,5
2003 $5 Canadian 1 oz Silver Maple leaf in OGP Sealed BU,366379486058,"May 1, 2026",$75.99,$6.76,,,Fixed price,https://www.ebay.com/itm/366379486058,5
2003 $5 Canadian 1 oz Silver Maple leaf in OGP Sealed BU,227321827951,"Apr 30, 2026",$73.69,$7.05,,,Fixed price,https://www.ebay.com/itm/227321827951,5
2003 $5 Canadian 1 oz Silver Maple leaf in OGP Sealed BU,227312835571,"Apr 29, 2026",$74.69,$6.81,,,Fixed price,https://www.ebay.com/itm/227312835571,5
2003 Holographic Maple Leaf 1/2 Oz Silver Coin,127816871640,"Apr 18, 2026",$59.99,$5.52,,,Fixed price,https://www.ebay.com/itm/127816871640,1
2003 Silver Canadian Maple Leaf Hologram Set w/ Original Box and Papers 99.99%,198241611978,"Apr 1, 2026",$399.00,$11.95,,,Fixed price,https://www.ebay.com/itm/198241611978
2003 Canadian Silver MapleLeaf Hologram Set,377024109830,"Mar 31, 2026",$305.00,$5.30,,,Fixed price,https://www.ebay.com/itm/377024109830
2003 Maple Leaf 5 Holographic Coins Set,127757635339,"Mar 28, 2026",$299.00,$9.26,,,Fixed price,https://www.ebay.com/itm/127757635339
2003 CANADA MAPLE LEAF 1 OUNCE SILVER .9999 COIN - IN ORIGINAL SEALED PLASTIC,198206170438,"Mar 22, 2026",$83.00,$8.10,,,Auction,https://www.ebay.com/itm/198206170438
2003 Silver Maple Leaf Hologram Holographic Set Canadian Mint Display Box & OGP,327049116411,"Mar 18, 2026",$275.00,$29.05,,,Fixed price,https://www.ebay.com/itm/327049116411
2003 CANADA SILVER 3 DOLLARS MAPLE LEAF HOLOGRAM NGC SP 70 EXTREMELY RARE GEM,167970151368,"Mar 17, 2026",$184.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167970151368
2003 5 Coin Fractional Holographic Maple Leaf Canada .999 Silver 1.9oz OGP COA!,377026048803,"Mar 17, 2026",$305.00,$6.24,,,Auction,https://www.ebay.com/itm/377026048803
2003 Canada Maple Leaf $1 15th Anniversary - Hologram 1/20 oz Silver .9999,389713360457,"Mar 12, 2026",$36.00,$10.00,,,Auction,https://www.ebay.com/itm/389713360457
2003 Canada 1 oz Silver Maple Leaf $5 9999 Fine Royal Canadian Mint RCM Sealed,298101638165,"Mar 11, 2026",$113.99,$0.00,,,Fixed price,https://www.ebay.com/itm/298101638165
2003 1 oz .9999 silver Canadian Maple Leaf coin [C7],157740027876,"Mar 10, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157740027876
2003 Canada Maple Leaf Hologram Set 1.9 oz Silver ASW - OMP COA - Q3645,317949787992,"Mar 10, 2026",$360.00,$12.50,,,Auction,https://www.ebay.com/itm/317949787992
2003 Canadian Silver Maple Leaf Hologram Set,377021045830,"Mar 10, 2026",$323.00,$5.27,,,Fixed price,https://www.ebay.com/itm/377021045830
2003 Silver Maple Leaf Hologram Set w/ Original Box and Papers,206106483502,"Mar 9, 2026",$325.00,$9.45,,,Auction,https://www.ebay.com/itm/206106483502
2003 Canada Natural Wonders Rocky Mountains 1 Oz+ .9999 Silver Proof $20 OGP/COA,236673133032,"Mar 9, 2026",$91.00,$0.00,,,Auction,https://www.ebay.com/itm/236673133032
2003 Silver Maple Leaf Hologram Set w/ Original Box and Papers,256200671884,"Mar 9, 2026",$463.03,$76.90,,,Fixed price,https://www.ebay.com/itm/256200671884
Rare 2003 1 oz .9999 Silver Colorized Maple Coin in Original Box with COA!,157711106031,"Mar 8, 2026",$114.49,$0.00,,,Auction,https://www.ebay.com/itm/157711106031
2003 Canada Silver Maple Leaf $5 Coin --1 oz .9999 Fine BU,137094316716,"Mar 7, 2026",$89.00,$4.85,,,Auction,https://www.ebay.com/itm/137094316716
"US Mint American Eagle & Canadian Maple Leaf Silver Coins 2003 2010, 3 oz",227233855690,"Mar 7, 2026",$265.00,$9.80,,,Fixed price,https://www.ebay.com/itm/227233855690
2003 1 oz .9999 silver Canadian Maple Leaf coin [C7],168189851423,"Mar 6, 2026",$92.00,$4.85,,,Auction,https://www.ebay.com/itm/168189851423
2003 Silver Maple Leaf Hologram Set w/ Original Box and Papers,168210892380,"Mar 6, 2026",$249.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168210892380
2003 Silver Maple Leaf Hologram Holographic Set Canadian Mint Display Box & OGP,336453781069,"Mar 6, 2026",$375.00,$7.90,,,Fixed price,https://www.ebay.com/itm/336453781069
2003 Canada 5-Coin .999 Silver Maple Leaf Set (Hologram) Boxes & COA,117034723404,"Feb 23, 2026",$299.99,$30.00,,,Fixed price,https://www.ebay.com/itm/117034723404,1
2003 CANADA SILVER 4 DOLLARS MAPLE LEAF HOLOGRAM NGC SP 69 RARE GEM BEAUTY,157525104552,"Feb 20, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157525104552,1
,,"Feb 3, 2026",$90.00,$6.00,,,Fixed price,,1
,,"Jan 28, 2026",$129.95,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$123.95,$0.00,,,Fixed price,,1
,,"Jan 26, 2026",$119.95,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$109.95,$0.00,,,Fixed price,,1
,,"Jan 21, 2026",$210.00,$10.93,,,Fixed price,,1
2003 Canada 1 oz Silver Maple Leaf BU,112640592551,"Jan 19, 2026",$120.00,$49.99,,,Fixed price,https://www.ebay.com/itm/112640592551,1
,,"Jan 16, 2026",$99.95,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$98.00,$0.00,,,Fixed price,,10
,,"Jan 2, 2026",$86.95,$0.00,,,Fixed price,,1
