Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Morgan Silver Dollars Lot Of 10 Better Dates 1879-O 1901 S 1891 Mix (L725,127716898581,"Mar 6, 2026",$610.00,$6.68,,,Auction,https://www.ebay.com/itm/127716898581,1
1901 S Morgan Silver Dollar ~ CIRCULATED RARE DATE ~ 90% Silver $1,127746429592,"Mar 22, 2026",$80.55,$6.75,,,Auction,https://www.ebay.com/itm/127746429592,1
G/VG 1901-S Morgan Silver Dollar (1 coin) *5031,127768900904,"Mar 31, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127768900904,1
Early - 1901-S Morgan Silver Dollar - 90% US Coin *543,127777439013,"Apr 2, 2026",$57.00,$0.00,,,Auction,https://www.ebay.com/itm/127777439013,1
1901-S Morgan Silver Dollar Almost Uncirculated++,127778770058,"Apr 1, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127778770058,1
Early - 1901-S Morgan Silver Dollar - 90% US Coin *153,127790327629,"Apr 8, 2026",$66.57,$0.00,,,Auction,https://www.ebay.com/itm/127790327629,1
VG/F 1901-S Morgan Silver Dollar (1 coin) *1204,127790351188,"Apr 10, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127790351188,1
,,"Dec 29, 2025",$630.25,$0.00,,,Fixed price,,1
1901-S Morgan Silver Dollar Authentic ICG *3507,135461303790,"Jan 18, 2026",$300.01,$0.00,,,Fixed price,https://www.ebay.com/itm/135461303790,1
,,"Oct 26, 2025",$99.00,$0.00,,,Fixed price,,1
1901-S Morgan Silver Dollar $1 - San Francisco,135970757316,"Jan 14, 2026",$75.00,$5.00,,,Fixed price,https://www.ebay.com/itm/135970757316,1
1901-S Morgan Silver Dollar $1 - San Francisco,135970759192,"Feb 28, 2026",$90.00,$6.00,,,Fixed price,https://www.ebay.com/itm/135970759192,1
1901-S Morgan Silver Dollar $1 - San Francisco,135970759846,"Jan 31, 2026",$100.00,$5.00,,,Fixed price,https://www.ebay.com/itm/135970759846,1
1901-S Morgan Silver Dollar Peripheral Tone *1933,136154050400,"Mar 10, 2026",$315.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136154050400,1
,,"Nov 2, 2025",$36.00,$4.80,,,Fixed price,,1
,,"Nov 10, 2025",$19.96,$0.00,,,Fixed price,,1
[Removed] Item 197747641128,197747641128,"Nov 8, 2025",$19.99,$0.00,,,Fixed price,,4
,,"Jan 17, 2026",$490.00,$0.00,,,Fixed price,,1
1901-S Morgan U.S. silver dollar. Good-VG. #ek1,117106839603,"Apr 16, 2026",$64.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117106839603,1
,,"Jan 16, 2026",$66.00,$0.00,,,Auction,,1
,,"Jan 15, 2026",$72.00,$0.00,,,Auction,,1
,,"Jan 17, 2026",$71.00,$0.00,,,Auction,,1
,,"Jan 14, 2026",$75.00,$5.00,,,Fixed price,,1
,,"Dec 28, 2025",$68.00,$7.90,,,Fixed price,,1
,,"Dec 11, 2025",$56.95,$0.00,,,Auction,,1
,,"Dec 13, 2025",$56.95,$0.00,,,Auction,,1
,,"Dec 30, 2025",$54.99,$5.15,,,Fixed price,,1
,,"Dec 28, 2025",$67.00,$0.00,,,Auction,,1
,,"Dec 30, 2025",$62.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$69.00,$0.00,,,Auction,,1
,,"Jan 16, 2026",$72.76,$0.00,,,Auction,,1
G/VG 1901-S Morgan Silver Dollar (1 coin) *4686,136940525277,"Jan 18, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/136940525277,1
VG/F 1901-S Morgan Silver Dollar (1 coin) *7990,136958430170,"Jan 24, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/136958430170,1
VG/F 1901-S Morgan Silver Dollar (1 coin) *4680,136960639436,"Jan 25, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/136960639436,1
G/VG 1901-S Morgan Silver Dollar (1 coin) *0933,136963755760,"Jan 26, 2026",$79.09,$0.00,,,Auction,https://www.ebay.com/itm/136963755760,1
G/VG 1901-S Morgan Silver Dollar (1 coin) *3955,136970293744,"Jan 28, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/136970293744,1
VG/F 1901-S Morgan Silver Dollar (1 coin) *6843,136986974080,"Feb 2, 2026",$74.95,$0.00,,,Auction,https://www.ebay.com/itm/136986974080,1
1901 S $1 Morgan Silver Dollar ICG VF20 San Francisco,136996451486,"Feb 5, 2026",$78.00,$0.00,,,Auction,https://www.ebay.com/itm/136996451486,1
VG/F 1901-S Morgan Silver Dollar (1 coin) *5004,137011846735,"Feb 10, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/137011846735,1
Early - 1901-S Morgan Silver Dollar - 90% US Coin *498,137065943538,"Feb 28, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/137065943538,1
1901-S Morgan Silver Dollar *4369,137111755909,"Mar 23, 2026",$159.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137111755909,1
"1899 O, 1901 O, 1901 S, and 1902 $1 Morgan Silver Dollars",137122413564,"Mar 19, 2026",$227.50,$0.00,,,Auction,https://www.ebay.com/itm/137122413564,1
1901-S Morgan Silver Dollar Collection Postal Commemorative Society Stamp,137131886112,"Mar 21, 2026",$77.05,$1.61,,,Auction,https://www.ebay.com/itm/137131886112,1
1901 S Morgan Silver Dollar 90% SILVER $1 Coin San Francisco M37,137163062852,"Apr 7, 2026",$85.00,$8.50,,,Fixed price,https://www.ebay.com/itm/137163062852,1
1901-O 1879-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *382,137206687123,"Apr 12, 2026",$110.50,$0.00,,,Auction,https://www.ebay.com/itm/137206687123,1
1885 1901-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *426,137215582004,"Apr 15, 2026",$129.49,$0.00,,,Auction,https://www.ebay.com/itm/137215582004,1
,,"Jan 15, 2026",$65.99,$0.00,,,Fixed price,,1
,,"Dec 25, 2025",$46.00,$0.00,,,Fixed price,,1
,,"Dec 25, 2025",$880.20,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$75.00,$0.00,,,Fixed price,,1
1901-S Morgan Silver Dollar VF E300 WYEM,146884134952,"Feb 4, 2026",$133.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146884134952,1
,,"Oct 27, 2025",$100.00,$7.95,,,Auction,,1
,,"Nov 3, 2025",$146.50,$0.00,,,Auction,,1
,,"Nov 25, 2025",$207.50,$0.00,,,Auction,,1
,,"Nov 30, 2025",$45.00,$0.00,,,Auction,,1
,,"Nov 29, 2025",$35.06,$5.49,,,Auction,,1
,,"Nov 27, 2025",$49.00,$0.00,,,Fixed price,,1
,,"Dec 7, 2025",$75.00,$5.95,,,Auction,,1
,,"Dec 14, 2025",$153.05,$2.57,,,Auction,,1
,,"Dec 13, 2025",$49.03,$0.00,,,Auction,,1
,,"Dec 25, 2025",$89.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$74.00,$0.00,,,Auction,,1
1901 S Morgan Silver Dollar XF,147081543243,"Jan 13, 2026",$175.00,$3.99,,,Fixed price,https://www.ebay.com/itm/147081543243,1
,,"Jan 14, 2026",$306.02,$9.00,,,Auction,,1
,,"Jan 15, 2026",$84.99,$9.99,,,Fixed price,,1
,,"Jan 16, 2026",$194.00,$0.00,,,Fixed price,,1
1901 S Morgan Silver Dollar,147102834662,"Jan 26, 2026",$82.60,$5.49,,,Auction,https://www.ebay.com/itm/147102834662,1
1901-S Morgan Silver Dollar,147102856327,"Jan 26, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/147102856327,1
1901 S Morgan Silver Dollar VERY FINE,147121068736,"Feb 1, 2026",$75.76,$0.38,,,Auction,https://www.ebay.com/itm/147121068736,1
1901-S Morgan Silver Dollar In Very Good Condition,147128563802,"Feb 3, 2026",$67.00,$5.56,,,Fixed price,https://www.ebay.com/itm/147128563802,1
1901-S Morgan Silver Dollar ☆ Nice Coin From Old Collection ☆ 912,147139012944,"Feb 5, 2026",$299.00,$4.50,,,Fixed price,https://www.ebay.com/itm/147139012944,1
US Coin 1901 S Morgan Silver Dollar NO RESERVE!,147140399727,"Feb 11, 2026",$115.50,$1.00,,,Auction,https://www.ebay.com/itm/147140399727,1
"1898 S, 1900 O, and 1901 O $1 Morgan Silver Dollars",147150446338,"Feb 19, 2026",$182.50,$0.00,,,Auction,https://www.ebay.com/itm/147150446338,1
