Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1917-S OBV MM WALKING LIBERTY HALF DOLLAR NICE GRADE COIN,168477894510,"Jun 27, 2026",$31.00,$6.72,,,Auction,https://www.ebay.com/itm/168477894510,1
1917-S Obv. Walking Liberty Silver Half Dollar,117250543864,"Jun 24, 2026",$146.10,$5.48,,,Auction,https://www.ebay.com/itm/117250543864,1
"1916, 1916-D Obv 1917, 1917-S Rev Walking Liberty Half Dollar, Key Dates",127934722756,"Jun 24, 2026",$81.19,$5.95,,,Auction,https://www.ebay.com/itm/127934722756,1
1917-D/S (obv) Walking Liberty Silver Half Dollar,127921872853,"Jun 21, 2026",$34.11,$5.48,,,Auction,https://www.ebay.com/itm/127921872853,1
"(4) Walking Liberty Half Dollars: 1917, 17-S Obv, 17-D Rev, 17-D Obv. Spot! G188",137423188060,"Jun 17, 2026",$92.49,$5.50,,,Fixed price,https://www.ebay.com/itm/137423188060,1
1917-S Obv Mintmark Walking Liberty Half Dollar 50C Fine F+ Key Better Date,168378483355,"Jun 3, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168378483355,1
1917-S OBV Walking Liberty Half Dollar CIRC G+ 90% Silver,137111608291,"Jun 2, 2026",$61.97,$0.00,,,Fixed price,https://www.ebay.com/itm/137111608291,3
1917-S OBV Walking Liberty Silver Half Dollar VG/FINE E331 RJNM,136972216943,"Jun 1, 2026",$85.50,$0.00,,,Fixed price,https://www.ebay.com/itm/136972216943,1
1917-S Obv. Walking Liberty Silver Half Dollar,257511034901,"May 27, 2026",$30.00,$4.37,,,Auction,https://www.ebay.com/itm/257511034901,1
1917-S OBV Walking Liberty Half Dollar CIRC (b),203788209397,"May 7, 2026",$50.00,$4.00,,,Fixed price,https://www.ebay.com/itm/203788209397,1
1917-S OBV WALKING LIBERTY HALF DOLLAR VG BETTER DATE #2100,157876996389,"May 6, 2026",$59.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157876996389,1
1917-S OBV Walking Liberty Half Dollar - Circulated - Free Shipping - (1-1/ZAR),257466390874,"Apr 30, 2026",$57.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257466390874,1
1917-S OBV Walking Liberty Half Dollar CIRC G+ 90% Silver *8781,137249389878,"Apr 29, 2026",$59.95,$0.00,,,Auction,https://www.ebay.com/itm/137249389878,1
1917 S OBV WALKING LIBERTY HALF DOLLAR,127817591920,"Apr 25, 2026",$31.00,$6.00,,,Auction,https://www.ebay.com/itm/127817591920,1
1917-S OBV Walking Liberty Half Dollar CIRC G+ 90% Silver *7237,137235701294,"Apr 24, 2026",$59.95,$0.00,,,Auction,https://www.ebay.com/itm/137235701294,1
1917-S OBV Walking Liberty Silver Half Dollar VG E387 YWEH,147263379828,"Apr 22, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147263379828,1
1917-S Obv. & 1917-S Rev. Walking Liberty Half Dollars (2) Coin Lot,127801021385,"Apr 19, 2026",$59.99,$5.50,,,Auction,https://www.ebay.com/itm/127801021385,1
1917 S Obverse Mint Mark Obv MM Walking Liberty Silver Half Dollar 50C,257450200249,"Apr 19, 2026",$60.00,$1.99,,,Auction,https://www.ebay.com/itm/257450200249,1
1917-S Silver Walking Liberty Half Dollar Obv MM - F Choice Original Semi Key,257453267670,"Apr 18, 2026",$137.50,$5.95,,,Auction,https://www.ebay.com/itm/257453267670,1
1917-S OBV Walking Liberty Silver Half Dollar FINE E364 WZHR,147249866019,"Apr 15, 2026",$112.38,$0.00,,,Fixed price,https://www.ebay.com/itm/147249866019,1
Nice Collector grade 1917 S OBV Walking half dollar free shipping inside the US,154938838557,"Apr 15, 2026",$38.25,$0.00,,,Fixed price,https://www.ebay.com/itm/154938838557,1
1917-S Obv Walking Liberty Silver Half Dollar,257439693106,"Apr 15, 2026",$24.00,$5.00,,,Auction,https://www.ebay.com/itm/257439693106,1
"1917-S Obv. Walking Liberty Half Dollar, F #3020",197944352717,"Apr 9, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/197944352717,1
1917 S Obverse Mint Mark Obv MM Walking Liberty Silver Half Dollar 50C,257428824215,"Apr 5, 2026",$49.28,$1.99,,,Fixed price,https://www.ebay.com/itm/257428824215,1
1917 S Obv & 1917 S Rev * 2 SILVER WALKING LIBERTY HALF DOLLARS *Seen FREE SHIP,389799165442,"Apr 4, 2026",$66.09,$0.00,,,Auction,https://www.ebay.com/itm/389799165442
1917 S Obverse Mint Mark Obv MM Walking Liberty Silver Half Dollar 50C - Cleaned,257428824225,"Apr 1, 2026",$38.20,$1.99,,,Fixed price,https://www.ebay.com/itm/257428824225,1
1917-S OBV Walking Liberty Half Dollar CIRC G+ 90% Silver *4194,137155000437,"Mar 28, 2026",$59.95,$0.00,,,Auction,https://www.ebay.com/itm/137155000437
,,"Mar 28, 2026",$59.95,$0.00,,,Auction,,1
1917 S OBV Walking Liberty Silver Half Dollar,376928691105,"Mar 23, 2026",$59.95,$3.99,,,Fixed price,https://www.ebay.com/itm/376928691105
1917-D OBV 1917-S OBV 1917-D REV 1919 1919-S 1938-D WALKING LIBERTY HALF DOLLARS,168236178470,"Mar 21, 2026",$268.95,$4.13,,,Auction,https://www.ebay.com/itm/168236178470
,,"Mar 21, 2026",$268.95,$4.13,,,Auction,,1
1917 S Obverse Mint Mark Obv MM Walking Liberty Silver Half Dollar 50C,146654164538,"Mar 20, 2026",$42.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146654164538
1917-S Obv Walking Liberty Silver Half Dollar in a SAFLIP® - Fine- (VG+),227238410995,"Mar 20, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227238410995
,,"Mar 20, 2026",$42.00,$0.00,,,Fixed price,,1
,,"Mar 20, 2026",$140.00,$0.00,,,Fixed price,,1
1917 S (Obv) Walking Liberty Half Dollar Choice Fine,147167552914,"Mar 16, 2026",$100.00,$8.75,,,Fixed price,https://www.ebay.com/itm/147167552914
1917 S OBV Walking Liberty Silver Half Dollar 50c US Type Coin Circulated Cond,327036390452,"Mar 16, 2026",$79.95,$5.95,,,Auction,https://www.ebay.com/itm/327036390452
,,"Mar 16, 2026",$100.00,$8.75,,,Fixed price,,1
"1917 D & 1917 S ""OBV"" WALKING LIBERTY 90% HALF DOLLARS",298099029026,"Mar 14, 2026",$51.00,$7.99,,,Auction,https://www.ebay.com/itm/298099029026
1917-S Walking Liberty Half | | Obv | Silver 50 c | San Francisco,115523113708,"Mar 11, 2026",$49.88,$5.95,,,Fixed price,https://www.ebay.com/itm/115523113708
L@ @K 28-MIXED 90% SILVER HALF DOLLARS 2-1917 S OBV! Three Day Auction ¡!L@ @K!¡,236672709636,"Mar 9, 2026",$701.00,$8.10,,,Auction,https://www.ebay.com/itm/236672709636
,,"Mar 9, 2026",$701.00,$8.10,,,Auction,,1
1916-D 1917-D OBV 1917-S OBV 1919-S 1921-S & 1938-D WALKING LIBERTY HALF DOLLARS,198144650709,"Mar 7, 2026",$315.00,$5.55,,,Auction,https://www.ebay.com/itm/198144650709
,,"Mar 7, 2026",$315.00,$5.55,,,Auction,,1
,,"Mar 1, 2026",$32.00,$6.00,,,Auction,,1
,,"Feb 28, 2026",$165.00,$0.00,,,Fixed price,,1
,,"Feb 22, 2026",$40.00,$0.00,,,Fixed price,,1
,,"Feb 8, 2026",$67.00,$0.00,,,Fixed price,,1
,,"Feb 7, 2026",$53.11,$5.95,,,Auction,,1
,,"Feb 4, 2026",$49.95,$5.30,,,Fixed price,,1
,,"Feb 4, 2026",$47.41,$6.85,,,Fixed price,,1
,,"Feb 3, 2026",$70.00,$5.00,,,Fixed price,,1
,,"Feb 3, 2026",$27.95,$5.95,,,Fixed price,,1
,,"Jan 28, 2026",$35.95,$0.00,,,Fixed price,,1
,,"Jan 25, 2026",$35.00,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$36.95,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$29.00,$5.25,,,Auction,,1
