Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2001 $1 1-oz American Silver Eagle NGC MS69 Brown Label,145918354897,"Feb 2, 2026",$98.12,$0.00,,,Fixed price,https://www.ebay.com/itm/145918354897
2001-W Proof $1 American Silver Eagle NGC PF69UC Brown Label,314113885292,"Mar 10, 2026",$104.71,$0.00,,,Fixed price,https://www.ebay.com/itm/314113885292
2001 $1 American Silver Eagle NGC MS69 Brown Label,176496367961,"Feb 2, 2026",$101.40,$0.00,,,Fixed price,https://www.ebay.com/itm/176496367961
"2001-W Proof $1 American Silver Eagle Box, OGP & COA",314838127602,"Apr 4, 2026",$105.27,$0.00,,,Fixed price,https://www.ebay.com/itm/314838127602
2001 American Silver Eagle Coin - NGC MS69,405886352496,"Apr 5, 2026",$101.90,$0.00,,,Fixed price,https://www.ebay.com/itm/405886352496
2001 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion,141112770019,"Dec 27, 2025",$68.28,$0.00,,,Fixed price,https://www.ebay.com/itm/141112770019
2001-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145620049479,"Feb 8, 2026",$96.29,$0.00,,,Fixed price,https://www.ebay.com/itm/145620049479
2001-W Proof $1 American Silver Eagle NGC PF70UC Brown Label,204092332307,"Mar 10, 2026",$155.15,$0.00,,,Fixed price,https://www.ebay.com/itm/204092332307
2001-W American Silver Eagle PR70 DCAM PCGS Blue Label,363762723016,"Mar 30, 2026",$165.31,$0.00,,,Fixed price,https://www.ebay.com/itm/363762723016
2001 Silver American Eagle $1 - BU - Brilliant Uncirculated - In Capsule,145663982902,"Mar 25, 2026",$102.07,$0.00,,,Fixed price,https://www.ebay.com/itm/145663982902
2001 $1 American Silver Eagle 1 oz Brilliant Uncirculated,314400104498,"Mar 22, 2026",$96.83,$0.00,,,Fixed price,https://www.ebay.com/itm/314400104498
2001-W American Silver Eagle Dollar PR69DCAM PCGS Proof 69 Deep Cameo,383115263817,"Mar 27, 2026",$126.48,$0.00,,,Fixed price,https://www.ebay.com/itm/383115263817
2001-W American Silver Eagle Proof Coin 1 Oz,136533764679,"Feb 18, 2026",$105.30,$0.00,,,Fixed price,https://www.ebay.com/itm/136533764679
,,"Dec 22, 2025",$70.21,$0.00,,,Fixed price,
2001-W American Silver Eagle 1 Oz PF70 UCAM NGC Brown Label,363478874037,"Apr 3, 2026",$161.54,$0.00,,,Fixed price,https://www.ebay.com/itm/363478874037
2001 Unc American Silver Eagle 1 Troy Oz .999 Fine Silver,362754213509,"Jan 25, 2026",$80.62,$0.00,,,Fixed price,https://www.ebay.com/itm/362754213509
2001 American Silver Eagle 1 oz .999 Brilliant Uncirculated,376362073126,"Dec 21, 2025",$68.62,$3.99,,,Fixed price,https://www.ebay.com/itm/376362073126
2001-W $1 1-oz Proof American Silver Eagle NGC PF69UC Brown Label,134967367000,"Mar 23, 2026",$106.75,$0.00,,,Fixed price,https://www.ebay.com/itm/134967367000
,,"Dec 29, 2025",$78.00,$6.16,,,Fixed price,
2001 $1 American Silver Eagle NGC MS70 Brown Label,205010605613,"Feb 25, 2026",$829.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205010605613
,,"Jan 6, 2026",$105.00,$0.00,,,Fixed price,
2001 AMERICAN SILVER EAGLE ICG MS70 - Austin Hutto Signed- Flawless Coin,397507145538,"Mar 3, 2026",$194.00,$5.50,,,Fixed price,https://www.ebay.com/itm/397507145538
2001 American Silver Eagle WTC Ground Zero Recovery Gem Unc PCGS,127635043391,"Feb 19, 2026",$284.90,$0.00,,,Fixed price,https://www.ebay.com/itm/127635043391
,,"Dec 12, 2025",$61.99,$5.95,,,Fixed price,
2001 American Silver Eagle Proof $1 - 1 oz .999 Fine Silver - Original Box & COA,267556431406,"Jan 25, 2026",$122.24,$0.00,,,Fixed price,https://www.ebay.com/itm/267556431406
,,"Oct 21, 2025",$59.99,$0.00,,,Fixed price,
2001 W American Silver Eagle 1 Oz Proof Coin W Box & COA,286995134342,"Jan 28, 2026",$120.30,$4.63,,,Fixed price,https://www.ebay.com/itm/286995134342
,,"Oct 17, 2025",$65.93,$5.23,,,Fixed price,
2001 BU American Silver Eagle Dollar Uncirculated ASE US Mint Bullion Coin,323762513083,"Jan 20, 2026",$67.74,$5.08,,,Fixed price,https://www.ebay.com/itm/323762513083
,,"Jan 6, 2026",$263.44,$0.00,,,Fixed price,
2001-W American Silver Eagle Dollar PR70DCAM PCGS Proof 70 Deep Cameo,365704841464,"Dec 2, 2025",$139.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365704841464
,,"Oct 11, 2025",$55.00,$0.00,,,Fixed price,
2001 1 oz American Silver Eagle BU,121836309614,"Jan 9, 2026",$77.70,$0.00,,,Fixed price,https://www.ebay.com/itm/121836309614
2001 American Silver Eagle BU NGC Brown Label,127069403476,"Dec 16, 2025",$68.09,$0.00,,,Fixed price,https://www.ebay.com/itm/127069403476
2001 $1 1-oz American Silver Eagle NGC MS70 Brown Label,135267198345,"Apr 3, 2026",$829.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135267198345
2001 American Silver Eagle PCGS MS 69 First Strike Silver Dollar ASE,136878365190,"Jan 11, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/136878365190
2001 $1 1-oz American Silver Eagle BU,145879153960,"Mar 8, 2026",$99.45,$0.00,,,Fixed price,https://www.ebay.com/itm/145879153960
2001 American Silver Eagle WTC Ground Zero Recovered NCM Numistrust 1 oz .999,146693939647,"Mar 15, 2026",$115.66,$0.00,,,Fixed price,https://www.ebay.com/itm/146693939647
"1999 P Proof $1 American Silver Eagle Box, OGP & COA",157768376061,"Mar 19, 2026",$75.00,$5.54,,,Fixed price,https://www.ebay.com/itm/157768376061
,,"Dec 19, 2025",$79.99,$0.00,,,Fixed price,
"2001-W Proof $1 American Silver Eagle Box, OGP & COA",206159695054,"Apr 1, 2026",$96.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206159695054
,,"Dec 21, 2025",$70.12,$0.00,,,Fixed price,
,,"Jan 3, 2026",$70.00,$0.00,,,Fixed price,
2001 Proof American Silver Eagle – 1 oz Silver Coin in OGP,306360138346,"Feb 22, 2026",$116.39,$0.00,,,Fixed price,https://www.ebay.com/itm/306360138346
Tube of 20 - 2001 American Silver Eagle Coin - NGC Gem Uncirculated,306462786473,"Oct 17, 2025","$1,254.73",$0.00,,,Fixed price,https://www.ebay.com/itm/306462786473
,,"Dec 13, 2025",$224.95,$0.00,,,Fixed price,
2001 W American Silver Eagle Choice Proof Bullion $1 Coin OGP COA,365978731757,"Apr 2, 2026",$118.32,$0.00,,,Fixed price,https://www.ebay.com/itm/365978731757
2001 American Silver Eagle Coin - NGC MS69,405886352496,"Apr 9, 2026",$101.64,$0.00,,,Fixed price,https://www.ebay.com/itm/405886352496
2001-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145620049479,"Apr 8, 2026",$98.16,$0.00,,,Fixed price,https://www.ebay.com/itm/145620049479
2001 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion,141112770019,"Dec 27, 2025",$68.66,$0.00,,,Fixed price,https://www.ebay.com/itm/141112770019
2001-W American Proof Silver Eagle Mint Issued COA (NO Coin),276494980727,"Feb 18, 2026",$4.51,$6.76,,,Fixed price,https://www.ebay.com/itm/276494980727
2001-W American Proof Silver Eagle-Mint Issued Presentation Box & COA (NO Coin),325342008918,"Feb 14, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/325342008918
CAPS Album American Silver Eagles Page 1 1986-2001 for Air-Tite Capsules 2225-1,123639667689,"Feb 1, 2026",$6.99,$4.98,,,Fixed price,https://www.ebay.com/itm/123639667689
,,"Jan 11, 2026",$99.99,$0.00,,,Fixed price,
,,"Oct 17, 2025",$65.07,$5.23,,,Fixed price,
2001-W $1 American Proof Silver Eagle in Original Government Packaging,387054929746,"Feb 9, 2026",$131.25,$0.00,,,Fixed price,https://www.ebay.com/itm/387054929746
,,"Nov 14, 2025",$3.46,$2.99,,,Fixed price,
2001 American Silver Eagle Coin - NGC MS69,405886352496,"Apr 11, 2026",$101.47,$0.00,,,Fixed price,https://www.ebay.com/itm/405886352496,23
2001-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145620049479,"Apr 8, 2026",$99.13,$0.00,,,Fixed price,https://www.ebay.com/itm/145620049479,17
2001 Unc American Silver Eagle 1 Troy Oz .999 Fine Silver,362754213509,"Jan 25, 2026",$84.95,$0.00,,,Fixed price,https://www.ebay.com/itm/362754213509,5
2001 PCGS GEM WTC Ground Zero Recovery American $1 Silver Eagle 1 Oz. 9-11-2001,397486306265,"Jan 18, 2026",$202.80,$0.00,,,Fixed price,https://www.ebay.com/itm/397486306265,5
2001 PCGS GEM WTC Ground Zero Recovery American $1 Silver Eagle 1 Oz. 9-11-2001,397604036659,"Feb 23, 2026",$232.40,$4.20,,,Fixed price,https://www.ebay.com/itm/397604036659,3
2001 ASE AMERICAN SILVER EAGLE Proof Dollar Box & COA NO Coin,115643825531,"Feb 27, 2026",$5.95,$5.30,,,Fixed price,https://www.ebay.com/itm/115643825531,2
2001 1 oz American Silver Eagle BU,121836309614,"Jan 9, 2026",$84.45,$0.00,,,Fixed price,https://www.ebay.com/itm/121836309614,2
2001 American Silver Eagle Mint State 9.9 NGC X NGCX,126624262475,"Dec 29, 2025",$87.48,$0.00,,,Fixed price,https://www.ebay.com/itm/126624262475,2
2001-W American Silver Eagle PR69 DCAM PCGS Blue Label,127406884194,"Jan 2, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127406884194,4
2001-W American Eagle One Ounce Silver Proof Coin ~ U.S Mint ~ 📈 🔥🔥,144797314183,"Jan 24, 2026",$109.99,$5.95,,,Fixed price,https://www.ebay.com/itm/144797314183,2
2001-W Proof Silver Eagle NGC PF 69 Ultra Cameo US Mint $1,146957334905,"Dec 14, 2025",$79.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146957334905,2
2002 Silver Eagle Early Production ASE Struck in 2001 NGC MS69 Slab 1 Ounce,147062345266,"Jan 18, 2026",$150.00,$4.97,,,Fixed price,https://www.ebay.com/itm/147062345266,2
,,"Jan 6, 2026",$75.00,$7.83,,,Fixed price,,2
"2001-W Proof $1 American Silver Eagle Box, OGP & COA",157768371229,"Mar 19, 2026",$75.00,$5.62,,,Fixed price,https://www.ebay.com/itm/157768371229,2
"2002 W Proof $1 American Silver Eagle Box, OGP & COA.",157769431585,"Mar 19, 2026",$75.00,$5.62,,,Fixed price,https://www.ebay.com/itm/157769431585,2
"2000 P Proof $1 American Silver Eagle Box, OGP & COA.",157769435066,"Mar 19, 2026",$75.00,$5.46,,,Fixed price,https://www.ebay.com/itm/157769435066,2
Motorcycle Rider Bell Guardian Bald Eagle USA Biker Hanger Key Ring Stainless,168230613604,"Apr 2, 2026",$15.87,$0.00,,,Fixed price,https://www.ebay.com/itm/168230613604,2
2001-W $1 Proof American Silver Eagle in Box w/ COA-Free Shipping,198054907846,"Jan 25, 2026",$116.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198054907846,29
2001-W American Eagle Silver Proof 1 oz. Bullion Coin with Box & COA,206020364429,"Jan 23, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206020364429,2
2001 AMERICAN SILVER EAGLE NGC MS69 '20TH ANNIVERSARY COLL' BLACK LABEL,206022879048,"Jan 27, 2026",$120.50,$5.45,,,Fixed price,https://www.ebay.com/itm/206022879048,2
2001-W Silver Eagle ANACS PR70 DCAM,225900988441,"Mar 26, 2026",$185.00,$0.00,,,Fixed price,https://www.ebay.com/itm/225900988441,2
2001-W Silver Eagle Dollar PCGS PR70 DCAM Mercanti Signed $1,227267557059,"Mar 29, 2026",$152.50,$5.35,,,Fixed price,https://www.ebay.com/itm/227267557059,2
2001 $1 Silver Eagle Rare ICG MS69+ Austin Hutto Signed Initial Production,236084555323,"Feb 3, 2026",$119.00,$4.21,,,Fixed price,https://www.ebay.com/itm/236084555323,2
,,"Dec 11, 2025",$55.99,$10.07,,,Fixed price,,5
,,"Jan 10, 2026",$77.50,$5.00,,,Fixed price,,2
2001-W $1 American Proof Silver Eagle in Original Government Packaging with COA,257365204982,"Feb 18, 2026",$109.00,$5.65,,,Fixed price,https://www.ebay.com/itm/257365204982,2
,,"Oct 20, 2025",$290.00,$0.00,,,Fixed price,,21
2001-W Proof $1 American Silver Eagle Box w/ COA,287061342884,"Jan 22, 2026",$102.48,$4.50,,,Fixed price,https://www.ebay.com/itm/287061342884,2
2001 AMERICAN SILVER EAGLE 1 Oz .999 Fine Silver! Comes withPlastic holder!,298006657188,"Feb 8, 2026",$89.95,$4.95,,,Fixed price,https://www.ebay.com/itm/298006657188,2
,,"Nov 30, 2025",$55.50,$5.15,,,Fixed price,,2
,,"Dec 2, 2025",$56.99,$5.15,,,Fixed price,,4
Roll of 20 - 2001 $1 American Silver Eagle 1 oz BU,315532365833,"Feb 15, 2026","$1,596.22",$0.00,,,Fixed price,https://www.ebay.com/itm/315532365833,2
Lot of 10 - 2001 $1 American Silver Eagle 1 oz BU,315532365859,"Mar 13, 2026","$1,038.75",$0.00,,,Fixed price,https://www.ebay.com/itm/315532365859,2
2001-W American Silver Eagle PROOF 1 Oz Silver - Coin & Box & COA,326929226469,"Jan 24, 2026",$118.75,$0.00,,,Fixed price,https://www.ebay.com/itm/326929226469,3
"2001 $1 American Eagle COLORIZED Both sides 1 ozt. .999 fine SILVER, FULL COLOR",331825524636,"Jan 27, 2026",$122.45,$6.99,,,Fixed price,https://www.ebay.com/itm/331825524636,2
2001 Proof $1 American Silver Eagle Box & COA | No Coin,336379098834,"Feb 13, 2026",$4.38,$5.35,,,Fixed price,https://www.ebay.com/itm/336379098834,2
2001-P PCGS PR70 Proof Buffalo Commemorative Silver $1 One Dollar Coin,336386826519,"Jan 20, 2026",$278.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336386826519,5
,,"Nov 9, 2025",$72.00,$0.00,,,Fixed price,,4
,,"Nov 27, 2025",$69.00,$8.68,,,Fixed price,,2
2001 1 oz. American Silver Eagle American Heroes / America Unites Silver Dollar,358157621215,"Jan 28, 2026",$110.00,$8.00,,,Fixed price,https://www.ebay.com/itm/358157621215,2
2001 W 1oz US American Silver Eagle $1 Dollar Proof Bullion Original Box & COA,358206742709,"Feb 10, 2026",$99.50,$0.00,,,Fixed price,https://www.ebay.com/itm/358206742709,2
,,"Dec 21, 2025",$79.99,$0.00,,,Fixed price,,2
Roll of 20 - 2001 $1 1-oz American Silver Eagle BU,387178247557,"Feb 8, 2026","$1,593.69",$0.00,,,Fixed price,https://www.ebay.com/itm/387178247557,2
2001 US Mint American Silver Eagle Fine .999 Bullion Coin UNC ~ Free Shipping,395417585354,"Jan 14, 2026",$79.99,$0.00,,,Fixed price,https://www.ebay.com/itm/395417585354,4
,,"Nov 20, 2025",$59.50,$4.73,,,Fixed price,,2
,,"Dec 3, 2025",$62.99,$0.00,,,Fixed price,,2
2001 Silver American Eagle Dollar BU (100% Silver Dollar),406611904242,"Jan 20, 2026",$94.05,$5.07,,,Fixed price,https://www.ebay.com/itm/406611904242,2
2001 American Silver Eagle Proof with Box and COA,406645191961,"Jan 27, 2026",$128.00,$0.00,,,Fixed price,https://www.ebay.com/itm/406645191961,2
,,"Dec 30, 2025",$85.00,$5.50,,,Fixed price,,1
2001 W American Silver Eagle PCGS PR69 DCAM - Old PCGS Blue Label,115207696221,"Jan 13, 2026",$94.99,$0.00,,,Fixed price,https://www.ebay.com/itm/115207696221,1
,,"Dec 27, 2025",$70.00,$7.58,,,Fixed price,,1
,,"Jan 10, 2026",$95.00,$0.00,,,Fixed price,,1
2001 American Eagle 24k Gold Plated 99.9% Silver U.S. Dollar Coin 1 Troy Ounce,116475973633,"Jan 25, 2026",$100.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116475973633,1
US Mint 2001-W Proof American Silver Eagle Dollar $1 Box & COA,116492560929,"Jan 25, 2026",$125.00,$5.77,,,Fixed price,https://www.ebay.com/itm/116492560929,1
