Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"2013 $1 American Silver Eagle Uncirculated, Better Back Date Fast 🚢",236552545637,"Mar 1, 2026",$106.30,$4.21,,,Fixed price,https://www.ebay.com/itm/236552545637,3
,,"Dec 22, 2025",$69.28,$0.00,,,Fixed price,,3
2013 $1 American Silver Eagle 1 oz B/U - Perfect from Mint Tube,257193267489,"Dec 14, 2025",$63.32,$4.99,,,Fixed price,https://www.ebay.com/itm/257193267489,3
2013 $1 American SILVER EAGLE - MS70 PCGS - First Strike - San Francisco Mint,257323091625,"Mar 15, 2026",$123.70,$5.45,,,Fixed price,https://www.ebay.com/itm/257323091625,4
2013 Eagle $1 First Releases NGC MS69 Blue Label,267556144430,"Jan 25, 2026",$113.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267556144430,3
2013 1 oz American Silver Eagle Coin .999 Silver.,267560087869,"Jan 28, 2026",$112.00,$6.59,,,Fixed price,https://www.ebay.com/itm/267560087869,19
Bullion Plus Evolved - Series 1 - Dual Coin Slab - 2013 ASE MS70 1oz + 1/10th Ag,286916129891,"Feb 12, 2026",$176.67,$0.00,,,Fixed price,https://www.ebay.com/itm/286916129891,3
,,"Dec 29, 2025",$70.90,$6.43,,,Fixed price,,20
,,"Jan 13, 2026",$90.00,$7.50,,,Fixed price,,8
2013-W $1 American Silver Eagle West Point Mint Set Reverse PR69 PCGS,295113053943,"Jan 30, 2026",$155.75,$0.00,,,Fixed price,https://www.ebay.com/itm/295113053943,4
2013-W Silver American Eagle 1 Oz Proof Coin w/ box and COA,295540243343,"Jan 14, 2026",$98.82,$0.00,,,Fixed price,https://www.ebay.com/itm/295540243343,3
2013 1 oz American Silver Eagle BU 1 coin,298006966695,"Feb 10, 2026",$95.50,$0.00,,,Fixed price,https://www.ebay.com/itm/298006966695,5
2013 (S) American Silver Eagle NGC MS70 | First Releases San Francisco,304060979578,"Dec 10, 2025",$75.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304060979578,3
,,"Nov 14, 2025",$52.05,$5.10,,,Fixed price,,4
,,"Nov 26, 2025",$53.69,$5.15,,,Fixed price,,7
,,"Nov 30, 2025",$54.79,$5.15,,,Fixed price,,5
,,"Jan 13, 2026",$295.00,$12.00,,,Fixed price,,3
2013-W American Proof Silver Eagle-Mint Issued Presentation Box & COA (NO Coin),325343196379,"Mar 17, 2026",$9.96,$3.75,,,Fixed price,https://www.ebay.com/itm/325343196379,3
2013 American Eagle West Point Two Coin Silver Set,326392867880,"Apr 9, 2026",$243.67,$7.00,,,Fixed price,https://www.ebay.com/itm/326392867880,3
,,"Dec 9, 2025",$178.00,$5.19,,,Fixed price,,3
,,"Dec 28, 2025",$86.99,$0.00,,,Fixed price,,24
Silver Coin 1 Troy Oz 999 Fine Bullion 2013 American Eagle Walking Liberty,327024966914,"Mar 26, 2026",$70.20,$0.00,,,Fixed price,https://www.ebay.com/itm/327024966914,5
2013 BU American Silver Eagle One Dollar Uncirculated ASE US Mint Bullion Coin,333138167268,"Jan 26, 2026",$74.83,$8.12,,,Fixed price,https://www.ebay.com/itm/333138167268,3
,,"Dec 2, 2025",$75.95,$0.00,,,Fixed price,,3
2013 SILVER EAGLE PCGS MS70,336069935862,"Mar 22, 2026",$94.62,$4.84,,,Fixed price,https://www.ebay.com/itm/336069935862,3
No Coin 2013 W $1 Proof Silver American Eagle Box & Coa No Capsule 1 Oz,353761463489,"Feb 25, 2026",$7.99,$0.00,,,Fixed price,https://www.ebay.com/itm/353761463489,3
,,"Oct 25, 2025",$43.32,$10.18,,,Fixed price,,10
,,"Dec 5, 2025",$61.12,$0.00,,,Fixed price,,5
,,"Nov 6, 2025",$48.42,$10.73,,,Fixed price,,20
2013-W SP70 ENHANCED Finish American Silver Eagle West Point NGC Brown Lbl,365397554395,"Mar 15, 2026",$165.82,$0.00,,,Fixed price,https://www.ebay.com/itm/365397554395,3
,,"Nov 28, 2025",$56.60,$4.52,,,Fixed price,,5
2013 American Silver Eagle 1 Troy Oz .999 Fine Silver,366221355141,"Feb 28, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366221355141,10
Dansco Album 8182 PAGE 3 ONLY 2013-15 American Silver Eagles ASE$ w/ PROOFS Book,374193163712,"Mar 16, 2026",$12.10,$5.67,,,Fixed price,https://www.ebay.com/itm/374193163712,3
,,"Dec 8, 2025",$58.01,$3.99,,,Fixed price,,3
2013-W $1 American Proof Silver Eagle in Original Government Packaging,387054931429,"Jan 16, 2026",$113.00,$0.00,,,Fixed price,https://www.ebay.com/itm/387054931429,13
2013-W American Silver Eagle Dollar West Point Mint Set Reverse PR70 PCGS,387503420359,"Apr 11, 2026",$194.25,$0.00,,,Fixed price,https://www.ebay.com/itm/387503420359,3
2013 American Silver Eagle/Goddess Of Liberty 1 Oz .999 Fine Silver Round,397542864979,"Jan 27, 2026",$113.20,$0.00,,,Fixed price,https://www.ebay.com/itm/397542864979,10
,,"Dec 1, 2025",$58.00,$11.88,,,Fixed price,,9
,,"Nov 21, 2025",$67.67,$5.19,,,Fixed price,,3
2013 American Silver Eagle Coin - NGC MS69,405886352536,"Apr 12, 2026",$101.57,$0.00,,,Fixed price,https://www.ebay.com/itm/405886352536,3
,,"Jan 13, 2026",$90.25,$0.00,,,Fixed price,,3
2013 1 oz American Silver Eagle (MintDirect® Single),115144944261,"Nov 17, 2025",$65.48,$0.00,,,Fixed price,https://www.ebay.com/itm/115144944261,2
"2013-W American Silver Eagle 2 Coin Set COA (No Coins or Box, One COA Only)",116739372007,"Apr 11, 2026",$4.97,$2.99,,,Fixed price,https://www.ebay.com/itm/116739372007,2
