Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1998 American Silver Eagle $1 bullion coin 1 troy oz of .999 silver graded MS-69,117056017636,"Mar 24, 2026",$101.50,$5.45,,,Fixed price,https://www.ebay.com/itm/117056017636,1
MS69 1998 American Silver Eagle PCGS Purple/Blue Peripheral Toning *1661,127122295343,"Mar 17, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127122295343,1
1998 US Liberty One Troy Pound 1lb .999 Silver Proof Eagle Coin. 021210,157684619924,"Mar 15, 2026","$1,449.95",$15.65,,,Fixed price,https://www.ebay.com/itm/157684619924
1998 ASE AMERICAN SILVER EAGLE Proof Dollar Box & COA NO Coin,115743165736,"Mar 15, 2026",$5.95,$5.50,,,Fixed price,https://www.ebay.com/itm/115743165736,1
1998-P American Silver Eagle 1 Oz PF70 UCAM NGC Brown Label,133827420627,"Mar 14, 2026",$230.33,$0.00,,,Fixed price,https://www.ebay.com/itm/133827420627
1998-P NGC Graded PF69 Ultra Cameo One Dollar Silver Eagle,117078970533,"Mar 14, 2026",$102.50,$14.95,,,Auction,https://www.ebay.com/itm/117078970533,1
1998 WALKING LIBERTY AMERICAN EAGLE .999 FINE SILVER DOLLAR COIN 1oz. $1 USA BU,127723602432,"Mar 13, 2026",$82.00,$8.15,,,Auction,https://www.ebay.com/itm/127723602432,1
1998-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,146633204822,"Mar 12, 2026",$109.77,$0.00,,,Fixed price,https://www.ebay.com/itm/146633204822
1998-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,146633204822,"Mar 12, 2026",$111.03,$0.00,,,Fixed price,https://www.ebay.com/itm/146633204822
1998-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,146633204822,"Mar 12, 2026",$112.44,$0.00,,,Fixed price,https://www.ebay.com/itm/146633204822,21
1998 SILVER EAGLE NGC MS 69 ~~ BROWN LABEL ~~ NO SPOTS ~~ PRISTINE (X),198165034079,"Mar 9, 2026",$94.95,$3.48,,,Fixed price,https://www.ebay.com/itm/198165034079,2
1998-P American Proof Silver Eagle Mint Issued COA (NO Coin),276494976988,"Mar 8, 2026",$6.24,$6.76,,,Fixed price,https://www.ebay.com/itm/276494976988
1998 $1 American Silver Eagle NGC MS70 Brown Label,177001072411,"Mar 3, 2026",$829.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177001072411,2
"Better Date 1998 American Silver Eagle 1 Troy Oz .999 Fine Silver, Low Mintage",236632402135,"Mar 1, 2026",$113.95,$4.71,,,Fixed price,https://www.ebay.com/itm/236632402135,2
American Eagle Walking Liberty 1998- 1oz .999 Fine Silver Hologram Dollar,117045850918,"Mar 1, 2026",$132.50,$7.95,,,Auction,https://www.ebay.com/itm/117045850918,1
"Lot of 2 - $1 American Silver Eagle 1 oz BU 1998, 1995",117052084854,"Mar 1, 2026",$178.00,$10.15,,,Auction,https://www.ebay.com/itm/117052084854,1
1998 Proof $1 American Silver Eagle Box & COA | No Coin,274722510826,"Feb 27, 2026",$5.55,$3.98,,,Fixed price,https://www.ebay.com/itm/274722510826,3
Toned 1998 Silver ASE American Silver Eagle Rev Dark Toning,117051896865,"Feb 27, 2026",$98.00,$5.99,,,Auction,https://www.ebay.com/itm/117051896865,1
1998-P Proof American Silver Eagle One Dollar Coin NGC PF70 Ultra Cameo,357182740061,"Feb 26, 2026",$236.67,$0.00,,,Fixed price,https://www.ebay.com/itm/357182740061
1998-P American Silver Eagle PROOF 1 Oz Silver - Coin & Box & COA,365708846329,"Feb 25, 2026",$104.97,$0.00,,,Fixed price,https://www.ebay.com/itm/365708846329
1998-P American Silver Eagle PROOF 1 Oz Silver - Coin & Box & COA,365708846329,"Feb 25, 2026",$114.98,$0.00,,,Fixed price,https://www.ebay.com/itm/365708846329,2
U.S. Mint American Eagle 1998 & 1989 Proof Silver 2 oz Coins .999 Fine,117044817070,"Feb 23, 2026",$220.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117044817070,1
1997 1 oz American Silver Eagle BU,141844825742,"Feb 21, 2026",$146.04,$0.00,,,Fixed price,https://www.ebay.com/itm/141844825742,2
