Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 317427127702,317427127702,"Oct 20, 2025",$26.88,$0.00,,,Fixed price,
,,"Nov 9, 2025",$21.83,$0.00,,,Fixed price,
GSA Black Box & COA for 1884-CC Morgan Silver Dollar - Empty No Carson City Coin,116804650563,"Jan 9, 2026",$17.86,$0.00,,,Fixed price,https://www.ebay.com/itm/116804650563
GSA Black Box & COA for 1884-CC Morgan Silver Dollar - Empty No Carson City Coin,117022755328,"Apr 1, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/117022755328
,,"Nov 13, 2025",$18.18,$0.00,,,Fixed price,
XF 1884 (P) Morgan Silver Dollar (1 coin),127406857070,"Jan 2, 2026",$50.29,$0.00,,,Fixed price,https://www.ebay.com/itm/127406857070
1884 O Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365409287207,"Apr 6, 2026",$114.71,$0.00,,,Fixed price,https://www.ebay.com/itm/365409287207
,,"Jan 27, 2026",$65.49,$0.00,,,Fixed price,
CC MORGAN DOLLAR GEM BU UNCIRCULATED COINS FROM ORIGINAL ROLL OBW,365072454752,"Mar 26, 2026",$506.31,$69.82,,,Fixed price,https://www.ebay.com/itm/365072454752
,,"Nov 8, 2025",$21.15,$0.00,,,Fixed price,
[Removed] Item 357957730712,357957730712,"Jan 13, 2026",$54.70,$0.00,,,Fixed price,
[Removed] Item 157390257826,157390257826,"Nov 3, 2025",$20.57,$0.00,,,Fixed price,
,,"Nov 16, 2025",$34.01,$0.00,,,Fixed price,
[Removed] Item 236677886309,236677886309,"Mar 19, 2026",$59.99,$0.00,,,Fixed price,
1884 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),362912246176,"Apr 7, 2026",$9.69,$0.00,,,Fixed price,https://www.ebay.com/itm/362912246176
,,"Nov 23, 2025",$22.69,$0.00,,,Fixed price,
[Removed] Item 389252549241,389252549241,"Dec 2, 2025",$65.00,$4.99,,,Fixed price,
[Removed] Item 297769752968,297769752968,"Dec 4, 2025",$19.87,$0.00,,,Fixed price,
,,"Dec 26, 2025",$85.45,$0.00,,,Fixed price,
GSA Black Box & COA for 1884-CC Morgan Silver Dollar - Empty No Carson City Coin,116984158858,"Feb 6, 2026",$17.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116984158858
1884 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305430592437,"Mar 31, 2026",$102.22,$0.00,,,Fixed price,https://www.ebay.com/itm/305430592437
,,"Feb 4, 2026",$99.50,$0.00,,,Fixed price,
,,"Nov 13, 2025",$21.60,$0.00,,,Fixed price,
* 1884-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154340385130,"Apr 6, 2026",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/154340385130
[Removed] Item 336411587249,336411587249,"Feb 16, 2026",$98.79,$0.00,,,Fixed price,
AU+ 1884-O Morgan Silver Dollar (1 coin),135875447421,"Jan 4, 2026",$55.48,$0.00,,,Fixed price,https://www.ebay.com/itm/135875447421
* 1884-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,155574164413,"Mar 31, 2026",$496.49,$0.00,,,Fixed price,https://www.ebay.com/itm/155574164413
1884 Morgan Dollar $1 Silver Coin,297979273237,"Mar 11, 2026",$14.69,$0.00,,,Fixed price,https://www.ebay.com/itm/297979273237
1884 CC Carson City GSA Morgan Silver Dollar with Box/COA Uncirculated,124080521487,"Jan 21, 2026",$339.80,$0.00,,,Fixed price,https://www.ebay.com/itm/124080521487
[Removed] Item 389163057263,389163057263,"Nov 15, 2025",$34.50,$0.00,,,Fixed price,
VG/F 1884-S Morgan Silver Dollar (1 coin),127039413965,"Dec 31, 2025",$48.83,$0.00,,,Fixed price,https://www.ebay.com/itm/127039413965
,,"Oct 31, 2025",$18.56,$0.00,,,Fixed price,
,,"Nov 12, 2025",$34.18,$0.00,,,Fixed price,
[Removed] Item 286925677339,286925677339,"Nov 22, 2025",$18.99,$0.00,,,Fixed price,
,,"Nov 11, 2025",$19.21,$0.00,,,Fixed price,
[Removed] Item 317736231432,317736231432,"Jan 8, 2026",$48.96,$0.00,,,Fixed price,
VG+ 1884-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1682,116953995063,"Mar 15, 2026",$88.33,$4.81,,,Fixed price,https://www.ebay.com/itm/116953995063
BU/Unc 1884-O Morgan Silver Dollar (1 coin),123851672489,"Jan 25, 2026",$84.80,$0.00,,,Fixed price,https://www.ebay.com/itm/123851672489
XF 1884-O Morgan Silver Dollar (1 coin),365631495825,"Jan 12, 2026",$60.37,$0.00,,,Fixed price,https://www.ebay.com/itm/365631495825
AU+ 1884 (P) Morgan Silver Dollar (1 coin),135875446358,"Dec 29, 2025",$61.86,$0.00,,,Fixed price,https://www.ebay.com/itm/135875446358
"1884 O Morgan Silver Dollar PCGS MS64, flawless mirror like finish, MS70 look",168197494676,"Apr 6, 2026",$101.73,$8.00,,,Fixed price,https://www.ebay.com/itm/168197494676
1884-O $1 Morgan Silver Dollar PCGS MS 62 | Uncirculated UNC,304767825714,"Dec 26, 2025",$71.31,$0.00,,,Fixed price,https://www.ebay.com/itm/304767825714
,,"Nov 26, 2025",$22.56,$0.00,,,Fixed price,
1884-O $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,147126548140,"Feb 22, 2026",$108.59,$0.00,,,Fixed price,https://www.ebay.com/itm/147126548140
,,"Mar 15, 2026",$27.93,$0.00,,,Fixed price,
1884 O Morgan Dollar Uncirculated Silver $1 Coin SKU:CPC1125,365981486706,"Jan 29, 2026",$84.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365981486706
[Removed] Item 397259127278,397259127278,"Nov 29, 2025",$38.54,$0.00,,,Fixed price,
[Removed] Item 406424377718,406424377718,"Dec 5, 2025",$18.66,$0.00,,,Fixed price,
,,"Jan 9, 2026",$17.88,$0.00,,,Fixed price,,56
,,"Nov 9, 2025",$21.56,$0.00,,,Fixed price,,89
1884 O Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365409287207,"Apr 6, 2026",$115.28,$0.00,,,Fixed price,https://www.ebay.com/itm/365409287207,57
CC MORGAN DOLLAR GEM BU UNCIRCULATED COINS FROM ORIGINAL ROLL OBW,365072454752,"Apr 10, 2026",$508.42,$69.82,,,Fixed price,https://www.ebay.com/itm/365072454752,48
1884 Carson City Morgan Silver Dollar -Gorgeous Coin,336522229508,"Apr 13, 2026",$69.65,$0.00,,,Fixed price,https://www.ebay.com/itm/336522229508,34
1884 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),362912246176,"Apr 11, 2026",$9.75,$0.00,,,Fixed price,https://www.ebay.com/itm/362912246176,46
1884 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305430592437,"Apr 9, 2026",$105.39,$0.00,,,Fixed price,https://www.ebay.com/itm/305430592437,19
* 1884-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,155574164413,"Apr 10, 2026",$495.87,$0.00,,,Fixed price,https://www.ebay.com/itm/155574164413,21
* 1884-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154340385130,"Apr 6, 2026",$140.40,$0.00,,,Fixed price,https://www.ebay.com/itm/154340385130,22
1884-CC Morgan Dollar GSA Hoard Black Box & COA | No Coin,277712008491,"Apr 9, 2026",$13.23,$6.08,,,Fixed price,https://www.ebay.com/itm/277712008491,18
1884-O Morgan Silver $1 Dollar PCGS MS 64,336477381221,"Apr 13, 2026",$97.33,$0.00,,,Fixed price,https://www.ebay.com/itm/336477381221,27
1884CC GSA BOX AND CARD FOR A MORGAN SILVER DOLLAR COIN 1884 CC BOX & CARD ONLY,351968149211,"Apr 12, 2026",$29.99,$12.32,,,Fixed price,https://www.ebay.com/itm/351968149211,8
1884-O $1 Morgan Silver Dollar NGC MS 62 | Binion Collection Uncirculated UNC,306315669236,"Jan 26, 2026",$102.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306315669236,7
[Removed] Item 127454896986,127454896986,"Nov 26, 2025",$20.83,$0.00,,,Fixed price,,6
[Removed] Item 389234561747,389234561747,"Nov 22, 2025",$23.41,$0.00,,,Fixed price,,6
1884-O Morgan Silver Dollar US $1 Coin 90% Silver Key Date Cleaned Nice Luster,389728141191,"Apr 12, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389728141191,7
[Removed] Item 397342095859,397342095859,"Dec 5, 2025",$38.13,$0.00,,,Fixed price,,6
1884 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404939077702,"Mar 19, 2026",$99.50,$0.00,,,Fixed price,https://www.ebay.com/itm/404939077702,8
,,"Oct 23, 2025",$19.97,$0.00,,,Fixed price,,10
XF 1884-S Morgan Silver Dollar (1 coin),127431021812,"Mar 10, 2026",$118.98,$0.00,,,Fixed price,https://www.ebay.com/itm/127431021812,5
"Morgan Silver dollars 1882 p, 1884 p, 1890 p 1896 p - Grade Fine to Very Fine",127697751526,"Mar 18, 2026",$70.86,$5.99,,,Fixed price,https://www.ebay.com/itm/127697751526,5
,,"Nov 9, 2025",$30.59,$5.00,,,Fixed price,,5
[Removed] Item 297914625404,297914625404,"Jan 22, 2026",$23.50,$0.00,,,Fixed price,,14
Morgan Silver Dollar Facsimile Coin Metal Collectible 1884 Antique Finish,298070980187,"Feb 27, 2026",$22.36,$0.00,,,Fixed price,https://www.ebay.com/itm/298070980187,5
1884-O $1 Morgan Silver Dollar NGC MS 63 | Uncirculated UNC,305182842528,"Jan 16, 2026",$86.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305182842528,5
[Removed] Item 317492769042,317492769042,"Nov 3, 2025",$27.66,$0.00,,,Fixed price,,5
[Removed] Item 357716685227,357716685227,"Oct 19, 2025",$18.81,$0.00,,,Fixed price,,16
,,"Nov 10, 2025",$20.00,$0.00,,,Fixed price,,6
[Removed] Item 357814464953,357814464953,"Nov 11, 2025",$21.88,$2.99,,,Fixed price,,5
1884-P Morgan Silver Dollar PCGS MS64 Great Eye Appeal Strong Strike STOCK,376119447998,"Mar 14, 2026",$144.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376119447998,5
"Morgan Silver Dollar United States Coins ""Red Book"" 2026 (Spiral) Large Print!",376144466592,"Feb 11, 2026",$28.45,$14.03,,,Fixed price,https://www.ebay.com/itm/376144466592,5
,,"Nov 17, 2025",$88.33,$0.00,,,Fixed price,,6
1884-O Morgan Silver Dollar MS63 NGC Brown Label,127406864374,"Feb 5, 2026",$104.73,$16.49,,,Fixed price,https://www.ebay.com/itm/127406864374,6
1884-O Morgan Silver Dollar $1 PCGS MS62 - Bright Fresh & Lustrous - New Holder!,135639544945,"Jan 17, 2026",$84.06,$0.00,,,Fixed price,https://www.ebay.com/itm/135639544945,4
* 1884-CC DMPL * SOLID+ GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG,154335583058,"Apr 10, 2026",$685.98,$0.00,,,Fixed price,https://www.ebay.com/itm/154335583058,4
,,"Nov 18, 2025",$35.46,$0.00,,,Fixed price,,4
"1884-CC $1 Morgan Silver Dollar GSA Uncirculated, Box & COA",175587077250,"Feb 28, 2026",$374.66,$0.00,,,Fixed price,https://www.ebay.com/itm/175587077250,4
1884 $1 Morgan Silver Dollar PCGS MS63 Blue Label,177680624750,"Jan 11, 2026",$86.01,$0.00,,,Fixed price,https://www.ebay.com/itm/177680624750,5
,,"Mar 15, 2026",$25.69,$0.00,,,Fixed price,,4
1884 P Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,197914278110,"Mar 11, 2026",$152.36,$0.00,,,Fixed price,https://www.ebay.com/itm/197914278110,4
