Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 317951515794,317951515794,"Apr 3, 2026",$59.38,$0.00,,,Fixed price,
[Removed] Item 236501047169,236501047169,"Jan 29, 2026",$65.08,$0.00,,,Fixed price,
XF-1888 O Morgan Silver Dollar (1 Coin),136818002197,"Apr 7, 2026",$57.99,$0.00,,,Fixed price,https://www.ebay.com/itm/136818002197
,,"Nov 18, 2025",$33.30,$0.00,,,Fixed price,
[Removed] Item 317749803803,317749803803,"Feb 12, 2026",$198.11,$0.00,,,Fixed price,
[Removed] Item 365966660327,365966660327,"Nov 14, 2025",$35.00,$0.00,,,Fixed price,
,,"Jan 26, 2026",$65.73,$0.00,,,Fixed price,
1888 Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin Collectible,365242104271,"Mar 30, 2026",$107.65,$0.00,,,Fixed price,https://www.ebay.com/itm/365242104271
XF 1888 (P) Morgan Silver Dollar (1 coin),365896075738,"Feb 13, 2026",$51.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075738
AU+ 1888 (P) Morgan Silver Dollar (1 coin),135875452774,"Jan 2, 2026",$53.66,$4.87,,,Fixed price,https://www.ebay.com/itm/135875452774
[Removed] Item 406648308614,406648308614,"Jan 30, 2026",$71.24,$0.00,,,Fixed price,
,,"Oct 14, 2025",$23.41,$0.00,,,Fixed price,
1888 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404942780135,"Feb 22, 2026",$92.99,$0.00,,,Fixed price,https://www.ebay.com/itm/404942780135
[Removed] Item 136838898422,136838898422,"Jan 26, 2026",$69.72,$0.00,,,Fixed price,
,,"Nov 2, 2025",$32.88,$0.00,,,Fixed price,
VF 1888 (P) Morgan Silver Dollar (1 coin),365631495032,"Feb 25, 2026",$55.78,$0.00,,,Fixed price,https://www.ebay.com/itm/365631495032
,,"Nov 16, 2025",$26.68,$0.00,,,Fixed price,
BU/Unc 1888 (P) Morgan Silver Dollar (1 coin),133692455320,"Jan 25, 2026",$70.03,$13.45,,,Fixed price,https://www.ebay.com/itm/133692455320
1888 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305528004830,"Mar 29, 2026",$98.89,$0.00,,,Fixed price,https://www.ebay.com/itm/305528004830
VF 1888-O Morgan Silver Dollar (1 coin),365117525820,"Jan 17, 2026",$57.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365117525820
[Removed] Item 136569523607,136569523607,"Dec 5, 2025",$22.14,$0.00,,,Fixed price,
[Removed] Item 317878195289,317878195289,"Feb 21, 2026",$198.57,$0.00,,,Fixed price,
,,"Nov 7, 2025",$22.61,$0.00,,,Fixed price,
,,"Nov 22, 2025",$35.10,$0.00,,,Fixed price,
VG/F 1888 (P) Morgan Silver Dollar (1 coin),136592463949,"Dec 29, 2025",$48.12,$0.00,,,Fixed price,https://www.ebay.com/itm/136592463949
[Removed] Item 205865169935,205865169935,"Nov 28, 2025",$38.91,$0.00,,,Fixed price,
[Removed] Item 365943894113,365943894113,"Nov 15, 2025",$27.63,$4.99,,,Fixed price,
,,"Mar 15, 2026",$26.92,$0.00,,,Fixed price,
[Removed] Item 197778269853,197778269853,"Oct 23, 2025",$28.88,$4.99,,,Fixed price,
,,"Nov 17, 2025",$35.16,$0.00,,,Fixed price,
BU/Unc 1888-O Morgan Silver Dollar (1 coin),124632889218,"Apr 5, 2026",$87.11,$0.00,,,Fixed price,https://www.ebay.com/itm/124632889218
[Removed] Item 205887843830,205887843830,"Dec 8, 2025",$36.50,$0.00,,,Fixed price,
1888 $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,136999471345,"Feb 25, 2026",$108.59,$0.00,,,Fixed price,https://www.ebay.com/itm/136999471345
1888-O Morgan Silver Dollar PCGS MS63 Nice Eye Appeal,267534024268,"Jan 25, 2026",$103.89,$5.24,,,Fixed price,https://www.ebay.com/itm/267534024268
[Removed] Item 357729062997,357729062997,"Oct 24, 2025",$19.99,$0.00,,,Fixed price,
XF 1888-O Morgan Silver Dollar (1 coin),127139094442,"Dec 31, 2025",$53.65,$0.00,,,Fixed price,https://www.ebay.com/itm/127139094442
1888-O Morgan Silver Dollar MS64 PCGS,295855884230,"Mar 10, 2026",$168.00,$0.00,,,Fixed price,https://www.ebay.com/itm/295855884230
[Removed] Item 317406039102,317406039102,"Nov 28, 2025",$18.85,$0.00,,,Fixed price,
1888-O Morgan Silver Dollar MS63 ICG,127069390502,"Jan 8, 2026",$86.08,$0.00,,,Fixed price,https://www.ebay.com/itm/127069390502
VG/F 1888-O Morgan Silver Dollar (1 coin),127139093312,"Nov 8, 2025",$47.08,$0.00,,,Fixed price,https://www.ebay.com/itm/127139093312
* 1888-P * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154367276766,"Jan 28, 2026",$135.95,$0.00,,,Fixed price,https://www.ebay.com/itm/154367276766
,,"Dec 26, 2025",$5.85,$1.80,,,Fixed price,
1888-O Morgan Silver Dollar PCGS MS63 Blast White - STOCK,388183829278,"Jan 25, 2026",$116.60,$0.00,,,Fixed price,https://www.ebay.com/itm/388183829278
1888 Morgan Silver Dollar MS64 PCGS Blue Label,135220893436,"Dec 26, 2025",$112.28,$0.00,,,Fixed price,https://www.ebay.com/itm/135220893436
HARD DATE VF+ 1888-O MORGAN SILVER DOLLAR NICE COLLECTORS COIN M-1573,177754564026,"Mar 22, 2026",$98.00,$5.25,,,Fixed price,https://www.ebay.com/itm/177754564026
[Removed] Item 197747641220,197747641220,"Oct 20, 2025",$19.99,$0.00,,,Fixed price,
1888 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,197803470331,"Mar 15, 2026",$185.26,$0.00,,,Fixed price,https://www.ebay.com/itm/197803470331
,,"Nov 22, 2025",$84.97,$0.00,,,Fixed price,
1888-O $1 Morgan Silver Dollar PCGS MS63 Blue Label,205925480645,"Mar 1, 2026",$104.59,$0.00,,,Fixed price,https://www.ebay.com/itm/205925480645
XF-1888 O Morgan Silver Dollar (1 Coin),136818002197,"Apr 8, 2026",$57.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136818002197
XF-1888 O Morgan Silver Dollar (1 Coin),136818002197,"Apr 9, 2026",$57.87,$0.00,,,Fixed price,https://www.ebay.com/itm/136818002197,87
1888 Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin Collectible,365242104271,"Apr 10, 2026",$107.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365242104271,44
1888 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404942780135,"Apr 13, 2026",$93.23,$0.00,,,Fixed price,https://www.ebay.com/itm/404942780135,23
AU+ 1888 (P) Morgan Silver Dollar (1 coin),135875452774,"Jan 2, 2026",$54.02,$4.87,,,Fixed price,https://www.ebay.com/itm/135875452774,26
BU/Unc 1888 (P) Morgan Silver Dollar (1 coin),133692455320,"Jan 25, 2026",$70.70,$0.00,,,Fixed price,https://www.ebay.com/itm/133692455320,15
VF 1888-O Morgan Silver Dollar (1 coin),365117525820,"Jan 17, 2026",$58.22,$0.00,,,Fixed price,https://www.ebay.com/itm/365117525820,20
1888 Morgan Silver Dollar Replica Token Not Silver Stainless steel Money Clip,205016503249,"Mar 11, 2026",$12.73,$5.79,,,Fixed price,https://www.ebay.com/itm/205016503249,15
,,"Nov 18, 2025",$52.62,$5.51,,,Fixed price,,8
"1888 O ""STUNNING GEM"" MORGAN DOLLAR FROM OBW ROLL BU UNCIRCULATED 90% SILVER",267148141442,"Mar 12, 2026",$175.42,$0.00,,,Fixed price,https://www.ebay.com/itm/267148141442,4
,,"Nov 4, 2025",$19.74,$0.00,,,Fixed price,,4
3 MORGAN Silver Dollar US COPY Coins 1887 1888 1889 Circulated Antique Look/Feel,376552186922,"Feb 18, 2026",$8.73,$1.50,,,Fixed price,https://www.ebay.com/itm/376552186922,4
HARD DATE EF 1888 MORGAN SILVER DOLLAR NICE COLLECTORS COIN M-1306,116953902960,"Jan 29, 2026",$74.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116953902960,3
1888 Morgan Silver Dollar MS64 PCGS Blue Label,135220893436,"Dec 26, 2025",$113.37,$0.00,,,Fixed price,https://www.ebay.com/itm/135220893436,3
[Removed] Item 146903457464,146903457464,"Nov 16, 2025",$23.86,$0.00,,,Fixed price,,3
1888-O Morgan Silver Dollar MS63 PCGS,296593253759,"Apr 3, 2026",$129.50,$0.00,,,Fixed price,https://www.ebay.com/itm/296593253759,3
,,"Dec 11, 2025",$39.17,$4.84,,,Fixed price,,3
1888-O Morgan Silver Dollar MS63 NGC,364768886791,"Feb 13, 2026",$126.00,$0.00,,,Fixed price,https://www.ebay.com/itm/364768886791,3
,,"Jan 4, 2026",$107.32,$21.39,,,Fixed price,,3
1888 O Morgan Dollar BU Choice Uncirculated Silver $1 Coin,365978684360,"Feb 24, 2026",$136.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365978684360,3
1888 CC Morgan Silver Dollar NGC MS70 First Day Morgan Label 2023 Fiji Mint .999,375750095600,"Apr 7, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/375750095600,3
1888 Morgan Silver Dollar Replica Token Not Silver Stainless steel Money Clip,387428647593,"Mar 28, 2026",$12.35,$4.50,,,Fixed price,https://www.ebay.com/itm/387428647593,3
AU+ 1888-O Morgan Silver Dollar (1 coin),127139096019,"Nov 27, 2025",$54.48,$0.00,,,Fixed price,https://www.ebay.com/itm/127139096019,2
,,"Jan 4, 2026",$125.00,$0.00,,,Fixed price,,2
AU+ 1888-S Morgan Silver Dollar (1 coin),135674082720,"Jan 11, 2026",$209.50,$0.00,,,Fixed price,https://www.ebay.com/itm/135674082720,2
1888 Morgan Silver Dollar Original Bag Fragment MS64 NGC,136533826556,"Mar 17, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136533826556,2
[Removed] Item 167838590667,167838590667,"Nov 4, 2025",$20.75,$0.00,,,Fixed price,,13
1888 Morgan Silver Dollar NGC MS63 Bullion Plus Label Original Bag Fragment,177879399535,"Mar 22, 2026",$112.11,$0.00,,,Fixed price,https://www.ebay.com/itm/177879399535,2
1888 MORGAN CC silver Dollar ANACS MS 70 FIRST STRIKE CARSON CITY FIJI MINT,188026887843,"Feb 21, 2026",$146.24,$9.99,,,Fixed price,https://www.ebay.com/itm/188026887843,2
1888 MORGAN SILVER DOLLAR ~ CHOICE BU MS UNCIRCULATED ~ FRESH FROM ROLL,266961224401,"Jan 28, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/266961224401,2
1888 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,267020881827,"Nov 24, 2025",$146.61,$17.45,,,Fixed price,https://www.ebay.com/itm/267020881827,2
,,"Jan 1, 2026",$89.50,$4.60,,,Fixed price,,2
1888-P SILVER MORGAN DOLLAR $1 MS 64 NGC,358126153849,"Jan 18, 2026",$100.00,$5.51,,,Fixed price,https://www.ebay.com/itm/358126153849,2
Item ID 358208384986,358208384986,"Feb 20, 2026",$25.39,$0.00,,,Fixed price,https://www.ebay.com/itm/358208384986,2
1888 Morgan Silver Dollar MS63 ICG,365384390836,"Feb 2, 2026",$112.45,$7.79,,,Fixed price,https://www.ebay.com/itm/365384390836,2
1888 Morgan Dollar MS 63 NGC Silver Original Bag Fragment SKU:I18169,366053184834,"Jan 14, 2026",$104.99,$13.10,,,Fixed price,https://www.ebay.com/itm/366053184834,2
Morgan Silver Dollar 1888 PCGS MS 62 Uncirculated 90% Silver $1 Coin,376102866333,"Jan 7, 2026",$78.25,$8.80,,,Fixed price,https://www.ebay.com/itm/376102866333,2
,,"Nov 6, 2025",$8.95,$0.00,,,Fixed price,,2
,,"Dec 8, 2025",$8.95,$1.50,,,Fixed price,,2
,,"Jan 1, 2026",$5.66,$1.50,,,Fixed price,,2
3 US COPY COINS: Morgan Silver Dollars with Heads on Both Sides 1878 1881 1888,376906620927,"Feb 16, 2026",$8.95,$1.50,,,Fixed price,https://www.ebay.com/itm/376906620927,2
"1888 O Morgan Silver Dollar, Good Condition",397758487315,"Apr 12, 2026",$60.11,$0.00,,,Fixed price,https://www.ebay.com/itm/397758487315,2
,,"Dec 29, 2025",$75.00,$7.00,,,Fixed price,,1
