Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 17, 2025",$67.80,$0.00,,,Fixed price,
2005-Mo (MS68) 1 oz Silver Mexico Libertad Onza NGC - KEY DATE,187843552678,"Jan 1, 2026",$149.99,$0.00,,,Fixed price,https://www.ebay.com/itm/187843552678
,,"Dec 15, 2025",$89.95,$0.00,,,Fixed price,
,,"Oct 30, 2025",$71.00,$5.00,,,Auction,
,,"Nov 16, 2025",$165.00,$11.80,,,Auction,
,,"Nov 16, 2025",$73.00,$0.00,,,Auction,
,,"Nov 16, 2025",$173.83,$11.80,,,Auction,
,,"Nov 20, 2025",$91.00,$4.50,,,Auction,
,,"Nov 23, 2025",$57.00,$0.00,,,Auction,
,,"Dec 19, 2025",$115.00,$4.76,,,Fixed price,
2005 Mexico 1 oz Silver Libertad .999 Fine Silver Mexican Bullion Coin,116997917264,"Jan 30, 2026",$125.00,$0.00,,,Auction,https://www.ebay.com/itm/116997917264
2005 Libertad Silver 1 oz Mexico,117070722870,"Mar 9, 2026",$98.00,$6.00,,,Auction,https://www.ebay.com/itm/117070722870
2005 MEXICO SILVER LIBERTAD 1 OZ .999 FINE SILVER GEM BU,117099123744,"Mar 22, 2026",$100.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117099123744
,,"Oct 16, 2025",$78.95,$5.09,,,Fixed price,
2005 Mo 1 Oz MS68 NGC Mexico Onza .999 Silver Libertad,127739834313,"Mar 15, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127739834313
,,"Nov 22, 2025",$142.50,$4.95,,,Fixed price,
2002 and 2005 Mexico 1oz Silver Libertads,137010442126,"Feb 10, 2026",$250.01,$0.00,,,Auction,https://www.ebay.com/itm/137010442126
2016-Mo PCGS PR69 Mexico Libertad B1,137158272763,"Mar 29, 2026",$142.50,$4.99,,,Auction,https://www.ebay.com/itm/137158272763
2005/2015/2021/2022 1 Oz Onza Mexican Libertad 999 Silver Plata Pura Coin. 4 OZs,147103684786,"Jan 24, 2026",$430.00,$5.99,,,Auction,https://www.ebay.com/itm/147103684786
2005 Mo - Mexico - 1 oz Silver Libertad Onza - NGC MS 68,147145694457,"Feb 16, 2026",$156.50,$6.00,,,Auction,https://www.ebay.com/itm/147145694457
"2005 Mexico 1 oz silver Libertad proof - 3,300 minted GEM capsuled!! Wow",157266384579,"Mar 19, 2026",$650.00,$12.10,,,Fixed price,https://www.ebay.com/itm/157266384579
,,"Dec 23, 2025",$320.00,$5.24,,,Fixed price,
2005 Mo 1 Oz Onza Mexico Libertad Ley .999 Fine Silver Plata Pura,157607340601,"Jan 11, 2026",$97.00,$5.37,,,Fixed price,https://www.ebay.com/itm/157607340601
2005 Mexico Libertad 1 Ounce .999 Fine Silver Coin Bu,157607771601,"Jan 18, 2026",$145.00,$5.40,,,Fixed price,https://www.ebay.com/itm/157607771601
,,"Oct 19, 2025",$68.00,$0.00,,,Fixed price,
,,"Oct 29, 2025",$67.50,$0.00,,,Fixed price,
2005-Mo 1 oz Silver Mexico Libertad Onza KEY DATE,168034658748,"Jan 27, 2026",$115.00,$7.70,,,Fixed price,https://www.ebay.com/itm/168034658748
2005 Mexico Libertad 1 Ounce .999 Fine Silver Coin Bu,168101283276,"Jan 22, 2026",$110.00,$5.20,,,Fixed price,https://www.ebay.com/itm/168101283276
Better Date 2005 Mexico Libertad Onza Plata Pura 1 Oz. .999 Fine Silver Coin,168276500919,"Apr 2, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168276500919
2005-MO MEXICO LIBERTAD SILVER ONZA PCGS MS69,177507901545,"Jan 31, 2026",$300.00,$4.95,,,Fixed price,https://www.ebay.com/itm/177507901545
,,"Oct 22, 2025",$65.00,$5.15,,,Fixed price,
2005 Mo 1/2 oz .999 Silver Onza Mexico Libertad Proof - SKU-U2617,187432529177,"Feb 3, 2026",$125.00,$5.50,,,Fixed price,https://www.ebay.com/itm/187432529177
,,"Nov 11, 2025",$68.00,$4.60,,,Auction,
2005 Mo 1/2 oz .999 Silver Onza Mexico Libertad Proof - SKU-U2617,188042600894,"Feb 12, 2026",$124.56,$5.50,,,Fixed price,https://www.ebay.com/itm/188042600894
,,"Oct 26, 2025",$56.00,$1.39,,,Auction,
,,"Oct 26, 2025",$242.50,$11.80,,,Auction,
,,"Oct 26, 2025",$183.00,$0.00,,,Auction,
,,"Nov 9, 2025",$199.48,$11.80,,,Auction,
,,"Nov 9, 2025",$192.50,$11.80,,,Auction,
2005 1 Oz Onza Ley 999 SILVER MEXICO Libertad Plata Pura Coin Round,198117718927,"Feb 27, 2026",$105.00,$5.56,,,Auction,https://www.ebay.com/itm/198117718927
2005 1 Ounce Silver Libertad Onza NGC Unc Details Surface Hairlines,198159346663,"Mar 10, 2026",$127.50,$0.00,,,Auction,https://www.ebay.com/itm/198159346663
,,"Oct 12, 2025",$159.99,$7.35,,,Fixed price,
,,"Dec 2, 2025",$290.00,$5.00,,,Auction,
,,"Dec 25, 2025",$182.50,$5.00,,,Auction,
2005 Mexico Onza PCGS MS 69 Libertad Silver,205996610993,"Jan 13, 2026",$390.00,$5.00,,,Auction,https://www.ebay.com/itm/205996610993
2005 libertad 1 Oz .999 Silver Mexico,206083650125,"Mar 1, 2026",$129.99,$7.95,,,Fixed price,https://www.ebay.com/itm/206083650125
,,"Oct 26, 2025",$60.00,$8.10,,,Fixed price,
2005 Mexico 1 oz Silver Libertad .999 Fine Silver Mexican Bullion Coin,227186438004,"Jan 28, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227186438004
2007 Mexico 1/20 oz .999 Silver Libertad PROOF Mintage 4000 (A185),236268813407,"Feb 9, 2026",$59.00,$4.85,,,Fixed price,https://www.ebay.com/itm/236268813407
,,"Jan 11, 2026",$97.00,$5.37,,,Fixed price,
2005 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,157807289859,"Apr 10, 2026",$97.00,$5.20,,,Auction,https://www.ebay.com/itm/157807289859
2005 Mo 1 Oz Onza Plata Pura .999 Fine Silver Mexico Libertad Coin Keychain,198010077298,"Jan 14, 2026",$96.00,$11.70,,,Auction,https://www.ebay.com/itm/198010077298
,,"Nov 25, 2025",$15.20,$4.92,,,Fixed price,,1
2005 Mexico 1/20 oz .999 Silver Libertad (B023),236637882178,"Feb 25, 2026",$25.00,$1.84,,,Fixed price,https://www.ebay.com/itm/236637882178,1
2005 Mexico Libertad 1 oz. Silver - NGC Ms68,236747173591,"Apr 10, 2026",$200.00,$5.96,,,Fixed price,https://www.ebay.com/itm/236747173591,1
,,"Jan 3, 2026",$77.00,$3.32,,,Auction,,1
,,"Jan 5, 2026",$91.77,$4.95,,,Auction,,1
2005 Mo 1 oz .999 Silver Onza Mexico Libertad. NGC MS 66. Mexican Silver!,257330414174,"Jan 26, 2026",$140.00,$5.30,,,Fixed price,https://www.ebay.com/itm/257330414174,1
2005mo Mexico 1 Onza. 1 Oz 0.999 Silver Libertad NGC MS 69. Mexican Silver,257335569497,"Jan 29, 2026",$165.00,$5.00,,,Fixed price,https://www.ebay.com/itm/257335569497,1
2005 Mexican Libertad 1 Onza Plata Pura 1 Ounce .999 Fine Silver Coin - Gem BU,257336043861,"Feb 8, 2026",$135.50,$6.00,,,Auction,https://www.ebay.com/itm/257336043861,1
,,"Dec 21, 2025",$124.99,$6.80,,,Fixed price,,1
,,"Dec 25, 2025",$135.00,$4.87,,,Fixed price,,1
,,"Jan 3, 2026",$109.49,$5.20,,,Auction,,1
,,"Dec 26, 2025",$110.00,$4.00,,,Fixed price,,1
,,"Dec 4, 2025",$71.78,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$249.95,$0.00,,,Fixed price,,1
2005 Mexico Libertad 1/20 Onza Silver Coin 1/20 Ounce Guaranteed Authentic 2086,277562968613,"Jan 18, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277562968613,1
2005-Mo Mexico Silver Libertad Onza PCGS MS68 1 oz .999 Plata Pura Coin,277690716012,"Feb 1, 2026",$167.50,$0.00,,,Auction,https://www.ebay.com/itm/277690716012,1
2005-MO MEXICO LIBERTAD 1 ONZA SILVER NGC MS69,277691239806,"Mar 10, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277691239806,1
,,"Nov 16, 2025",$80.00,$3.99,,,Auction,,1
,,"Nov 30, 2025",$72.00,$3.99,,,Auction,,1
,,"Jan 11, 2026",$89.88,$3.99,,,Auction,,1
,,"Jan 11, 2026",$135.27,$3.99,,,Auction,,1
2006 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287100356100,"Feb 1, 2026",$130.50,$2.15,,,Auction,https://www.ebay.com/itm/287100356100,1
2005 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287115947198,"Feb 8, 2026",$123.00,$3.99,,,Auction,https://www.ebay.com/itm/287115947198,1
2005 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287144850581,"Feb 22, 2026",$111.69,$3.99,,,Auction,https://www.ebay.com/itm/287144850581,1
2005 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287158851552,"Mar 1, 2026",$112.50,$3.99,,,Auction,https://www.ebay.com/itm/287158851552,1
,,"Nov 19, 2025",$69.99,$5.99,,,Auction,,1
,,"Dec 3, 2025",$69.99,$5.97,,,Auction,,1
,,"Oct 25, 2025",$53.92,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$41.02,$0.00,,,Fixed price,,1
,,"Dec 4, 2025",$51.27,$0.00,,,Fixed price,,1
,,"Nov 19, 2025",$460.00,$0.00,,,Auction,,1
2005 Mexico Libertad 1/20 Onza Silver Coin 1/20 Ounce Guaranteed Authentic 2084,306727027437,"Feb 8, 2026",$50.01,$0.00,,,Fixed price,https://www.ebay.com/itm/306727027437,1
Lot of 2 - MS 67 Mo Mexico Libertad Each 1 oz .999 fine silver 2005/2009,306744294406,"Feb 6, 2026",$222.53,$5.62,,,Auction,https://www.ebay.com/itm/306744294406,1
2005 Mexico Libertad 1/20 Onza Silver Coin 1/20 Ounce Guaranteed Authentic 2101,306825534564,"Mar 17, 2026",$44.08,$0.00,,,Fixed price,https://www.ebay.com/itm/306825534564,1
,,"Oct 18, 2025",$50.39,$4.87,,,Fixed price,,1
,,"Nov 11, 2025",$69.00,$0.50,,,Auction,,1
,,"Nov 18, 2025",$72.00,$4.60,,,Auction,,1
,,"Nov 22, 2025",$69.00,$4.95,,,Auction,,1
,,"Oct 17, 2025",$149.95,$0.00,,,Fixed price,,1
,,"Nov 10, 2025",$45.00,$4.50,,,Fixed price,,1
,,"Nov 30, 2025",$70.00,$5.95,,,Auction,,1
2005 BU Mexico Libertad 1 oz .999 Silver Bullion Coin in Capsule (Inv. #1),327083604510,"Apr 10, 2026",$99.99,$0.00,,,Auction,https://www.ebay.com/itm/327083604510,1
,,"Oct 30, 2025",$69.71,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$150.00,$0.00,,,Fixed price,,1
2005 Mexico 1 Onza Silver Libertad .999 Fine Silver BU Coin,336406049621,"Feb 1, 2026",$107.50,$14.00,,,Auction,https://www.ebay.com/itm/336406049621,1
2005 Mo 1 Oz Onza Mexico Libertad .999 Fine Silver Lot #471,336420451527,"Feb 9, 2026",$135.46,$5.00,,,Auction,https://www.ebay.com/itm/336420451527,1
2005 Mo 1 Oz Silver Mexico Libertad PCGS PR69 DCAM PROOF! TOP POP!!!! AMAZING!,336435311645,"Feb 25, 2026",$611.00,$3.99,,,Auction,https://www.ebay.com/itm/336435311645,1
2005 Mexico 1 oz .999 Fine Silver Libertad,336458887047,"Mar 8, 2026",$118.50,$0.00,,,Auction,https://www.ebay.com/itm/336458887047,1
2005 Mexico 1 oz Silver Libertad -Winged Victory Coin .999 Fine Silver,336483063511,"Mar 25, 2026",$98.99,$13.00,,,Auction,https://www.ebay.com/itm/336483063511,1
2005 Mexico 1 oz .999 Fine Silver Libertad,336509415701,"Apr 5, 2026",$102.50,$0.00,,,Auction,https://www.ebay.com/itm/336509415701,1
,,"Nov 10, 2025",$90.00,$4.46,,,Fixed price,,1
2005 Mexico Silver Libertad 1 Onza Plata Pura .999 Fine Pure Silver Bullion Coin,358073627169,"Jan 26, 2026",$134.97,$4.99,,,Fixed price,https://www.ebay.com/itm/358073627169,1
