Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 5, 2025","$2,325.00",$4.69,,,Fixed price,,1
,,"Dec 24, 2025","$1,175.00",$0.00,,,Fixed price,,1
,,"Jan 4, 2026",$987.00,$0.00,,,Auction,,1
,,"Dec 23, 2025",$860.00,$0.00,,,Auction,,1
,,"Jan 6, 2026",$955.00,$0.00,,,Auction,,1
"1885-CC Morgan dollar, NGC MS64, fully frosty blasty flashy DavidKahnRareCoins",127603908669,"Feb 1, 2026","$1,001.01",$0.00,,,Auction,https://www.ebay.com/itm/127603908669,1
1885 CC US Morgan Dollar $1 GSA Nice Unc w/ Box,127617649596,"Jan 16, 2026",$998.00,$15.00,,,Auction,https://www.ebay.com/itm/127617649596,1
morgan dollar roll 20 coins CC AND 1885,127633285415,"Feb 12, 2026","$2,200.00",$40.00,,,Fixed price,https://www.ebay.com/itm/127633285415,1
1885-CC Morgan Silver Dollar Coin Choice Uncirculated 63 Govt Holder,127634931092,"Jan 30, 2026",$885.00,$7.00,,,Auction,https://www.ebay.com/itm/127634931092,1
1885 CC MORGAN DOLLAR ANACS MS 63,127637359818,"Feb 5, 2026",$880.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127637359818,1
1885-CC $1 GSA Morgan Silver Dollar NGC MS-62 Includes Box + C.O.A.,127680547091,"Feb 22, 2026",$874.99,$15.50,,,Auction,https://www.ebay.com/itm/127680547091,1
2023 Fiji Morgan Silver Dollar - NGC - MS 70 - “1885 CC”,127681448773,"Feb 17, 2026",$113.61,$7.00,,,Auction,https://www.ebay.com/itm/127681448773,1
1885 CC Morgan Dollar $1 Silver Carson City Coin Beautiful Condition,127693549263,"Feb 22, 2026",$510.00,$7.70,,,Auction,https://www.ebay.com/itm/127693549263,1
NGC MS63 1885 CC $1 Morgan Silver Dollar Coin Graded Carson City,127706436248,"Mar 3, 2026",$803.00,$20.00,,,Auction,https://www.ebay.com/itm/127706436248,1
"1885-CC Morgan dollar, ANACS VF25, pleasing and RARE in circ DavidKahnRareCoins",127731168917,"Apr 5, 2026",$777.00,$0.00,,,Auction,https://www.ebay.com/itm/127731168917,1
,,"Dec 27, 2025",$945.00,$0.00,,,Fixed price,,1
,,"Nov 3, 2025",$751.00,$4.87,,,Auction,,1
,,"Oct 19, 2025","$3,450.00",$0.00,,,Fixed price,,1
,,"Oct 26, 2025",$855.00,$5.15,,,Auction,,1
,,"Oct 30, 2025",$500.00,$5.37,,,Fixed price,,1
,,"Nov 13, 2025",$685.00,$0.00,,,Auction,,1
,,"Nov 19, 2025","$1,567.50",$16.99,,,Fixed price,,1
,,"Nov 13, 2025",$724.99,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$827.00,$0.00,,,Auction,,1
,,"Nov 25, 2025",$898.88,$0.00,,,Auction,,1
,,"Dec 8, 2025",$203.51,$4.65,,,Auction,,1
,,"Dec 9, 2025",$749.00,$0.00,,,Fixed price,,1
,,"Dec 9, 2025",$645.00,$5.24,,,Auction,,1
BU 1885-CC Morgan Silver Dollar PCGS MS64 OGH ZIBLM,136888605498,"Jan 18, 2026","$1,226.42",$0.00,,,Fixed price,https://www.ebay.com/itm/136888605498,1
Vintage 1885 CC Carson City Morgan Dollar AU/MS? LOOK!!,136952512187,"Jan 22, 2026",$555.00,$0.00,,,Auction,https://www.ebay.com/itm/136952512187,1
1885-CC Morgan Dollar GSA Silver $1 United States of America Coin,136993028799,"Feb 7, 2026",$872.00,$27.50,,,Auction,https://www.ebay.com/itm/136993028799,1
1885 CC Morgan Silver Dollar $1 NGC MS62,137065776877,"Feb 28, 2026",$885.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137065776877,1
1885-CC Morgan Silver Dollar $1 - PCGS MS64 - Carson City,137069154017,"Feb 25, 2026","$1,050.00",$6.00,,,Fixed price,https://www.ebay.com/itm/137069154017,1
,,"Jan 8, 2026",$950.00,$0.00,,,Fixed price,,1
,,"Oct 21, 2025",$600.00,$0.00,,,Fixed price,,1
,,"Nov 10, 2025",$675.00,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$840.00,$0.00,,,Fixed price,,1
,,"Nov 6, 2025",$10.00,$0.00,,,Fixed price,,1
,,"Oct 21, 2025",$699.95,$0.00,,,Fixed price,,1
,,"Nov 29, 2025","$1,199.95",$0.00,,,Fixed price,,1
,,"Oct 27, 2025",$671.61,$0.00,,,Auction,,1
,,"Oct 30, 2025",$870.00,$0.00,,,Fixed price,,1
,,"Nov 8, 2025",$791.00,$10.00,,,Auction,,1
,,"Nov 22, 2025",$29.25,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$587.00,$0.00,,,Auction,,1
,,"Nov 23, 2025",$780.00,$5.49,,,Auction,,1
1885 CC Morgan Silver Dollar NGC MS-64 Ungraded PL - Proof Like,146975422903,"Feb 16, 2026",$985.00,$12.00,,,Fixed price,https://www.ebay.com/itm/146975422903,1
,,"Dec 16, 2025",$149.49,$0.00,,,Fixed price,,1
1885-CC Morgan PCGS MS64 OBH Silver Dollar Coin Carson City Mint Old Blue Holder,147000339766,"Jan 16, 2026","$1,100.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147000339766,1
1885-CC GSA Hard Pack Morgan Silver Dollar NGC MS65 Gem Uncirculated Toned,147019221622,"Mar 1, 2026","$1,485.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147019221622,1
1885-CC Carson City GSA Morgan Silver Dollar Bu Unc *Gold Tone* - 631b,147020869413,"Feb 12, 2026",$900.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147020869413,1
,,"Dec 23, 2025",$600.00,$0.00,,,Auction,,1
,,"Jan 4, 2026","$1,056.00",$5.00,,,Auction,,1
,,"Dec 26, 2025",$529.99,$24.45,,,Fixed price,,1
1885-CC $1 Morgan Dollar PCGS MS 63 DMPL GSA,147052680628,"Jan 28, 2026","$1,500.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147052680628,1
1885-CC Morgan Silver Dollar $1 Carson City Coin - Certified PCGS VG Detail,147078003088,"Feb 1, 2026",$745.75,$0.00,,,Fixed price,https://www.ebay.com/itm/147078003088,1
