Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 188408069965,188408069965,"May 25, 2026",$33.00,$9.99,,,Fixed price,,2
1921 - S LIBERTY WALKING HALF DOLLAR,116112526562,"May 22, 2026",$46.02,$3.99,,,Fixed price,https://www.ebay.com/itm/116112526562,1
[Removed] Item 406896530552,406896530552,"May 4, 2026",$27.00,$9.99,,,Fixed price,,2
[Removed] Item 178073747841,178073747841,"Apr 28, 2026",$16.00,$9.99,,,Fixed price,,3
[Removed] Item 406880640556,406880640556,"Apr 27, 2026",$24.00,$9.99,,,Fixed price,,4
[Removed] Item 198303617440,198303617440,"Apr 23, 2026",$17.00,$9.99,,,Fixed price,,2
[Removed] Item 406863423698,406863423698,"Apr 21, 2026",$26.00,$9.99,,,Fixed price,,3
[Removed] Item 406853447786,406853447786,"Apr 16, 2026",$29.50,$9.99,,,Fixed price,,2
[Removed] Item 318150834072,318150834072,"Apr 14, 2026",$30.99,$9.99,,,Fixed price,,3
[Removed] Item 227298138165,227298138165,"Apr 14, 2026",$15.00,$9.99,,,Fixed price,,2
[Removed] Item 318148132925,318148132925,"Apr 14, 2026",$33.99,$9.99,,,Fixed price,,3
[Removed] Item 137218906717,137218906717,"Apr 13, 2026",$23.45,$9.99,,,Fixed price,,4
[Removed] Item 298209121996,298209121996,"Apr 11, 2026",$32.79,$9.99,,,Fixed price,,5
Item ID 406833788693,406833788693,"Apr 10, 2026",$53.20,$0.00,,,Fixed price,https://www.ebay.com/itm/406833788693,13
[Removed] Item 137211309812,137211309812,"Apr 10, 2026",$25.24,$29.97,,,Fixed price,,6
[Removed] Item 298201499976,298201499976,"Apr 8, 2026",$47.50,$0.00,,,Fixed price,,2
[Removed] Item 298193254428,298193254428,"Apr 7, 2026",$31.18,$11.42,,,Fixed price,,16
1921-S Walking Liberty Half Dollar USA Silver 50c Coin,147239831426,"Apr 5, 2026",$14.00,$9.99,,,Fixed price,https://www.ebay.com/itm/147239831426
1921-S Walking Liberty Silver Half Dollar Key Date (cn16547),117071957301,"Apr 4, 2026",$68.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117071957301
Key-date 1921-s WALKING LIBERTY Half Dollar. #104,147173863055,"Apr 4, 2026",$43.00,$5.52,,,Fixed price,https://www.ebay.com/itm/147173863055
1916-D and 1921-S 50C Walking Liberty Half Dollars in Lower Grade Conditions,147228731591,"Apr 4, 2026",$64.99,$7.49,,,Fixed price,https://www.ebay.com/itm/147228731591
1921 S Walking Liberty Half Dollar,157792796926,"Apr 4, 2026",$191.03,$5.52,,,Auction,https://www.ebay.com/itm/157792796926
1921 S Walking Liberty Silver Half Dollar San Francisco Mint,117120457823,"Apr 4, 2026",$50.00,$4.00,,,Auction,https://www.ebay.com/itm/117120457823,1
[Removed] Item 298186436294,298186436294,"Apr 3, 2026",$31.33,$9.99,,,Fixed price,
1921 S Walking Liberty G04 PCGS Graded Half Dollar San Francisco Coin 6585,147219327724,"Apr 2, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/147219327724
Half 1921 S,147225513595,"Apr 2, 2026",$34.33,$8.30,,,Auction,https://www.ebay.com/itm/147225513595
[Removed] Item 298162221312,298162221312,"Apr 1, 2026",$33.99,$9.99,,,Fixed price,
"1921-S Walking Liberty Half Dollar, PCGS VF20, Key Date Collector Coin.",117109981837,"Apr 1, 2026","$1,100.00",$15.95,,,Fixed price,https://www.ebay.com/itm/117109981837
1921-S WALKING LIBERTY HALF DOLLAR VG DETAILS KEY DATE #1708,157791900029,"Apr 1, 2026",$69.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157791900029
[Removed] Item 287233940977,287233940977,"Mar 31, 2026",$33.71,$10.26,,,Fixed price,
,,"Mar 30, 2026",$26.74,$0.00,,,Fixed price,
[Removed] Item 157788916138,157788916138,"Mar 30, 2026",$15.99,$8.99,,,Fixed price,
(1) Beautiful Toned Antique 1921-S Walking Liberty Half Dollar CHOICE G-GOOD,177919016972,"Mar 30, 2026",$75.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177919016972
[Removed] Item 406802948410,406802948410,"Mar 28, 2026",$34.89,$9.99,,,Fixed price,
"1921-S Walking Liberty Half Dollar - G+ Details - Better Date - Mintage 548,000",127762138317,"Mar 28, 2026",$47.52,$0.00,,,Auction,https://www.ebay.com/itm/127762138317
03/00000028 L#8401 1921 S Walking Liberty Silver Half Dollar (apz),157791593153,"Mar 28, 2026",$165.00,$0.00,,,Auction,https://www.ebay.com/itm/157791593153
1921 S 50C Walking Liberty VG08 PCGS Graded Half Dollar Gold Shield Coin 6585,147162298995,"Mar 27, 2026",$165.82,$0.00,,,Fixed price,https://www.ebay.com/itm/147162298995
1921 S Walking Liberty Silver Half Dollar Key Date,168259766387,"Mar 27, 2026",$52.76,$5.00,,,Auction,https://www.ebay.com/itm/168259766387
1921 S Liberty Walking Silver Half Dollar PCGS G6 Mintage548k Semi Key Date Rare,117096930725,"Mar 26, 2026",$103.00,$4.99,,,Auction,https://www.ebay.com/itm/117096930725
1921-S Walking Liberty Half Dollar USA Silver 50c Coin,406776564452,"Mar 25, 2026",$26.81,$0.00,,,Fixed price,https://www.ebay.com/itm/406776564452
1921-S WALKING LIBERTY silver U.S. half dollar. AG. #q1,117092501024,"Mar 25, 2026",$57.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117092501024
[Removed] Item 287214157571,287214157571,"Mar 25, 2026",$32.60,$12.49,,,Fixed price,,20
1921-S San Francisco Walking Liberty Half Dollar 50C Good GD G+,168108533589,"Mar 24, 2026",$72.00,$4.95,,,Fixed price,https://www.ebay.com/itm/168108533589
1921 S Walking Liberty Silver Half Dollar,147207739677,"Mar 23, 2026",$37.50,$0.00,,,Auction,https://www.ebay.com/itm/147207739677
"1921-S Liberty Walking Silver Half Dollar, Scarce Key Date",147206139219,"Mar 22, 2026",$38.00,$3.00,,,Auction,https://www.ebay.com/itm/147206139219
Better 1921-S Walking Liberty Silver Half Dollar VG,137111235252,"Mar 20, 2026",$110.00,$7.45,,,Fixed price,https://www.ebay.com/itm/137111235252
1921-S WALKING LIBERTY HALF DOLLAR G/VG KEY DATE,177719981800,"Mar 20, 2026",$58.00,$19.00,,,Fixed price,https://www.ebay.com/itm/177719981800
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,389751603268,"Mar 19, 2026",$29.99,$9.99,,,Fixed price,https://www.ebay.com/itm/389751603268,2
,,"Mar 19, 2026",$29.99,$9.99,,,Fixed price,,2
1921-S Walking Liberty Half Dollar *5973,134928870328,"Mar 18, 2026",$55.55,$0.00,,,Fixed price,https://www.ebay.com/itm/134928870328
1921-S Walking Liberty Silver Half Dollar 50C-AG,156904776294,"Mar 18, 2026",$49.34,$5.89,,,Fixed price,https://www.ebay.com/itm/156904776294
[Removed] Item 287203348607,287203348607,"Mar 15, 2026",$28.67,$9.99,,,Fixed price,,3
1921-S U.S. Mint Walking Liberty Half Dollar **AG/G KEY-DATE,116965620943,"Mar 14, 2026",$34.00,$5.99,,,Fixed price,https://www.ebay.com/itm/116965620943
1921-S Walking Liberty Half Dollar,146196378922,"Mar 14, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146196378922
Walking Liberty Half 1921-S,147198443183,"Mar 14, 2026",$75.00,$7.50,,,Auction,https://www.ebay.com/itm/147198443183
,,"Mar 14, 2026",$34.00,$5.99,,,Fixed price,,1
1921 S Walking Liberty Half Dollar Filler Coin,147189332175,"Mar 13, 2026",$47.00,$8.75,,,Auction,https://www.ebay.com/itm/147189332175
1921-S walking Liberty half dollar #P30874,127714792162,"Mar 12, 2026",$70.00,$4.25,,,Auction,https://www.ebay.com/itm/127714792162
1921-S Walking Liberty Half Dollar Circulated,117067185314,"Mar 11, 2026",$44.89,$5.00,,,Auction,https://www.ebay.com/itm/117067185314
,,"Mar 11, 2026",$44.89,$5.00,,,Auction,,1
1921 S Walking Liberty Silver Half Dollar,147183089558,"Mar 10, 2026",$33.77,$2.56,,,Auction,https://www.ebay.com/itm/147183089558
1921 S Walking Liberty Silver Half Dollar,147185055979,"Mar 9, 2026",$34.39,$3.56,,,Auction,https://www.ebay.com/itm/147185055979
1921- S WALKING LIBERTY HALF DOLLAR.,146535293583,"Mar 7, 2026",$228.00,$5.25,,,Fixed price,https://www.ebay.com/itm/146535293583
1921-S WALKING LIBERTY HALF DOLLAR ** KEY DATE,127713117172,"Mar 6, 2026",$41.00,$3.99,,,Auction,https://www.ebay.com/itm/127713117172
03/00000006 L#4851 1921 S Walking Liberty Silver Half Dollar (ajz),157728892860,"Mar 6, 2026",$110.00,$0.00,,,Auction,https://www.ebay.com/itm/157728892860
1921 P & S Walking Liberty Half Dollar,177919481257,"Mar 6, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177919481257
,,"Feb 23, 2026",$23.50,$6.99,,,Auction,,1
1921-S Walking Liberty half dollar. AG-G. #ma2,117004251938,"Feb 22, 2026",$46.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117004251938,1
,,"Feb 22, 2026",$46.00,$0.00,,,Fixed price,,1
Dansco Replacement Page 1 For Album 7160 Liberty Walking Half Dollar 1916 1921-S,116009839742,"Feb 20, 2026",$18.97,$0.00,,,Fixed price,https://www.ebay.com/itm/116009839742,2
1921-S WALKING LIBERTY HALF DOLLAR__SILVER COIN__SEMI KEY DATE__SAN FRANCISCO,117035951073,"Feb 20, 2026",$76.00,$1.99,,,Auction,https://www.ebay.com/itm/117035951073,1
,,"Feb 20, 2026",$76.00,$1.99,,,Auction,,1
,,"Feb 10, 2026",$42.00,$8.10,,,Fixed price,,1
,,"Feb 5, 2026",$44.99,$4.00,,,Fixed price,,1
,,"Jan 31, 2026",$85.00,$5.07,,,Auction,,1
,,"Jan 27, 2026",$53.00,$4.00,,,Auction,,1
,,"Jan 26, 2026",$74.00,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$43.00,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$67.00,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$63.67,$5.00,,,Auction,,1
,,"Jan 15, 2026",$38.66,$4.99,,,Fixed price,,9
,,"Jan 15, 2026",$38.74,$4.99,,,Fixed price,,8
,,"Jan 14, 2026",$41.74,$5.00,,,Fixed price,,12
,,"Jan 14, 2026",$42.90,$5.00,,,Fixed price,,11
,,"Jan 12, 2026",$65.00,$0.00,,,Fixed price,,1
,,"Jan 8, 2026",$41.12,$0.00,,,Auction,,1
,,"Jan 7, 2026",$38.00,$4.00,,,Fixed price,,1
,,"Jan 4, 2026",$58.99,$5.99,,,Auction,,1
,,"Dec 24, 2025",$199.00,$4.95,,,Fixed price,,1
,,"Dec 19, 2025",$27.01,$0.80,,,Auction,,1
,,"Dec 7, 2025",$30.62,$4.99,,,Fixed price,,8
,,"Nov 28, 2025",$45.65,$0.00,,,Fixed price,,2
,,"Nov 28, 2025",$120.00,$4.00,,,Fixed price,,1
,,"Nov 26, 2025",$360.00,$8.95,,,Auction,,1
