Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
A6761- 1992 Ultra Baseball Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234199986260,"May 19, 2026",$0.74,$0.44,,,Fixed price,https://www.ebay.com/itm/234199986260,147
B4073- 1992 Topps Football Cards 601-758 +Inserts -You Pick- 15+ FREE US SHIP,257296465111,"May 19, 2026",$1.12,$0.35,,,Fixed price,https://www.ebay.com/itm/257296465111,42
INVINCIBLE UNIVERSE: BATTLE BEAST #9 **COVER SELECT** PRESALE 05/20/2026,377101828060,"May 18, 2026",$7.56,$2.63,,,Fixed price,https://www.ebay.com/itm/377101828060,76
A8032- 1992 Topps Baseball Cards 401-600 +Rookies -You Pick- 15+ FREE US SHIP,234100209510,"May 18, 2026",$0.75,$0.10,,,Fixed price,https://www.ebay.com/itm/234100209510,51
A8038- 1992 Leaf Black Gold Baseball Cards 401-528 -You Pick- 15+ FREE US SHIP,234800678869,"May 18, 2026",$0.87,$0.77,,,Fixed price,https://www.ebay.com/itm/234800678869,44
A2552- 1992-93 Topps Basketball #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,335202500734,"May 17, 2026",$1.09,$0.24,,,Fixed price,https://www.ebay.com/itm/335202500734,60
B0600- 1992 Topps Gold Baseball Card #s 1-250 -You Pick- 15+ FREE US SHIP,335866490487,"May 17, 2026",$1.29,$0.20,,,Fixed price,https://www.ebay.com/itm/335866490487,56
A7048- 1992 Stadium Club Dome BB #s 1-200 +Rookies -You Pick- 15+ FREE US SHIP,335737892778,"May 17, 2026",$0.80,$0.26,,,Fixed price,https://www.ebay.com/itm/335737892778,46
ABSOLUTE BATMAN #21 **COVER SELECT** [1:25] PRE-SALE 06/10/26,377146533246,"May 15, 2026",$5.12,$2.14,,,Fixed price,https://www.ebay.com/itm/377146533246,180
A0693- 1992 Bowman Football Cards 251-499 +Rookies -You Pick- 15+ FREE US SHIP,235286457709,"May 14, 2026",$0.73,$0.25,,,Fixed price,https://www.ebay.com/itm/235286457709,63
A9587- 1992 Donruss Baseball #s 251-500 +Rookies -You Pick- 15+ FREE US SHIP,234323464256,"May 13, 2026",$0.82,$0.41,,,Fixed price,https://www.ebay.com/itm/234323464256,79
A2930- 1992-93 Topps Hockey Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234467775490,"May 11, 2026",$0.72,$0.19,,,Fixed price,https://www.ebay.com/itm/234467775490,41
A3124- 1992 Topps Traded BB Card #s 1-132 +Rookies -You Pick- 15+ FREE US SHIP,257181925031,"May 10, 2026",$1.12,$0.62,,,Fixed price,https://www.ebay.com/itm/257181925031,63
A1050- 1992 Skybox Impact FB Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234109378245,"May 7, 2026",$0.73,$0.60,,,Fixed price,https://www.ebay.com/itm/234109378245,57
A8038- 1992 Leaf Black Gold Baseball Cards 201-400 -You Pick- 15+ FREE US SHIP,334646816753,"May 3, 2026",$0.90,$0.74,,,Fixed price,https://www.ebay.com/itm/334646816753,86
B6215- 1992 Future Trends '76 Canada Cup Hk Cards -You Pick- 15+ FREE US SHIP,236609311275,"Apr 30, 2026",$1.40,$0.31,,,Fixed price,https://www.ebay.com/itm/236609311275,47
A9587- 1992 Donruss Baseball Cards 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234323464211,"Apr 25, 2026",$0.79,$0.11,,,Fixed price,https://www.ebay.com/itm/234323464211,51
A5385- 1992 Grid Formula One Nascar Card #s 1-200 -You Pick- 15+ FREE US SHIP,336282835107,"Apr 24, 2026",$1.35,$0.41,,,Fixed price,https://www.ebay.com/itm/336282835107,90
A2930- 1992-93 Topps Hockey Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,234467775531,"Apr 24, 2026",$0.77,$0.20,,,Fixed price,https://www.ebay.com/itm/234467775531,39
A6842- 1992-93 Upper Deck Hockey Card #s 1-250 -You Pick- 15+ FREE US SHIP,234284992131,"Apr 12, 2026",$0.81,$0.25,,,Fixed price,https://www.ebay.com/itm/234284992131,45
A0693- 1992 Bowman Football Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,235286457710,"Apr 12, 2026",$0.73,$0.22,,,Fixed price,https://www.ebay.com/itm/235286457710,43
A2518- 1992-93 Upper Deck Basketball Cards 245-496 -You Pick- 15+ FREE US SHIP,234124506005,"Apr 11, 2026",$0.76,$0.14,,,Fixed price,https://www.ebay.com/itm/234124506005,46
ABSOLUTE BATMAN #20 **COVER SELECT** OPEN & [1:25] NM🆙 PRE-SALE 05/13/26,377015453152,"Apr 5, 2026",$6.60,$2.50,,,Fixed price,https://www.ebay.com/itm/377015453152
Absolute Batman 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 Complete Lot Set NM,336474481924,"Apr 5, 2026",$110.86,$15.33,,,Fixed price,https://www.ebay.com/itm/336474481924
A6796- 1992 Stadium Club Baseball Card #s 251-500 -You Pick- 15+ FREE US SHIP,334101870041,"Apr 5, 2026",$0.82,$0.50,,,Fixed price,https://www.ebay.com/itm/334101870041
A6796- 1992 Stadium Club Baseball Card #s 501-750 -You Pick- 15+ FREE US SHIP,234121659603,"Apr 5, 2026",$0.78,$1.29,,,Fixed price,https://www.ebay.com/itm/234121659603
A2222- 1992 Upper Deck BB Card #s 501-750 +Rookies -You Pick- 15+ FREE US SHIP,334192267702,"Apr 5, 2026",$0.84,$0.38,,,Fixed price,https://www.ebay.com/itm/334192267702
A6796- 1992 Stadium Club Baseball Card #s 1-250 -You Pick- 15+ FREE US SHIP,234121642699,"Apr 5, 2026",$0.78,$0.00,,,Fixed price,https://www.ebay.com/itm/234121642699
A2222- 1992 Upper Deck BB Card #s 251-500 +Rookies -You Pick- 15+ FREE US SHIP,334192267662,"Apr 5, 2026",$0.74,$1.09,,,Fixed price,https://www.ebay.com/itm/334192267662
Absolute Batman 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 Complete Lot Set NM,336493834323,"Apr 5, 2026",$122.63,$18.99,,,Fixed price,https://www.ebay.com/itm/336493834323
ABSOLUTE BATMAN #19 **COVER SELECT** OPEN & [1:25] PRE-SALE 04/15 (Date Moved),376980066492,"Apr 4, 2026",$4.98,$2.44,,,Fixed price,https://www.ebay.com/itm/376980066492
ABSOLUTE BATMAN #18 **COVER SELECT** OPEN & [1:25] NM🆙 PRE-SALE 03/18/26,376894000515,"Apr 4, 2026",$5.13,$1.98,,,Fixed price,https://www.ebay.com/itm/376894000515
INVINCIBLE UNIVERSE: BATTLE BEAST #7 **COVER SELECT** McFarlane PRESALE 03/18,376877303867,"Apr 4, 2026",$9.05,$2.57,,,Fixed price,https://www.ebay.com/itm/376877303867
SKOTTIE YOUNG SPAWN connecting cover variant set KING GUNSLINGER SCORCHED 50 pre,137090991180,"Apr 4, 2026",$9.34,$6.99,,,Fixed price,https://www.ebay.com/itm/137090991180
Absolute Superman 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 ALL 1st PRINT Lot NM,336463769564,"Apr 4, 2026",$162.28,$13.48,,,Fixed price,https://www.ebay.com/itm/336463769564
B4073- 1992 Topps Football Cards 401-600 +Rookies -You Pick- 15+ FREE US SHIP,236568040390,"Apr 4, 2026",$0.95,$0.25,,,Fixed price,https://www.ebay.com/itm/236568040390
A1235- 1991-1992 Conlon TSN Baseball Cards 251-500 -You Pick- 15+ FREE US SHIP,257008155644,"Apr 4, 2026",$0.84,$0.74,,,Fixed price,https://www.ebay.com/itm/257008155644
A2222- 1992 Upper Deck BB Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334192267598,"Apr 4, 2026",$1.15,$0.76,,,Fixed price,https://www.ebay.com/itm/334192267598
B4073- 1992 Topps Football Cards 201-400 +Rookies -You Pick- 15+ FREE US SHIP,236568040393,"Apr 4, 2026",$0.88,$0.50,,,Fixed price,https://www.ebay.com/itm/236568040393
INVINCIBLE UNIVERSE: BATTLE BEAST #8 **COVER SELECT** PRESALE 04/15,377033220830,"Apr 3, 2026",$5.94,$2.46,,,Fixed price,https://www.ebay.com/itm/377033220830
B1903- 1992 Pacific FB Card #s 501-660 +Inserts -You Pick- 15+ FREE US SHIP,234713906932,"Apr 3, 2026",$0.85,$0.32,,,Fixed price,https://www.ebay.com/itm/234713906932
A8235- 1992 Upper Deck Comic Ball 3 BB Cards 1-198 -You Pick- 15+ FREE US SHIP,234752879954,"Apr 3, 2026",$0.83,$0.00,,,Fixed price,https://www.ebay.com/itm/234752879954
A8032- 1992 Topps Baseball Cards 1-200 +Rookies -You Pick- 15+ FREE US SHIP,234100209219,"Apr 3, 2026",$0.74,$0.00,,,Fixed price,https://www.ebay.com/itm/234100209219
Vintage Comics NM+ Individual Through Bulk Dozens of Series + More 35% OFF 4+,126744264538,"Apr 2, 2026",$1.49,$1.00,,,Fixed price,https://www.ebay.com/itm/126744264538
B2745- 1992 GameDay Football Cards 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334708466087,"Apr 2, 2026",$0.88,$0.34,,,Fixed price,https://www.ebay.com/itm/334708466087
A2086- 1992 Upper Deck FB Card #s 501-620 +Inserts -You Pick- 15+ FREE US SHIP,235580275273,"Apr 2, 2026",$0.77,$0.10,,,Fixed price,https://www.ebay.com/itm/235580275273
A2160- 1992 Pro Set Football #s 251-500 +Rookies -You Pick- 15+ FREE US SHIP,334208146839,"Apr 2, 2026",$0.80,$0.10,,,Fixed price,https://www.ebay.com/itm/334208146839
1992-S US Mint Proof Set 5 Coin Set OGP COA Original Government Packaging,145592198056,"Apr 1, 2026",$12.86,$0.00,,,Fixed price,https://www.ebay.com/itm/145592198056
A6842- 1992-93 Upper Deck Hockey Card #s 251-500 -You Pick- 15+ FREE US SHIP,234284999133,"Mar 31, 2026",$0.79,$0.10,,,Fixed price,https://www.ebay.com/itm/234284999133
B1903- 1992 Pacific Football Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,256919870045,"Mar 31, 2026",$0.92,$0.50,,,Fixed price,https://www.ebay.com/itm/256919870045
Sonja Reborn #6 Ito Dynamite.Com Exclusive Trade & Virgin Set NM+,377039984355,"Mar 30, 2026",$35.00,$10.00,,,Fixed price,https://www.ebay.com/itm/377039984355
1992-1998 Washington Quarter Silver Proof 7 Coin Set US Mint 50C Coins,147188630492,"Mar 30, 2026",$147.13,$0.00,,,Fixed price,https://www.ebay.com/itm/147188630492
B2745- 1992 GameDay Football Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,334708466084,"Mar 30, 2026",$0.95,$0.28,,,Fixed price,https://www.ebay.com/itm/334708466084
B4073- 1992 Topps Football Card #s 1-200 +Rookies -You Pick- 15+ FREE US SHIP,236568040387,"Mar 30, 2026",$0.94,$0.32,,,Fixed price,https://www.ebay.com/itm/236568040387
B2272- 1992 Score Baseball Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,334621425010,"Mar 30, 2026",$0.91,$0.94,,,Fixed price,https://www.ebay.com/itm/334621425010
B0686- 1992 Front Row Dream Picks Bk 1-100 +Inserts -You Pick- 15+ FREE US SHIP,234899771213,"Mar 29, 2026",$0.85,$0.00,,,Fixed price,https://www.ebay.com/itm/234899771213
B0600- 1992 Topps Gold Baseball Card #s 501-750 -You Pick- 15+ FREE US SHIP,335866490495,"Mar 29, 2026",$0.89,$0.89,,,Fixed price,https://www.ebay.com/itm/335866490495
A0837- 1992 Front Row Basketball #s 1-100 +Inserts -You Pick- 15+ FREE US SHIP,257120819655,"Mar 29, 2026",$0.96,$1.09,,,Fixed price,https://www.ebay.com/itm/257120819655
B0600- 1992 Topps Gold Baseball Card #s 251-500 -You Pick- 15+ FREE US SHIP,256861157965,"Mar 29, 2026",$1.39,$0.22,,,Fixed price,https://www.ebay.com/itm/256861157965
A8003- 1992 Leaf Baseball Card #s 1-200 +Rookies -You Pick- 15+ FREE US SHIP,234096121899,"Mar 28, 2026",$0.69,$0.18,,,Fixed price,https://www.ebay.com/itm/234096121899
B2660- 1992 Upper Deck Comic Ball 4 BB Cards 1-198 -You Pick- 15+ FREE US SHIP,236087181872,"Mar 27, 2026",$0.95,$0.10,,,Fixed price,https://www.ebay.com/itm/236087181872
A9250- 1992 Score Football Card #s 1-200 +Rookies -You Pick- 15+ FREE US SHIP,334379440919,"Mar 27, 2026",$0.77,$0.00,,,Fixed price,https://www.ebay.com/itm/334379440919
A1803- 1992 Pinnacle FB Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334502926837,"Mar 25, 2026",$0.95,$0.21,,,Fixed price,https://www.ebay.com/itm/334502926837
A1803- 1992 Pinnacle FB Card #s 251-360 +Inserts -You Pick- 15+ FREE US SHIP,234623710324,"Mar 25, 2026",$0.99,$0.21,,,Fixed price,https://www.ebay.com/itm/234623710324
ABSOLUTE WONDER WOMAN 1 2 3 4 5 6 7 LATER PRINT SET NM 1ST ARC,177903215897,"Mar 25, 2026",$34.49,$5.76,,,Fixed price,https://www.ebay.com/itm/177903215897
B5854- 1992 Beach Sports Card #s 1-100 +Inserts -You Pick- 15+ FREE US SHIP,235805016715,"Mar 24, 2026",$1.51,$0.10,,,Fixed price,https://www.ebay.com/itm/235805016715
B1883- 1992 Studio Baseball Cards 1-200 +Rookies -You Pick- 15+ FREE US SHIP,234814922578,"Mar 24, 2026",$0.83,$0.00,,,Fixed price,https://www.ebay.com/itm/234814922578
B6142- 1992-93 Hoops Bk Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,256746204547,"Mar 22, 2026",$0.92,$0.00,,,Fixed price,https://www.ebay.com/itm/256746204547
B6142- 1992-93 Hoops Bk Card #s 251-490 +Inserts -You Pick- 15+ FREE US SHIP,256746204550,"Mar 22, 2026",$1.09,$0.00,,,Fixed price,https://www.ebay.com/itm/256746204550
A2094- 1992 Fleer Baseball Cards 501-720+ Rookies -You Pick- 15+ FREE US SHIP,334191166928,"Mar 22, 2026",$0.80,$0.36,,,Fixed price,https://www.ebay.com/itm/334191166928
B3773- 1992 Classic Best Baseball Card #s 251-450 -You Pick- 15+ FREE US SHIP,235153049977,"Mar 22, 2026",$0.97,$0.27,,,Fixed price,https://www.ebay.com/itm/235153049977
U Choose BATMAN (2016) comics DC Rebirth,177913971305,"Mar 16, 2026",$2.93,$0.87,,,Fixed price,https://www.ebay.com/itm/177913971305
ABSOLUTE BATMAN #17 **COVER SELECT** OPEN & [1:25] PRE-SALE 02/18/26,376811034187,"Mar 1, 2026",$5.07,$2.48,,,Fixed price,https://www.ebay.com/itm/376811034187,431
,,"Dec 29, 2025",$5.44,$2.73,,,Fixed price,,269
,,"Dec 4, 2025",$5.74,$2.94,,,Fixed price,,237
