Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1985-S US Mint Proof Set 5 Coin Set OGP Original Government Packaging,145591702649,"Mar 31, 2026",$12.47,$0.00,,,Fixed price,https://www.ebay.com/itm/145591702649
1985 Proof set. Genuine. complete and original as issued by US Mint.,372644861224,"Mar 27, 2026",$5.94,$3.43,,,Fixed price,https://www.ebay.com/itm/372644861224
1985 S PROOF Set in Original Box US Mint (5 Coin Set),276822474473,"Mar 10, 2026",$11.87,$0.00,,,Fixed price,https://www.ebay.com/itm/276822474473
1985-S US Mint Proof Set 5 Coin Set OGP Original Government Packaging,227226472007,"Mar 24, 2026",$11.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227226472007
A6710- 1985 Fleer Update BB Card #s 1-132 +Rookies -You Pick- 15+ FREE US SHIP,256982883946,"Mar 17, 2026",$0.84,$0.10,,,Fixed price,https://www.ebay.com/itm/256982883946
B3684- 1985 Leaf/Donruss BB Card #s 1-264 +Rookies -You Pick- 15+ FREE US SHIP,334979873823,"Mar 12, 2026",$0.82,$0.00,,,Fixed price,https://www.ebay.com/itm/334979873823
1985 Proof & Uncirculated Annual US Mint Coin Sets PDS 15 Coins,206132646799,"Apr 3, 2026",$14.58,$0.00,,,Fixed price,https://www.ebay.com/itm/206132646799
1985 P&D Mint Set Brilliant Uncirculated US with Envelope & COA (10 Coin Set),227060539203,"Mar 21, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227060539203
1985 Clad US Proof 5 Coin Set with Original Packaging COMPLETE,234382542073,"Mar 12, 2026",$8.49,$0.00,,,Fixed price,https://www.ebay.com/itm/234382542073
B6638- 1985 Islanders News Trottier Byran Hk 1-33 -You Pick- 15+ FREE US SHIP,256911611432,"Mar 13, 2026",$1.71,$0.00,,,Fixed price,https://www.ebay.com/itm/256911611432
"1985-S-US MINT PROOF, SET-FROM ORIG. U.S. MINT SHIPPING BOX, SEE PICS #1738.",297544223361,"Apr 3, 2026",$7.33,$3.95,,,Fixed price,https://www.ebay.com/itm/297544223361
1985-P Kennedy Half Dollar 50Cent Piece from US Mint Set. Uncirculated BU,314942324070,"Apr 4, 2026",$3.95,$0.75,,,Fixed price,https://www.ebay.com/itm/314942324070
1985-S Washington Quarter 25cent *PROOF* Coin from US Mint Proof Set,317057185963,"Mar 23, 2026",$4.35,$0.70,,,Fixed price,https://www.ebay.com/itm/317057185963
1985 United States Mint Proof Set US Coins,325232333554,"Mar 20, 2026",$4.99,$5.00,,,Fixed price,https://www.ebay.com/itm/325232333554
1987-S US Mint Proof Set 1989 1986 1985,116222619946,"Apr 1, 2026",$24.99,$7.40,,,Fixed price,https://www.ebay.com/itm/116222619946
"(3) DC Comics BATMAN & THE OUTSIDERS #21, 25, Annual 2 [1985] NM Alan Davis",117059369103,"Mar 8, 2026",$11.99,$2.75,,,Auction,https://www.ebay.com/itm/117059369103
THE BLACK DRAGON EPIC COMICS MARVEL CHRIS CLAREMONT JOHN BOLTON 1985 #1- #6 ;,125247016065,"Mar 22, 2026",$29.99,$27.48,,,Fixed price,https://www.ebay.com/itm/125247016065
1985 US MINT UNCIRCULATED COIN SET D AND P MINT MARKS ORIGINAL PACKAGING,127723372106,"Mar 13, 2026",$5.00,$0.75,,,Auction,https://www.ebay.com/itm/127723372106
1985-S US Mint Proof Set 5 Coin Set OGP *Ships Next Day,135444958611,"Mar 22, 2026",$9.59,$5.00,,,Fixed price,https://www.ebay.com/itm/135444958611
MOONSHADOW #1-12 Full Set #1 SIGNED Jon J Muth 1st Prints 1985 Epic/Marvel Comic,136173043642,"Mar 19, 2026",$40.00,$13.25,,,Fixed price,https://www.ebay.com/itm/136173043642
Complete Set Crisis on infinite Earths 1-12 1985 Wolfman Perez Classic 7 cover,136880442610,"Apr 1, 2026",$62.99,$6.72,,,Fixed price,https://www.ebay.com/itm/136880442610
1985 US Proof Set in OGP,144659396827,"Mar 22, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/144659396827
1985 US Mint Set OGP UNC,145282640266,"Mar 23, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145282640266
(5) 1985 P & D US Mint Uncirculated Sets 50 Coins OGP Original Envelopes BU,145592512550,"Apr 1, 2026",$28.09,$0.00,,,Fixed price,https://www.ebay.com/itm/145592512550
Squadron Supreme 1-5 7 8 10 all NM from 1985! Marvel near set 1-12 5479,146853989581,"Mar 16, 2026",$10.79,$0.00,,,Fixed price,https://www.ebay.com/itm/146853989581
