Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 $5 American Gold Eagle 1/10 oz NGC MS70 Brown Label,176710679531,"Jan 29, 2026",$784.07,$0.00,,,Fixed price,https://www.ebay.com/itm/176710679531,1
2025 $5 American Gold Eagle 1/10 oz PCGS MS70 FDOI Flag Label,176710684477,"Oct 29, 2025",$611.39,$0.00,,,Fixed price,https://www.ebay.com/itm/176710684477,1
2025 1/10 oz American Gold Eagle NGC MS 70,177505746355,"Jan 21, 2026",$575.00,$7.70,,,Fixed price,https://www.ebay.com/itm/177505746355,1
,,"Nov 17, 2025",$472.00,$0.00,,,Auction,,1
,,"Dec 27, 2025",$576.45,$8.50,,,Fixed price,,1
2025 American Gold Eagle G$5 MS70 💥The Official Red Book💥,177753822951,"Jan 24, 2026",$568.00,$5.07,,,Fixed price,https://www.ebay.com/itm/177753822951,1
2025 $5 American Gold Eagle MS70 NGC 1/10 oz fine gold,177772062768,"Jan 15, 2026",$535.00,$7.50,,,Auction,https://www.ebay.com/itm/177772062768,1
Merry Christmas 1/10 Oz Gold American Eagle .9167 Fine Gold,177859163609,"Feb 12, 2026",$500.00,$5.29,,,Fixed price,https://www.ebay.com/itm/177859163609,1
2025 1/10 oz American Gold Eagle NGC MS 70,177896628000,"Feb 27, 2026",$615.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177896628000,1
2025 $5 American Gold Eagle 1/10 oz PCGS MS70 Type 2,178031445839,"Apr 12, 2026",$545.00,$7.95,,,Auction,https://www.ebay.com/itm/178031445839,1
,,"Oct 21, 2025",$481.59,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$525.00,$4.87,,,Fixed price,,1
,,"Nov 22, 2025",$468.69,$0.00,,,Fixed price,,1
,,"Dec 7, 2025",$465.00,$5.00,,,Fixed price,,2
,,"Dec 7, 2025",$489.99,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$470.00,$4.50,,,Fixed price,,1
2025 American Gold Eagle NGC MS 70 - 1/10oz Fine Gold $5. #057,187949069056,"Jan 15, 2026",$524.00,$4.95,,,Fixed price,https://www.ebay.com/itm/187949069056,1
1/10 oz Gold American Eagle 2025,187957512598,"Jan 24, 2026",$551.00,$0.00,,,Auction,https://www.ebay.com/itm/187957512598,1
2025 US $5 Gold Eagle 1/10th NGC MS69,187958252042,"Jan 25, 2026",$550.00,$4.69,,,Auction,https://www.ebay.com/itm/187958252042,1
2025 $5 Gold Coin President Trump 47 Edition Liberty Gold Eagle Factory Sealed,197791603069,"Oct 28, 2025",$675.00,$7.20,,,Fixed price,https://www.ebay.com/itm/197791603069,1
,,"Nov 18, 2025",$454.00,$0.00,,,Auction,,1
,,"Nov 16, 2025",$497.00,$15.00,,,Auction,,1
,,"Nov 30, 2025",$582.50,$0.00,,,Fixed price,,1
,,"Dec 14, 2025",$485.00,$0.00,,,Auction,,1
,,"Dec 9, 2025","$1,075.00",$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$511.91,$0.00,,,Auction,,1
2025 $5 Gold American Eagle ICG MS70 1/10 Oz .999 Fine Gold Coin,198019068060,"Jan 30, 2026",$599.60,$5.40,,,Fixed price,https://www.ebay.com/itm/198019068060,1
2025 $5 American Gold Eagle 1/10 oz NGC MS70 FDI Trump Label,205239820433,"Jan 21, 2026",$863.21,$0.00,,,Fixed price,https://www.ebay.com/itm/205239820433,1
,,"Oct 16, 2025","$1,175.00",$4.99,,,Fixed price,,1
,,"Nov 15, 2025",$550.00,$9.90,,,Fixed price,,1
,,"Nov 12, 2025",$599.00,$0.00,,,Fixed price,,1
,,"Nov 22, 2025",$499.99,$12.60,,,Fixed price,,1
,,"Nov 19, 2025","$1,250.00",$9.90,,,Auction,,1
,,"Nov 19, 2025",$460.00,$0.00,,,Auction,,1
,,"Nov 28, 2025","$1,439.18",$0.00,,,Auction,,1
,,"Nov 30, 2025",$481.00,$0.00,,,Auction,,1
,,"Dec 7, 2025",$478.00,$0.00,,,Auction,,1
,,"Dec 15, 2025",$545.00,$9.90,,,Fixed price,,1
