Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 26, 2025",$45.00,$3.99,,,Fixed price,,1
2023 Australia Lunar Rabbit Ltd. RARE PROOF w/Dragon Privy 1 oz .999 Silver Coin,187938476862,"Jan 22, 2026",$120.00,$4.79,,,Fixed price,https://www.ebay.com/itm/187938476862,1
2023 Australia Silver 1 Oz 9999 Fine Silver Perth Mint Lunar Year of the Rabbit,187988173989,"Feb 3, 2026",$108.50,$4.99,,,Auction,https://www.ebay.com/itm/187988173989,1
2023 1/2 oz 50 Cents Colorized Silver Lunar Year of The Rabbit Coin Perth Mint,188095342477,"Feb 27, 2026",$68.90,$0.00,,,Fixed price,https://www.ebay.com/itm/188095342477,1
,,"Dec 15, 2025",$34.95,$0.00,,,Fixed price,,1
2023 Year of the Rabbit 1/2 oz silver coin BU Australia Perth Mint,198035876245,"Jan 29, 2026",$60.00,$5.07,,,Fixed price,https://www.ebay.com/itm/198035876245,1
2023 Australia Lunar Year of the Rabbit 1 oz .9999 Silver Coin w/ Perth Capsule,198138034036,"Feb 27, 2026",$105.95,$5.95,,,Fixed price,https://www.ebay.com/itm/198138034036,1
Australian Lunar Series III. Year of the Rabbit. 2023 1 Oz Silver. Unc. Gilded.,198251972682,"Apr 8, 2026",$209.00,$5.27,,,Auction,https://www.ebay.com/itm/198251972682,1
,,"Oct 28, 2025",$48.05,$4.76,,,Auction,,1
"2023 1/2 oz Silver Coin In Capsule, 999 BU, Perth Mint Lunar Year of the Rabbit",206007508608,"Jan 28, 2026",$63.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206007508608,1
Lunar Year of the Rabbit 2023 Australia 50C Colorized Silver Coin NGC MS 70,226762788899,"Jan 28, 2026",$64.00,$8.75,,,Fixed price,https://www.ebay.com/itm/226762788899,1
,,"Nov 9, 2025",$58.00,$7.25,,,Fixed price,,1
2023 1/10 oz Gold Australian Lunar Year of The Rabbit.,226984321866,"Mar 8, 2026",$617.50,$4.88,,,Fixed price,https://www.ebay.com/itm/226984321866,1
2023. 1/2 oz Silver Australian. “Year of the Rabbit.”. Colored. UNC. FROSTY,227186294412,"Jan 23, 2026",$65.00,$5.20,,,Fixed price,https://www.ebay.com/itm/227186294412,1
1oz Australian Lunar Year Of The Rabbit Dragon Privy Bullion Silver Coin Og Cap,227230994953,"Mar 1, 2026",$96.88,$5.85,,,Auction,https://www.ebay.com/itm/227230994953,1
2023 Australia Lunar Year of the Rabbit 1/2 oz Silver .9999 REV Proof Perth Mint,227290964806,"Apr 11, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227290964806,1
,,"Dec 28, 2025",$96.00,$4.00,,,Auction,,1
2023 Australia 1 oz. Opal Series Lunar Year of the Rabbit Silver Proof Coin,236578778322,"Apr 2, 2026",$310.15,$19.40,,,Fixed price,https://www.ebay.com/itm/236578778322,1
2023 Australia Gilded 1 oz Silver Coin Lunar Year of the Rabbit NGC MS 70 FR,257034673917,"Jan 26, 2026",$169.99,$0.00,,,Fixed price,https://www.ebay.com/itm/257034673917,1
,,"Oct 19, 2025",$41.00,$2.50,,,Auction,,1
,,"Oct 22, 2025",$46.00,$21.99,,,Auction,,1
,,"Oct 26, 2025",$46.00,$4.99,,,Auction,,1
,,"Nov 2, 2025",$43.00,$21.99,,,Auction,,1
,,"Nov 30, 2025",$51.66,$4.99,,,Auction,,1
,,"Dec 7, 2025",$38.00,$4.99,,,Auction,,1
,,"Dec 14, 2025",$52.00,$7.00,,,Auction,,1
,,"Dec 21, 2025",$50.00,$7.00,,,Auction,,1
,,"Jan 11, 2026",$66.00,$7.00,,,Auction,,1
2023 Australia Lunar Year of the Rabbit Colorized 1/2 oz Silver NGC MS70,257304132667,"Jan 18, 2026",$66.00,$7.00,,,Auction,https://www.ebay.com/itm/257304132667,1
2023 Australia Lunar Year of the Rabbit Colorized 1/2 oz Silver NGC MS70,257316322822,"Jan 25, 2026",$62.00,$14.10,,,Auction,https://www.ebay.com/itm/257316322822,1
2023 Australia Lunar Year of the Rabbit Colorized 1/2 oz Silver NGC MS70,257328749371,"Feb 1, 2026",$71.00,$4.71,,,Auction,https://www.ebay.com/itm/257328749371,1
2023 Australia Lunar Year of the Rabbit Colorized 1/2 oz Silver NGC MS70,257340564136,"Feb 8, 2026",$86.00,$5.99,,,Auction,https://www.ebay.com/itm/257340564136,1
2023 $1 Australia Lunar Series Year of the Rabbit 1 oz .9999 Fine Silver Coin,257352857484,"Feb 21, 2026",$103.50,$4.25,,,Auction,https://www.ebay.com/itm/257352857484,1
2023 Australia Lunar Year of the Rabbit Colorized NGC MS70 Special Label,257360661793,"Mar 5, 2026",$149.99,$5.99,,,Fixed price,https://www.ebay.com/itm/257360661793,1
2023 Australia 1 oz Silver Lunar Rabbit BU in Capsule,257434022948,"Mar 30, 2026",$104.95,$5.95,,,Fixed price,https://www.ebay.com/itm/257434022948,1
2023 PROOF Silver Lunar Year of the Rabbit NGC PF70 1/2oz Coin Half Dollar,265943002343,"Feb 5, 2026",$115.42,$0.00,,,Fixed price,https://www.ebay.com/itm/265943002343,1
RARE 2022 Silver Sydney ADNA Expo Lunar 2023 Year of the Rabbit 1/4oz NGC MS70 F,266014808104,"Dec 27, 2025",$83.99,$0.00,,,Fixed price,https://www.ebay.com/itm/266014808104,1
2023 Australia OPAL LUNAR Year of the Rabbit 1 oz Silver Proof Coin NGC PF70 ER,266101429481,"Feb 11, 2026",$346.24,$0.00,,,Fixed price,https://www.ebay.com/itm/266101429481,1
2023 Australia OPAL LUNAR Year of the Rabbit 1 oz Silver Proof Coin NGC PF70 FR,266101436530,"Jan 29, 2026",$357.06,$0.00,,,Fixed price,https://www.ebay.com/itm/266101436530,1
2023 LUNAR Year of Rabbit 1oz $1 Silver Rotating Charm Antiqued Coin NGC MS70 FR,266161093264,"Jan 28, 2026",$240.44,$20.63,,,Fixed price,https://www.ebay.com/itm/266161093264,1
2023 Australia PROOF Colored Silver Lunar Year of the RABBIT NGC PF70 1oz Coin F,266171728174,"Mar 22, 2026",$287.97,$0.00,,,Fixed price,https://www.ebay.com/itm/266171728174,1
,,"Oct 23, 2025",$24.95,$7.50,,,Fixed price,,1
,,"Jan 9, 2026",$95.00,$4.95,,,Fixed price,,1
2023 Australian 1 OZ .999 SILVER Lunar Year of Rabbit HIGH RELIEF Series 3 Coin,277641377841,"Jan 17, 2026",$117.50,$8.80,,,Auction,https://www.ebay.com/itm/277641377841,1
2023 Australia GOLD Gilded PROOF Lunar Year of the Rabbit 1oz Silver!,277656325234,"Jan 24, 2026",$117.50,$2.26,,,Auction,https://www.ebay.com/itm/277656325234,1
2023 Perth MINT Lunar Year of The Rabbit 1 oz Silver Dragon Privy BU Australian,277803512102,"Mar 19, 2026",$86.00,$4.88,,,Auction,https://www.ebay.com/itm/277803512102,1
*NEW* 2023 Year of the Rabbit 1/2 oz Australia Lunar Silver BU w/ Cap & Pouch,285431827364,"Nov 7, 2025",$47.96,$7.90,,,Fixed price,https://www.ebay.com/itm/285431827364,1
,,"Dec 12, 2025",$58.00,$4.00,,,Fixed price,,1
,,"Oct 19, 2025",$69.95,$4.54,,,Fixed price,,1
,,"Oct 23, 2025",$20.00,$5.37,,,Fixed price,,1
2023 Perth MINT Lunar Year of The Rabbit 1 oz Silver Dragon Privy BU Australian,298048643102,"Mar 1, 2026",$95.00,$4.32,,,Auction,https://www.ebay.com/itm/298048643102,1
2023 Perth Mint Australia $1 1 oz Silver Lunar Rabbit Coin,298082367533,"Mar 7, 2026",$84.00,$6.75,,,Auction,https://www.ebay.com/itm/298082367533,1
,,"Dec 6, 2025",$31.00,$0.91,,,Auction,,1
,,"Dec 7, 2025",$31.00,$4.88,,,Auction,,1
2023 Australia Silver 1/2oz 9999 Fine Silver Perth Mint Lunar Year of the Rabbit,306725615469,"Apr 4, 2026",$47.00,$5.30,,,Fixed price,https://www.ebay.com/itm/306725615469,1
2023 Perth Mint Lunar Year of The Rabbit 1/2 oz Silver Coin BU Series III,306776768191,"Feb 24, 2026",$46.00,$6.80,,,Auction,https://www.ebay.com/itm/306776768191,1
2023 Fiji $10 Lunar Year of the Rabbit 1oz .999 Silver PROOF Gold Gilded Box COA,306780102167,"Mar 12, 2026",$155.00,$5.39,,,Fixed price,https://www.ebay.com/itm/306780102167,1
2023 Perth Mint Lunar Year of The Rabbit 1/2 oz Silver Coin BU Series III,306780507898,"Mar 1, 2026",$65.00,$2.96,,,Auction,https://www.ebay.com/itm/306780507898,1
2023 Perth Mint Australia $1 1 oz Silver Lunar Rabbit Coin,306830024969,"Mar 25, 2026",$76.00,$6.75,,,Auction,https://www.ebay.com/itm/306830024969,1
,,"Oct 18, 2025",$55.00,$4.85,,,Fixed price,,2
2023 Year of the Rabbit 1/2 oz Australia Lunar Silver 50 Cents,317742417932,"Jan 24, 2026",$49.99,$0.92,,,Fixed price,https://www.ebay.com/itm/317742417932,1
2023 Royal Australian Mint 1 oz Silver Lunar Year of the Rabbit BU In capsule,317858222857,"Feb 18, 2026",$132.00,$4.65,,,Fixed price,https://www.ebay.com/itm/317858222857,1
,,"Jan 7, 2026",$94.53,$0.00,,,Fixed price,,1
2023 Perth Mint Lunar Series III Year of the Rabbit 1 oz .9999 Gold Coin BU,326991327014,"Feb 25, 2026","$6,299.00",$50.00,,,Fixed price,https://www.ebay.com/itm/326991327014,1
,,"Nov 10, 2025",$60.00,$4.00,,,Fixed price,,1
,,"Dec 9, 2025",$63.99,$0.20,,,Auction,,1
,,"Jan 6, 2026",$90.25,$0.00,,,Fixed price,,1
,,"Jan 1, 2026",$44.15,$4.90,,,Fixed price,,1
Year Of The Rabbit 2023 Perth Mint Zodiac Lunar Rare-0.999 Silver 1 Oz Art Coin,336414340564,"Mar 13, 2026",$154.99,$5.80,,,Fixed price,https://www.ebay.com/itm/336414340564,1
2023 Australia Rabbit Lunar Series III 1 oz .999 Silver BU Coin in Capsule,336447599540,"Mar 1, 2026",$96.00,$4.50,,,Auction,https://www.ebay.com/itm/336447599540,1
2023-P Australia $1 Lunar Year of the Rabbit Gilded 1 oz .999 Silver Coin in OGP,336496285521,"Apr 2, 2026",$209.00,$0.00,,,Auction,https://www.ebay.com/itm/336496285521,1
,,"Nov 13, 2025",$59.08,$3.00,,,Auction,,1
,,"Dec 21, 2025",$500.00,$4.76,,,Fixed price,,1
,,"Dec 17, 2025",$40.00,$4.99,,,Fixed price,,1
