Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
B3064- 2004 Upper Deck Vintage BB Card #s 1-500 -You Pick- 15+ FREE US SHIP,234928317416,"Mar 31, 2026",$0.94,$0.00,,,Fixed price,https://www.ebay.com/itm/234928317416
A2256- 2004 Topps Total BB Cards 501-750 +Rookies -You Pick- 15+ FREE US SHIP,236674079476,"Mar 31, 2026",$0.81,$1.09,,,Fixed price,https://www.ebay.com/itm/236674079476
A9361- 2004 Fleer Tradition FB Cards 1-360 +Inserts -You Pick- 15+ FREE US SHIP,234269494356,"Mar 30, 2026",$0.77,$0.00,,,Fixed price,https://www.ebay.com/itm/234269494356
2001 U S BUFFALO REDUCED US Mint Silver Coinage & Currency Set 1 OZ,267583429710,"Mar 30, 2026",$105.36,$8.61,,,Fixed price,https://www.ebay.com/itm/267583429710
A2352- 2004 Bowman Heritage Black and White BB 1-200 -You Pick- 15+ FREE US SHIP,236411817935,"Mar 30, 2026",$3.21,$1.09,,,Fixed price,https://www.ebay.com/itm/236411817935
2004 US Mint 50 State Quarters Silver Proof Set in Original Box/COA 1 Set,317999157884,"Mar 30, 2026",$65.85,$0.00,,,Fixed price,https://www.ebay.com/itm/317999157884
A5781- 2004 Upper Deck Golf Card #s 1-132 +Rookies -You Pick- 15+ FREE US SHIP,335523925495,"Mar 30, 2026",$0.83,$0.79,,,Fixed price,https://www.ebay.com/itm/335523925495
B1254- 2004 Bowman Baseball Assorted Insert Cards1 -You Pick- 15+ FREE US SHIP,257349514014,"Mar 30, 2026",$3.18,$0.76,,,Fixed price,https://www.ebay.com/itm/257349514014
B5336- 2004 Bowman Draft BB Card #s 1-165 +Inserts -You Pick- 15+ FREE US SHIP,235736950380,"Mar 29, 2026",$0.73,$0.00,,,Fixed price,https://www.ebay.com/itm/235736950380
B1232- 2004 Topps Total FB Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,336001047182,"Mar 29, 2026",$0.84,$0.00,,,Fixed price,https://www.ebay.com/itm/336001047182
B1813- 2004 Topps Chrome Traded BB 1-220 +Inserts -You Pick- 15+ FREE US SHIP,334566202704,"Mar 29, 2026",$0.80,$0.00,,,Fixed price,https://www.ebay.com/itm/334566202704
B5905- 2004 Ultra Football Assorted Insert Cards -You Pick- 15+ FREE US SHIP,335655296382,"Mar 29, 2026",$1.69,$0.89,,,Fixed price,https://www.ebay.com/itm/335655296382
B6928- 2004 Birmingham Barons Grandstand BB Cards -You Pick- 15+ FREE US SHIP,336047324718,"Mar 28, 2026",$3.52,$0.76,,,Fixed price,https://www.ebay.com/itm/336047324718
A8383- 2004 Topps All-Time Fan Favorites BB 1-150 -You Pick- 15+ FREE US SHIP,257121851296,"Mar 28, 2026",$0.95,$0.31,,,Fixed price,https://www.ebay.com/itm/257121851296
A1578- 2004 Topps Heritage BB #s 1-291 +Rookies -You Pick- 15+ FREE US SHIP,335039071354,"Mar 28, 2026",$0.91,$0.39,,,Fixed price,https://www.ebay.com/itm/335039071354
A1734- 2004 Donruss Baseball Cards 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334839370578,"Mar 28, 2026",$1.45,$0.10,,,Fixed price,https://www.ebay.com/itm/334839370578
B1099- 2004 Pacific CFL Football #s 1-110 +Inserts -You Pick- 15+ FREE US SHIP,234620648043,"Mar 28, 2026",$0.94,$0.00,,,Fixed price,https://www.ebay.com/itm/234620648043
2004-S US Mint Proof Set 11 Coin Set OGP Original Government Packaging COA,366261982952,"Mar 27, 2026",$14.25,$0.00,,,Fixed price,https://www.ebay.com/itm/366261982952
A7990- 2004-05 Topps Chrome Bk Cards 1-220 +Inserts -You Pick- 15+ FREE US SHIP,334995096812,"Mar 24, 2026",$1.82,$0.50,,,Fixed price,https://www.ebay.com/itm/334995096812
B1935- 2004 SP Legendary Cuts BB #s 1-126 +Inserts -You Pick- 15+ FREE US SHIP,236167092074,"Mar 23, 2026",$0.91,$0.00,,,Fixed price,https://www.ebay.com/itm/236167092074
2004 Proof & Uncirculated Annual US Mint Coin Sets PDS 30 Coins,206132630814,"Mar 23, 2026",$20.42,$0.00,,,Fixed price,https://www.ebay.com/itm/206132630814
A2964- 2004 USA Baseball 25th Anniversary 1-200+ -You Pick- 15+ FREE US SHIP,335929938132,"Mar 23, 2026",$0.90,$1.09,,,Fixed price,https://www.ebay.com/itm/335929938132
A9361- 2004 Fleer Tradition Blue FB Cards 251-360 -You Pick- 15+ FREE US SHIP,236090367265,"Mar 22, 2026",$1.84,$0.18,,,Fixed price,https://www.ebay.com/itm/236090367265
"US Lunar New Year / Chinese New Year Complete Set of 12 - 1992 thru 2004, MNH",161210675263,"Mar 21, 2026",$5.99,$1.82,,,Fixed price,https://www.ebay.com/itm/161210675263
B5439- 2004 Topps Fan Favorites FB #s 1-85 +Inserts -You Pick- 15+ FREE US SHIP,235877190993,"Mar 21, 2026",$1.02,$0.10,,,Fixed price,https://www.ebay.com/itm/235877190993
