Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2007-S US Mint Proof Set 14 Coin Set OGP Original Government Packaging COA,145685738112,"Apr 5, 2026",$27.47,$0.00,,,Fixed price,https://www.ebay.com/itm/145685738112
2007 P & D State Quarter 10 Coins from US Mint Set BU Statehood Cello 25c Coin,312563305053,"Apr 5, 2026",$9.05,$0.00,,,Fixed price,https://www.ebay.com/itm/312563305053
2007 P&D Thomas Jefferson Presidential Dollar Coins Uncirculated US Mint Set,145141916408,"Apr 4, 2026",$5.89,$1.25,,,Fixed price,https://www.ebay.com/itm/145141916408
2007 Bowman Sterling #BS-DWW Dontrelle Willis Games Used Jersey Florida Marlins,116291467406,"Apr 4, 2026",$1.38,$1.00,,,Fixed price,https://www.ebay.com/itm/116291467406
B4549- 2007 Topps Red Back BB Cards 1-250 Parallel -You Pick- 15+ FREE US SHIP,335440441813,"Apr 4, 2026",$0.95,$0.65,,,Fixed price,https://www.ebay.com/itm/335440441813
B4549- 2007 Topps Red Back BB #s 501-660 Parallels -You Pick- 15+ FREE US SHIP,235607695523,"Apr 4, 2026",$0.88,$0.30,,,Fixed price,https://www.ebay.com/itm/235607695523
A2920- 2007-08 Ultra Hockey Card #s 1-250 -You Pick- 15+ FREE US SHIP,334982264139,"Apr 4, 2026",$0.85,$0.31,,,Fixed price,https://www.ebay.com/itm/334982264139
COMPLETE BU Presidential Dollar Set P&D - 80 BU Coins from US Mint Rolls,286549201293,"Apr 3, 2026",$161.03,$14.62,,,Fixed price,https://www.ebay.com/itm/286549201293
2007 P & D US Mint Complete Uncirculated Set 28 Coins w/ COA,177895603444,"Apr 3, 2026",$24.95,$0.00,,,Fixed price,https://www.ebay.com/itm/177895603444
2007 COLORIZED US MINT STATE QUARTERS * Complete Set of 5 Coins * with Capsules,233423754790,"Apr 3, 2026",$16.10,$0.00,,,Fixed price,https://www.ebay.com/itm/233423754790
A5534- 2007 Bowman Heritage BB #s 1-228 +Rookies -You Pick- 15+ FREE US SHIP,234353853487,"Apr 3, 2026",$0.76,$0.10,,,Fixed price,https://www.ebay.com/itm/234353853487
A2966- 2007-08 Upper Deck Hk Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,235113379279,"Apr 3, 2026",$2.11,$1.09,,,Fixed price,https://www.ebay.com/itm/235113379279
"2007 P&D State Quarters 10 Washington, US Mint Set BU Statehood Cello 25c Coins",157664055760,"Apr 2, 2026",$9.94,$0.00,,,Fixed price,https://www.ebay.com/itm/157664055760
A2081- 2007 Topps Heritage BB #s 219-468 +Rookies -You Pick- 15+ FREE US SHIP,334144955315,"Apr 2, 2026",$1.15,$0.28,,,Fixed price,https://www.ebay.com/itm/334144955315
A1075- 2007 Bowman Football Card #s 1-200 +Rookies -You Pick- 15+ FREE US SHIP,234619353365,"Apr 2, 2026",$0.81,$1.09,,,Fixed price,https://www.ebay.com/itm/234619353365
A7919- 2007 Topps Chrome Football Card #s 1-250 -You Pick- 15+ FREE US SHIP,334504320115,"Apr 2, 2026",$0.80,$1.09,,,Fixed price,https://www.ebay.com/itm/334504320115
2007 US Mint Statehood Quarter Proof Set,234897352264,"Apr 1, 2026",$6.00,$4.00,,,Fixed price,https://www.ebay.com/itm/234897352264
B3938- 2007 Topps Heritage II Chrome WWE #s 1-100 -You Pick- 15+ FREE US SHIP,256991507095,"Apr 1, 2026",$2.92,$0.50,,,Fixed price,https://www.ebay.com/itm/256991507095
B0714- 2007 Press Pass Premium Racing Card #s 1-69 -You Pick- 15+ FREE US SHIP,257056958717,"Mar 31, 2026",$0.73,$0.00,,,Fixed price,https://www.ebay.com/itm/257056958717
The Brave and the Bold #1 - 6 - George Perez - Green Lantern Batman Beetle,115814628596,"Mar 31, 2026",$13.49,$7.99,,,Fixed price,https://www.ebay.com/itm/115814628596
A1962- 2007 Upper Deck BB Card #s 251-500 +Rookies -You Pick- 15+ FREE US SHIP,334036641561,"Mar 31, 2026",$0.87,$0.89,,,Fixed price,https://www.ebay.com/itm/334036641561
A1962- 2007 Upper Deck BB Cards 753-1007 +Inserts -You Pick- 15+ FREE US SHIP,234048435058,"Mar 30, 2026",$0.94,$0.26,,,Fixed price,https://www.ebay.com/itm/234048435058
B3858- 2007-08 Fleer Bk Card #s 1-235 +Inserts -You Pick- 15+ FREE US SHIP,235781788216,"Mar 29, 2026",$0.79,$0.00,,,Fixed price,https://www.ebay.com/itm/235781788216
B6287- 2007 Pepsi (Topps) Baseball Card #s 1-220 -You Pick- 15+ FREE US SHIP,335771501644,"Mar 29, 2026",$3.52,$0.00,,,Fixed price,https://www.ebay.com/itm/335771501644
A2045- 2007 Upper Deck Football Cards 1-200 -You Pick- 15+ FREE US SHIP,234271095081,"Mar 29, 2026",$0.86,$0.60,,,Fixed price,https://www.ebay.com/itm/234271095081
A1483- 2007 Score Football Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,235282382105,"Mar 29, 2026",$0.73,$0.00,,,Fixed price,https://www.ebay.com/itm/235282382105
US Scott # 4166 / 4175 2007 Beautiful Blooms Mint Set Of 10 Coil Singles,156572014783,"Mar 28, 2026",$11.25,$0.00,,,Fixed price,https://www.ebay.com/itm/156572014783
"2007 P & D Sacagawea Native American Dollar US Mint Coins ""BU"" (2 Coin Set)",275586656976,"Mar 27, 2026",$9.98,$0.00,,,Fixed price,https://www.ebay.com/itm/275586656976
