Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 136657825099,136657825099,"Nov 19, 2025",$21.84,$9.98,,,Fixed price,
1897 S Morgan Silver Dollar-Lustrous Coin,236693759514,"Apr 7, 2026",$61.61,$0.00,,,Fixed price,https://www.ebay.com/itm/236693759514
,,"Jan 9, 2026",$53.93,$0.00,,,Fixed price,
Item ID 389672365654,389672365654,"Mar 18, 2026",$59.93,$0.00,,,Fixed price,https://www.ebay.com/itm/389672365654
VF 1897-O Morgan Silver Dollar (1 coin),126671185972,"Jan 26, 2026",$68.21,$0.00,,,Fixed price,https://www.ebay.com/itm/126671185972
1897 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375391602461,"Mar 29, 2026",$95.16,$0.00,,,Fixed price,https://www.ebay.com/itm/375391602461
AU+ 1897 (P) Morgan Silver Dollar (1 coin),135875455493,"Jan 5, 2026",$55.24,$0.00,,,Fixed price,https://www.ebay.com/itm/135875455493
,,"Nov 11, 2025",$19.45,$5.14,,,Fixed price,
,,"Nov 19, 2025",$34.99,$0.00,,,Fixed price,
[Removed] Item 205893772743,205893772743,"Jan 17, 2026",$60.00,$0.00,,,Fixed price,
1897 Morgan Silver Dollar MS63 ICG,135725504922,"Jan 18, 2026",$85.58,$0.00,,,Fixed price,https://www.ebay.com/itm/135725504922
BU/Unc 1897 (P) Morgan Silver Dollar (1 coin),365631498681,"Jan 4, 2026",$71.06,$0.00,,,Fixed price,https://www.ebay.com/itm/365631498681
,,"Nov 7, 2025",$20.67,$0.00,,,Fixed price,
[Removed] Item 389102228174,389102228174,"Nov 15, 2025",$35.32,$0.00,,,Fixed price,
1897-S $1 Morgan Silver Dollar PCGS AU 55,305211054209,"Feb 10, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305211054209
XF 1897-S Morgan Silver Dollar (1 coin),127431017275,"Jan 6, 2026",$59.58,$0.00,,,Fixed price,https://www.ebay.com/itm/127431017275
"1897 “STUNNING GEM"" MORGAN DOLLAR FROM OBW ROLL BU UNCIRCULATED 90% SILVER",267288640945,"Apr 1, 2026",$148.18,$0.00,,,Fixed price,https://www.ebay.com/itm/267288640945
[Removed] Item 389543597689,389543597689,"Feb 21, 2026",$64.38,$0.00,,,Fixed price,
AU+ 1897-S Morgan Silver Dollar (1 coin),126227207205,"Jan 3, 2026",$68.76,$0.00,,,Fixed price,https://www.ebay.com/itm/126227207205
VG/F 1897-S Morgan Silver Dollar (1 coin),126671181444,"Jan 4, 2026",$53.47,$0.00,,,Fixed price,https://www.ebay.com/itm/126671181444
VF 1897-S Morgan Silver Dollar (1 coin),135681092351,"Dec 27, 2025",$53.05,$0.00,,,Fixed price,https://www.ebay.com/itm/135681092351
,,"Nov 30, 2025",$17.22,$0.00,,,Fixed price,
[Removed] Item 336500711710,336500711710,"Apr 2, 2026",$56.32,$0.00,,,Fixed price,
1897 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365409264065,"Jan 16, 2026",$85.79,$0.00,,,Fixed price,https://www.ebay.com/itm/365409264065
1897 O Morgan Dollar AU 53 ANACS Silver $1 Coin SKU:I19264,365978769252,"Jan 28, 2026",$134.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365978769252
,,"Nov 19, 2025",$33.22,$0.00,,,Fixed price,
Morgan Skull Coin (Carved) Silver Dollar,277555068918,"Jan 25, 2026",$20.90,$0.00,,,Fixed price,https://www.ebay.com/itm/277555068918
1897 VAM 8 Morgan Silver Dollar Double Stars MS64 PCGS,297570394011,"Apr 5, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297570394011
1897 O Morgan Dollar F Fine 90% Silver $1 US Coin Collectible,365683758522,"Mar 20, 2026",$80.59,$0.00,,,Fixed price,https://www.ebay.com/itm/365683758522
UNC/MS 1897-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1510,116996415142,"Feb 20, 2026",$89.33,$5.25,,,Fixed price,https://www.ebay.com/itm/116996415142
1897 O Morgan Dollar AU 50 ANACS Silver $1 Coin SKU:I19262,365978769120,"Feb 4, 2026",$119.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365978769120
1897 O Morgan Dollar AU 53 ANACS Silver $1 Coin SKU:I19263,366322613878,"Apr 7, 2026",$134.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322613878
G/VG 1897-O Morgan Silver Dollar (1 coin),127406857068,"Dec 11, 2025",$48.62,$0.00,,,Fixed price,https://www.ebay.com/itm/127406857068
1897 S MORGAN Silver dollar AU nicely circulated better date.,157198521810,"Feb 2, 2026",$93.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157198521810
1897 $1 Morgan Silver Dollar NGC MS63 Brown Label,177432501519,"Jan 6, 2026",$112.40,$0.00,,,Fixed price,https://www.ebay.com/itm/177432501519
"A Pair Of Morgan Silver Dollars, 1896 & 1897 Minted In Philadelphia.",187386880428,"Jan 15, 2026",$117.50,$3.90,,,Fixed price,https://www.ebay.com/itm/187386880428
1897 O Morgan Dollar - New Orleans Mint- Raw Circulated Condition,198151495487,"Mar 4, 2026",$71.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198151495487
,,"Oct 10, 2025",$24.00,$0.00,,,Fixed price,
1897-S $1 Morgan Silver Dollar PCGS AU 53,305211054160,"Jan 7, 2026",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305211054160
,,"Nov 13, 2025",$260.00,$4.95,,,Fixed price,
,,"Oct 24, 2025",$37.89,$0.00,,,Fixed price,
1897 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin Collectible,366322534390,"Apr 6, 2026",$127.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322534390
1897 O Morgan Silver Dollar XF X-657,396654805472,"Mar 25, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/396654805472
1897 O SILVER Morgan Dollar High grade,114142947104,"Jan 15, 2026",$65.95,$5.77,,,Fixed price,https://www.ebay.com/itm/114142947104
1878 $1 Morgan Silver Dollar reverse of 1879,114914250746,"Jan 29, 2026",$83.00,$7.35,,,Fixed price,https://www.ebay.com/itm/114914250746
,,"Oct 30, 2025",$81.00,$6.77,,,Fixed price,
1897 S Morgan Silver Dollar-Lustrous Coin,236693759514,"Apr 8, 2026",$61.60,$0.00,,,Fixed price,https://www.ebay.com/itm/236693759514
1897-S Morgan Dollar XF,224773566560,"Apr 13, 2026",$89.95,$4.95,,,Fixed price,https://www.ebay.com/itm/224773566560,1
1897 S Morgan Silver Dollar-Lustrous Coin,236693759514,"Apr 13, 2026",$61.58,$0.00,,,Fixed price,https://www.ebay.com/itm/236693759514,95
A 1897 Morgan SILVER Dollar $1. High Grade Example,287267319374,"Apr 13, 2026",$70.00,$5.20,,,Fixed price,https://www.ebay.com/itm/287267319374,1
"1897-S Morgan Silver Dollar Coin, Better Date 90% Silver",298131548273,"Apr 13, 2026",$73.99,$5.07,,,Fixed price,https://www.ebay.com/itm/298131548273,1
1897 P MORGAN SILVER DOLLAR,358422020500,"Apr 13, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358422020500,1
1897 Morgan Dollar ANACS MS64 Beautifully toned obverse,256844212389,"Apr 13, 2026",$105.00,$5.00,,,Fixed price,https://www.ebay.com/itm/256844212389,1
1897-P Morgan Silver Dollar NGC MS 64 exceptional Frosty borderline GEM BU,206187415133,"Apr 13, 2026",$143.50,$4.50,,,Auction,https://www.ebay.com/itm/206187415133,1
1897-P Gem Morgan Silver Dollar in High-Quality Condition. Excellent Detail!,188081529115,"Apr 13, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188081529115,1
1897 $1 Morgan Dollar 90% Silver - Philadelphia Mint in Good Condition,117128654720,"Apr 13, 2026",$63.88,$4.95,,,Auction,https://www.ebay.com/itm/117128654720,1
1897 S $1 Morgan Dollar 90% Silver - San Francisco Mint in Good Condition,117128648381,"Apr 13, 2026",$91.00,$4.95,,,Auction,https://www.ebay.com/itm/117128648381,1
LIBRARY OF COINS ALBUM VOLUME 25 MORGAN SILVER DOLLARS PART 3 1897-1921,318118527887,"Apr 13, 2026",$14.99,$5.99,,,Fixed price,https://www.ebay.com/itm/318118527887,1
"1897 S Morgan Silver Dollar, AU, Better Date, 90% Silver US Coin, Morg-9745s",397756740169,"Apr 13, 2026",$84.99,$5.00,,,Fixed price,https://www.ebay.com/itm/397756740169,1
*1897 O MORGAN DOLLAR* *KEY DATE* NR #S1159,397814733324,"Apr 12, 2026",$65.00,$4.99,,,Auction,https://www.ebay.com/itm/397814733324,1
1897 MORGAN DOLLAR PCGS MS62,188238851236,"Apr 12, 2026",$101.00,$5.52,,,Auction,https://www.ebay.com/itm/188238851236,1
"*LOT OF 4 MORGAN SILVER DOLLARS 1881o, 1886, 1897, 1921",277879677436,"Apr 12, 2026",$204.50,$5.71,,,Auction,https://www.ebay.com/itm/277879677436,1
1897 S Morgan Dollar MS+++++ Great Eye Appeal Strong Strike White Coin,206182940124,"Apr 12, 2026",$330.00,$8.30,,,Auction,https://www.ebay.com/itm/206182940124,1
1897-O 1897-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *388,137206628462,"Apr 12, 2026",$113.61,$0.00,,,Auction,https://www.ebay.com/itm/137206628462,1
1897 P Gem Uncirculated The Redfield Collection Morgan Silver Dollar,365225833447,"Apr 12, 2026",$329.99,$5.00,,,Fixed price,https://www.ebay.com/itm/365225833447,1
"Morgan Silver Dollar Coins Lot - 1880, 1897 & 1900 $1’sCirculated (4)",298219680935,"Apr 12, 2026",$150.00,$5.39,,,Fixed price,https://www.ebay.com/itm/298219680935,1
1897 S Silver Morgan Dollar Very Nice BU,336526913406,"Apr 12, 2026",$79.05,$5.07,,,Auction,https://www.ebay.com/itm/336526913406,1
Lot of 10 Morgan Silver Dollar Coins 90% Silver 1880-1897 Dates O & S Toning,406849934753,"Apr 12, 2026",$500.00,$11.95,,,Fixed price,https://www.ebay.com/itm/406849934753,1
1897-O Morgan Silver Dollar $1 New Orleans Mint US Coin,198263603886,"Apr 12, 2026",$53.55,$0.00,,,Auction,https://www.ebay.com/itm/198263603886,1
1897 Morgan Silver Dollar Coin,358430266798,"Apr 12, 2026",$60.11,$1.26,,,Auction,https://www.ebay.com/itm/358430266798,1
1897-S Morgan Silver Dollar $1 San Francisco Mint US Coin,206196276930,"Apr 12, 2026",$69.00,$0.00,,,Auction,https://www.ebay.com/itm/206196276930,1
"AU 1897-P Morgan Silver Dollar (all original!), Almost UNCIRCULATED",137163840492,"Apr 12, 2026",$76.41,$4.66,,,Auction,https://www.ebay.com/itm/137163840492,1
1897 - O Morgan Silver Dollar - Good Condition - Uncleaned - New Orleans,267630872135,"Apr 12, 2026",$51.00,$5.00,,,Auction,https://www.ebay.com/itm/267630872135,1
1897-S Morgan Dollar ANACS MS62 $1 San Francisco 90% Silver One US Coin,377092929760,"Apr 12, 2026",$123.70,$5.89,,,Auction,https://www.ebay.com/itm/377092929760,1
1897 P Morgan Silver Dollar ☆ Nice Luster - BU - L1H25,225024467417,"Apr 12, 2026",$69.95,$7.95,,,Fixed price,https://www.ebay.com/itm/225024467417,1
1897-O $1 MORGAN SILVER DOLLAR ✪ AU ALMOST UNC ✪ SCARCE COIN 37AR ◢TRUSTED◣,267637255706,"Apr 12, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/267637255706,1
1897-O 1890-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *378,137206188743,"Apr 12, 2026",$105.13,$0.00,,,Auction,https://www.ebay.com/itm/137206188743,1
1897 (P) Morgan Dollar CAC MS62,327074167190,"Apr 12, 2026",$119.99,$0.00,,,Fixed price,https://www.ebay.com/itm/327074167190,1
1897 O Morgan Dollar VF Very Fine 90% Silver with 1907 Liberty Nickel G Good,366322565939,"Apr 12, 2026",$96.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322565939,1
1897 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375391602461,"Apr 12, 2026",$95.92,$0.00,,,Fixed price,https://www.ebay.com/itm/375391602461,31
1897 Morgan Silver Dollar MS condition (toned) great detail,257444410034,"Apr 12, 2026",$71.00,$6.24,,,Auction,https://www.ebay.com/itm/257444410034,1
1897-P $1 Morgan Silver Dollar PCGS AU58 Lustrious Finish Business Strike,327090670943,"Apr 12, 2026",$77.00,$5.77,,,Auction,https://www.ebay.com/itm/327090670943,1
1897 Morgan Silver Dollar $1 NGC MS62 very nice coin,206200290093,"Apr 12, 2026",$89.00,$6.99,,,Auction,https://www.ebay.com/itm/206200290093,1
1897O Morgan Silver Dollar Uncertified Circulated Condition,377050397962,"Apr 12, 2026",$54.00,$5.00,,,Fixed price,https://www.ebay.com/itm/377050397962,1
