Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Morgan Silver Dollar Lot Of 10 No Doubles P S O D Mintage 🔥Authentic🔥 (L8354),127791971365,"Apr 5, 2026",$650.00,$7.54,,,Auction,https://www.ebay.com/itm/127791971365,1
1885S Morgan Dollar Silver Dollar Coin Key Date Beautiful 1885 S,127792709279,"Apr 11, 2026",$110.00,$5.95,,,Auction,https://www.ebay.com/itm/127792709279,1
"3-$1 Morgan Silver Dollar 1883-O, 1885-O And 1890-S",127793801612,"Apr 6, 2026",$183.49,$5.95,,,Auction,https://www.ebay.com/itm/127793801612,1
Early - 1885-S Morgan Silver Dollar - 90% US Coin *457,127795828046,"Apr 11, 2026",$85.75,$0.00,,,Auction,https://www.ebay.com/itm/127795828046,1
Morgan Silver Dollar Lot Of 10 No Doubles P S O D Mintage 🔥Authentic🔥 (L4116),127797684516,"Apr 12, 2026",$580.00,$7.52,,,Auction,https://www.ebay.com/itm/127797684516,1
Morgan Silver Dollar Lot Of 10 No Doubles P S O Mintage 🔥Authentic🔥 (L4681),127797770460,"Apr 10, 2026",$648.00,$9.65,,,Auction,https://www.ebay.com/itm/127797770460,1
1885-S Morgan Silver Dollar *4862,134862278339,"Apr 5, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134862278339,1
1885-S Morgan Silver Dollar $1 ICG AU55,134985104815,"Mar 16, 2026",$198.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134985104815,1
1885-S Morgan Silver Dollar ICG EF40 XF40,135089899086,"Mar 6, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135089899086,1
,,"Dec 22, 2025",$217.55,$0.00,,,Fixed price,,1
,,"Jan 5, 2026",$155.00,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$110.00,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$100.00,$5.00,,,Fixed price,,1
,,"Nov 4, 2025",$41.78,$0.00,,,Auction,,1
,,"Nov 9, 2025",$430.00,$0.00,,,Fixed price,,1
,,"Nov 20, 2025",$75.00,$6.99,,,Fixed price,,1
,,"Nov 21, 2025",$43.00,$0.00,,,Auction,,1
1885-S $1 Morgan Silver Dollar M S 6 2 Semi Key Date S Mint Free Shipping!,136763453009,"Jan 14, 2026",$239.99,$0.00,,,Fixed price,https://www.ebay.com/itm/136763453009,1
,,"Jan 9, 2026",$89.90,$4.76,,,Fixed price,,1
,,"Dec 17, 2025",$99.90,$4.65,,,Fixed price,,1
,,"Dec 21, 2025",$57.01,$0.78,,,Auction,,1
,,"Jan 10, 2026",$60.00,$6.00,,,Fixed price,,1
,,"Dec 31, 2025",$76.00,$4.95,,,Auction,,1
Early - 1885-S Morgan Silver Dollar - 90% US Coin *525,136935882038,"Jan 14, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/136935882038,1
Early - 1885-S Morgan Silver Dollar - 90% US Coin *005,136953198633,"Jan 20, 2026",$78.00,$0.00,,,Auction,https://www.ebay.com/itm/136953198633,1
1885-S $1 Morgan Silver Dollar - Frosty Semi Key Date,136960884998,"Jan 25, 2026",$140.00,$5.75,,,Auction,https://www.ebay.com/itm/136960884998,1
1885 S Morgan Silver Dollar Tough Date Morgan,136962428697,"Jan 22, 2026",$112.50,$0.00,,,Auction,https://www.ebay.com/itm/136962428697,1
"1881 S, 1885 O, and 1886 $1 Morgan Silver Dollars in Capsules",136962921419,"Jan 26, 2026",$271.75,$0.00,,,Auction,https://www.ebay.com/itm/136962921419,1
1883-S 1885-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *642,136969605928,"Jan 26, 2026",$179.50,$0.00,,,Auction,https://www.ebay.com/itm/136969605928,1
1885-S Morgan Silver Dollars 90% Silver Ungraded Raw Coin YTR1,136993487484,"Feb 4, 2026",$81.02,$5.00,,,Auction,https://www.ebay.com/itm/136993487484,1
VF 1885-S Morgan Silver Dollar (all original) U.S. Very Fine,137003855926,"Feb 8, 2026",$82.00,$5.99,,,Auction,https://www.ebay.com/itm/137003855926,1
1885-S Morgan Dollar A2,137011076757,"Feb 10, 2026",$89.99,$4.99,,,Auction,https://www.ebay.com/itm/137011076757,1
"1885 S,1886O Morgan Silver Dollar / See Pics Lot B 2 Silver Dollar Book Lot",137041170251,"Feb 22, 2026",$120.00,$0.00,,,Auction,https://www.ebay.com/itm/137041170251,1
1885-S Morgan Silver Dollar VF+ E345 UTEM,137045918538,"Apr 5, 2026",$121.03,$0.00,,,Fixed price,https://www.ebay.com/itm/137045918538,1
1885-s Morgan Silver Dollar- MS 64 NGC Graded Littleton Select,137114183268,"Mar 17, 2026",$746.00,$4.99,,,Auction,https://www.ebay.com/itm/137114183268,1
Early - 1885-S Morgan Silver Dollar - 90% US Coin *814,137119132287,"Mar 16, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/137119132287,1
1885-S Morgan Dollar Tough Date VF! #3EXQ,137135109174,"Mar 18, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137135109174,1
1885-S About Uncirculated 90% silver Morgan dollar. Free Fast Shipping.,137151154866,"Mar 27, 2026",$123.50,$0.00,,,Auction,https://www.ebay.com/itm/137151154866,1
Early - 1885-S Morgan Silver Dollar - 90% US Coin *622,137176065710,"Apr 2, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/137176065710,1
"Lot of 3, Morgan Silver Dollars 1880-S, 1885-P, 1921-S- C305",137188236961,"Apr 11, 2026",$147.50,$5.95,,,Auction,https://www.ebay.com/itm/137188236961,1
