Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2019 Mexico Onza / Libertad BU 1/10 oz .999 Silver RARE,389156476147,"Mar 7, 2026",$25.12,$0.00,,,Fixed price,https://www.ebay.com/itm/389156476147
2019 Mexico Libertad 1 oz BU Mexican Silver Coin in Plastic Capsule,297561566533,"Jan 23, 2026",$103.92,$0.00,,,Fixed price,https://www.ebay.com/itm/297561566533
2019 Mexico 1/20 oz Libertad Silver Coin in capsule .999 Pure Silver,334456953815,"Apr 1, 2026",$20.36,$5.50,,,Fixed price,https://www.ebay.com/itm/334456953815
2024 1 oz Mexico Silver Libertad Proof Coin in Capsule Low Mintage !!,267361035038,"Feb 12, 2026",$145.50,$0.00,,,Fixed price,https://www.ebay.com/itm/267361035038
2019 1/4 Oz Silver MEXICAN LIBERTAD BU Coin.,167914688303,"Jan 14, 2026",$54.02,$0.00,,,Fixed price,https://www.ebay.com/itm/167914688303
2019 1/20 Oz Silver MEXICAN LIBERTAD Proof Coin.,167914932089,"Mar 30, 2026",$35.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167914932089
2019 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914648883,"Mar 12, 2026",$40.81,$0.00,,,Fixed price,https://www.ebay.com/itm/167914648883
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,167914715422,"Apr 5, 2026",$30.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167914715422
2019 1 oz Silver Libertad ! 1 Onza Plata Pura! Casa De La Moneda Mexico BU !,267294725075,"Dec 11, 2025",$83.50,$0.00,,,Fixed price,https://www.ebay.com/itm/267294725075
2019 1 oz Mexico Silver Libertad Proof Coin in Capsule Low Mintage !!,267361065468,"Jan 30, 2026",$184.26,$0.00,,,Fixed price,https://www.ebay.com/itm/267361065468
2019-Mo Mexico 1/2 oz Silver Libertad (BU Uncirculated),389470308940,"Feb 28, 2026",$76.72,$0.00,,,Fixed price,https://www.ebay.com/itm/389470308940
2019 1/2 Oz Silver MEXICAN LIBERTAD BU Coin.,167914801048,"Mar 6, 2026",$64.45,$0.00,,,Fixed price,https://www.ebay.com/itm/167914801048
,,"Nov 27, 2025",$74.95,$0.00,,,Fixed price,
Kilo 2009 Aztec Calendar *Casa de la Moneda 1 Kilo Proof Box COA ! $100 Pesos !,267480698829,"Dec 26, 2025","$2,549.67",$0.00,,,Fixed price,https://www.ebay.com/itm/267480698829
2019 Mexico Libertad 1ozt .999 Silver Brilliant Uncirculated From Mint Tube,277625874116,"Apr 1, 2026",$141.25,$0.00,,,Fixed price,https://www.ebay.com/itm/277625874116
2019 Mexico Libertad Silver Onza .999 Fine Silver 1 oz Brilliant Uncirculated,306787529944,"Feb 23, 2026",$91.67,$5.31,,,Fixed price,https://www.ebay.com/itm/306787529944
2019 Mexico Libertad 1/20 Oz Silver PROOF Fractional Mexican Silver w/ Capsule,197912180347,"Mar 29, 2026",$38.00,$0.00,,,Fixed price,https://www.ebay.com/itm/197912180347
2023 Mexico BU Silver Libertad 1 oz Coins !! Tube-Roll of 25 Coins !! New !!,267474955803,"Jan 10, 2026","$2,070.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267474955803
"2019-Mo Mexico 1/2 oz Silver Libertad PCGS MS 69 (BU Uncirculated, Unc.)",304425026022,"Mar 18, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304425026022
2019-Mo Mexico 1/2 oz Silver Libertad Onza NGC PF 70 First Releases Ultra Cameo,305041329108,"Jan 28, 2026",$229.95,$21.35,,,Fixed price,https://www.ebay.com/itm/305041329108
2019 Mexico 1 oz Silver Libertad (MintDirect® Single),116848359719,"Nov 12, 2025",$197.05,$0.00,,,Fixed price,https://www.ebay.com/itm/116848359719
,,"Nov 30, 2025",$81.00,$6.18,,,Auction,
,,"Dec 2, 2025",$71.00,$0.00,,,Fixed price,
,,"Dec 22, 2025",$115.00,$10.00,,,Auction,
2019 1OZ 99.9% Pure Silver Proof Libertad,117062594466,"Mar 7, 2026",$158.06,$5.45,,,Auction,https://www.ebay.com/itm/117062594466
,,"Dec 1, 2025",$369.00,$0.00,,,Fixed price,
,,"Oct 12, 2025",$70.00,$3.75,,,Fixed price,
,,"Oct 16, 2025",$70.00,$3.75,,,Fixed price,
,,"Nov 14, 2025",$99.99,$7.90,,,Fixed price,
,,"Nov 22, 2025",$70.96,$3.75,,,Fixed price,
2019 Mexico 1 oz Silver Libertad Proof .999 fine silver,127657854206,"Feb 3, 2026",$147.00,$0.00,,,Auction,https://www.ebay.com/itm/127657854206
2019 Mexico 1 oz Silver Libertad Proof .999 fine silver,127672361938,"Feb 10, 2026",$147.50,$0.00,,,Auction,https://www.ebay.com/itm/127672361938
2019 Mexico 1 oz Silver Libertad Proof .999 fine silver,127726171527,"Mar 10, 2026",$159.15,$0.00,,,Auction,https://www.ebay.com/itm/127726171527
2019 Mexico 1 oz Silver Libertad Antique Finish .999 fine silver,127730345098,"Mar 10, 2026","$3,595.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127730345098
"2019 Mexico 1/4 oz Onza Gold Libertad Coin - Low Mintage 1,500",127734661858,"Mar 18, 2026","$1,375.00",$0.00,,,Auction,https://www.ebay.com/itm/127734661858
2019 Mexico 1 oz Silver Libertad Proof .999 fine silver,127744002266,"Mar 17, 2026",$133.50,$0.00,,,Auction,https://www.ebay.com/itm/127744002266
2019 Mexico Silver Libertad Proof 7 Coin Set 5 oz - 1/20 oz .999 fine,127758363791,"Mar 24, 2026","$1,400.00",$0.00,,,Auction,https://www.ebay.com/itm/127758363791
,,"Dec 22, 2025",$275.00,$4.99,,,Fixed price,
,,"Dec 26, 2025",$55.10,$4.76,,,Fixed price,
2019-Mo Mexico 1 oz Silver Libertad PCGS MS 70 First Strike,136973913819,"Jan 24, 2026",$460.00,$5.52,,,Fixed price,https://www.ebay.com/itm/136973913819
2019 Mexico Libertad 1 oz .999 Silver / 1 Onza Plata Pura - Blast White - READ,137022532099,"Feb 14, 2026",$133.50,$4.25,,,Auction,https://www.ebay.com/itm/137022532099
,,"Oct 28, 2025",$44.99,$0.00,,,Fixed price,
,,"Dec 18, 2025",$99.00,$0.00,,,Fixed price,
😃2019 Mexican Libertad Proof 1/4 oz .999 Silver Coin Capsule ONLY 2850 MINTED,147063412147,"Mar 12, 2026",$74.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147063412147
2019 Mexico Libertad 1 Oz Silver Onza Antique Finish BU RARE 1k MINTAGE 1134b,147109434554,"Mar 1, 2026","$3,999.99",$0.00,,,Fixed price,https://www.ebay.com/itm/147109434554
"2019 THREE NATIONS Silver Set Eagle, Maple Leaf, Libertad US, Canada, Mexico",147120874659,"Feb 16, 2026",$297.01,$7.99,,,Auction,https://www.ebay.com/itm/147120874659
,,"Dec 24, 2025",$145.00,$0.00,,,Fixed price,
,,"Oct 10, 2025",$64.99,$4.54,,,Fixed price,
,,"Dec 4, 2025",$95.00,$4.76,,,Fixed price,
Lot of 3 - Mexico Libertad. Each 1 OZ. .999 fine silver. 2019/2022/2022,147116925191,"Jan 30, 2026",$329.00,$4.99,,,Auction,https://www.ebay.com/itm/147116925191
,,"Dec 31, 2025",$106.80,$19.99,,,Auction,
2019 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin in Capsule,157611517633,"Jan 23, 2026",$108.00,$5.39,,,Fixed price,https://www.ebay.com/itm/157611517633
2024 1 oz Mexico Silver Libertad Proof Coin in Capsule Low Mintage !!,267361035038,"Feb 12, 2026",$147.78,$0.00,,,Fixed price,https://www.ebay.com/itm/267361035038,9
2019 Mexico Libertad 1ozt .999 Silver Brilliant Uncirculated From Mint Tube,277625874116,"Apr 11, 2026",$141.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277625874116,5
2019-Mo Mexico 1/2 oz Silver Libertad Onza NGC PF 70 First Releases Ultra Cameo,305041329108,"Apr 11, 2026",$229.95,$21.35,,,Fixed price,https://www.ebay.com/itm/305041329108,3
2019 Mexico 1 oz Silver Libertad BU (Partial Tube of 18 Coins),157619627253,"Feb 2, 2026","$2,000.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157619627253,1
2019 Mexico Libertad 1 oz BU Mexican Silver Coin Better Date,157649436202,"Feb 22, 2026",$120.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157649436202,1
2019 Mexico 1/4 oz Silver Libertad -SHIPS FAST-Secure this now! Fractional,157708247960,"Feb 25, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157708247960,1
2019 Mexico Libertad 1 oz Silver Coin,157764175214,"Mar 18, 2026",$120.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157764175214,1
,,"Dec 24, 2025",$85.00,$8.40,,,Fixed price,,1
,,"Dec 11, 2025",$160.00,$4.99,,,Fixed price,,1
,,"Nov 9, 2025",$113.00,$0.00,,,Fixed price,,1
"2019 MEXICO LIBERTAD SILVER COIN 1 ONZA, BU",168090241821,"Jan 20, 2026",$110.00,$19.80,,,Fixed price,https://www.ebay.com/itm/168090241821,1
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,168097749352,"Jan 30, 2026",$19.00,$5.89,,,Auction,https://www.ebay.com/itm/168097749352,1
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,168097793185,"Jan 21, 2026",$30.00,$5.07,,,Auction,https://www.ebay.com/itm/168097793185,1
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,168097932215,"Jan 27, 2026",$17.75,$5.29,,,Auction,https://www.ebay.com/itm/168097932215,1
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,168125343741,"Feb 7, 2026",$16.50,$5.52,,,Auction,https://www.ebay.com/itm/168125343741,1
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,168125562264,"Feb 10, 2026",$14.50,$5.52,,,Auction,https://www.ebay.com/itm/168125562264,1
2019 1/20 Oz Silver MEXICAN LIBERTAD BU Coin.,168125715718,"Feb 7, 2026",$12.50,$5.22,,,Auction,https://www.ebay.com/itm/168125715718,1
TWO (2) 2019 Mexico 1/4 Onza Silver Libertad .999 Fine BU Low Mintage Fractional,168170967628,"Feb 20, 2026",$81.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168170967628,1
Libertad Mexico Silver Lot Of 7 1/2 & 1/4 Oz BU And Proof LOW Mint 2019 2020 21,168172672265,"Feb 20, 2026",$443.00,$10.00,,,Fixed price,https://www.ebay.com/itm/168172672265,1
2019 Mexico 1/20 oz Silver Libertad -SHIPS FAST-Secure this now! Fractional,168179009194,"Feb 23, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168179009194,1
2019 1/10 Oz Silver MEXICAN LIBERTAD BU Coin Fractional Stacker,168179019254,"Feb 24, 2026",$28.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168179019254,1
2019 Mexico 1/20 oz Silver Libertad -SHIPS FAST-Secure this now! Fractional #2,168182174843,"Feb 27, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168182174843,1
2019 1/10 Oz Silver MEXICAN LIBERTAD BU Coin Fractional Stacker,168183413348,"Feb 27, 2026",$32.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168183413348,1
2019 Mexico 1/2 oz Silver Libertad -SHIPS FAST-Secure this now! Fractional,168186662241,"Feb 26, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168186662241,1
,,"Dec 3, 2025",$84.00,$5.49,,,Fixed price,,1
2019 Mexico Libertad 1 oz .999 Fine Silver 24k Gilded Ruthenium Plastic Capsule,177450926917,"Feb 9, 2026",$120.00,$5.45,,,Fixed price,https://www.ebay.com/itm/177450926917,1
2019 Mexico Libertad Silver 1/2 Oz Coin In Capsule.,177786057154,"Jan 22, 2026",$69.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177786057154,1
2019 Silver Mexican Libertad 1 Onza First Strike MS70 PCGS Certified,178013634214,"Apr 2, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178013634214,1
,,"Nov 12, 2025",$265.00,$4.99,,,Fixed price,,1
,,"Oct 16, 2025",$180.00,$3.99,,,Fixed price,,1
,,"Oct 19, 2025",$180.00,$3.99,,,Fixed price,,1
,,"Nov 22, 2025",$70.00,$5.25,,,Fixed price,,1
,,"Dec 12, 2025","$2,100.00",$12.00,,,Fixed price,,1
"2017, 2018 & 2019 Mexico 1 oz 0.999 Silver Libertads - 3 Coin Lot",187958307759,"Jan 15, 2026",$283.50,$8.55,,,Fixed price,https://www.ebay.com/itm/187958307759,1
2019 Mexico Libertad Onza 1 oz Plata Pura .999 Silver Coin,187992120891,"Jan 26, 2026",$118.50,$5.00,,,Auction,https://www.ebay.com/itm/187992120891,1
2019 Mo Mexico Libertad Onza 1 oz .999 Silver BU - PQ - SKU-U2918,188091461435,"Mar 13, 2026",$140.00,$5.50,,,Fixed price,https://www.ebay.com/itm/188091461435,1
2019 Mexico Libertad - 1/10 Troy Oz .999 Fine Pure Silver Fractional Coin,188139382921,"Mar 16, 2026",$19.99,$0.53,,,Auction,https://www.ebay.com/itm/188139382921,1
2019 Mexico Libertad 1 oz Silver Coin,188142638668,"Mar 18, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188142638668,1
2019 Mo Mexico Libertad Onza 1 oz .999 Silver BU - PQ - SKU-U2918,188169740374,"Mar 18, 2026",$140.00,$5.50,,,Fixed price,https://www.ebay.com/itm/188169740374,1
2019 Mo Mexico Libertad Onza 1 oz .999 Silver BU Original Luster - U2947 - STOCK,188184075753,"Mar 19, 2026",$119.95,$9.50,,,Fixed price,https://www.ebay.com/itm/188184075753,9
,,"Oct 22, 2025","$2,999.99",$0.00,,,Fixed price,,1
,,"Nov 15, 2025",$499.99,$0.00,,,Fixed price,,1
,,"Nov 3, 2025",$39.00,$0.00,,,Auction,,1
2019 MEXICAN LIBERTAD 1 OZ PURE SLIVER COIN,198037224604,"Jan 28, 2026",$133.50,$4.88,,,Auction,https://www.ebay.com/itm/198037224604,1
2019 Mexico 1 oz onza Silver Libertad - PCGS MS 69 GOLD SHIELD LABEL,198058993151,"Feb 3, 2026",$175.00,$5.95,,,Auction,https://www.ebay.com/itm/198058993151,1
Banco de Mexico 2019 Mexican Libertad 1 oz Silver Antiqued NGC MS 70,198079071131,"Feb 4, 2026","$3,200.00",$5.45,,,Fixed price,https://www.ebay.com/itm/198079071131,1
2019 1/20 oz mexican ms 70 libertad Top Pop 📈 .999 Mexican Silver Coins Rare *,198128522832,"Feb 24, 2026",$170.00,$8.10,,,Auction,https://www.ebay.com/itm/198128522832,1
2019 1/2 Oz Silver MEXICAN LIBERTAD BU Coin. FREE SHIPPING.,198199493282,"Mar 22, 2026",$68.00,$0.00,,,Auction,https://www.ebay.com/itm/198199493282,1
