Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Jan 13, 2026",$23.14,$0.00,,,Fixed price,
,,"Nov 26, 2025",$18.78,$0.00,,,Fixed price,
,,"Nov 8, 2025",$22.23,$4.99,,,Fixed price,
GSA Black Box & COA for 1882-CC Morgan Silver Dollar - Empty No Carson City Coin,116541213124,"Feb 19, 2026",$17.84,$0.00,,,Fixed price,https://www.ebay.com/itm/116541213124
,,"Nov 11, 2025",$22.21,$0.00,,,Fixed price,
[Removed] Item 187544194014,187544194014,"Oct 20, 2025",$30.74,$4.99,,,Fixed price,
[Removed] Item 168248319859,168248319859,"Mar 21, 2026",$52.70,$0.00,,,Fixed price,
1882 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),124913146779,"Apr 6, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/124913146779
,,"Nov 9, 2025",$19.29,$6.00,,,Fixed price,
[Removed] Item 397329684407,397329684407,"Dec 2, 2025",$22.85,$0.00,,,Fixed price,
[Removed] Item 406297538113,406297538113,"Dec 3, 2025",$19.03,$0.00,,,Fixed price,
VF 1882-O Morgan Silver Dollar (1 coin),126671184473,"Jan 2, 2026",$47.89,$0.00,,,Fixed price,https://www.ebay.com/itm/126671184473
[Removed] Item 389252549241,389252549241,"Dec 2, 2025",$65.00,$4.99,,,Fixed price,
,,"Nov 16, 2025",$22.02,$0.00,,,Fixed price,
1882 S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404939077704,"Mar 29, 2026",$96.72,$0.00,,,Fixed price,https://www.ebay.com/itm/404939077704
GSA Black Box & COA for 1882-CC Morgan Silver Dollar - Empty No Carson City Coin,117046161498,"Apr 7, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/117046161498
VF 1882-S Morgan Silver Dollar (1 coin),365921549291,"Jan 12, 2026",$52.96,$0.00,,,Fixed price,https://www.ebay.com/itm/365921549291
,,"Nov 9, 2025",$22.82,$0.00,,,Fixed price,
,,"Nov 8, 2025",$22.72,$0.00,,,Fixed price,
XF 1882-O Morgan Silver Dollar (1 coin),126671187485,"Jan 1, 2026",$58.59,$0.00,,,Fixed price,https://www.ebay.com/itm/126671187485
[Removed] Item 317577139773,317577139773,"Dec 4, 2025",$18.23,$0.00,,,Fixed price,
[Removed] Item 388964909104,388964909104,"Oct 28, 2025",$85.83,$0.00,,,Fixed price,
XF 1882 (P) Morgan Silver Dollar (1 coin),127406857071,"Jan 2, 2026",$57.56,$0.00,,,Fixed price,https://www.ebay.com/itm/127406857071
[Removed] Item 317977975372,317977975372,"Mar 10, 2026",$52.29,$0.00,,,Fixed price,
* 1882-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709618967,"Apr 5, 2026",$166.25,$0.00,,,Fixed price,https://www.ebay.com/itm/164709618967
1882 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,197721875715,"Apr 6, 2026",$145.61,$0.00,,,Fixed price,https://www.ebay.com/itm/197721875715
1882 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305800911330,"Apr 6, 2026",$98.79,$0.00,,,Fixed price,https://www.ebay.com/itm/305800911330
1882 CC BU UNCIRCULATED MORGAN SILVER DOLLAR AUTHENTIC U.S. MINT KEY DATE,366247296939,"Apr 6, 2026",$63.09,$0.00,,,Fixed price,https://www.ebay.com/itm/366247296939
[Removed] Item 357814683153,357814683153,"Nov 12, 2025",$15.39,$0.00,,,Fixed price,
[Removed] Item 389234562038,389234562038,"Dec 2, 2025",$19.21,$0.00,,,Fixed price,
BU/Unc 1882-S Morgan Silver Dollar (1 coin),123851663174,"Mar 15, 2026",$76.64,$0.00,,,Fixed price,https://www.ebay.com/itm/123851663174
* 1882-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335567438,"Apr 5, 2026",$494.52,$0.00,,,Fixed price,https://www.ebay.com/itm/154335567438
,,"Nov 18, 2025",$22.82,$0.00,,,Fixed price,
1882 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269930,"Apr 6, 2026",$99.52,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269930
[Removed] Item 317973832257,317973832257,"Mar 9, 2026",$53.50,$0.00,,,Fixed price,
VF 1882 (P) Morgan Silver Dollar (1 coin),135753197677,"Jan 20, 2026",$64.63,$0.00,,,Fixed price,https://www.ebay.com/itm/135753197677
VG/F 1882-O Morgan Silver Dollar (1 coin),126694657255,"Jan 23, 2026",$66.44,$0.00,,,Fixed price,https://www.ebay.com/itm/126694657255
* 1882-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154367280202,"Apr 6, 2026",$155.96,$15.88,,,Fixed price,https://www.ebay.com/itm/154367280202
[Removed] Item 197747635001,197747635001,"Oct 22, 2025",$23.04,$6.00,,,Fixed price,
,,"Nov 15, 2025",$3.34,$0.00,,,Fixed price,
[Removed] Item 317534059198,317534059198,"Nov 28, 2025",$38.19,$0.00,,,Fixed price,
"1878-1882 Morgan Dollar ""S"" Mint Mark, Frosty, PL Mirrors, Stunning PQ Piece",365475529824,"Mar 7, 2026",$117.50,$16.97,,,Fixed price,https://www.ebay.com/itm/365475529824
VG/F 1882-S Morgan Silver Dollar (1 coin),365575703446,"Jan 23, 2026",$58.79,$0.00,,,Fixed price,https://www.ebay.com/itm/365575703446
,,"Nov 18, 2025",$18.96,$0.00,,,Fixed price,
1882-CC Morgan Silver Dollar Original Bag Fragment MS63 NGC Red Label,135725672685,"Mar 20, 2026",$412.42,$0.00,,,Fixed price,https://www.ebay.com/itm/135725672685
,,"Oct 30, 2025",$22.23,$0.00,,,Fixed price,
,,"Nov 15, 2025",$26.13,$0.00,,,Fixed price,
AU+ 1882 (P) Morgan Silver Dollar (1 coin),126951359026,"Dec 27, 2025",$54.49,$0.00,,,Fixed price,https://www.ebay.com/itm/126951359026
,,"Nov 19, 2025",$22.51,$0.00,,,Fixed price,
,,"Dec 3, 2025",$18.18,$0.00,,,Fixed price,
1882 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),124913146779,"Apr 8, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/124913146779
1882 CC BU UNCIRCULATED MORGAN SILVER DOLLAR AUTHENTIC U.S. MINT KEY DATE,366247296939,"Apr 8, 2026",$62.84,$0.00,,,Fixed price,https://www.ebay.com/itm/366247296939
1882 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269930,"Apr 8, 2026",$99.70,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269930
GSA Black Box & COA for 1882-CC Morgan Silver Dollar - Empty No Carson City Coin,116541213124,"Feb 19, 2026",$17.86,$0.00,,,Fixed price,https://www.ebay.com/itm/116541213124,45
1882 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),124913146779,"Apr 13, 2026",$11.01,$0.00,,,Fixed price,https://www.ebay.com/itm/124913146779,49
1882 CC BU UNCIRCULATED MORGAN SILVER DOLLAR AUTHENTIC U.S. MINT KEY DATE,366247296939,"Apr 12, 2026",$57.83,$0.00,,,Fixed price,https://www.ebay.com/itm/366247296939,33
,,"Nov 9, 2025",$19.24,$6.00,,,Fixed price,,41
GSA Black Box & COA for 1882-CC Morgan Silver Dollar - Empty No Carson City Coin,117046161498,"Apr 9, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/117046161498,25
VF 1882-O Morgan Silver Dollar (1 coin),126671184473,"Jan 2, 2026",$48.16,$0.00,,,Fixed price,https://www.ebay.com/itm/126671184473,30
[Removed] Item 187544194014,187544194014,"Oct 20, 2025",$30.85,$0.00,,,Fixed price,,20
* 1882-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709618967,"Apr 13, 2026",$168.56,$0.00,,,Fixed price,https://www.ebay.com/itm/164709618967,18
1882 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,197721875715,"Apr 10, 2026",$145.38,$0.00,,,Fixed price,https://www.ebay.com/itm/197721875715,18
1882CC Morgan Silver Dollar Nice Eye Appeal Blast White,389884370707,"Apr 13, 2026",$42.02,$0.00,,,Fixed price,https://www.ebay.com/itm/389884370707,26
1882 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269930,"Apr 8, 2026",$101.77,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269930,13
* 1882-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335567438,"Apr 5, 2026",$496.57,$0.00,,,Fixed price,https://www.ebay.com/itm/154335567438,12
BU/Unc 1882-S Morgan Silver Dollar (1 coin),123851663174,"Mar 15, 2026",$80.97,$0.00,,,Fixed price,https://www.ebay.com/itm/123851663174,11
VG/F 1882-O Morgan Silver Dollar (1 coin),126694657255,"Jan 23, 2026",$69.83,$0.00,,,Fixed price,https://www.ebay.com/itm/126694657255,14
1882 MS63 Morgan Silver Dollar CACG,146165310192,"Mar 10, 2026",$104.05,$0.00,,,Fixed price,https://www.ebay.com/itm/146165310192,8
,,"Feb 6, 2026",$25.88,$0.00,,,Fixed price,,9
1882 CC Carson City GSA Morgan Silver Dollar with Box/COA Uncirculated,124080520844,"Jan 17, 2026",$334.77,$0.00,,,Fixed price,https://www.ebay.com/itm/124080520844,6
[Removed] Item 197747635001,197747635001,"Oct 22, 2025",$22.45,$6.00,,,Fixed price,,6
[Removed] Item 205595975949,205595975949,"Oct 26, 2025",$24.94,$0.00,,,Fixed price,,9
[Removed] Item 317469583391,317469583391,"Oct 31, 2025",$34.28,$0.00,,,Fixed price,,7
1882 S Morgan Dollar MS 63 NGC Silver Original Bag Fragment SKU:I18170,366053185034,"Jan 31, 2026",$114.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366053185034,6
1882-O Morgan Silver Dollar Coin,389705421327,"Mar 9, 2026",$39.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389705421327,7
[Removed] Item 406300135775,406300135775,"Oct 21, 2025",$25.34,$0.00,,,Fixed price,,6
"Morgan Silver dollars 1882 p, 1884 p, 1890 p 1896 p - Grade Fine to Very Fine",127697751526,"Mar 18, 2026",$70.86,$5.99,,,Fixed price,https://www.ebay.com/itm/127697751526,5
[Removed] Item 177500707518,177500707518,"Oct 22, 2025",$23.88,$0.00,,,Fixed price,,5
[Removed] Item 227053411304,227053411304,"Nov 7, 2025",$20.78,$0.00,,,Fixed price,,9
[Removed] Item 286884242283,286884242283,"Dec 12, 2025",$18.99,$0.00,,,Fixed price,,14
,,"Nov 13, 2025",$22.77,$0.00,,,Fixed price,,6
[Removed] Item 357966289283,357966289283,"Dec 5, 2025",$19.40,$0.00,,,Fixed price,,5
AU+ 1882-O Morgan Silver Dollar (1 coin),365515339667,"Jan 5, 2026",$62.56,$0.00,,,Fixed price,https://www.ebay.com/itm/365515339667,5
BU/Unc 1882 (P) Morgan Silver Dollar (1 coin),124632905629,"Jan 3, 2026",$67.83,$0.00,,,Fixed price,https://www.ebay.com/itm/124632905629,6
,,"Oct 24, 2025",$21.69,$0.00,,,Fixed price,,5
[Removed] Item 287151597410,287151597410,"Feb 19, 2026",$36.99,$5.00,,,Fixed price,,4
[Removed] Item 336180852015,336180852015,"Oct 21, 2025",$19.90,$0.00,,,Fixed price,,23
1882 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin Collectible,365683753611,"Dec 23, 2025",$71.24,$0.00,,,Fixed price,https://www.ebay.com/itm/365683753611,4
XF 1882-S Morgan Silver Dollar (1 coin),366125079880,"Jan 26, 2026",$86.20,$0.00,,,Fixed price,https://www.ebay.com/itm/366125079880,8
,,"Nov 11, 2025",$22.33,$0.00,,,Fixed price,,4
1882-O Morgan Silver Dollar Coin,389727359547,"Mar 12, 2026",$39.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389727359547,6
[Removed] Item 397594778625,397594778625,"Feb 15, 2026",$30.03,$9.93,,,Fixed price,,4
,,"Nov 7, 2025",$18.99,$0.00,,,Fixed price,,5
BU/Unc 1882-O Morgan Silver Dollar (1 coin),124632886235,"Dec 1, 2025",$66.67,$0.00,,,Fixed price,https://www.ebay.com/itm/124632886235,3
1882-CC Morgan Silver Dollar MS63 ICG,127635045212,"Mar 13, 2026",$336.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127635045212,3
1882-S Morgan Silver Dollar MS64 NGC Brown Label,135539397126,"Mar 7, 2026",$111.30,$0.00,,,Fixed price,https://www.ebay.com/itm/135539397126,3
* 1882-CC DMPL * SOLID+ GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG,155574172790,"Apr 8, 2026",$694.97,$0.00,,,Fixed price,https://www.ebay.com/itm/155574172790,3
EF/UNC. 1882 MORGAN SILVER DOLLAR VERY NICE DETAIL COLLECTOR GRADE COIN M-1339,177365856881,"Feb 26, 2026",$71.67,$4.30,,,Fixed price,https://www.ebay.com/itm/177365856881,3
,,"Nov 2, 2025",$89.24,$0.00,,,Fixed price,,3
VF+ 1882 MORGAN SILVER DOLLAR NICE DETAIL COLLECTOR GRADE COIN M-1689,177918662775,"Apr 7, 2026",$88.67,$5.25,,,Fixed price,https://www.ebay.com/itm/177918662775,3
