Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 205997207643,205997207643,"Jan 28, 2026",$71.14,$0.00,,,Fixed price,
,,"Nov 19, 2025",$34.70,$0.00,,,Fixed price,
[Removed] Item 317811395007,317811395007,"Mar 17, 2026",$64.51,$0.00,,,Fixed price,
,,"Nov 19, 2025",$32.84,$0.00,,,Fixed price,
[Removed] Item 317497176135,317497176135,"Nov 18, 2025",$34.00,$0.00,,,Fixed price,
,,"Jan 19, 2026",$63.11,$0.00,,,Fixed price,
AU+ 1887-S Morgan Silver Dollar (1 coin),134845188058,"Apr 3, 2026",$83.20,$14.12,,,Fixed price,https://www.ebay.com/itm/134845188058
"1878-1904 Morgan Dollar BU Uncirculated Half Roll 10 Coins Choice O, S, P Mint",365251207772,"Jan 8, 2026",$732.50,$0.00,,,Fixed price,https://www.ebay.com/itm/365251207772
[Removed] Item 317567628700,317567628700,"Nov 24, 2025",$39.98,$0.00,,,Fixed price,
XF 1887-S Morgan Silver Dollar (1 coin),365921545401,"Dec 12, 2025",$59.50,$0.00,,,Fixed price,https://www.ebay.com/itm/365921545401
1887-S Morgan Silver Dollar MS62 PCGS,383129294518,"Dec 16, 2025",$278.75,$0.00,,,Fixed price,https://www.ebay.com/itm/383129294518
High Grade 1887-S $1 Morgan Silver Dollar Semi Key Date,116326536296,"Feb 11, 2026",$80.00,$7.60,,,Fixed price,https://www.ebay.com/itm/116326536296
,,"Dec 21, 2025",$209.95,$0.00,,,Fixed price,
1887 S Morgan Silver Dollar PCGS MS62 Better date - Free Shipping!!!!,116778791815,"Feb 17, 2026",$235.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116778791815
,,"Oct 10, 2025",$57.00,$4.00,,,Auction,
,,"Oct 15, 2025",$199.00,$0.00,,,Fixed price,
,,"Oct 17, 2025",$95.00,$7.50,,,Fixed price,
,,"Oct 25, 2025",$192.50,$4.95,,,Auction,
,,"Oct 25, 2025",$74.00,$4.90,,,Auction,
,,"Nov 1, 2025",$110.00,$8.40,,,Fixed price,
,,"Nov 1, 2025",$110.70,$4.00,,,Auction,
,,"Nov 3, 2025",$56.55,$4.97,,,Auction,
1887-S Morgan Silver Dollar AU++ (cn15610),116855088868,"Jan 9, 2026",$92.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116855088868
,,"Nov 8, 2025",$49.00,$5.00,,,Auction,
,,"Nov 1, 2025",$100.00,$5.00,,,Fixed price,
,,"Nov 8, 2025",$75.00,$5.00,,,Fixed price,
,,"Nov 9, 2025",$46.01,$2.58,,,Auction,
,,"Nov 5, 2025",$85.00,$4.00,,,Fixed price,
,,"Jan 4, 2026",$185.00,$4.00,,,Fixed price,
,,"Dec 4, 2025",$77.00,$5.95,,,Auction,
,,"Nov 16, 2025",$48.00,$5.41,,,Auction,
,,"Dec 11, 2025",$85.00,$5.09,,,Auction,
,,"Dec 9, 2025",$53.39,$4.99,,,Auction,
,,"Dec 28, 2025",$65.00,$0.00,,,Fixed price,
,,"Dec 30, 2025",$99.69,$0.00,,,Auction,
"1887-S ""Morgan Silver Dollar"" MS",116970931142,"Jan 10, 2026",$80.00,$4.87,,,Fixed price,https://www.ebay.com/itm/116970931142
"(5) NGC Graded MS63 Morgan Silver Dollars. 1887-P, (2) 1882-S, 1900-O, 1901-O.",116978062367,"Jan 17, 2026",$490.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116978062367
1887-S Morgan Dollar PCGS AU58,117016024628,"Apr 5, 2026",$140.00,$5.85,,,Fixed price,https://www.ebay.com/itm/117016024628
"1887-S Morgan Dollar, Uncertified, NR",117021030254,"Feb 14, 2026",$92.50,$1.23,,,Auction,https://www.ebay.com/itm/117021030254
1887 S MORGAN SILVER DOLLAR! NICE AU/UNC Coin! Rare Date/Mint!,117022454249,"Feb 7, 2026",$104.39,$4.00,,,Auction,https://www.ebay.com/itm/117022454249
1887 S $1 Morgan Silver One Dollar US Coin San Francisco in capsule,117022833863,"Feb 13, 2026",$80.00,$4.75,,,Auction,https://www.ebay.com/itm/117022833863
1887-S MORGAN SILVER DOLLAR RARE KEY DATE BEAUTIFULLY TONED!! #2021719-62V,123655037565,"Jan 11, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/123655037565
1887-S Morgan Dollar $1 AU,125323167070,"Feb 7, 2026",$80.00,$5.00,,,Fixed price,https://www.ebay.com/itm/125323167070
1887-S/S Morgan Silver Dollar VAM-2 Top 100 AU53 ANACS *7960,126318428078,"Feb 14, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126318428078
1887-S Morgan Silver Dollar AU58 ICG *3302,126846932064,"Mar 5, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126846932064
1887-S Morgan Silver Dollar AU58 ICG *3323,126846932191,"Feb 4, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126846932191
,,"Dec 23, 2025",$75.00,$0.00,,,Fixed price,
,,"Oct 21, 2025",$75.00,$0.00,,,Fixed price,
,,"Dec 31, 2025",$68.00,$5.15,,,Fixed price,
1887 S $1 Morgan Silver Dollars in Capsule,236741709278,"Apr 8, 2026",$62.50,$0.00,,,Fixed price,https://www.ebay.com/itm/236741709278
1887 S $1 Morgan Silver Dollars in Capsule,236741709278,"Apr 13, 2026",$62.36,$0.00,,,Fixed price,https://www.ebay.com/itm/236741709278,22
AU+ 1887-S Morgan Silver Dollar (1 coin),134845188058,"Apr 3, 2026",$83.28,$14.12,,,Fixed price,https://www.ebay.com/itm/134845188058,27
"1878-1904 Morgan Dollar BU Uncirculated Half Roll 10 Coins Choice O, S, P Mint",365251207772,"Jan 8, 2026",$739.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365251207772,5
,,"Jan 9, 2026",$92.00,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$80.00,$4.87,,,Fixed price,,1
,,"Jan 11, 2026",$130.00,$0.00,,,Fixed price,,1
1887 S MORGAN SILVER DOLLAR - Lot#122,126910980609,"Jan 23, 2026",$89.99,$0.00,,,Fixed price,https://www.ebay.com/itm/126910980609,1
,,"Dec 27, 2025",$80.00,$5.00,,,Fixed price,,1
,,"Nov 11, 2025",$399.99,$12.00,,,Fixed price,,1
,,"Dec 29, 2025","$1,178.00",$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$225.00,$0.00,,,Fixed price,,1
1887-S $1 Morgan Dollar 90% Silver San Francisco Early US Coin AU/BU,127438822154,"Jan 19, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127438822154,1
,,"Oct 26, 2025",$80.00,$1.32,,,Auction,,1
,,"Oct 25, 2025",$60.00,$4.54,,,Fixed price,,1
,,"Nov 5, 2025",$41.00,$0.00,,,Auction,,1
,,"Nov 8, 2025",$79.95,$0.00,,,Auction,,1
,,"Nov 13, 2025",$79.95,$0.00,,,Auction,,1
,,"Nov 26, 2025",$80.00,$4.65,,,Fixed price,,1
,,"Dec 13, 2025",$120.50,$0.69,,,Auction,,1
,,"Nov 23, 2025",$79.95,$0.00,,,Auction,,1
,,"Nov 22, 2025",$44.71,$0.00,,,Auction,,1
1887-S American Silver Morgan Dollar PCGS MS63,127505543945,"Feb 2, 2026",$660.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127505543945,1
,,"Dec 20, 2025",$94.65,$8.10,,,Auction,,1
1887-S Morgan Silver Dollar $1 | Better Date - AU+/Unc Details - Cleaned,127525339895,"Feb 10, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127525339895,1
,,"Dec 3, 2025",$85.00,$5.00,,,Fixed price,,1
,,"Dec 3, 2025",$40.00,$4.65,,,Fixed price,,1
,,"Dec 7, 2025",$150.00,$5.00,,,Fixed price,,1
1887-S Morgan Silver Dollar PCGS MS62,127580171331,"Feb 22, 2026",$240.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127580171331,1
,,"Dec 27, 2025",$330.00,$5.00,,,Fixed price,,1
,,"Dec 28, 2025",$258.50,$5.95,,,Auction,,1
,,"Jan 11, 2026",$97.00,$0.00,,,Auction,,1
,,"Jan 12, 2026",$150.00,$10.00,,,Auction,,1
1887-O 1883-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *797,127619876216,"Jan 17, 2026",$150.00,$0.00,,,Auction,https://www.ebay.com/itm/127619876216,1
1887 S San Francisco Morgan Silver Dollar,127621718106,"Jan 13, 2026",$110.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127621718106,1
1887 S MORGAN SILVER DOLLAR MS++ DETAILS WHITE BU COIN SAN FRANCISCO MINT,127628747768,"Jan 17, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127628747768,1
"lot of 5 Morgan silver dollars, 1885, 1885 O, 1886 O, 1887 O, 1897 S",127629856645,"Jan 22, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127629856645,1
1882-S 1887-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *604,127631538970,"Jan 23, 2026",$161.38,$0.00,,,Auction,https://www.ebay.com/itm/127631538970,1
1887 Philadelphia Morgan Liberty Head ONE DOLLAR S$1 USD 90% Silver Coin Rainbow,127641329699,"Jan 28, 2026",$81.00,$6.99,,,Auction,https://www.ebay.com/itm/127641329699,1
1887-S Morgan Dollar PCGS AU55 Circulated Better Date $1 AP,127643956414,"Jan 26, 2026",$109.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127643956414,1
1887-S Morgan Silver Dollar PCGS UNC Details,127644968114,"Jan 26, 2026",$140.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127644968114,1
"1887-s Morgan Silver Dollar. AU, Great detail",127646944536,"Feb 2, 2026",$87.00,$5.39,,,Auction,https://www.ebay.com/itm/127646944536,1
1887-S Morgan Silver Dollar - San Francisco - 90% Silver- XF+ Details -Cleaned,127665922542,"Feb 11, 2026",$74.53,$0.00,,,Auction,https://www.ebay.com/itm/127665922542,1
1887-(P) NGC BRILLIANT UNC Morgan Liberty Head ONE DOLLAR S$1 US 90% Silver Coin,127667529489,"Feb 10, 2026",$99.00,$6.99,,,Auction,https://www.ebay.com/itm/127667529489,1
Early - 1887-S Morgan Silver Dollar - 90% US Coin *248,127670038380,"Feb 11, 2026",$78.00,$0.00,,,Auction,https://www.ebay.com/itm/127670038380,1
Better 1887-S Morgan Silver Dollar - 90% US Coin - Nice Coin *608,127672100978,"Feb 12, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127672100978,1
