Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Aztec God of Death | Mictlantecuhtli - 1 oz .999 Fine Silver Round,397909281277,"May 25, 2026",$67.75,$0.00,,,Fixed price,https://www.ebay.com/itm/397909281277,185
1 oz Silver Round - Buffalo,144494958580,"May 2, 2026",$88.55,$23.80,,,Fixed price,https://www.ebay.com/itm/144494958580,"1,625"
Lot of 3 - 1 Troy oz Buffalo .999 Fine Silver Round,175386461968,"May 2, 2026",$255.56,$0.00,,,Fixed price,https://www.ebay.com/itm/175386461968,746
1 oz Silver Round .999 Fine Silver - Random Design - Lot of 5,297300462641,"May 2, 2026",$374.48,$34.98,,,Fixed price,https://www.ebay.com/itm/297300462641,862
1 oz Silver Round - Buffalo (Lot of 5 Rounds) - .999 Fine Silver,143957288256,"May 2, 2026",$427.71,$29.22,,,Fixed price,https://www.ebay.com/itm/143957288256,724
Tube of 20 - 1 oz Silver Round Buffalo .999 Fine Silver,112571120885,"May 2, 2026","$1,651.84",$53.32,,,Fixed price,https://www.ebay.com/itm/112571120885,451
1 Troy oz William Wallace Design .999 Fine Silver Round,317848035840,"May 2, 2026",$91.50,$0.00,,,Fixed price,https://www.ebay.com/itm/317848035840,382
1 Troy oz Sitting Bull Design .999 Fine Silver Round,205590720907,"May 2, 2026",$85.05,$12.43,,,Fixed price,https://www.ebay.com/itm/205590720907,384
1 Troy oz Buffalo .999 Fine Silver Round,177225469829,"May 2, 2026",$86.45,$20.78,,,Fixed price,https://www.ebay.com/itm/177225469829,374
"1 oz Silver Round (Varied Condition, Any Mint) Random Brand",396385733064,"May 2, 2026",$92.40,$0.00,,,Fixed price,https://www.ebay.com/itm/396385733064,528
Scottsdale Mint 1 oz Silver STACKER® - Grizzly Bear (eBay Exclusive) #A120,317585647905,"May 2, 2026",$94.89,$19.41,,,Fixed price,https://www.ebay.com/itm/317585647905,302
1 oz President Trump First Edition Silver Medallion PCGS GEM Proof,157641033395,"May 2, 2026",$109.22,$0.00,,,Fixed price,https://www.ebay.com/itm/157641033395,172
1 oz Silver Round - Aztec,144558966633,"May 2, 2026",$96.39,$29.02,,,Fixed price,https://www.ebay.com/itm/144558966633,179
Item ID 375661444125,375661444125,"May 2, 2026",$79.29,$0.00,,,Fixed price,https://www.ebay.com/itm/375661444125,167
2026 - AGAINST ALL ENEMIES - 1 oz .999 FINE SILVER SHIELD BU ROUND IN STOCK!!,166986990204,"May 2, 2026",$100.86,$21.71,,,Fixed price,https://www.ebay.com/itm/166986990204,50
2026 - 1 oz .999 Fine JUSTICE Silver Round Silver Shield BU COIN - IN STOCK!!,154307840267,"May 2, 2026",$105.95,$20.07,,,Fixed price,https://www.ebay.com/itm/154307840267,55
1 oz Silver Round - Buffalo,144494958580,"May 1, 2026",$88.55,$23.80,,,Fixed price,https://www.ebay.com/itm/144494958580,"1,624"
Lot of 3 - 1 Troy oz Buffalo .999 Fine Silver Round,175386461968,"May 1, 2026",$255.57,$0.00,,,Fixed price,https://www.ebay.com/itm/175386461968,745
1 oz Silver Round .999 Fine Silver - Random Design - Lot of 5,297300462641,"May 1, 2026",$374.16,$34.98,,,Fixed price,https://www.ebay.com/itm/297300462641,861
1 oz Silver Round - Buffalo (Lot of 5 Rounds) - .999 Fine Silver,143957288256,"May 1, 2026",$426.42,$29.22,,,Fixed price,https://www.ebay.com/itm/143957288256,729
1 oz Silver Round .999 Fine Silver - Random Design - Tube of 20 Rounds,296486542075,"May 1, 2026","$1,424.52",$80.07,,,Fixed price,https://www.ebay.com/itm/296486542075,704
Lot of 5 - 1 Troy oz Buffalo .999 Fine Silver Round,312826299876,"May 1, 2026",$408.17,$0.00,,,Fixed price,https://www.ebay.com/itm/312826299876,367
"1 oz Silver Round (Varied Condition, Any Mint - Lot of 20) Random Brand",176036095909,"May 1, 2026","$1,557.59",$0.00,,,Fixed price,https://www.ebay.com/itm/176036095909,481
1 Troy oz Sitting Bull Design .999 Fine Silver Round,205590720907,"May 1, 2026",$85.04,$12.43,,,Fixed price,https://www.ebay.com/itm/205590720907,377
1 Troy oz Buffalo .999 Fine Silver Round,177225469829,"May 1, 2026",$86.49,$20.78,,,Fixed price,https://www.ebay.com/itm/177225469829,365
"1 oz Silver Round (Varied Condition, Any Mint) Random Brand",396385733064,"May 1, 2026",$92.34,$0.00,,,Fixed price,https://www.ebay.com/itm/396385733064,528
1 oz Silver Round - Secondary Market - Lot of 10 Rounds .999 Silver Random Brand,143953931791,"May 1, 2026",$830.19,$50.34,,,Fixed price,https://www.ebay.com/itm/143953931791,339
1 oz Zombucks World Libertattered Silver Round (New),157744886629,"May 1, 2026",$87.06,$0.00,,,Fixed price,https://www.ebay.com/itm/157744886629,229
