Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
G/VG 1902-S Morgan Silver Dollar (1 coin),126624296164,"Jan 14, 2026",$98.88,$0.00,,,Fixed price,https://www.ebay.com/itm/126624296164
,,"Nov 25, 2025",$22.99,$0.00,,,Fixed price,
[Removed] Item 406393236149,406393236149,"Nov 26, 2025",$20.47,$0.00,,,Fixed price,
,,"Nov 10, 2025",$29.66,$5.00,,,Fixed price,
[Removed] Item 406385686031,406385686031,"Dec 1, 2025",$19.73,$0.00,,,Fixed price,
[Removed] Item 187699559576,187699559576,"Nov 3, 2025",$22.49,$7.99,,,Fixed price,
,,"Nov 15, 2025",$22.77,$0.00,,,Fixed price,
VF 1902-S Morgan Silver Dollar (1 coin),365117528428,"Dec 10, 2025",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/365117528428
MORGAN SILVER DOLLAR 1902 S MEGA RARE DATE PROOF LIKE STRIKE PCGS UNC GLASSY PQ,116736357412,"Mar 18, 2026","$1,115.00",$49.95,,,Fixed price,https://www.ebay.com/itm/116736357412
,,"Oct 14, 2025",$219.95,$2.99,,,Fixed price,
,,"Nov 7, 2025",$75.76,$4.00,,,Auction,
,,"Nov 20, 2025",$281.20,$7.49,,,Auction,
,,"Nov 16, 2025",$48.00,$5.41,,,Auction,
,,"Nov 29, 2025",$146.50,$4.99,,,Auction,
,,"Dec 19, 2025",$600.00,$8.40,,,Fixed price,
,,"Jan 3, 2026",$82.00,$5.00,,,Fixed price,
1902 S Morgan Silver Dollar,116965821575,"Jan 11, 2026",$223.70,$0.00,,,Auction,https://www.ebay.com/itm/116965821575
"1902-S Morgan Silver Dollar 1$ ""Tougher Year"" *ANACS VF25 Very Fine* Solid Coin",117072014421,"Mar 8, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117072014421
1902-S Morgan Silver Dollar PCGS MS63,117091551722,"Apr 5, 2026","$1,026.51",$5.30,,,Auction,https://www.ebay.com/itm/117091551722
Key Date 1902-S Morgan Silver Dollar Good,117093036944,"Mar 18, 2026",$95.00,$5.50,,,Fixed price,https://www.ebay.com/itm/117093036944
"1902 S Morgan Silver Dollar Tough Date-Semi-Key Very Rare: Only 1,530,000 Minted",117128901903,"Apr 6, 2026",$288.99,$5.95,,,Fixed price,https://www.ebay.com/itm/117128901903
,,"Dec 16, 2025",$210.00,$0.00,,,Fixed price,
,,"Dec 30, 2025",$165.00,$4.92,,,Fixed price,
,,"Oct 25, 2025",$220.00,$7.80,,,Fixed price,
,,"Oct 21, 2025",$184.50,$3.32,,,Auction,
,,"Oct 26, 2025",$119.99,$0.00,,,Fixed price,
,,"Dec 24, 2025","$2,495.99",$0.00,,,Fixed price,
,,"Nov 1, 2025",$215.00,$0.00,,,Fixed price,
,,"Nov 7, 2025",$271.00,$3.64,,,Auction,
,,"Nov 18, 2025",$152.50,$6.50,,,Auction,
1902-S Semi-Key Morgan Dollar Good receive coin pictured see description #3895,127510970888,"Mar 21, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127510970888
,,"Nov 27, 2025",$60.00,$4.76,,,Fixed price,
1902 S morgan dollar NGC XF details ~,127540897536,"Jan 29, 2026",$220.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127540897536
,,"Dec 25, 2025",$185.00,$0.00,,,Fixed price,
,,"Dec 27, 2025",$72.00,$0.00,,,Fixed price,
,,"Dec 30, 2025",$62.11,$7.50,,,Auction,
1902-S $1 Morgan Silver Dollar - PCGS F15 - San Francisco - Tough Date QA,127600737951,"Jan 14, 2026",$199.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127600737951
1902-S Morgan Dollar NGC MS61 Key Date!,127610141782,"Mar 24, 2026",$675.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127610141782
1902-S Morgan Silver Dollar Original Luster San Francisco Mint #424,127616109074,"Jan 11, 2026",$110.00,$4.54,,,Fixed price,https://www.ebay.com/itm/127616109074
1902 S Morgan Silver Dollar NGC AU-58 Freshly Graded,127679169319,"Feb 12, 2026",$495.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127679169319
1902 S Morgan Silver Dollar - XF Details PJ,127703798288,"Mar 5, 2026",$219.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127703798288
1902 P Morgan Silver Dollar Almost UNC *Free S/H After 1st Item*,127725614597,"Mar 14, 2026",$75.00,$5.40,,,Auction,https://www.ebay.com/itm/127725614597
,,"Jan 2, 2026",$399.00,$0.00,,,Fixed price,
,,"Dec 26, 2025",$76.00,$5.65,,,Fixed price,
G/VG 1902-S Morgan Silver Dollar (1 coin),126624296164,"Jan 14, 2026",$98.60,$0.00,,,Fixed price,https://www.ebay.com/itm/126624296164,4
,,"Jan 11, 2026",$223.70,$0.00,,,Auction,,1
"Lot of 3 Morgan Silver Dollars Better Dates 1902-S, 1892, NICE 1884-O - Details",116971194997,"Jan 18, 2026",$286.00,$7.70,,,Auction,https://www.ebay.com/itm/116971194997,1
1902-S ICG MS60 details grade (Cleaned) Morgan silver dollar.,127041135031,"Jan 26, 2026",$449.99,$12.00,,,Fixed price,https://www.ebay.com/itm/127041135031,1
,,"Jan 11, 2026",$110.00,$4.54,,,Fixed price,,1
VERY RARE! 1902 S Morgan Silver Dollar ~ ESTATE SALE FIND ~ 90% SILVER $1,127618088388,"Jan 18, 2026",$355.00,$6.50,,,Auction,https://www.ebay.com/itm/127618088388,1
"lot of 5 Morgan silver dollars, 1890 S, 1894 0, 1896 O, 1900, 1902",127621701147,"Jan 18, 2026",$322.50,$5.65,,,Auction,https://www.ebay.com/itm/127621701147,1
1883-S 1902 Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *658,127639969473,"Jan 27, 2026",$167.50,$0.00,,,Auction,https://www.ebay.com/itm/127639969473,1
KEY DATE! 1902 S Morgan Silver Dollar ~ FROM ESTATE SALE ~ 90% Silver $1,127786257029,"Apr 6, 2026",$261.00,$6.75,,,Auction,https://www.ebay.com/itm/127786257029,1
,,"Nov 23, 2025",$279.00,$0.00,,,Fixed price,,1
,,"Dec 24, 2025",$72.00,$0.00,,,Fixed price,,1
,,"Oct 17, 2025",$252.00,$14.21,,,Fixed price,,1
1902-S Morgan Dollar $1 PCGS MS62 - Sweet original coin!,136557566119,"Feb 16, 2026",$665.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136557566119,1
,,"Nov 6, 2025",$137.61,$0.00,,,Auction,,1
,,"Dec 17, 2025",$175.00,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$51.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$342.13,$0.00,,,Auction,,1
1902 Morgan Dollar S$1 ICG AU58,136945773925,"Mar 5, 2026",$110.00,$10.46,,,Fixed price,https://www.ebay.com/itm/136945773925,1
"1902-S MORGAN SILVER DOLLAR, CIRCULATED. BETTER GRADE.",136953051545,"Jan 25, 2026",$122.51,$0.00,,,Auction,https://www.ebay.com/itm/136953051545,1
1902 S Morgan Silver Dollar. Guaranteed Authentic Nice Coin.,136963826424,"Jan 19, 2026",$78.90,$0.00,,,Fixed price,https://www.ebay.com/itm/136963826424,1
1902 S and 1903 S $1 Morgan Silver Dollars,136989259371,"Feb 3, 2026",$140.50,$0.00,,,Auction,https://www.ebay.com/itm/136989259371,1
1902 S Morgan Silver Dollar. Guaranteed Authentic Nice Coin.,136999980118,"Feb 2, 2026",$99.90,$0.00,,,Fixed price,https://www.ebay.com/itm/136999980118,1
"1902-S MORGAN SILVER DOLLAR, Free Shipping",137034981237,"Mar 11, 2026",$241.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137034981237,1
1902-S Morgan Dollar - Good Details Old Cleaned (#61275-L),137038953926,"Feb 15, 2026",$84.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137038953926,1
1902-S Morgan Silver Dollar *4012,137046229293,"Mar 7, 2026",$185.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137046229293,1
1902-S Morgan Silver Dollar $1 - ANACS VF35 Details - San Fransisco,137069183772,"Mar 5, 2026",$180.00,$6.00,,,Fixed price,https://www.ebay.com/itm/137069183772,1
1902-S Morgan Silver Dollar PCGS VG Detailed Cleaned,137080823901,"Mar 7, 2026",$157.50,$3.99,,,Auction,https://www.ebay.com/itm/137080823901,1
"1899 O, 1901 O, 1901 S, and 1902 $1 Morgan Silver Dollars",137122413564,"Mar 19, 2026",$227.50,$0.00,,,Auction,https://www.ebay.com/itm/137122413564,1
1902-S Morgan Silver Dollar,137158662515,"Mar 27, 2026",$63.00,$5.00,,,Fixed price,https://www.ebay.com/itm/137158662515,1
"1902-S Morgan Silver Dollar, RARE This Nice, White Lustrous Gem BU Key Date m43",137163125445,"Apr 1, 2026",$370.50,$8.50,,,Fixed price,https://www.ebay.com/itm/137163125445,1
"1902-S Morgan Silver Dollar, XF. Scare! G172",137184801257,"Apr 2, 2026",$244.95,$10.00,,,Fixed price,https://www.ebay.com/itm/137184801257,1
1902-S MORGAN SILVER DOLLAR SEMI-KEY XF+,137190956238,"Apr 6, 2026",$275.00,$5.50,,,Fixed price,https://www.ebay.com/itm/137190956238,1
