Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
VF 1882-O Morgan Silver Dollar (1 coin),126671184473,"Jan 2, 2026",$47.80,$0.00,,,Fixed price,https://www.ebay.com/itm/126671184473
XF 1882-O Morgan Silver Dollar (1 coin),126671187485,"Jan 1, 2026",$58.59,$0.00,,,Fixed price,https://www.ebay.com/itm/126671187485
1882 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269930,"Apr 6, 2026",$97.55,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269930
VG/F 1882-O Morgan Silver Dollar (1 coin),126694657255,"Jan 23, 2026",$66.44,$0.00,,,Fixed price,https://www.ebay.com/itm/126694657255
* 1882-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154367280202,"Apr 6, 2026",$155.96,$15.88,,,Fixed price,https://www.ebay.com/itm/154367280202
[Removed] Item 317534059198,317534059198,"Nov 28, 2025",$38.19,$0.00,,,Fixed price,
[Removed] Item 317469583391,317469583391,"Oct 31, 2025",$34.28,$0.00,,,Fixed price,
1882-O Morgan Silver Dollar Coin,389705421327,"Mar 9, 2026",$39.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389705421327
AU+ 1882-O Morgan Silver Dollar (1 coin),365515339667,"Jan 5, 2026",$62.56,$0.00,,,Fixed price,https://www.ebay.com/itm/365515339667
1882 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin Collectible,365683753611,"Dec 23, 2025",$71.24,$0.00,,,Fixed price,https://www.ebay.com/itm/365683753611
1882-O Morgan Silver Dollar Coin,389727359547,"Mar 12, 2026",$39.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389727359547
BU/Unc 1882-O Morgan Silver Dollar (1 coin),124632886235,"Dec 1, 2025",$66.67,$0.00,,,Fixed price,https://www.ebay.com/itm/124632886235
1882-O Morgan Silver Dollar Coin,389697200427,"Mar 5, 2026",$39.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389697200427
EF 1882-O MORGAN SILVER DOLLAR NICE EF DETAIL COLLECTOR GRADE COIN M-1458,117005937618,"Mar 22, 2026",$93.39,$12.56,,,Fixed price,https://www.ebay.com/itm/117005937618
"Two Circulated 90% Silver Morgan Dollars, 1921 and 1882-o",277735101903,"Feb 17, 2026",$100.00,$8.00,,,Fixed price,https://www.ebay.com/itm/277735101903
1882 O Morgan Dollar Uncirculated Silver $1 Coin,366322534888,"Apr 6, 2026",$105.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322534888
1882 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,397737755736,"Apr 6, 2026",$153.77,$0.00,,,Fixed price,https://www.ebay.com/itm/397737755736
1882-O $ MORGAN SILVER DOLLAR BLAST WHITE MIRROR FIELDS CH BU PL #6033121-64Y,114762533358,"Mar 10, 2026",$169.00,$0.00,,,Fixed price,https://www.ebay.com/itm/114762533358
1882-O Morgan Silver Dollar Circulated VF,115404686190,"Jan 18, 2026",$65.00,$3.97,,,Fixed price,https://www.ebay.com/itm/115404686190
,,"Dec 8, 2025",$41.00,$4.99,,,Fixed price,
,,"Dec 9, 2025",$35.00,$1.99,,,Fixed price,
"1882 O BU/UNC Morgan Silver Dollar - PCS LEGENDS OF THE WEST, ""Bat Masterson""",116241810637,"Jan 19, 2026",$86.95,$0.72,,,Fixed price,https://www.ebay.com/itm/116241810637
1882-O Morgan Dollar MS RARE FIND,116440046435,"Feb 13, 2026",$90.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116440046435
,,"Oct 23, 2025",$31.00,$8.95,,,Fixed price,
1882-O BU Morgan Silver Dollar 90%,116458079887,"Jan 11, 2026",$65.00,$4.65,,,Fixed price,https://www.ebay.com/itm/116458079887
MORGAN SILVER DOLLAR 1882 O/O PCGS MS 62+++ VAM 7 TOP 100 GLASSY BORDERLINE PL,116547827076,"Mar 14, 2026",$225.00,$5.95,,,Fixed price,https://www.ebay.com/itm/116547827076
,,"Oct 29, 2025",$60.00,$5.00,,,Fixed price,
,,"Oct 25, 2025",$99.95,$4.95,,,Fixed price,
,,"Oct 9, 2025",$85.05,$5.95,,,Auction,
,,"Oct 9, 2025",$95.00,$5.15,,,Fixed price,
,,"Oct 10, 2025",$54.00,$0.47,,,Auction,
,,"Oct 17, 2025",$55.00,$1.65,,,Auction,
,,"Oct 18, 2025",$85.00,$4.29,,,Auction,
,,"Jan 5, 2026",$92.00,$8.00,,,Fixed price,
,,"Oct 20, 2025",$127.51,$4.29,,,Auction,
,,"Oct 14, 2025",$90.00,$6.00,,,Fixed price,
,,"Nov 22, 2025",$109.95,$4.95,,,Fixed price,
,,"Oct 25, 2025",$80.00,$0.00,,,Auction,
,,"Oct 25, 2025",$115.50,$4.29,,,Auction,
,,"Dec 23, 2025",$107.00,$7.80,,,Fixed price,
,,"Oct 29, 2025",$92.00,$4.29,,,Auction,
,,"Nov 5, 2025",$37.00,$5.43,,,Auction,
,,"Nov 7, 2025",$176.50,$8.00,,,Auction,
,,"Nov 7, 2025",$36.58,$4.00,,,Auction,
,,"Nov 23, 2025",$38.88,$2.33,,,Auction,
1882-O $1 Morgan Silver Dollar PCGS MS63 - 15515128,116873868954,"Feb 7, 2026",$109.90,$7.55,,,Fixed price,https://www.ebay.com/itm/116873868954
,,"Dec 4, 2025",$122.50,$26.24,,,Auction,
,,"Jan 5, 2026",$80.00,$4.50,,,Fixed price,
VF 1882-O Morgan Silver Dollar (1 coin),126671184473,"Jan 2, 2026",$47.89,$0.00,,,Fixed price,https://www.ebay.com/itm/126671184473
1882 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269930,"Apr 8, 2026",$99.70,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269930
,,"Nov 17, 2025",$140.00,$6.37,,,Auction,
,,"Nov 29, 2025",$146.50,$4.99,,,Auction,
VF 1882-O Morgan Silver Dollar (1 coin),126671184473,"Jan 2, 2026",$48.16,$0.00,,,Fixed price,https://www.ebay.com/itm/126671184473,30
1882 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269930,"Apr 8, 2026",$101.77,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269930,13
VG/F 1882-O Morgan Silver Dollar (1 coin),126694657255,"Jan 23, 2026",$69.83,$0.00,,,Fixed price,https://www.ebay.com/itm/126694657255,14
1882-1901 - O Morgan Silver Dollar 90% Silver - One From Lot,168077399381,"Jan 20, 2026",$69.99,$12.48,,,Fixed price,https://www.ebay.com/itm/168077399381,5
✯ 1882 O GEM BU Morgan Silver Dollar ✯ Choice Mint MS UNC From Roll Estate Lot✯,284595961544,"Feb 14, 2026",$136.50,$0.00,,,Fixed price,https://www.ebay.com/itm/284595961544,2
,,"Jan 11, 2026",$65.00,$4.65,,,Fixed price,,1
,,"Dec 5, 2025",$64.00,$7.49,,,Auction,,1
,,"Jan 13, 2026",$124.00,$4.76,,,Fixed price,,1
,,"Dec 12, 2025",$45.00,$2.53,,,Auction,,1
,,"Dec 11, 2025",$134.95,$0.00,,,Fixed price,,1
,,"Dec 20, 2025",$92.00,$8.10,,,Auction,,1
,,"Dec 13, 2025",$70.00,$5.25,,,Fixed price,,1
,,"Dec 20, 2025",$63.02,$4.00,,,Auction,,1
,,"Jan 9, 2026",$70.00,$5.25,,,Fixed price,,1
,,"Jan 10, 2026",$60.00,$4.00,,,Auction,,1
,,"Jan 6, 2026",$55.00,$4.76,,,Fixed price,,1
,,"Jan 10, 2026",$220.00,$5.09,,,Fixed price,,1
,,"Jan 10, 2026",$175.00,$4.95,,,Fixed price,,1
"(5) NGC Graded MS63 Morgan Silver Dollars. 1887-P, (2) 1882-S, 1900-O, 1901-O.",116978062367,"Jan 17, 2026",$490.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116978062367,1
,,"Jan 13, 2026",$242.50,$4.00,,,Auction,,1
1882-O New Orleans Mint Silver Morgan Dollar,116981860166,"Jan 19, 2026",$70.00,$4.95,,,Auction,https://www.ebay.com/itm/116981860166,1
1882-O Morgan Silver Dollar PCGS AU58 -Choice+ for an “AU” coin,116987136284,"Jan 16, 2026",$79.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116987136284,1
1882 O Morgan Silver Dollar - NGC Certified MS65 White !!,116987270312,"Jan 18, 2026",$565.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116987270312,1
1882-O/S Silver Morgan Dollar - Strong O/S VAM-3 Lightly Toned,116988321363,"Jan 22, 2026",$73.00,$6.99,,,Auction,https://www.ebay.com/itm/116988321363,1
1882-O Silver Morgan Dollar Better Date,116988322297,"Jan 22, 2026",$72.00,$6.99,,,Auction,https://www.ebay.com/itm/116988322297,1
1882-O/S Morgan Dollar PCGS AU50 Strong O/S VAM-3,116989400507,"Jan 23, 2026",$111.50,$6.99,,,Auction,https://www.ebay.com/itm/116989400507,1
1882 O Morgan Silver Dollar Circulated,116992833384,"Jan 23, 2026",$64.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116992833384,1
1882 O Morgan Silver Dollar Excellent Condition,116996702762,"Jan 29, 2026",$74.99,$7.50,,,Auction,https://www.ebay.com/itm/116996702762,1
1882-O/S VAM-3 Strong Silver Morgan Dollar UNC Details - Cleaned - VAM-3,117000982832,"Jan 30, 2026",$129.00,$1.98,,,Auction,https://www.ebay.com/itm/117000982832,1
1882 O/S $1 Morgan Silver Dollar PCGS XF 45 Strong,117008248626,"Jan 30, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117008248626,1
1882 morgan silver dollar o,117011924344,"Feb 7, 2026",$57.00,$5.89,,,Auction,https://www.ebay.com/itm/117011924344,1
1882-O/O Vam Morgan Silver Dollar XF++ (cn16065),117017605164,"Feb 26, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117017605164,1
1882-O/S Morgan Dollar NGC AU53 Strong O/S VAM-3 - Not On Label RARE,117019026911,"Feb 9, 2026",$96.00,$6.99,,,Auction,https://www.ebay.com/itm/117019026911,1
MORGAN SILVER DOLLAR 1882 O NICE AU++ ORIGINAL 90% DOLLAR,117028367263,"Feb 19, 2026",$67.00,$5.95,,,Auction,https://www.ebay.com/itm/117028367263,1
EF+ 1882-O MORGAN SILVER DOLLAR NICE EF+ DETAIL COLLECTOR GRADE COIN M-1434,117029072403,"Feb 13, 2026",$89.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117029072403,1
1882-O Morgan Silver Dollar BU (cn16184),117030402888,"Mar 1, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117030402888,1
1882 O Morgan Silver Dollar ~ NEAR UNCIRCULATED ~ FRESHLY GRADED ~ 90% Silver $1,117036312029,"Feb 20, 2026",$82.00,$6.50,,,Auction,https://www.ebay.com/itm/117036312029,1
1882-O Morgan Dollar BU++ lighlty Toned,117037906375,"Feb 19, 2026",$73.00,$6.99,,,Auction,https://www.ebay.com/itm/117037906375,1
MS 1882-O MORGAN SILVER DOLLAR NICE MS DETAIL COLLECTOR GRADE COIN M-1461,117037915127,"Feb 17, 2026",$89.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117037915127,1
Lot of 2 Morgan $1 Silver Dollars - 1882 and 1896-O,117060513945,"Mar 4, 2026",$148.50,$0.00,,,Auction,https://www.ebay.com/itm/117060513945,1
Lot of 2 – 1899-O & 1882-S Morgan Silver Dollars – 90% Silver – Circulated,117062579157,"Mar 5, 2026",$137.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117062579157,1
Morgan 1882 O Silver Dollar $1 Circulated Business Strike Coin 0.9 Fineness,117065027943,"Mar 29, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117065027943,1
