Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 4, 2025",$37.99,$0.00,,,Auction,,1
,,"Nov 6, 2025",$39.01,$0.00,,,Auction,,1
,,"Nov 9, 2025",$217.89,$1.68,,,Auction,,1
,,"Nov 10, 2025",$39.01,$0.00,,,Auction,,1
,,"Nov 20, 2025",$38.00,$0.00,,,Auction,,1
,,"Nov 20, 2025",$40.90,$0.00,,,Auction,,1
,,"Nov 21, 2025",$38.77,$0.00,,,Auction,,1
,,"Nov 22, 2025",$43.00,$0.00,,,Auction,,1
,,"Nov 22, 2025",$40.00,$0.00,,,Auction,,1
,,"Nov 25, 2025",$73.01,$7.99,,,Auction,,1
,,"Nov 23, 2025",$41.01,$0.00,,,Auction,,1
,,"Dec 6, 2025",$78.95,$0.00,,,Fixed price,,1
,,"Nov 26, 2025",$47.00,$0.00,,,Auction,,1
,,"Nov 27, 2025",$44.00,$0.00,,,Auction,,1
,,"Nov 28, 2025",$43.25,$0.00,,,Auction,,1
,,"Nov 29, 2025",$45.03,$0.00,,,Auction,,1
,,"Dec 2, 2025",$37.36,$4.65,,,Auction,,1
,,"Nov 30, 2025",$265.00,$5.00,,,Fixed price,,1
,,"Jan 1, 2026",$66.00,$5.00,,,Fixed price,,1
,,"Dec 8, 2025",$42.00,$0.00,,,Auction,,1
,,"Jan 12, 2026",$175.00,$0.00,,,Fixed price,,1
,,"Dec 10, 2025",$51.00,$0.00,,,Auction,,1
,,"Dec 12, 2025",$47.49,$0.00,,,Auction,,1
,,"Dec 12, 2025",$47.00,$0.00,,,Auction,,1
,,"Dec 14, 2025",$51.00,$4.76,,,Auction,,1
,,"Dec 25, 2025",$185.00,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$50.01,$0.00,,,Auction,,1
,,"Dec 22, 2025",$59.95,$0.00,,,Auction,,1
,,"Dec 22, 2025",$46.30,$2.77,,,Auction,,1
"1886-O Morgan Silver Dollar, Uncertified",127567095175,"Jan 14, 2026",$60.00,$4.52,,,Fixed price,https://www.ebay.com/itm/127567095175,1
,,"Dec 24, 2025",$57.00,$0.00,,,Auction,,1
,,"Jan 12, 2026",$75.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$59.00,$0.00,,,Auction,,1
,,"Jan 5, 2026",$149.00,$8.00,,,Auction,,1
,,"Jan 1, 2026",$62.00,$0.00,,,Auction,,1
1886-O Morgan SILVER DOLLAR. Tough Date In Higher Grades. White! XF45 PCGS.,127591485508,"Mar 2, 2026",$155.00,$5.29,,,Fixed price,https://www.ebay.com/itm/127591485508,1
,,"Jan 3, 2026",$66.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$61.13,$0.00,,,Auction,,1
,,"Jan 2, 2026",$265.00,$5.00,,,Fixed price,,1
,,"Jan 11, 2026",$326.01,$11.00,,,Auction,,1
1886-O $1 Morgan Silver Dollar,127602178807,"Jan 23, 2026",$125.00,$5.52,,,Fixed price,https://www.ebay.com/itm/127602178807,1
,,"Jan 13, 2026",$64.00,$2.42,,,Auction,,1
,,"Jan 11, 2026",$285.00,$5.25,,,Auction,,1
,,"Jan 12, 2026",$64.00,$0.00,,,Auction,,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *636,127614293598,"Jan 14, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/127614293598,1
1886-O Morgan Silver Dollar High Grading Potential Original Luster #428,127616084516,"Jan 16, 2026",$123.00,$4.87,,,Fixed price,https://www.ebay.com/itm/127616084516,1
1886 1900-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *781,127616284677,"Jan 15, 2026",$149.26,$0.00,,,Auction,https://www.ebay.com/itm/127616284677,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *465,127619975038,"Jan 17, 2026",$67.75,$0.00,,,Auction,https://www.ebay.com/itm/127619975038,1
VF 1886-O Morgan Silver Dollar (1 coin) *4005,127620184498,"Jan 19, 2026",$87.00,$0.00,,,Auction,https://www.ebay.com/itm/127620184498,1
1886-O Morgan Dollar NGC AU58,127621617400,"Feb 18, 2026",$399.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127621617400,1
1886-O 1899-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *555,127626470242,"Jan 20, 2026",$165.50,$0.00,,,Auction,https://www.ebay.com/itm/127626470242,1
1886-O 1901-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *572,127628411642,"Jan 21, 2026",$142.51,$0.00,,,Auction,https://www.ebay.com/itm/127628411642,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *991,127628614155,"Jan 21, 2026",$73.00,$0.00,,,Auction,https://www.ebay.com/itm/127628614155,1
"lot of 5 Morgan silver dollars, 1885, 1885 O, 1886 O, 1887 O, 1897 S",127629856645,"Jan 22, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127629856645,1
1886-O Morgan Silver Dollar $1 - New Orleans Mint - F-VF Cond. - Nice Toning,127630104922,"Jan 24, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127630104922,1
