Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 22, 2025",$157.00,$5.00,,,Fixed price,,1
1884-O Morgan Silver $1 Dollar M S 65 Nice Toning,127582255566,"Feb 16, 2026",$100.00,$8.10,,,Fixed price,https://www.ebay.com/itm/127582255566,1
,,"Jan 13, 2026",$115.00,$0.00,,,Fixed price,,1
1884-S Morgan Dollar *PCGS AU 55* Key Date. Premium Coin **Blaylock Estate **,127594117574,"Mar 16, 2026","$1,000.00",$5.52,,,Fixed price,https://www.ebay.com/itm/127594117574,1
,,"Jan 3, 2026",$292.00,$5.95,,,Auction,,1
,,"Jan 8, 2026",$62.00,$6.99,,,Auction,,1
1884 S Morgan Silver Dollar NGC AU53,127610190169,"Feb 22, 2026",$445.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127610190169,1
,,"Jan 12, 2026",$67.84,$0.00,,,Auction,,1
,,"Jan 10, 2026",$80.00,$4.65,,,Fixed price,,1
,,"Jan 12, 2026",$73.25,$1.38,,,Auction,,1
RARE! 1884 S Morgan Silver Dollar ~ ESTATE SALE FIND ~ 90% SILVER $1,127618086901,"Jan 18, 2026",$310.00,$6.50,,,Auction,https://www.ebay.com/itm/127618086901,1
AC794 1884-S Morgan Silver Dollar VG/F Ungraded,127619818986,"Jan 19, 2026",$70.00,$6.00,,,Auction,https://www.ebay.com/itm/127619818986,1
1882-S 1884 Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *552,127626124603,"Jan 20, 2026",$136.50,$0.00,,,Auction,https://www.ebay.com/itm/127626124603,1
1884-S Morgan Dollar US $1 Coin 90% Silver VF/XF Better Date,127631484132,"Jan 25, 2026",$79.00,$2.65,,,Auction,https://www.ebay.com/itm/127631484132,1
RARE! 1884 S Morgan Silver Dollar ~ FULL BREAST FEATHERS ~ 90% SILVER $1,127631642256,"Jan 25, 2026",$335.00,$6.50,,,Auction,https://www.ebay.com/itm/127631642256,1
"1880-S, 1884-O, 1921-D Morgan Silver Dollars, Nice For Your Collection. #32",127633652098,"Jan 22, 2026",$194.50,$9.95,,,Auction,https://www.ebay.com/itm/127633652098,1
1884-S Morgan Silver Dollar 90% Silver $1 One Dollar US Coin Circulated,127635336093,"Jan 27, 2026",$74.90,$5.00,,,Fixed price,https://www.ebay.com/itm/127635336093,1
