Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1993 S Silver Kennedy Half Dollar Deep Cameo Gem Proof, From US Mint Proof Sets",188272311637,"May 19, 2026",$31.50,$1.35,,,Fixed price,https://www.ebay.com/itm/188272311637,4
1993 Proof & Uncirculated Annual US Mint Coin Sets PDS 15 Coins,206061819391,"May 19, 2026",$16.22,$0.00,,,Fixed price,https://www.ebay.com/itm/206061819391,3
1984-1993 - 10 US Proof Sets Mint Packaging with Certificate of Authenticity,377077166486,"May 15, 2026",$88.24,$0.00,,,Fixed price,https://www.ebay.com/itm/377077166486,23
1993-S US Mint Silver Proof 5 Coin Set 90% Silver OGP With COA COMPLETE!,206224532453,"May 3, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206224532453,2
1993 S SILVER Proof Roosevelt Dime Ten-Cent Coin 10c from US Mint Proof Set,323753880123,"Apr 19, 2026",$8.31,$0.74,,,Fixed price,https://www.ebay.com/itm/323753880123,11
1984-1993 - 10 US Proof Sets Mint Packaging with Certificate of Authenticity,375917428866,"Apr 3, 2026",$77.75,$14.54,,,Fixed price,https://www.ebay.com/itm/375917428866
1993 US Mint Prestige Silver Proof Set Madison Bill of Rights box & COA 7 Coins,147224239216,"Apr 3, 2026",$94.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147224239216
1993 Proof set. Genuine. complete and original as issued by US Mint.,352634392463,"Apr 1, 2026",$6.50,$3.54,,,Fixed price,https://www.ebay.com/itm/352634392463
1993-S US Mint Prestige Proof Set James Madison Silver Dollar Box & COA 7 Coins,145180557451,"Apr 1, 2026",$110.32,$0.00,,,Fixed price,https://www.ebay.com/itm/145180557451
1993 US Proof Set in OGP,144659405769,"Mar 31, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/144659405769
1984-1993 US Mint Issued Proof Sets As Pictured. 10 Sets.,376123677245,"Mar 31, 2026",$74.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376123677245
03/31 L#1232 1993 & 1994 US Mint Proof Sets -F.7,157798719458,"Mar 31, 2026",$21.00,$0.00,,,Auction,https://www.ebay.com/itm/157798719458
1993-S US Mint Silver Proof Set 5 Coin Set OGP Original Government Packaging,145632749993,"Mar 30, 2026",$58.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145632749993
1993 US Mint Olympic Prestige Proof Set with Box & COA,168240952037,"Mar 30, 2026",$66.01,$11.95,,,Auction,https://www.ebay.com/itm/168240952037
1993 World War II Commemorative Proof Set US Mint 2 Coins Silver Dollar & Half,145959843188,"Mar 29, 2026",$80.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145959843188
1993-S US Mint Premier Silver Proof Set 90% Silver OGP COA 5 Coins,145948150021,"Mar 28, 2026",$66.68,$0.00,,,Fixed price,https://www.ebay.com/itm/145948150021
1993 Prestige US Mint Silver Proof Set BILL OF RIGHTS Silver,147174467176,"Mar 27, 2026",$80.00,$6.11,,,Auction,https://www.ebay.com/itm/147174467176
"1993 US Mint Bill of Rights Commemorative Coins, Two Coin Silver Proof Set",137154473251,"Mar 26, 2026",$62.00,$9.45,,,Auction,https://www.ebay.com/itm/137154473251
03/26 L#6532 1992 &1993 US Mint Proof Set -F.8,157784638434,"Mar 26, 2026",$11.00,$0.00,,,Auction,https://www.ebay.com/itm/157784638434
1984-1993 - 15 US Proof Sets Mint Packaging with Certificate of Authenticity,147221204196,"Mar 25, 2026",$75.00,$6.29,,,Fixed price,https://www.ebay.com/itm/147221204196
"1992 and 1993 US Mint Premier Silver Proof Set, Presentation Display Case, & COA",157767754604,"Mar 25, 2026",$72.11,$11.01,,,Auction,https://www.ebay.com/itm/157767754604
US Mint 1993 Bill of Rights 3 Coin Proof Set $5 Gold COA Included,147219130228,"Mar 23, 2026","$1,200.00",$10.24,,,Fixed price,https://www.ebay.com/itm/147219130228
"1993 US Mint Bill of Rights Coin & Stamp Set, Proof Silver Half Dollar & Stamp .",188143482817,"Mar 23, 2026",$30.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188143482817,3
1993 Sealed Unopened - 5 Proof Sets - US Mint,147132557166,"Mar 22, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147132557166
