Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 236471722584,236471722584,"Nov 19, 2025",$99.00,$0.00,,,Fixed price,,5
,,"Oct 23, 2025",$34.77,$0.00,,,Fixed price,,5
,,"Nov 12, 2025",$20.37,$0.00,,,Fixed price,,5
1879 S Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365978680840,"Mar 17, 2026",$84.59,$0.00,,,Fixed price,https://www.ebay.com/itm/365978680840,10
1879 CC Morgan Silver Dollar NGC MS70 First Day Morgan Label 2023 Fiji Mint .999,375750047103,"Jan 9, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/375750047103,5
,,"Nov 25, 2025",$22.72,$0.00,,,Fixed price,,7
,,"Nov 8, 2025",$19.26,$0.00,,,Fixed price,,5
BU/Unc 1879 (P) Morgan Silver Dollar (1 coin),124080397193,"Mar 29, 2026",$100.48,$0.00,,,Fixed price,https://www.ebay.com/itm/124080397193,8
,,"Nov 19, 2025",$23.21,$0.00,,,Fixed price,,4
1879-S $1 Morgan Silver Dollar PCGS MS 63 | Uncirculated UNC,305136856543,"Apr 10, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305136856543,4
,,"Nov 25, 2025",$33.99,$0.00,,,Fixed price,,4
,,"Nov 22, 2025",$36.34,$0.00,,,Fixed price,,4
[Removed] Item 357729062849,357729062849,"Oct 21, 2025",$21.02,$0.00,,,Fixed price,,4
,,"Oct 28, 2025",$35.85,$0.00,,,Fixed price,,4
[Removed] Item 357961569002,357961569002,"Dec 5, 2025",$19.74,$0.00,,,Fixed price,,6
"1879-S Morgan Dollar, Gem PL FIELDS BU MS, Proof-Like Mirrors Frosty Flashy PQ",365387026835,"Nov 17, 2025",$143.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365387026835,4
1879 Morgan Silver Dollar MS64 ICG,365872955441,"Mar 14, 2026",$132.23,$0.00,,,Fixed price,https://www.ebay.com/itm/365872955441,4
,,"Nov 20, 2025",$35.92,$0.00,,,Fixed price,,4
,,"Nov 9, 2025",$18.59,$0.00,,,Fixed price,,5
,,"Nov 10, 2025",$18.79,$0.00,,,Fixed price,,5
AU+ 1879-S Morgan Silver Dollar (1 coin),126227206264,"Jan 14, 2026",$65.98,$0.00,,,Fixed price,https://www.ebay.com/itm/126227206264,3
1879-S Morgan Silver Dollar MS64 NGC Brown Label,126651294229,"Mar 11, 2026",$118.30,$0.00,,,Fixed price,https://www.ebay.com/itm/126651294229,3
1879-S Morgan Silver Dollar Reverse 79 MS64 ICG,136218132828,"Dec 13, 2025",$90.18,$0.00,,,Fixed price,https://www.ebay.com/itm/136218132828,3
