Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1923-S Standing Liberty Quarter, Good Circulated Coin, Store #QR1060",178231256156,"Jun 21, 2026",$322.00,$9.00,,,Fixed price,https://www.ebay.com/itm/178231256156,1
1923-S Standing Liberty Quarter 25C Coin - Certified PCGS AU Detail - Rare Date!,147337291826,"Jun 14, 2026","$1,847.10",$0.00,,,Fixed price,https://www.ebay.com/itm/147337291826,1
1923-S San Francisco Standing Liberty Quarter SLQ 25c XF/AU+ Details Key Date,168405817940,"Jun 7, 2026","$1,021.25",$0.00,,,Fixed price,https://www.ebay.com/itm/168405817940,1
1923-S Standing Liberty Quarter Pcgs Very Good 8,168411168447,"Jun 5, 2026",$480.99,$0.00,,,Auction,https://www.ebay.com/itm/168411168447,1
1923-S Standing Liberty Quarter VG Details Key Date,147335627109,"Jun 3, 2026",$438.00,$0.00,,,Auction,https://www.ebay.com/itm/147335627109,1
[Removed] Item 336606473792,336606473792,"May 29, 2026",$25.31,$0.00,,,Fixed price,,2
1923-S Standing Liberty Quarter Nice XF Details Key Date Nice Eye Appeal,336594323167,"May 27, 2026",$23.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336594323167,4
1923-S Standing Liberty Quarter VF-25 NGC,127877869191,"May 25, 2026",$908.02,$0.00,,,Fixed price,https://www.ebay.com/itm/127877869191,1
1923-S Standing Liberty Quarter Nice XF Details Key Date Nice Eye Appeal,336584454776,"May 19, 2026",$24.99,$0.00,,,Fixed price,https://www.ebay.com/itm/336584454776,3
1923 S Standing Liberty Quarter Key Date,137299026024,"May 11, 2026",$925.00,$4.99,,,Fixed price,https://www.ebay.com/itm/137299026024,1
1923-S Standing Liberty Quarter San Francisco Highly Collectible Scarce Key Date,377167582442,"May 10, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/377167582442,4
1923-S Standing Liberty Quarter Full Head?? AU/BU Details Key Date Nice Strike,147290331206,"May 9, 2026","$1,875.01",$0.00,,,Auction,https://www.ebay.com/itm/147290331206,1
1923-S Standing Liberty Quarter San Francisco Highly Collectible Scarce Key Date,206233591478,"May 4, 2026",$27.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206233591478,3
1923-S Standing Liberty Quarter EF40 ICG Beautiful Tone *6182,127814026823,"May 1, 2026","$1,364.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127814026823,1
1923-S STANDING LIBERTY QUARTER PCGS AU55 KEY DATE COIN MM ALMOST FH,127534665632,"Apr 29, 2026","$2,925.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127534665632,1
1923-S STANDING LIBERTY QUARTER PCGS VG10 OGH,168322890724,"Apr 21, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168322890724,1
,,"Apr 16, 2026",$18.99,$0.00,,,Fixed price,,12
1923-S Standing Liberty Quarter 25C Coin - Certified PCGS AU Detail - Rare Date!,177979908857,"Apr 16, 2026","$1,870.83",$0.00,,,Fixed price,https://www.ebay.com/itm/177979908857,1
[Removed] Item 147248759887,147248759887,"Apr 11, 2026",$17.00,$9.99,,,Fixed price,,2
1923-S Standing Liberty Quarter San Francisco Highly Collectible Scarce Key Date,168281096923,"Apr 5, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168281096923
1923-S Standing Liberty Silver Quarter FH Full Head About Uncirculated Scarce!,267626912689,"Apr 4, 2026","$1,296.71",$7.70,,,Auction,https://www.ebay.com/itm/267626912689
LOT OF 2 SILVER STANDING LIBERTY QUARTERS 25C: 1923-P & 1929-S,147209892148,"Apr 4, 2026",$81.00,$7.00,,,Fixed price,https://www.ebay.com/itm/147209892148,1
Exceptionally rare--1923-S Standing Liberty Quarter Avidly Pursued Choice-,397479518071,"Apr 1, 2026",$18.49,$9.99,,,Fixed price,https://www.ebay.com/itm/397479518071
1923 S Standing Liberty Silver Quarter NGC XF 45,157358660867,"Apr 1, 2026","$1,695.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157358660867
1923-S Standing Liberty Quarter San Francisco Highly Collectible Scarce Key Date,168273426197,"Apr 1, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/168273426197
"1923 ""S"" Standing Liberty SILVER Quarter 25c NGC F12 #007 Fine 🗝️KEY🗝️ECC&C",197867650390,"Apr 1, 2026",$699.99,$0.00,,,Fixed price,https://www.ebay.com/itm/197867650390
"🔥1923–S Standing Liberty Quarter, PCGS F12, KEY POPULAR ISSUE, MAKE AN OFFER🔥",306854428748,"Apr 1, 2026",$550.00,$7.50,,,Fixed price,https://www.ebay.com/itm/306854428748
1923-S Standing Liberty Quarter ***KEY DATE***,267603297153,"Mar 30, 2026","$1,318.00",$25.00,,,Fixed price,https://www.ebay.com/itm/267603297153
1923-S Standing Liberty Quarter 25C ANACS F15 KEY DATE! GREAT 90% SILVER COIN!,127686950473,"Mar 29, 2026",$726.74,$0.00,,,Fixed price,https://www.ebay.com/itm/127686950473
[Removed] Item 389580976264,389580976264,"Mar 29, 2026",$28.00,$2.99,,,Fixed price,
"1923-S Standing Liberty Quarter, Avidly Pursued Choice Not circulating",389768730348,"Mar 28, 2026",$45.99,$0.00,,,Fixed price,https://www.ebay.com/itm/389768730348
1923-S Standing Liberty Quarter Silver Stunning Details Key Date Ding Coin KK373,277814839073,"Mar 28, 2026",$722.00,$3.95,,,Fixed price,https://www.ebay.com/itm/277814839073
1923-S Standing Liberty Quarter VG-8 PCGS,127755592468,"Mar 27, 2026",$565.78,$0.00,,,Fixed price,https://www.ebay.com/itm/127755592468
1923-S Standing Liberty Silver Quarter AU Extremely Fine Key Date Silver Nice!,168229315186,"Mar 26, 2026",$29.95,$3.10,,,Fixed price,https://www.ebay.com/itm/168229315186
,,"Mar 26, 2026",$29.95,$3.11,,,Fixed price,,27
