Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1964 Kennedy Half Dollar GEM PROOF - PR PF,125191312132,"Mar 25, 2026",$49.17,$11.42,,,Fixed price,https://www.ebay.com/itm/125191312132
1964 Kennedy Half Dollar GEM PROOF - 90% silver Free shipping!!,227247292960,"Mar 22, 2026",$38.05,$0.00,,,Fixed price,https://www.ebay.com/itm/227247292960
1964 Kennedy Half Dollar (37411-1),267611428033,"Mar 21, 2026",$24.05,$0.00,,,Fixed price,https://www.ebay.com/itm/267611428033
1964 Kennedy Half Dollar Coin,377040469008,"Mar 21, 2026",$27.21,$0.00,,,Fixed price,https://www.ebay.com/itm/377040469008
1964 Kennedy Half Dollar NGC PF 68 Kennedy Label,206143615967,"Mar 20, 2026",$53.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206143615967
90% Silver Kennedy Half Dollars - $1 Face (2 Coins) - 1964 - FREE Shipping,389725824095,"Mar 19, 2026",$58.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389725824095
1964 Kennedy Silver Half Dollar | 90% Silver | Circulated | Choose Quantity,358308068414,"Mar 13, 2026",$32.74,$8.00,,,Fixed price,https://www.ebay.com/itm/358308068414
Half Dollar Bank Rolls Yellow and Black wrapped,137055296734,"Mar 12, 2026",$14.00,$10.47,,,Fixed price,https://www.ebay.com/itm/137055296734
1964 Kennedy Half Dollar (P) 90% Silver Circulated Ungraded Coin D Mint Mark,358222331751,"Mar 9, 2026",$30.84,$0.00,,,Fixed price,https://www.ebay.com/itm/358222331751
90% Silver Kennedy Half Dollars 1964 Free Shipping!,147188808812,"Mar 7, 2026",$30.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147188808812
,,"Feb 24, 2026",$27.50,$6.26,,,Fixed price,,90
,,"Feb 8, 2026",$15.74,$9.93,,,Fixed price,,79
,,"Feb 7, 2026",$20.75,$0.00,,,Fixed price,,45
,,"Feb 6, 2026",$64.43,$4.04,,,Fixed price,,49
