Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
G/VG 1892-S Morgan Silver Dollar (1 coin) *5244,127683168696,"Feb 20, 2026",$84.95,$0.00,,,Auction,https://www.ebay.com/itm/127683168696,1
"Lot of 4 Morgan Silver Dollars 1879-S, 1884-O, 1892-O, 1921 Nice Key Dates.",127717456207,"Mar 8, 2026",$289.00,$8.75,,,Fixed price,https://www.ebay.com/itm/127717456207,1
1892 S MORGAN SILVER DOLLAR KEY DATE,127718819987,"Mar 4, 2026",$100.00,$5.20,,,Fixed price,https://www.ebay.com/itm/127718819987,1
1890-S Morgan Silver Dollar - San Francisco - 90% Silver- XF+ Details - Cleaned,127766287838,"Mar 30, 2026",$67.66,$0.00,,,Auction,https://www.ebay.com/itm/127766287838,1
1892-S $1 Morgan Silver Dollar XF Details,127787139651,"Apr 12, 2026",$214.50,$7.50,,,Auction,https://www.ebay.com/itm/127787139651,1
,,"Nov 22, 2025",$159.00,$2.99,,,Fixed price,,1
1892-S Morgan Silver Dollar *7124,134708000043,"Feb 24, 2026",$339.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134708000043,1
,,"Nov 16, 2025",$750.00,$0.00,,,Fixed price,,1
VG/F 1892-S Morgan Silver Dollar (1 coin),135244732170,"Jan 11, 2026",$109.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135244732170,1
1892-S Morgan Silver Dollar *9397,135244826730,"Feb 24, 2026",$229.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135244826730,1
1892 - S Morgan Silver Dollar - Key date Good,135603777107,"Jan 20, 2026",$60.00,$5.00,,,Fixed price,https://www.ebay.com/itm/135603777107,1
1892-S $1 Morgan Silver Dollar PCGS CAC XF45 Littleton Select,135656722458,"Mar 10, 2026","$1,499.95",$0.00,,,Fixed price,https://www.ebay.com/itm/135656722458,1
,,"Oct 16, 2025",$59.99,$0.00,,,Fixed price,,1
1892 S Morgan Silver Dollar - NGC Graded XF40 !!,136028501149,"Jan 23, 2026",$525.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136028501149,1
1892-S Morgan Silver Dollar VF25 NGC Nice Tone *2837,136345340158,"Feb 24, 2026",$269.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136345340158,1
,,"Nov 28, 2025",$90.00,$0.00,,,Fixed price,,1
1892-S BETTER DATE BETTER GRADE Morgan Silver Dollar Looks Great Free Shipping B,136443698840,"Jan 26, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136443698840,1
,,"Oct 25, 2025",$236.30,$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$75.00,$0.00,,,Auction,,1
,,"Nov 11, 2025",$61.00,$9.95,,,Auction,,1
1892-S Morgan Dollar $1 - San Francisco Mint-Ungraded-Cleaned,136721757559,"Jan 29, 2026",$99.90,$5.17,,,Fixed price,https://www.ebay.com/itm/136721757559,1
,,"Nov 20, 2025",$50.00,$7.50,,,Auction,,1
,,"Nov 18, 2025",$76.00,$0.00,,,Auction,,1
,,"Nov 27, 2025",$50.00,$6.50,,,Auction,,1
1892-S Morgan Silver Dollar *9327,136772110583,"Jan 15, 2026",$125.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136772110583,1
,,"Nov 29, 2025",$194.94,$4.95,,,Fixed price,,1
,,"Dec 23, 2025",$90.01,$1.00,,,Auction,,1
,,"Dec 28, 2025",$79.00,$5.95,,,Auction,,1
,,"Jan 4, 2026",$342.13,$0.00,,,Auction,,1
,,"Dec 31, 2025",$100.00,$0.00,,,Fixed price,,1
,,"Jan 8, 2026",$94.95,$0.00,,,Auction,,1
,,"Jan 9, 2026",$355.00,$0.00,,,Fixed price,,1
,,"Jan 9, 2026",$62.00,$4.76,,,Auction,,1
,,"Jan 8, 2026",$350.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$85.00,$5.00,,,Fixed price,,1
1892 S $1 Morgan Silver One Dollar US Coin San Francisco,136932269891,"Jan 15, 2026",$74.99,$0.00,,,Auction,https://www.ebay.com/itm/136932269891,1
1892 S US Morgan Silver Dollar. Collection in Case w/ Stamps. V855,136938161393,"Jan 20, 2026",$79.95,$2.47,,,Auction,https://www.ebay.com/itm/136938161393,1
"1892 S Morgan Silver Dollar, Tough Date FREE SHIPPING",136945141867,"Jan 18, 2026",$65.00,$0.00,,,Auction,https://www.ebay.com/itm/136945141867,1
"1892-S Morgan Silver Dollar, 90% Silver, Circulated, Key Date",136953237757,"Jan 22, 2026",$79.00,$5.52,,,Auction,https://www.ebay.com/itm/136953237757,1
1892-S $1 MORGAN SILVER DOLLAR SOME SCRATCHES GOOD BOOK FILLER KEY DATE,136954590033,"Jan 23, 2026",$110.00,$5.52,,,Auction,https://www.ebay.com/itm/136954590033,1
1892-S MORGAN SILVER DOLLAR. Good Features. Full “Liberty”. On Sale! Free ship.,136954997469,"Jan 16, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136954997469,1
"Scarce 1892-S $1 Morgan Silver Dollar, F. J6",136957901713,"Jan 20, 2026",$114.95,$5.00,,,Fixed price,https://www.ebay.com/itm/136957901713,1
"1892-S MORGAN SILVER DOLLAR IN VERY GOOD CONDITION, BETTER DATE, CLEANED",136991291025,"Feb 6, 2026",$95.94,$4.75,,,Auction,https://www.ebay.com/itm/136991291025,1
"1892 S Morgan Dollar, Silver $1, RARE, Free Shipping",137025790174,"Feb 18, 2026",$360.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137025790174,1
"1882 S, 1892 O, and 1921 S $1 Morgan Silver Dollars",137032742356,"Feb 19, 2026",$194.50,$0.00,,,Auction,https://www.ebay.com/itm/137032742356,1
1892-S Morgan Silver Dollar – Key Date – San Francisco Mint – 90% Silver,137040601408,"Feb 22, 2026",$93.00,$4.95,,,Auction,https://www.ebay.com/itm/137040601408,1
1892-S Morgan Silver Dollar – Key Date – San Francisco Mint – 90% Silver,137040662320,"Feb 22, 2026",$99.00,$4.95,,,Auction,https://www.ebay.com/itm/137040662320,1
G/VG 1892-S Morgan Silver Dollar (1 coin) *8973,137050079883,"Feb 25, 2026",$84.95,$0.00,,,Auction,https://www.ebay.com/itm/137050079883,1
1892-S Morgan Dollar Nice Skin! #2FDU,137066066887,"Mar 3, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137066066887,1
"Lot - 5 U.S. Morgan Silver Dollars 1879, 1886 O, 1892 S, 1900 O, 1921 Circulated",137079623647,"Feb 28, 2026",$350.00,$6.95,,,Fixed price,https://www.ebay.com/itm/137079623647,1
1892 S Morgan Silver Dollar $1Better Date Semi-Key Old Clean,137178704129,"Apr 5, 2026",$70.00,$5.07,,,Auction,https://www.ebay.com/itm/137178704129,1
1899 S Silver Morgan Dollar - Fine !!,137184993857,"Apr 13, 2026",$79.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137184993857,1
1892-S Morgan Silver Dollar Choice VF - XF Key Date Nice Strike ☆All Original,146111241796,"Feb 24, 2026",$158.50,$4.50,,,Fixed price,https://www.ebay.com/itm/146111241796,1
,,"Oct 18, 2025",$314.99,$13.99,,,Fixed price,,1
,,"Oct 16, 2025",$198.88,$7.99,,,Fixed price,,1
,,"Oct 19, 2025",$33.75,$1.92,,,Auction,,1
,,"Oct 16, 2025",$55.00,$4.95,,,Fixed price,,1
,,"Oct 26, 2025",$52.00,$0.00,,,Auction,,1
,,"Oct 25, 2025",$44.00,$0.65,,,Auction,,1
,,"Oct 28, 2025",$48.00,$6.00,,,Auction,,1
,,"Oct 31, 2025",$140.00,$4.95,,,Auction,,1
,,"Nov 18, 2025",$294.95,$4.95,,,Fixed price,,1
,,"Nov 15, 2025",$125.00,$4.69,,,Auction,,1
,,"Nov 19, 2025",$51.09,$0.00,,,Auction,,1
,,"Nov 17, 2025",$37.00,$1.82,,,Auction,,1
,,"Nov 19, 2025",$132.43,$0.00,,,Auction,,1
,,"Nov 25, 2025",$227.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$315.00,$15.00,,,Fixed price,,1
,,"Dec 7, 2025",$277.00,$0.00,,,Auction,,1
,,"Dec 10, 2025",$150.00,$5.09,,,Fixed price,,1
,,"Dec 1, 2025",$122.00,$0.00,,,Fixed price,,1
,,"Dec 10, 2025",$165.39,$0.00,,,Auction,,1
,,"Dec 13, 2025",$65.01,$0.00,,,Auction,,1
,,"Dec 14, 2025",$61.00,$5.49,,,Auction,,1
,,"Dec 14, 2025",$49.76,$2.25,,,Auction,,1
,,"Dec 16, 2025",$62.26,$1.54,,,Auction,,1
,,"Dec 19, 2025",$261.20,$8.40,,,Auction,,1
,,"Dec 23, 2025",$428.00,$14.00,,,Fixed price,,1
,,"Dec 21, 2025",$117.50,$5.26,,,Auction,,1
,,"Dec 19, 2025",$52.00,$5.95,,,Auction,,1
,,"Dec 27, 2025",$84.00,$4.65,,,Auction,,1
,,"Dec 23, 2025",$56.00,$5.49,,,Auction,,1
,,"Dec 23, 2025",$46.01,$5.49,,,Auction,,1
,,"Dec 26, 2025",$109.00,$4.54,,,Auction,,1
,,"Dec 27, 2025",$223.00,$3.75,,,Auction,,1
,,"Dec 27, 2025",$165.00,$4.76,,,Auction,,1
,,"Dec 30, 2025",$76.00,$4.54,,,Auction,,1
,,"Jan 4, 2026",$221.38,$8.80,,,Auction,,1
,,"Jan 8, 2026",$105.50,$5.37,,,Auction,,1
,,"Jan 6, 2026",$67.00,$5.00,,,Auction,,1
,,"Jan 8, 2026",$55.88,$3.39,,,Auction,,1
,,"Jan 12, 2026",$81.10,$0.00,,,Auction,,1
1892 S Morgan Silver Dollar F Details,147079593472,"Jan 17, 2026",$77.00,$0.00,,,Auction,https://www.ebay.com/itm/147079593472,1
1892-s Morgan Silver Dollar Xf,147091228567,"Jan 14, 2026",$93.00,$6.00,,,Auction,https://www.ebay.com/itm/147091228567,1
1892-S Morgan Silver Dollar PCGS G06,147097483748,"Jan 22, 2026",$70.00,$5.00,,,Auction,https://www.ebay.com/itm/147097483748,1
1892 S Morgan Silver Dollar,147107024226,"Jan 28, 2026",$84.11,$5.49,,,Auction,https://www.ebay.com/itm/147107024226,1
1892-S Morgan Dollar VF Very Fine Details (cleaned) San Fransisco - 916b,147107292814,"Jan 21, 2026",$149.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147107292814,1
1892 S Morgan Dollar - #121 *Combined Shipping for Multiple Orders*,147109208892,"Feb 2, 2026",$116.50,$5.89,,,Auction,https://www.ebay.com/itm/147109208892,1
1892 S Morgan Silver Dollar,147109287002,"Jan 29, 2026",$102.00,$5.49,,,Auction,https://www.ebay.com/itm/147109287002,1
1892 S MORGAN SILVER DOLLAR SEMI-KEY DATE NICE COIN,147112101817,"Jan 24, 2026",$65.99,$5.99,,,Fixed price,https://www.ebay.com/itm/147112101817,1
1892 S Morgan Silver Dollar,147132217909,"Feb 9, 2026",$114.50,$5.49,,,Auction,https://www.ebay.com/itm/147132217909,1
1892-S Morgan Silver Dollar XF E359 ZABV,147138661312,"Feb 24, 2026",$273.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147138661312,1
1892-S Morgan Silver Dollar VF / Xf Nice Eye Appeal ☆ 901,147138793296,"Feb 24, 2026",$197.50,$4.50,,,Fixed price,https://www.ebay.com/itm/147138793296,1
1892 S Morgan Silver Dollar,147145522007,"Feb 16, 2026",$63.08,$4.36,,,Auction,https://www.ebay.com/itm/147145522007,1
1892 S Morgan Silver Dollar,147149238345,"Feb 18, 2026",$85.88,$5.49,,,Auction,https://www.ebay.com/itm/147149238345,1
1892 S Morgan Silver Dollar PCGS F 15,147150678843,"Feb 19, 2026",$117.50,$5.49,,,Auction,https://www.ebay.com/itm/147150678843,1
1892-S Morgan Silver Dollar CHOICE VG E211 VMT,147160248369,"Feb 27, 2026",$108.23,$0.00,,,Fixed price,https://www.ebay.com/itm/147160248369,1
1892 S Morgan Silver Dollar,147162131673,"Feb 24, 2026",$65.69,$5.49,,,Auction,https://www.ebay.com/itm/147162131673,1
"1892-S Morgan Silver Dollar $1, Extremely Fine XF ☆ 1152",147162645193,"Feb 24, 2026",$195.00,$4.50,,,Fixed price,https://www.ebay.com/itm/147162645193,1
