Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Jan 6, 2026",$20.84,$13.56,,,Fixed price,
1989 Mo MEXICO - Silver 1 oz BU UNC Libertad Onza Coin #38579,325439128435,"Feb 2, 2026",$151.12,$0.00,,,Fixed price,https://www.ebay.com/itm/325439128435
,,"Dec 13, 2025",$39.23,$0.00,,,Fixed price,
,,"Jan 2, 2026",$28.99,$0.00,,,Fixed price,
,,"Jan 6, 2026",$22.33,$5.99,,,Fixed price,
,,"Dec 30, 2025",$22.78,$17.48,,,Fixed price,
,,"Nov 3, 2025",$42.87,$0.00,,,Fixed price,
,,"Jan 9, 2026",$27.70,$0.00,,,Fixed price,
,,"Dec 27, 2025",$96.00,$0.00,,,Fixed price,
1989 1 oz Mexican Silver Libertad Coin,317922536668,"Apr 2, 2026",$75.96,$0.00,,,Fixed price,https://www.ebay.com/itm/317922536668
1989 w/out DOT Mo PCGS MS67 MEXICO - 1 oz Silver Libertad Un Onza Coin #42534A,325659194289,"Jan 28, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/325659194289
[Removed] Item 177608010239,177608010239,"Nov 25, 2025",$39.99,$0.00,,,Fixed price,
1989 Mo PCGS MS66 MEXICO - 1 oz Silver Libertad Un Onza Coin #42535A,325659196425,"Jan 26, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/325659196425
,,"Dec 21, 2025",$26.67,$0.00,,,Fixed price,
,,"Nov 8, 2025",$61.00,$0.00,,,Fixed price,
1989 Mexico 1 oz Silver Libertad BU-Latest packaging for shipment-Latest model,317734418844,"Jan 9, 2026",$15.89,$54.95,,,Fixed price,https://www.ebay.com/itm/317734418844
,,"Jan 30, 2026",$38.90,$0.00,,,Fixed price,
1989 Mo PCGS MS67 | MEXICO - 1 oz Silver Libertad - Un Onza Coin #42533A,326572614320,"Jan 28, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326572614320
,,"Jan 3, 2026",$22.90,$0.00,,,Fixed price,
,,"Dec 18, 2025",$39.65,$0.00,,,Fixed price,
1989 Mexico 1 oz Silver Libertad BU-Latest packaging for shipment-Latest model,406554208135,"Jan 11, 2026",$18.89,$17.67,,,Fixed price,https://www.ebay.com/itm/406554208135
,,"Jan 22, 2026",$10.89,$13.49,,,Fixed price,
,,"Oct 30, 2025",$97.00,$4.51,,,Auction,
1989 Libertad Silver 1 oz Mexico,117067287424,"Mar 7, 2026",$117.50,$6.00,,,Auction,https://www.ebay.com/itm/117067287424
1989 Libertad Silver 1 oz Mexico,117084858364,"Mar 17, 2026",$170.50,$1.68,,,Auction,https://www.ebay.com/itm/117084858364
,,"Oct 14, 2025",$155.00,$3.32,,,Fixed price,
,,"Oct 15, 2025",$160.00,$7.25,,,Fixed price,
,,"Dec 14, 2025",$307.50,$12.60,,,Fixed price,
1989 1 Oz .999 Silver Mexico Mo Libertad 1 Onza Plata Pura High Quality BU Coin!,137111314110,"Mar 21, 2026",$125.00,$5.07,,,Fixed price,https://www.ebay.com/itm/137111314110
Two Libertad 1 oz silver Coins Mexico. 1985 And 1989,147121673109,"Jan 27, 2026",$222.00,$1.00,,,Fixed price,https://www.ebay.com/itm/147121673109
1989 Mexico Onza Libertad PCGS MS 68 SILVER 1oz GOLD LABEL ~SCARCE GRADE!,156988698474,"Jan 27, 2026",$379.00,$5.95,,,Fixed price,https://www.ebay.com/itm/156988698474
1989 Mo MEXICO - Silver 1 oz BU UNC Libertad Onza Coin,157481833927,"Jan 26, 2026",$138.88,$5.07,,,Fixed price,https://www.ebay.com/itm/157481833927
,,"Dec 1, 2025",$76.00,$0.00,,,Auction,
1989 MEXICO Libertad Onza PCGS MS67 w/o DOT Mint State Mexican Mint Mo Silver,168123455708,"Feb 2, 2026",$193.50,$0.00,,,Auction,https://www.ebay.com/itm/168123455708
,,"Dec 31, 2025",$121.00,$0.00,,,Fixed price,
,,"Nov 7, 2025",$86.00,$4.60,,,Auction,
,,"Nov 11, 2025",$112.50,$0.50,,,Auction,
,,"Nov 16, 2025",$99.00,$4.60,,,Fixed price,
"1989 MEXICO, MEXICAN NO DOT 999 Fine Silver Libertad Ounce Oz",187916825878,"Jan 25, 2026",$140.00,$5.45,,,Fixed price,https://www.ebay.com/itm/187916825878
1989 MEXICAN PROOF LIBERTAD 1 OZ PLATA/SILVER PURA .999 w/o DOT has BOX And COA,187994441684,"Feb 2, 2026",$370.00,$0.00,,,Auction,https://www.ebay.com/itm/187994441684
1989 MEXICAN PROOF LIBERTAD 1 OZ PLATA/SILVER PURA .999 W/DOT BOX and COA RARE,188046002914,"Feb 17, 2026","$1,000.00",$0.00,,,Auction,https://www.ebay.com/itm/188046002914
1989 1oz Silver Mexican Libertad Coin PCGS MS68 - No Dot by 999 Fineness,198045397468,"Jan 28, 2026",$306.00,$0.00,,,Auction,https://www.ebay.com/itm/198045397468
1989 Mexico Libertad 1 oz Silver Coin - A702,198221687283,"Mar 29, 2026",$98.01,$0.00,,,Auction,https://www.ebay.com/itm/198221687283
,,"Jan 6, 2026",$129.99,$7.90,,,Fixed price,
,,"Jan 7, 2026",$15.69,$9.99,,,Fixed price,
1989 1oz Silver Mexican Libertad Coin PCGS MS68 - No Dot by 999 Fineness,206034616776,"Feb 4, 2026",$300.00,$0.00,,,Auction,https://www.ebay.com/itm/206034616776
1989 libertad 1 oz .999 Mexico,206086235753,"Mar 17, 2026",$169.99,$7.70,,,Fixed price,https://www.ebay.com/itm/206086235753
1989 1oz Silver Mexican Libertad Coin PCGS MS68 - No Dot by 999 Fineness,206150349675,"Mar 25, 2026",$230.50,$0.00,,,Auction,https://www.ebay.com/itm/206150349675
1989 1 oz Mexican Silver Libertad Coin,317922536668,"Apr 9, 2026",$77.38,$0.00,,,Fixed price,https://www.ebay.com/itm/317922536668
[Removed] Item 147248767805,147248767805,"Apr 9, 2026",$14.71,$13.99,,,Fixed price,
,,"Jan 9, 2026",$15.89,$54.95,,,Fixed price,
1989 Mexican Libertad 1 oz .Coin-As shown in the figure,147207256977,"Mar 19, 2026",$50.00,$0.00,,,Auction,https://www.ebay.com/itm/147207256977
1989 Mexico Onza Libertad PCGS MS 68 SILVER 1oz GOLD LABEL ~SCARCE GRADE ~ Lot A,156988696639,"Mar 7, 2026",$325.00,$5.95,,,Fixed price,https://www.ebay.com/itm/156988696639
1989 Mexico 1 oz Silver Libertad BU-Latest packaging for shipment-Latest model,206196357125,"Apr 11, 2026",$17.50,$5.99,,,Fixed price,https://www.ebay.com/itm/206196357125,2
,,"Jan 11, 2026",$18.89,$17.67,,,Fixed price,,6
1989 Silver Mexican Libertad 1 Onza MS67 PCGS Certified,178025207340,"Apr 11, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178025207340,1
1989 Mo PCGS MS67 MEXICO - 1 oz Silver Libertad - Un Onza Coin #42493A,225573510621,"Jan 28, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/225573510621,1
1989 Mo PCGS MS67 - MEXICO - 1 oz Silver Libertad Onza #46553A,226055387020,"Jan 27, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226055387020,1
1989 Mo PCGS MS68 - MEXICO 1 oz Silver Libertad Onza w/o Dot in Fineness 46559A,226055391840,"Apr 4, 2026",$349.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226055391840,1
1989 Mo PCGS MS66 .999 w/o Dot - Mexico 1 oz Silver Libertad Onza Coin 55379B,226859245613,"Jan 25, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226859245613,1
1989 Mo NGC PF68 UCAM Without Dot Mexico 1 oz Silver Libertad Onza Coin #56141B,226947845446,"Feb 2, 2026",$594.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226947845446,1
1989 Mo PCGS MS67 - Mexico 1 oz Silver 0.999 Libertad Onza Coin #57925A,227094732128,"Jan 25, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227094732128,1
1989 Mo PCGS MS68 MEXICO - 1 oz Silver Libertad Onza #46554A,227232569938,"Mar 20, 2026",$339.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227232569938,1
1989 1oz Silver Mexican Libertad Coin PCGS MS68 - No Dot by 999 Fineness,227252004714,"Mar 18, 2026",$354.00,$0.00,,,Auction,https://www.ebay.com/itm/227252004714,1
,,"Jan 6, 2026",$125.00,$5.00,,,Fixed price,,1
,,"Oct 16, 2025",$100.00,$4.76,,,Auction,,1
,,"Nov 28, 2025",$107.00,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$120.00,$0.00,,,Fixed price,,1
1989 Mexican Libertad 1 Onza Plata Pura 1 Ounce .999 Fine Silver Coin - Gem BU,257414172777,"Mar 29, 2026",$141.50,$6.00,,,Auction,https://www.ebay.com/itm/257414172777,1
,,"Jan 12, 2026",$131.95,$0.00,,,Fixed price,,1
1989 Mexico 1 oz Silver Libertad MS67 NGC,277655465919,"Jan 20, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277655465919,1
1989 Mo 1 Oz Silver Mexican Libertad Coin PCGS MS68 - No Dot in 999 Fineness,277717049552,"Feb 12, 2026",$399.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277717049552,1
"1982, 1989-- 1 oz 999 Fine SILVER Mexican Libertads 1 Onza",277822504200,"Mar 28, 2026",$200.00,$5.52,,,Auction,https://www.ebay.com/itm/277822504200,1
1989 Mexico Libertad 1oz Ley 999 Silver Plata Pura Onza Coin,277854981923,"Apr 8, 2026",$124.50,$6.00,,,Auction,https://www.ebay.com/itm/277854981923,1
,,"Nov 24, 2025",$89.00,$9.50,,,Auction,,1
,,"Jan 4, 2026",$90.00,$3.99,,,Auction,,1
,,"Jan 1, 2026",$250.00,$8.00,,,Auction,,1
1989 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287068745442,"Jan 18, 2026",$101.11,$3.99,,,Auction,https://www.ebay.com/itm/287068745442,1
1989 w/ Out Dot Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin,287241803780,"Apr 5, 2026",$193.50,$3.99,,,Auction,https://www.ebay.com/itm/287241803780,1
,,"Dec 5, 2025",$74.95,$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$112.50,$1.07,,,Auction,,1
,,"Oct 24, 2025",$129.99,$0.00,,,Fixed price,,1
,,"Nov 7, 2025",$100.00,$5.99,,,Auction,,1
,,"Dec 12, 2025",$149.99,$4.76,,,Fixed price,,1
1989 Mexico Onza Libertad Proof 1 oz 999 Silver No Cert. 🇲🇽,306731230750,"Feb 1, 2026",$435.00,$7.95,,,Auction,https://www.ebay.com/itm/306731230750,1
,,"Oct 22, 2025",$92.53,$0.50,,,Auction,,1
1989 Mexico 1 Onza Silver Libertad NGC MS67,317467753612,"Feb 12, 2026",$210.00,$4.99,,,Fixed price,https://www.ebay.com/itm/317467753612,1
,,"Nov 11, 2025",$124.50,$4.60,,,Auction,,1
,,"Nov 10, 2025",$82.00,$4.60,,,Fixed price,,1
,,"Nov 16, 2025",$95.00,$4.60,,,Fixed price,,1
1989 RAINBOW MEXICO LIBERTAD SET NGC PF69 / 70 ULTRA CAMEO Platinum Gold Silver,317758150589,"Jan 13, 2026","$13,599.00",$9.99,,,Fixed price,https://www.ebay.com/itm/317758150589,1
1989 Mo PCGS MS67 MEXICO - 1 oz Silver Libertad - Un Onza Coin #42489A,325652132298,"Jan 25, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/325652132298,1
1989 Mo PCGS MS67 - MEXICO - 1 oz Silver Libertad Onza #49323A,326175078317,"Jan 28, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326175078317,1
1989 Mo PCGS MS66 .999 w/o Dot - Mexico 1 oz Silver Libertad Onza Coin 55380B,326680410704,"Jan 14, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326680410704,1
1989 Mo PCGS MS67 .999 w/o Dot - Mexico 1 oz Silver Libertad Onza Coin 55381B,326680411321,"Jan 25, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326680411321,1
1989 Mo PCGS MS67 .999 w/o Dot - Mexico 1 oz Silver Libertad Onza Coin 55382B,326680411701,"Jan 27, 2026",$194.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326680411701,1
,,"Dec 28, 2025",$339.95,$0.00,,,Fixed price,,1
1989 Mexico Libertad 1 Onza .999 Silver Coin ‼️BETTER DATE & FULL OF LUSTER‼️,326840798400,"Mar 26, 2026",$185.95,$5.62,,,Fixed price,https://www.ebay.com/itm/326840798400,1
,,"Jan 12, 2026",$175.95,$5.15,,,Fixed price,,1
