Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 167948346745,167948346745,"Jan 26, 2026",$64.27,$0.00,,,Fixed price,
[Removed] Item 376626409470,376626409470,"Nov 15, 2025",$33.79,$0.00,,,Fixed price,
,,"Oct 11, 2025",$34.22,$0.00,,,Fixed price,
,,"Jan 6, 2026",$52.78,$0.00,,,Fixed price,
[Removed] Item 236452865938,236452865938,"Nov 19, 2025",$35.56,$0.00,,,Fixed price,
[Removed] Item 236678263560,236678263560,"Mar 18, 2026",$61.56,$0.00,,,Fixed price,
VF 1900-S Morgan Silver Dollar (1 coin),365117527940,"Dec 31, 2025",$58.67,$0.00,,,Fixed price,https://www.ebay.com/itm/365117527940
VG/F 1900-S Morgan Silver Dollar (1 coin),126671182198,"Dec 1, 2025",$46.64,$0.00,,,Fixed price,https://www.ebay.com/itm/126671182198
EF 1900-S MORGAN SILVER DOLLAR VERY NICE DETAIL A TRUE COLLECTORS COIN M-1395,177218964522,"Feb 9, 2026",$77.00,$4.71,,,Fixed price,https://www.ebay.com/itm/177218964522
XF 1900-S Morgan Silver Dollar (1 coin),136448275197,"Feb 27, 2026",$88.63,$0.00,,,Fixed price,https://www.ebay.com/itm/136448275197
G/VG 1900-S Morgan Silver Dollar (1 coin),365064395991,"Oct 25, 2025",$46.45,$0.00,,,Fixed price,https://www.ebay.com/itm/365064395991
,,"Dec 23, 2025",$89.95,$0.00,,,Fixed price,
,,"Dec 9, 2025",$46.95,$4.95,,,Fixed price,
,,"Nov 1, 2025",$29.00,$4.00,,,Auction,
,,"Oct 30, 2025",$56.00,$4.76,,,Auction,
,,"Nov 15, 2025",$110.00,$5.90,,,Auction,
,,"Nov 29, 2025",$36.00,$6.49,,,Auction,
,,"Nov 29, 2025",$146.50,$4.99,,,Auction,
,,"Nov 30, 2025",$127.00,$5.15,,,Auction,
,,"Nov 23, 2025",$70.00,$5.09,,,Auction,
,,"Nov 27, 2025",$125.00,$5.45,,,Fixed price,
,,"Nov 29, 2025",$158.00,$4.00,,,Auction,
,,"Dec 19, 2025",$75.00,$0.00,,,Fixed price,
,,"Dec 21, 2025",$95.00,$7.50,,,Fixed price,
,,"Dec 28, 2025",$299.99,$5.37,,,Auction,
,,"Dec 24, 2025",$69.00,$5.25,,,Fixed price,
,,"Dec 31, 2025",$99.03,$0.00,,,Auction,
,,"Dec 30, 2025",$69.00,$5.25,,,Fixed price,
,,"Jan 7, 2026",$330.00,$0.00,,,Fixed price,
1900-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTORS COIN M-1202,116976966345,"Jan 12, 2026",$76.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116976966345
"(5) NGC Graded MS63 Morgan Silver Dollars. 1887-P, (2) 1882-S, 1900-O, 1901-O.",116978062367,"Jan 17, 2026",$490.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116978062367
MORGAN SILVER DOLLARS 2 COIN 1921-S AND 1900-P NICE LOOKING UNGRADED IN CASES,117037023110,"Feb 21, 2026",$151.50,$7.00,,,Auction,https://www.ebay.com/itm/117037023110
1900-S Morgan Silver Dollar (cn16308),117042628217,"Feb 27, 2026",$80.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117042628217
1900-S Morgan Silver Dollar (cn16355),117044784981,"Feb 18, 2026",$80.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117044784981
1900-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COIN M-1528,117048737820,"Feb 25, 2026",$86.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117048737820
"1900-S Morgan Dollar, Uncertified, NR",117054413056,"Mar 7, 2026",$112.75,$4.95,,,Auction,https://www.ebay.com/itm/117054413056
1900 S Morgan Silver Dollar ~ RARE DATE ~ 90% Silver $1,117104582768,"Mar 28, 2026",$122.50,$6.75,,,Auction,https://www.ebay.com/itm/117104582768
1900 O S$1 Morgan Dollar PCGS MS62 Old Rattler Holder,117108057852,"Mar 26, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117108057852
"1900 S Morgan Silver Dollar-**VERY FINE TONED**. *HIGH GRADE*, *NO RESERVE*",117112111607,"Apr 6, 2026",$56.55,$9.21,,,Auction,https://www.ebay.com/itm/117112111607
1900-S Morgan Silver Dollar AU+ Details,126114576220,"Feb 9, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126114576220
,,"Dec 23, 2025",$49.00,$0.00,,,Fixed price,
,,"Nov 7, 2025",$166.00,$0.00,,,Fixed price,
,,"Dec 16, 2025",$210.00,$0.00,,,Fixed price,
,,"Dec 27, 2025",$149.95,$0.00,,,Fixed price,
1900-S Morgan Silver Dollar MS63 CAC CACg *0951,127170651137,"Mar 9, 2026",$806.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127170651137
,,"Dec 25, 2025",$310.50,$0.00,,,Fixed price,
,,"Dec 23, 2025",$59.99,$8.55,,,Fixed price,
,,"Nov 7, 2025",$64.00,$0.00,,,Fixed price,
1900-S Morgan Silver Dollar AU53 ICG *5393,127402759093,"Mar 8, 2026",$179.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127402759093
1900-S Morgan Dollar US $1 Coin 90% Silver Key Date AU/BU Nice Luster,389857489013,"Apr 8, 2026",$63.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389857489013
1900-S Morgan Dollar US $1 Coin 90% Silver Key Date AU/BU Nice Luster,389857489013,"Apr 13, 2026",$62.67,$0.00,,,Fixed price,https://www.ebay.com/itm/389857489013,76
XF 1900-S Morgan Silver Dollar (1 coin),136448275197,"Feb 27, 2026",$94.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136448275197,2
,,"Jan 12, 2026",$76.00,$5.25,,,Fixed price,,1
"Morgan Silver Dollar Lot Of 4! No Reserve! 1903-P, 1900-O, 1891-S And 1894-O",117117115751,"Apr 2, 2026",$217.50,$5.39,,,Auction,https://www.ebay.com/itm/117117115751,1
,,"Oct 15, 2025",$399.99,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$85.00,$0.00,,,Fixed price,,1
,,"Oct 18, 2025",$427.00,$9.77,,,Auction,,1
,,"Dec 29, 2025","$1,178.00",$0.00,,,Fixed price,,1
1900-S MORGAN DOLLAR - HIGH GRADE AU ! - SAN FRANCISCO DATE ! KD,127439212463,"Feb 6, 2026",$149.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127439212463,1
,,"Oct 26, 2025",$119.26,$0.00,,,Auction,,1
,,"Nov 21, 2025",$265.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$141.41,$9.89,,,Fixed price,,1
,,"Nov 14, 2025",$47.95,$0.00,,,Auction,,1
,,"Dec 6, 2025",$84.95,$0.00,,,Auction,,1
,,"Dec 22, 2025",$213.11,$0.00,,,Auction,,1
,,"Dec 20, 2025",$230.50,$5.95,,,Auction,,1
,,"Dec 31, 2025",$137.50,$0.00,,,Auction,,1
,,"Jan 1, 2026",$170.00,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$160.00,$5.00,,,Fixed price,,1
,,"Dec 28, 2025",$258.50,$5.95,,,Auction,,1
,,"Jan 1, 2026",$185.00,$5.00,,,Fixed price,,1
,,"Jan 9, 2026",$405.00,$5.25,,,Auction,,1
,,"Jan 12, 2026",$165.55,$0.00,,,Auction,,1
1900 s morgan silver dollar,127610429798,"Jan 14, 2026",$60.00,$4.76,,,Auction,https://www.ebay.com/itm/127610429798,1
"lot of 5 Morgan silver dollars, 1890 S, 1894 0, 1896 O, 1900, 1902",127621701147,"Jan 18, 2026",$322.50,$5.65,,,Auction,https://www.ebay.com/itm/127621701147,1
1900-S Morgan Silver Dollar *1776,127622060972,"Jan 20, 2026",$60.00,$0.00,,,Auction,https://www.ebay.com/itm/127622060972,1
Lot of 20 Coins ~ 1879-S - 1900 Morgan Silver Dollars 90% US Silver Coin ~ EF,127639948343,"Jan 22, 2026","$1,345.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127639948343,1
"1900-S Morgan Silver Dollar, Awesome Coin For The Collection! #42",127643015059,"Jan 31, 2026",$111.38,$5.95,,,Auction,https://www.ebay.com/itm/127643015059,1
"1900-S Morgan Silver Dollar , Very Good Date! Great Eye Appeal! #47",127643070669,"Jan 31, 2026",$68.00,$5.95,,,Auction,https://www.ebay.com/itm/127643070669,1
1897 S Morgan Dollar Paramount Silver Dollar,127651190190,"Feb 9, 2026",$349.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127651190190,1
"lot of 5 Morgan silver dollars, 1892 O,1894 O, 1898 S, 1900 O, 1904",127665852180,"Feb 9, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127665852180,1
1900-S MORGAN DOLLAR - HIGH GRADE AU ! - SAN FRANCISCO DATE ! FS,127676066548,"Mar 23, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127676066548,1
XF 1900-S Morgan Silver Dollar (1 coin) *1616,127677918807,"Feb 17, 2026",$84.95,$0.00,,,Auction,https://www.ebay.com/itm/127677918807,1
lot of 3 morgan silver dollars High Grade 1884 O 1890 S 1900 Beautiful Coins,127680991172,"Feb 19, 2026",$177.50,$5.52,,,Auction,https://www.ebay.com/itm/127680991172,1
US Coin 1900 S Morgan Silver Dollar AU NO RESERVE!,127682626604,"Feb 18, 2026",$111.59,$1.02,,,Auction,https://www.ebay.com/itm/127682626604,1
1900-(P) NGC BRILLIANT UNC Morgan Liberty Head ONE DOLLAR S$1 US 90% Silver Coin,127682958616,"Feb 18, 2026",$76.00,$6.99,,,Auction,https://www.ebay.com/itm/127682958616,1
Early - 1900-S Morgan Silver Dollar - 90% US Coin *573,127683144874,"Feb 18, 2026",$65.00,$0.00,,,Auction,https://www.ebay.com/itm/127683144874,1
"3 Junk Silver Morgan Dollars 1896-0, 1900-O, 1879-S",127697880213,"Feb 28, 2026",$189.50,$7.95,,,Auction,https://www.ebay.com/itm/127697880213,1
1900-S Morgan Silver Dollar,127725394919,"Mar 14, 2026",$62.09,$5.29,,,Auction,https://www.ebay.com/itm/127725394919,1
Early - 1900-S Morgan Silver Dollar - 90% US Coin *713,127734414006,"Mar 16, 2026",$67.00,$0.00,,,Auction,https://www.ebay.com/itm/127734414006,1
1900-S Morgan Dollar US $1 Coin 90% Silver Key Date AU/BU Nice Luster,127772282497,"Apr 5, 2026",$79.99,$5.99,,,Auction,https://www.ebay.com/itm/127772282497,1
1900-(P) Philadelphia Morgan Liberty Head ONE DOLLAR S$1 USD USA 90% Silver Coin,127785485931,"Apr 6, 2026",$58.25,$6.99,,,Auction,https://www.ebay.com/itm/127785485931,1
