Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1995-Mo (MS69) 1 oz Mexico Silver Libertad Onza PCGS - Near Flawless!!,177586916676,"Jan 10, 2026",$192.82,$0.00,,,Fixed price,https://www.ebay.com/itm/177586916676
,,"Jan 3, 2026",$98.00,$0.00,,,Fixed price,
,,"Jan 6, 2026",$104.56,$11.84,,,Fixed price,
1995 MEXICO 1 ONZA SILVER LIBERTAD NGC MS69 LIMITED EDITION CUSTOM RED CORE,277569608039,"Mar 9, 2026",$241.63,$0.00,,,Fixed price,https://www.ebay.com/itm/277569608039
,,"Dec 16, 2025",$90.00,$0.00,,,Fixed price,
1995-Mo (MS68) 1 oz Silver Mexico Libertad Onza PCGS,187843552370,"Dec 23, 2025",$132.50,$0.00,,,Fixed price,https://www.ebay.com/itm/187843552370
1 Pack 36mm Slab Coin Snap Holder For Mexico 1 Oz Silver Libertad 1982 1995,406594440878,"Feb 6, 2026",$1.68,$2.95,,,Fixed price,https://www.ebay.com/itm/406594440878
,,"Oct 30, 2025",$66.00,$5.00,,,Auction,
,,"Dec 20, 2025",$90.00,$6.00,,,Fixed price,
,,"Dec 15, 2025",$88.00,$0.00,,,Fixed price,
1995 Mexico Onza Libertad Coin MS 69 1 oz,117015140708,"Feb 9, 2026",$215.00,$5.45,,,Fixed price,https://www.ebay.com/itm/117015140708
1995 Mexico Onza Libertad Coin MS 68 1 oz .999 Silver NICE 500K Mintage LOOK!,117015471316,"Apr 4, 2026",$180.00,$3.00,,,Fixed price,https://www.ebay.com/itm/117015471316
1995 Libertad Silver 1 oz Mexico,117067289080,"Mar 7, 2026",$127.50,$6.00,,,Auction,https://www.ebay.com/itm/117067289080
,,"Oct 28, 2025",$64.08,$3.95,,,Auction,
,,"Nov 21, 2025",$72.27,$8.10,,,Fixed price,
,,"Dec 12, 2025",$70.00,$3.99,,,Fixed price,
1995 Mexico 1 oz Silver Libertad BU End Roll Toning Limited Mintage,136945487939,"Jan 16, 2026",$107.50,$0.00,,,Auction,https://www.ebay.com/itm/136945487939
2× 1995 Mexico Silver Libertad – 1 oz Each – .999 Fine Silver,136983849681,"Feb 1, 2026",$235.50,$5.00,,,Auction,https://www.ebay.com/itm/136983849681
2× Mexico Silver Libertads – 1993 & 1995 – 1 oz Each – .999 Fine Silver,136983887361,"Feb 1, 2026",$232.50,$5.62,,,Auction,https://www.ebay.com/itm/136983887361
"1995 Mexico Libertad, 1 Oz Silver Coin, Libertad Gordita Plata KEY-DATE",137057853786,"Feb 28, 2026",$130.50,$7.27,,,Auction,https://www.ebay.com/itm/137057853786
1995 1 Oz 999 SILVER MEXICO Libertad Pura Plata Coin Lim. Mint Round Nat.Toning,146642784957,"Feb 7, 2026",$129.99,$8.80,,,Fixed price,https://www.ebay.com/itm/146642784957
,,"Nov 23, 2025",$78.73,$5.00,,,Auction,
,,"Nov 29, 2025",$65.00,$4.76,,,Fixed price,
,,"Nov 30, 2025",$190.00,$4.76,,,Fixed price,
,,"Dec 12, 2025",$80.00,$0.00,,,Fixed price,
,,"Dec 23, 2025",$85.00,$4.91,,,Fixed price,
1995-MO - MEXICO Silver 1oz LIBERTAD-NGC MS 69 Red Core-Superb Gem-High Grade,147238316240,"Apr 5, 2026",$295.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147238316240
,,"Dec 9, 2025",$74.29,$0.87,,,Fixed price,
,,"Dec 10, 2025",$75.29,$0.83,,,Fixed price,
,,"Dec 5, 2025",$72.35,$1.32,,,Fixed price,
,,"Dec 10, 2025",$75.29,$0.83,,,Fixed price,
,,"Nov 6, 2025",$70.00,$5.95,,,Fixed price,
,,"Dec 10, 2025",$75.29,$0.83,,,Fixed price,
,,"Dec 10, 2025",$75.29,$0.83,,,Fixed price,
,,"Dec 7, 2025",$71.38,$5.95,,,Fixed price,
,,"Dec 10, 2025",$74.00,$5.95,,,Fixed price,
,,"Dec 5, 2025",$73.32,$1.34,,,Fixed price,
,,"Nov 12, 2025",$71.38,$5.95,,,Fixed price,
,,"Oct 29, 2025",$70.00,$5.95,,,Fixed price,
,,"Dec 9, 2025",$73.32,$0.81,,,Fixed price,
,,"Oct 19, 2025",$68.00,$5.95,,,Fixed price,
,,"Oct 15, 2025",$66.00,$5.95,,,Fixed price,
,,"Oct 29, 2025",$69.99,$5.95,,,Fixed price,
,,"Oct 13, 2025",$66.00,$5.95,,,Fixed price,
,,"Nov 4, 2025",$66.00,$5.95,,,Fixed price,
1995 Mo Mexico Libertad Onza 1 oz .999 Silver BU - Beautifully Toned Obverse,157481890306,"Jan 13, 2026",$108.88,$4.76,,,Fixed price,https://www.ebay.com/itm/157481890306
1995 Mo NGC PF69 UCAM MEXICO - 1 oz Silver Proof Libertad - Un Onza,157506791115,"Apr 6, 2026","$1,375.00",$6.00,,,Fixed price,https://www.ebay.com/itm/157506791115
1995 Mo 1 oz Onza Mexico Libertad Gem BU UNC Ley .999 Plata Pura Semi Key Date,157620273127,"Jan 18, 2026",$115.00,$7.45,,,Fixed price,https://www.ebay.com/itm/157620273127
1995 Mexico 1 Oz Onza - Silver Libertad Coin - NGC MS69,157624152419,"Jan 19, 2026",$237.00,$2.95,,,Fixed price,https://www.ebay.com/itm/157624152419
1995 Mexico Libertad 1 oz .999 Silver BU,157627086616,"Jan 28, 2026",$150.00,$5.45,,,Auction,https://www.ebay.com/itm/157627086616
1995-MO - MEXICO Silver 1oz LIBERTAD-NGC MS 69 Red Core-Superb Gem-High Grade,147249278646,"Apr 11, 2026",$290.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147249278646
1995 Mexico 1 oz Silver Libertad Gem BU Littleton Select,157635311049,"Feb 10, 2026",$225.00,$5.20,,,Fixed price,https://www.ebay.com/itm/157635311049,1
1995 Mexico 1 oz Silver Libertad BU,157635494664,"Jan 27, 2026",$175.00,$5.20,,,Fixed price,https://www.ebay.com/itm/157635494664,1
1995 Mo 1 oz Onza Mexico Libertad Gem BU UNC Ley .999 Plata Pura Semi Key Date,157685121357,"Feb 27, 2026",$149.99,$0.00,,,Fixed price,https://www.ebay.com/itm/157685121357,1
Mexico Libertad 1995 1 Oz .999 Fine Silver Coin BU,157703530499,"Mar 2, 2026",$135.00,$4.99,,,Auction,https://www.ebay.com/itm/157703530499,1
1995 1 Onza Mexico Libertad Plata Pura 1 Troy Oz .999 Fine Silver Coin [Z2],157730221368,"Mar 27, 2026",$133.50,$5.00,,,Auction,https://www.ebay.com/itm/157730221368,1
Mexico 1995 1 Oz Onza Silver Libertad Coin PCGS MS67 GEM BU Better Date,167498987397,"Jan 24, 2026",$159.99,$4.99,,,Fixed price,https://www.ebay.com/itm/167498987397,1
,,"Nov 17, 2025",$99.95,$0.00,,,Fixed price,,1
,,"Oct 30, 2025",$92.00,$5.15,,,Auction,,1
,,"Nov 23, 2025",$169.00,$0.00,,,Fixed price,,1
1995 1 oz Silver Libertad Littleton Packaging Toned,168059989421,"Feb 18, 2026",$205.00,$6.50,,,Fixed price,https://www.ebay.com/itm/168059989421,1
1995 Silver Libertad 1 oz MS 68 PCGS,168092546628,"Jan 19, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168092546628,1
1995 Mo 1 oz Onza Mexico Libertad Gem BU UNC Ley .999 Plata Pura Semi Key Date,168100033852,"Jan 23, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168100033852,1
1995 Mexico 1 oz Silver Libertad MS-69 NGC,168122724647,"Feb 21, 2026",$280.00,$5.30,,,Fixed price,https://www.ebay.com/itm/168122724647,1
1995 Mexico Libertad 1oz Fine Silver BU Bullion Coin round Mexican,168136188413,"Feb 4, 2026",$114.95,$8.00,,,Fixed price,https://www.ebay.com/itm/168136188413,1
1995 MEXICO SILVER 1 ONZA LIBERTAD NGC MS 68 SCARCE BEAUTIFUL GEM BU 1 OZ,168145587900,"Feb 11, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/168145587900,1
"1995 Mexico Onza Libertad Coin MS 69 1 oz .999 Silver Only 500,000 Minted",168195133292,"Mar 7, 2026",$200.00,$5.52,,,Auction,https://www.ebay.com/itm/168195133292,1
RARE 1995 Mexico 1 oz .999 Silver Onza in Beautiful BU Condition - Nice Find!,168211382343,"Mar 16, 2026",$125.50,$0.00,,,Auction,https://www.ebay.com/itm/168211382343,1
,,"Oct 26, 2025",$149.00,$0.00,,,Fixed price,,1
,,"Nov 30, 2025",$175.00,$7.80,,,Fixed price,,1
,,"Jan 11, 2026",$109.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$106.00,$3.99,,,Auction,,1
1995 Mexico Libertad 1oz .999 Silver Coin,177884688181,"Feb 22, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177884688181,1
Mexico Libertad 1995 1 Oz .999 Fine Silver Coin BU,177896120374,"Feb 27, 2026",$130.00,$5.20,,,Fixed price,https://www.ebay.com/itm/177896120374,1
1995 Mexico Mexican Libertad 1 Troy Oz (Onza) .999 Fine Silver,177966923977,"Apr 5, 2026",$142.95,$0.00,,,Fixed price,https://www.ebay.com/itm/177966923977,1
1995 MEXICO 1 ONZA SILVER LIBERTAD NGC MS69,178003557526,"Mar 30, 2026",$235.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178003557526,1
1995 Silver Mexican Libertad 1 Onza BU,178022031133,"Apr 4, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178022031133,1
,,"Jan 10, 2026",$49.00,$3.99,,,Fixed price,,1
,,"Nov 11, 2025",$41.00,$4.60,,,Auction,,1
,,"Nov 11, 2025",$103.50,$4.60,,,Auction,,1
,,"Dec 27, 2025",$85.00,$8.00,,,Fixed price,,1
,,"Nov 14, 2025",$52.00,$0.50,,,Fixed price,,1
,,"Nov 29, 2025",$79.00,$4.60,,,Fixed price,,1
,,"Nov 30, 2025",$79.00,$4.60,,,Fixed price,,1
,,"Jan 7, 2026",$110.00,$8.35,,,Fixed price,,1
1995 1 Oz .999 Silver Mo Mexico Libertad 1 Onza Plata Pura Mexican Silver Coin!,187806708934,"Jan 13, 2026",$105.00,$8.35,,,Fixed price,https://www.ebay.com/itm/187806708934,1
1995 1 Oz .999 Silver Mo Mexico Libertad 1 Onza Plata Pura Mexican Silver Coin!,187806712998,"Jan 15, 2026",$109.25,$7.70,,,Fixed price,https://www.ebay.com/itm/187806712998,1
,,"Dec 10, 2025",$82.00,$0.50,,,Fixed price,,1
,,"Dec 15, 2025",$82.00,$4.60,,,Fixed price,,1
1995-Mo Mexico 1 oz Silver Libertad Onza BU,188064973388,"Mar 13, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188064973388,1
,,"Nov 1, 2025",$89.00,$3.75,,,Fixed price,,1
,,"Nov 14, 2025",$200.00,$5.00,,,Fixed price,,1
,,"Dec 13, 2025",$105.00,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$81.18,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$95.00,$4.87,,,Fixed price,,1
1995 Mexico 1 oz .999 Silver Libertad Original Tone,205407009592,"Jan 17, 2026",$99.99,$7.90,,,Fixed price,https://www.ebay.com/itm/205407009592,1
