Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2018 1 Troy oz Silver Maple Leaf Coin With Lunar Dog Privy Reverse proof Finish,124679481192,"Mar 13, 2026",$160.00,$0.00,,,Fixed price,https://www.ebay.com/itm/124679481192
"**ONLY 8,045 MINTED** 2018 COLORIZED Lunar DOG 1/2 oz Silver Coin",287175361809,"Mar 17, 2026",$67.50,$5.45,,,Fixed price,https://www.ebay.com/itm/287175361809
2018P AUSTRALIA LUNAR YEAR OF THE DOG 1OZ .9999 FINE SILVER PCGS MS70 WITH PRIVY,117055597040,"Mar 19, 2026",$249.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117055597040
2018 Rwanda 1 oz .999 Fine Silver Lunar Year of the Dog BU! Sealed! Gem!,127780695457,"Mar 31, 2026",$84.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127780695457
2018 P 1oz .999 Fine Silver Australian Lunar Year of The Dog,137145579549,"Mar 19, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137145579549
2018 COLORIZED Lunar Dog -1/4 oz Silver Coin - Perth Mint,146997426011,"Mar 21, 2026",$30.00,$4.50,,,Fixed price,https://www.ebay.com/itm/146997426011
2018 Australia Lunar Year Of The Dog 1 oz 9999 Silver Perth Mint Coin In Capsule,147143628274,"Mar 8, 2026",$100.00,$4.00,,,Fixed price,https://www.ebay.com/itm/147143628274
2018 AUSTRALIA COLORIZED YEAR OF THE DOG 1/2 OZ .9999 FINE SILVER ROUND,147209263328,"Mar 22, 2026",$52.00,$4.75,,,Auction,https://www.ebay.com/itm/147209263328
GSM Chinese Lunar New Year 1 Oz 0.999 Fine Silver Year of the Dog Silver Round,168282721163,"Apr 5, 2026",$84.95,$4.00,,,Fixed price,https://www.ebay.com/itm/168282721163
2018 1 Troy oz Silver Maple Leaf Coin With Lunar Dog Privy Reverse Proof,187979188884,"Mar 13, 2026",$102.00,$4.99,,,Auction,https://www.ebay.com/itm/187979188884
2018 Year of the Dog Chinese Lunar New Year 1/2 Ounce .999 fine Silver Bar half,188197081118,"Mar 29, 2026",$49.99,$8.75,,,Auction,https://www.ebay.com/itm/188197081118
2018 Australia Lunar Year Of The Dog 1/2oz .9999 Silver Coin In Capsule,198179050786,"Mar 12, 2026",$42.99,$5.29,,,Fixed price,https://www.ebay.com/itm/198179050786
2018 Australia Year of the Dog 1 oz Silver Coin 999 Lunar Series II ~ Lion Privy,198188833004,"Mar 15, 2026",$95.95,$5.95,,,Fixed price,https://www.ebay.com/itm/198188833004
2018 Australia Year of the Dog 1 oz Silver Coin 999 Lunar Series II ~ Lion Privy,198235530521,"Apr 2, 2026",$91.29,$6.50,,,Fixed price,https://www.ebay.com/itm/198235530521
2018 $2 Niue Lunar Year of the Dog 1oz/.999 Fine Silver Coin BU,206067880005,"Mar 22, 2026",$95.00,$4.99,,,Fixed price,https://www.ebay.com/itm/206067880005
2018 Rwanda Lunar Ounce Year of the Dog 1 Oz 0.999 Silver Coin - No Reserve,206120560893,"Mar 15, 2026",$91.00,$0.00,,,Auction,https://www.ebay.com/itm/206120560893
2018 Tuvalu BABY DOG 1/2 oz Silver Proof 50c Coin Lunar Year Colorized,222709425935,"Mar 27, 2026",$252.48,$71.70,,,Fixed price,https://www.ebay.com/itm/222709425935
💎2018-P Australia OPAL LUNAR Year of the DOG 1oz Silver Proof Coin NGC PF70 $1,227263097518,"Mar 25, 2026",$475.00,$5.83,,,Auction,https://www.ebay.com/itm/227263097518
2018 PAMP Suisse Lunar Series Year of DOG 1 oz .999 Fine Silver in Assay,227273457468,"Apr 1, 2026",$410.00,$5.90,,,Auction,https://www.ebay.com/itm/227273457468
2018 Year Of Dog Zodiac Lunar Niue Mint Rare Bullion-0.999 Silver 1 Oz Art Coin,236687154318,"Mar 18, 2026",$99.00,$5.90,,,Fixed price,https://www.ebay.com/itm/236687154318
2018 $2 Niue Lunar Year of the Dog 1oz/.999 Fine Silver Coin Colorizes,257424702710,"Mar 25, 2026",$156.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257424702710
"RARE 2018 Australia Colored Silver Lunar Year of the Dog NGC ""PF"" 70 1/4 oz Coin",263585835031,"Mar 27, 2026",$156.28,$0.00,,,Fixed price,https://www.ebay.com/itm/263585835031
A 2018 Australia 1/2 oz .999 Silver ~ Perth Year of the Dog 50c ~ BU In Capsule,267606611821,"Mar 21, 2026",$55.00,$5.00,,,Auction,https://www.ebay.com/itm/267606611821
2018 Australian Year of the Dog 1 Oz Silver Coin Uncirculated,277711802207,"Mar 16, 2026",$115.00,$5.00,,,Fixed price,https://www.ebay.com/itm/277711802207
2018 Australia 1 oz Silver Lunar Series II Year of the Dog Lion Privy BU,277804702370,"Mar 15, 2026",$94.95,$15.00,,,Fixed price,https://www.ebay.com/itm/277804702370
GSM Chinese Lunar New Year - 1 oz. 2018 Year of the Dog Silver Round in Capsule,284542396168,"Mar 17, 2026",$96.00,$8.75,,,Fixed price,https://www.ebay.com/itm/284542396168
2018 P _ Australia Year of the Dog _ 1 oz .9999 Silver PCGS MS 69 First Strike,297952343642,"Apr 5, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/297952343642
2018 Year Of The Dog 1 Oz Silver Ominous Lunar Calendar 999 Mintage Ant Finish,317815218445,"Mar 19, 2026",$195.99,$4.99,,,Fixed price,https://www.ebay.com/itm/317815218445
2018 Australia $1 Series II-Lunar Year Of The Dog Coin 1 oz. .9999 Silver,317843438016,"Apr 4, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/317843438016
2018 Australia Silver 1 Oz. Lunar Year Of The Dog Ag PCGS MS70 Privy W/ Symbol,317893077007,"Mar 19, 2026",$132.50,$8.75,,,Auction,https://www.ebay.com/itm/317893077007
2018 1/2 oz .999 Fine Silver BU Perth Lunar Year of the Dog W/ Capsule,317909587085,"Mar 9, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/317909587085
2018 Australia 1/2 oz .999 Silver ~ Lunar Year of the Dog 50c ~ BU In Capsule,327034346186,"Mar 15, 2026",$48.00,$0.00,,,Auction,https://www.ebay.com/itm/327034346186
2018 Australia Year Of The Dog Colorized 1/4oz .999 Silver,377084715185,"Apr 6, 2026",$30.00,$5.64,,,Fixed price,https://www.ebay.com/itm/377084715185
2018 Rwanda Lunar Ounce Dog 1 oz .999 Fine Silver Coin - In Capsule - Toning,406773476871,"Mar 29, 2026",$76.00,$1.31,,,Auction,https://www.ebay.com/itm/406773476871
,,"Dec 20, 2025",$38.99,$0.00,,,Fixed price,,9
GSM Chinese Lunar New Year - 1 oz. 2018 Year of the Dog Silver Round in Capsule,284542396168,"Mar 17, 2026",$97.71,$17.15,,,Fixed price,https://www.ebay.com/itm/284542396168,7
,,"Nov 29, 2025",$57.86,$5.19,,,Fixed price,,7
,,"Nov 28, 2025",$59.00,$4.50,,,Fixed price,,10
,,"Dec 8, 2025",$63.75,$6.18,,,Fixed price,,8
2018 Australia Lunar Year Of The DOG High Relief Proof 1oz Silver Coin NGC PF69,253289536133,"Jan 28, 2026",$130.05,$0.00,,,Fixed price,https://www.ebay.com/itm/253289536133,5
2018 Australia 1 oz Silver Lunar Dog BU (Series II),122729664541,"Jan 27, 2026",$72.73,$0.00,,,Fixed price,https://www.ebay.com/itm/122729664541,8
"**ONLY 8,045 MINTED** 2018 COLORIZED Lunar DOG 1/2 oz Silver Coin",277648960576,"Jan 28, 2026",$63.61,$5.20,,,Fixed price,https://www.ebay.com/itm/277648960576,5
"**ONLY 8,045 MINTED** 2018 COLORIZED Lunar DOG 1/2 oz Silver Coin",287175361809,"Apr 13, 2026",$68.08,$5.27,,,Fixed price,https://www.ebay.com/itm/287175361809,5
,,"Nov 13, 2025",$59.43,$7.08,,,Fixed price,,7
AUSTRALIAN 2018 Lunar Year of the Dog 1OZ $1 SILVER HIGH RELIEF COIN Australia,222709502640,"Feb 6, 2026",$167.39,$0.00,,,Fixed price,https://www.ebay.com/itm/222709502640,3
,,"Nov 18, 2025",$58.56,$4.50,,,Fixed price,,3
2018 Puppies Beagle Tuvalu PROOF Silver NGC PF 70 1/2oz Coin Lunar Year DOG,253530641025,"Feb 18, 2026",$121.33,$29.62,,,Fixed price,https://www.ebay.com/itm/253530641025,3
,,"Dec 31, 2025",$46.28,$0.00,,,Fixed price,,6
,,"Jan 9, 2026",$99.00,$5.00,,,Fixed price,,3
,,"Nov 21, 2025",$64.32,$0.00,,,Fixed price,,3
,,"Nov 13, 2025",$45.04,$6.15,,,Fixed price,,8
,,"Nov 22, 2025",$44.18,$5.41,,,Fixed price,,5
"**ONLY 8,045 MINTED** 2018 COLORIZED Lunar DOG 1/2 oz Silver Coin",287121976066,"Feb 24, 2026",$67.95,$4.95,,,Fixed price,https://www.ebay.com/itm/287121976066,3
,,"Dec 29, 2025",$108.63,$10.10,,,Fixed price,,3
2018 Australia Silver 1 Oz. Lunar Yr Of The Dog PCGS MS70 First Strike,134682557108,"Mar 3, 2026",$132.49,$18.31,,,Fixed price,https://www.ebay.com/itm/134682557108,2
,,"Nov 25, 2025",$32.95,$3.00,,,Fixed price,,2
,,"Nov 27, 2025",$23.66,$5.50,,,Fixed price,,3
2018 Australia Lunar Year Of The Dog 1 oz 9999 Silver Perth Mint Coin In Capsule,147143628274,"Mar 8, 2026",$110.00,$4.00,,,Fixed price,https://www.ebay.com/itm/147143628274,2
2018 Puppies Border Collie PROOF Silver NGC PF 70 1/2oz Coin Lunar Year DOG FR,253634418131,"Feb 19, 2026",$137.30,$0.00,,,Fixed price,https://www.ebay.com/itm/253634418131,2
,,"Nov 27, 2025",$43.82,$6.24,,,Fixed price,,5
GSM Chinese Lunar New Year - 1 oz. 2018 Year of the Dog Silver Round,284534630310,"Feb 26, 2026",$90.38,$7.68,,,Fixed price,https://www.ebay.com/itm/284534630310,2
,,"Jan 7, 2026",$47.04,$6.73,,,Fixed price,,6
,,"Nov 29, 2025",$60.00,$4.65,,,Fixed price,,2
,,"Dec 20, 2025",$66.00,$4.99,,,Fixed price,,1
2018 1/2 oz Australian Silver Lunar Year of the Dog Coin BU (Series II),116831252517,"Jan 19, 2026",$49.59,$5.52,,,Fixed price,https://www.ebay.com/itm/116831252517,1
,,"Nov 20, 2025",$295.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$90.00,$5.15,,,Fixed price,,1
2018 Lunar Year of the Dog 1 oz 0.9999 Silver Colored Coin OGP & COA Austrailian,116951236452,"Jan 30, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116951236452,1
SILVER 2018 Australian Lunar Year of the Dog 1/2 oz .999 Fine FREE SHIPPING,116987235708,"Jan 19, 2026",$58.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116987235708,1
2018-1/2 oz Lunar Year Of The DOG-Silver Coin 9999 Australia Series II🔥,117027450425,"Feb 27, 2026",$70.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117027450425,1
2018 1 oz Silver *PROOF* Rwanda Lunar Dog (Capsule + COA) **RARE**,126347324187,"Jan 20, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126347324187,1
,,"Jan 13, 2026",$112.91,$0.00,,,Fixed price,,1
,,"Nov 11, 2025",$58.00,$4.92,,,Fixed price,,1
2018 Australia Lunar Year of Dog Queen Elizabeth Silver 1oz $1 Coin #21559,127632915206,"Jan 24, 2026",$125.00,$4.99,,,Fixed price,https://www.ebay.com/itm/127632915206,1
2018 Australia Lunar Year of Dog Queen Elizabeth Silver 1oz $1 Coin #21566,127633363845,"Jan 23, 2026",$125.00,$4.99,,,Fixed price,https://www.ebay.com/itm/127633363845,1
2018 Pamp Suisse Lunar Series Dog 1 oz Silver Bar - In Deformed Assay,127706645607,"Feb 26, 2026",$248.63,$0.00,,,Fixed price,https://www.ebay.com/itm/127706645607,1
,,"Oct 21, 2025",$144.00,$23.97,,,Fixed price,,1
,,"Jan 13, 2026",$48.00,$4.76,,,Fixed price,,1
,,"Nov 10, 2025",$370.00,$5.37,,,Fixed price,,1
,,"Jan 5, 2026",$74.95,$3.00,,,Fixed price,,1
,,"Jan 6, 2026",$80.00,$8.80,,,Fixed price,,1
2018 PAMP Lunar Calendar Series One Ounce Silver Bar Dog A3,137016732205,"Feb 12, 2026",$355.00,$4.99,,,Auction,https://www.ebay.com/itm/137016732205,1
,,"Nov 17, 2025",$80.00,$0.00,,,Fixed price,,1
,,"Nov 9, 2025",$71.20,$5.49,,,Fixed price,,1
,,"Dec 7, 2025",$99.74,$9.18,,,Fixed price,,1
,,"Dec 26, 2025",$399.00,$0.00,,,Auction,,1
,,"Jan 5, 2026",$587.00,$8.35,,,Auction,,1
2018 50c Australia Lunar Series ~ Year of the Dog 1/2 Oz .9999 Fine,147090460008,"Jan 16, 2026",$45.00,$3.00,,,Fixed price,https://www.ebay.com/itm/147090460008,1
