Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2026 Australia Perth Mint $5 1/20-Oz Gold Lunar Year Of The Horse BU In Capsule,168084823086,"Feb 1, 2026",$333.28,$0.00,,,Fixed price,https://www.ebay.com/itm/168084823086,6
2026 1 oz Perth Lunar Year of the Horse Gold Coin (BU),236302747817,"Jan 20, 2026","$4,919.09",$0.00,,,Fixed price,https://www.ebay.com/itm/236302747817,3
2026 Australia Bullion GOLD $100 Lunar Year of the Horse NGC MS70 1oz Coin FR,257134648007,"Feb 26, 2026","$5,385.27",$0.00,,,Fixed price,https://www.ebay.com/itm/257134648007,3
2026 Australia PROOF GOLD $15 Lunar Year of the Horse NGC PF70 1/10oz Coin FR,257168422458,"Dec 11, 2025",$681.89,$0.00,,,Fixed price,https://www.ebay.com/itm/257168422458,5
2026 1/10 oz Colorized Australian Gold Lunar Horse Coin (BU),397727119472,"Apr 13, 2026",$645.12,$0.00,,,Fixed price,https://www.ebay.com/itm/397727119472,3
"2026 Australia 1 oz Gold Lunar Horse MS-70 PCGS (FDI, Red Label)",127374595570,"Dec 28, 2025","$5,025.23",$49.99,,,Fixed price,https://www.ebay.com/itm/127374595570,2
2026 Australia 1/4 oz Gold Lunar Horse MS-70 PCGS (FS Red Label),127374595571,"Dec 27, 2025","$1,345.90",$0.00,,,Fixed price,https://www.ebay.com/itm/127374595571,2
2026 Australia 1/10 oz Colorized Gold Lunar Horse BU,127692943136,"Mar 1, 2026",$672.73,$0.00,,,Fixed price,https://www.ebay.com/itm/127692943136,2
2026 Australia PROOF GOLD $25 Lunar Year of the Horse NGC PF70 1/4oz Coin FR,257168441377,"Mar 1, 2026","$1,628.44",$0.00,,,Fixed price,https://www.ebay.com/itm/257168441377,2
2026 Year of the Horse 1oz .9999 Gold Rectangle Perth Minted Bar NGC MS 70 Lunar,257318049259,"Jan 28, 2026","$5,639.92",$91.05,,,Fixed price,https://www.ebay.com/itm/257318049259,2
2026 Australian Lunar Year of the Horse 1/10 oz Gold Proof $15 Coin Series-3,326754691773,"Oct 23, 2025",$545.00,$43.02,,,Fixed price,https://www.ebay.com/itm/326754691773,2
2026 Australia 1 oz Gold Lunar Year of the Horse .9999 Fine Gold - BU,366063372110,"Jan 20, 2026","$5,040.40",$0.00,,,Fixed price,https://www.ebay.com/itm/366063372110,5
2026 P 1 oz Australian Gold Lunar Series III Horse Coin (BU),397017034247,"Nov 3, 2025","$4,287.54",$0.00,,,Fixed price,https://www.ebay.com/itm/397017034247,2
,,"Jan 12, 2026","$1,229.79",$0.00,,,Fixed price,,2
,,"Nov 21, 2025","$4,562.44",$0.00,,,Fixed price,,2
2026 Australia Lunar Series III Year of the Horse 1/4 oz Gold BU Coin,406662062249,"Feb 5, 2026","$1,359.54",$42.14,,,Fixed price,https://www.ebay.com/itm/406662062249,2
2026 Australia 1 oz Gold Lunar Horse Proof (w/Box & COA),116771765005,"Oct 20, 2025","$5,663.10",$49.99,,,Fixed price,https://www.ebay.com/itm/116771765005,1
2026 Australia 1oz Gold $100 Lunar Year of the Horse Domed Proof,116924542475,"Dec 30, 2025","$5,341.90",$0.00,,,Fixed price,https://www.ebay.com/itm/116924542475,1
,,"Dec 7, 2025",$595.96,$0.00,,,Fixed price,,1
,,"Nov 1, 2025",$588.74,$0.00,,,Fixed price,,1
,,"Nov 27, 2025",$451.25,$4.95,,,Fixed price,,1
,,"Jan 7, 2026","$1,187.50",$4.87,,,Fixed price,,1
2026 Australia Lunar Series III Year of the Horse 1/4 oz Gold BU Coin,137071267844,"Feb 27, 2026","$1,250.00",$5.89,,,Fixed price,https://www.ebay.com/itm/137071267844,1
2026 AUS 1 oz Gold Lunar Year of the Horse (MD® Premier+PCGS),146811912961,"Jan 18, 2026","$5,216.99",$0.00,,,Fixed price,https://www.ebay.com/itm/146811912961,1
"2026 Australia 1 oz Gold Lunar Horse Proof (HR, Box & COA)",147245006187,"Apr 13, 2026","$5,959.57",$0.00,,,Fixed price,https://www.ebay.com/itm/147245006187,1
2026 P 1/10 oz Australian Gold Lunar Series III Horse Coin (BU),157290829570,"Dec 20, 2025",$495.43,$0.00,,,Fixed price,https://www.ebay.com/itm/157290829570,1
2026 1/4 oz Pitcairn Islands Gold Lunar Year of the Horse Coin (BU),157657271153,"Feb 4, 2026","$1,438.89",$0.00,,,Fixed price,https://www.ebay.com/itm/157657271153,1
,,"Jan 2, 2026",$220.00,$4.95,,,Fixed price,,1
,,"Jan 7, 2026",$265.00,$5.15,,,Fixed price,,1
,,"Nov 5, 2025",$242.24,$5.15,,,Fixed price,,1
2026 Australian Lunar Year of the Horse 1 oz Gold Proof $100 Coin Series-3,226953272153,"Oct 19, 2025","$4,987.97",$0.00,,,Fixed price,https://www.ebay.com/itm/226953272153,1
,,"Jan 1, 2026",$545.00,$7.50,,,Fixed price,,1
2026 1/2 Oz ASCENSION $1 LUNAR HORSE RED & BLACK PF70 GOLD RUSH .999 🪙 RARE,257438317386,"Apr 6, 2026",$138.50,$5.62,,,Auction,https://www.ebay.com/itm/257438317386,1
2026 Lunar Horse 1/2oz Silver RP70 ultra breaks Gold Label Red&Black,257441847901,"Apr 8, 2026",$149.99,$6.09,,,Fixed price,https://www.ebay.com/itm/257441847901,1
,,"Oct 16, 2025",$266.00,$8.40,,,Auction,,1
,,"Dec 12, 2025","$1,497.15",$10.00,,,Fixed price,,1
2026 1 oz Gold Bar - Perth Mint Lunar Horse w/ Assay,297837351883,"Jan 8, 2026","$4,778.70",$0.00,,,Fixed price,https://www.ebay.com/itm/297837351883,1
Perth Mint 1/2 Gram Gold PROOF Lunar Horse in Card,298001062336,"Feb 4, 2026",$159.50,$0.00,,,Fixed price,https://www.ebay.com/itm/298001062336,1
🐴 1/10 oz GOLD PROOF COIN 🐴 2026 Australia Lunar Year of the Horse NGC PF70 FR,298026819859,"Feb 22, 2026",$695.00,$5.95,,,Auction,https://www.ebay.com/itm/298026819859,1
🐴 1/10 oz GOLD PROOF COIN 🐴 2026 Australia Lunar Year of the Horse NGC PF70 FR,298045289383,"Feb 28, 2026",$732.00,$5.95,,,Auction,https://www.ebay.com/itm/298045289383,1
1 Oz Silver Coin Lunar 2026 Year Of The Horse w/ Gold Plating & Freshwater Pearl,317772235504,"Feb 19, 2026",$215.00,$9.99,,,Fixed price,https://www.ebay.com/itm/317772235504,1
2026 Rwanda 1/12 oz .9999 Gold Lunar Year of the Horse BU,317872626493,"Feb 14, 2026",$475.00,$0.00,,,Fixed price,https://www.ebay.com/itm/317872626493,1
2026 Australian Lunar Year of the Horse 1/4 oz Gold Proof $25 Coin Series-3,326754712114,"Jan 23, 2026","$1,590.00",$263.35,,,Fixed price,https://www.ebay.com/itm/326754712114,1
,,"Dec 1, 2025","$4,599.00",$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$480.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$225.00,$0.00,,,Fixed price,,1
,,"Oct 18, 2025",$235.00,$4.87,,,Fixed price,,1
"2026 1/10 oz Proof Australian Gold Lunar Horse Coin (Box, CoA)",397129155716,"Oct 24, 2025",$566.42,$0.00,,,Fixed price,https://www.ebay.com/itm/397129155716,1
Lunar Series 1/20th Oz. Gold 2026 Ascension G$2 Horse PF-69 Ultra Cameo,397815553612,"Apr 10, 2026",$295.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397815553612,1
,,"Nov 30, 2025","$2,500.00",$0.00,,,Fixed price,,1
,,"Jan 4, 2026",$209.00,$5.37,,,Fixed price,,1
,,"Dec 9, 2025","$4,624.48",$0.00,,,Fixed price,,1
2026 Australia Lunar Series III Year of the Horse 1/4 oz Gold BU Coin,406617609833,"Jan 22, 2026","$1,321.27",$0.00,,,Fixed price,https://www.ebay.com/itm/406617609833,1
2026 1/12 oz Gold Coin - Lunar Year of Horse - ICG MS 70 - 100 Francs,406720133601,"Mar 2, 2026",$539.99,$5.30,,,Fixed price,https://www.ebay.com/itm/406720133601,1
Lunar Series 2026 Ascension S$1 Horse Gold & Grey PF70 Antiqued NGC,406853553117,"Apr 13, 2026",$109.95,$5.27,,,Fixed price,https://www.ebay.com/itm/406853553117,1
2026 P Australia Gold Lunar Series III Year of the Horse 1/10 oz $15 - BU,306722148010,"Apr 14, 2026",$561.39,$0.00,,,Fixed price,https://www.ebay.com/itm/306722148010,91
1/100 oz .9999 Gold Bar - Lunar Year of the Horse Gold Bullion Bar #A734,317190344060,"Apr 8, 2026",$67.16,$0.00,,,Fixed price,https://www.ebay.com/itm/317190344060,47
