Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1971-S US Mint Proof Set 5 Coin Set OGP Original Government Packaging,144497484306,"Apr 2, 2026",$13.64,$0.00,,,Fixed price,https://www.ebay.com/itm/144497484306
1971 MINT SET. ISSUED BY US MINT. Envelope Sealed / Unopened.,362844221150,"Mar 31, 2026",$8.00,$4.13,,,Fixed price,https://www.ebay.com/itm/362844221150
1976 US SC 1633-1682 State Flags Complete Set of 50 Singles - MNH,387083559374,"Apr 5, 2026",$8.64,$0.00,,,Fixed price,https://www.ebay.com/itm/387083559374
1976 US Commemorative Year Set #1629//1703 MNH FREE SHIPPING,287139914037,"Apr 4, 2026",$3.84,$0.00,,,Fixed price,https://www.ebay.com/itm/287139914037
1971 Proof set. Genuine. complete and original as issued by US Mint.,363610645815,"Mar 27, 2026",$7.50,$3.71,,,Fixed price,https://www.ebay.com/itm/363610645815
1971 US Mint Set (OGP) 11 coins,188180476278,"Apr 3, 2026",$11.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188180476278
1973 US Commemorative Year Set (Complete) #1475-1508 MNH FREE SHIPPING,286373166506,"Apr 4, 2026",$4.25,$0.00,,,Fixed price,https://www.ebay.com/itm/286373166506
1974 US Commemorative Year Set (Complete) #1525-1552 MNH FREE SHIPPING,287182407642,"Apr 4, 2026",$5.20,$0.00,,,Fixed price,https://www.ebay.com/itm/287182407642
US Scott # 1613 - 1619 & 1811 - 1816 Americana Coil's set Complete Set MNH,115438784686,"Mar 30, 2026",$3.79,$1.00,,,Fixed price,https://www.ebay.com/itm/115438784686
1971-1974 S Eisenhower Silver Dollars Unc 4 Coin Set Blue Envelope US Mint $1,145839004652,"Apr 2, 2026",$123.59,$0.00,,,Fixed price,https://www.ebay.com/itm/145839004652
1972 US Commemorative Year Set (Complete) #1446-1474 MNH FREE SHIPPING,286391370649,"Mar 19, 2026",$3.75,$0.00,,,Fixed price,https://www.ebay.com/itm/286391370649
1971 S Proof Set - 5 Coins - Original Government Packaging US Mint OGP comb shpg,287128673572,"Mar 22, 2026",$11.50,$0.00,,,Fixed price,https://www.ebay.com/itm/287128673572
US Scott # 1686 - 1689 AMERICAN BICENTENNIAL SET OF 4 MNH Panes,155367681942,"Mar 27, 2026",$8.10,$0.00,,,Fixed price,https://www.ebay.com/itm/155367681942
1971 P&D Mint Set with 11 Brilliant Uncirculated US Coins & Envelope (11 Coins),155846971043,"Apr 2, 2026",$11.98,$0.00,,,Fixed price,https://www.ebay.com/itm/155846971043
1971 S Proof Set Original Box US Mint 5 Coins,203176679805,"Mar 28, 2026",$8.98,$4.95,,,Fixed price,https://www.ebay.com/itm/203176679805
1971 P&D Mint Set with 11 Brilliant Uncirculated US Coins & Envelope (11 Coins),276813408770,"Mar 31, 2026",$11.95,$0.00,,,Fixed price,https://www.ebay.com/itm/276813408770
1977 US Commemorative Year Set (Complete) #1704-1730 MNH FREE SHIPPING,285481342822,"Mar 19, 2026",$4.85,$0.00,,,Fixed price,https://www.ebay.com/itm/285481342822
1975 US Commemorative Year Set (Complete) #1553-1580 MNH FREE SHIPPING,286464543601,"Apr 4, 2026",$4.45,$0.00,,,Fixed price,https://www.ebay.com/itm/286464543601
US Scott # C84 - C90 1972 - 1976 Air Mail Set / 7 MNH,110642398425,"Apr 5, 2026",$2.75,$0.00,,,Fixed price,https://www.ebay.com/itm/110642398425
US Scott # 1581 /1623 Americana Complete Set of 24 MNH,115352709796,"Apr 5, 2026",$15.90,$0.00,,,Fixed price,https://www.ebay.com/itm/115352709796
1971 US Mint Set (OGP) 11 coins,188138885030,"Mar 18, 2026",$11.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188138885030
1971 US Commemorative Year Set (Complete) #1423-1445 MNH FREE SHIPPING,285811275260,"Mar 19, 2026",$4.24,$0.00,,,Fixed price,https://www.ebay.com/itm/285811275260
