Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Kilo 2009 Aztec Calendar *Casa de la Moneda 1 Kilo Proof Box COA ! $100 Pesos !,267480698829,"Dec 26, 2025","$2,549.67",$0.00,,,Fixed price,https://www.ebay.com/itm/267480698829
2009 Mexico 1 oz Silver Libertad BU,112615725278,"Oct 20, 2025",$78.79,$0.00,,,Fixed price,https://www.ebay.com/itm/112615725278
2009 Mexico 1 oz Silver Libertad BU,127590360984,"Jan 12, 2026",$92.97,$7.65,,,Fixed price,https://www.ebay.com/itm/127590360984
,,"Nov 2, 2025",$56.50,$0.00,,,Fixed price,
2009-Mo Onza Mexico 1 oz Silver Libertad PCGS MS 69 | Uncirculated UNC BU,305182838454,"Feb 20, 2026",$219.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305182838454
"2009 MEXICO ""SILVER LIBERTAD"" 1 TROY ONZA .999 SILVER COIN BU",327025773627,"Mar 2, 2026",$106.67,$0.00,,,Fixed price,https://www.ebay.com/itm/327025773627
,,"Oct 26, 2025",$56.00,$7.20,,,Auction,
"2009 Mexican Libertad 1 Oz Silver Collectors (GEM, LIMITED)",116939215550,"Jan 28, 2026",$165.00,$4.88,,,Fixed price,https://www.ebay.com/itm/116939215550
2009 Libertad Silver 1 oz Mexico,117070720859,"Mar 9, 2026",$95.00,$6.00,,,Auction,https://www.ebay.com/itm/117070720859
2009 1oz Libertad Plata Pura .999 Fine Mexico Silver,117075326370,"Mar 8, 2026",$106.87,$5.29,,,Fixed price,https://www.ebay.com/itm/117075326370
,,"Nov 10, 2025",$58.55,$4.95,,,Auction,
,,"Jan 2, 2026",$42.00,$4.87,,,Fixed price,
2009Mo Mexico 1/20 O NGC PF 70 Ultra Cameo,127635201356,"Jan 31, 2026",$31.00,$5.00,,,Auction,https://www.ebay.com/itm/127635201356
2009 MEXICO LIBERTAD 1 OZ .999 SILVER BU COIN,127663808310,"Mar 9, 2026",$181.00,$5.68,,,Fixed price,https://www.ebay.com/itm/127663808310
2009-Mo Onza Mexico 1 oz Silver Libertad PCGS MS 69 | Uncirculated 🇲🇽🔥🇲🇽🔥,127712598320,"Mar 25, 2026",$190.00,$5.30,,,Fixed price,https://www.ebay.com/itm/127712598320
2009 Mo Mexico 1 Onza Silver Libertad MS69 NGC Mexico Label,136533779930,"Mar 3, 2026",$265.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136533779930
2009 Mexico Libertad Silver Coin 1 oz .999 In Capsule,136989298919,"Jan 29, 2026",$125.00,$5.00,,,Auction,https://www.ebay.com/itm/136989298919
2009 MEXICO LIBERTAD 1 OZ .999 SILVER BU COIN,137119014368,"Mar 14, 2026",$113.50,$5.20,,,Auction,https://www.ebay.com/itm/137119014368
2009 Mo Mexico Libertad 1 Onza Silver NGC Brilliant Uncirculated BU,147138763950,"Feb 5, 2026",$99.99,$5.30,,,Fixed price,https://www.ebay.com/itm/147138763950
"2009 MO PCGS MS69 ONZA .999 SILVER LIBERTAD "" Only 6 Coins Graded Higher """,157197026725,"Feb 12, 2026",$185.00,$5.95,,,Fixed price,https://www.ebay.com/itm/157197026725
"2009 Mexico Libertad 1 oz. Silver Brown Label - NGC MS68 ~ Mintage Of 950,000!",157255742469,"Jan 14, 2026",$125.75,$5.95,,,Fixed price,https://www.ebay.com/itm/157255742469
2009 Mo Mexico 1 Onza Silver Libertad MS68 NGC Mexico Label,157282364317,"Jan 24, 2026",$141.49,$5.95,,,Fixed price,https://www.ebay.com/itm/157282364317
,,"Dec 26, 2025",$70.00,$8.95,,,Fixed price,
,,"Dec 16, 2025",$74.88,$4.65,,,Fixed price,
UNC 2009 MEXICO LIBERTAD 1 OZ .999 SILVER BU COIN Almost Proof Like,157607769823,"Feb 9, 2026",$144.93,$5.07,,,Fixed price,https://www.ebay.com/itm/157607769823
2009 Mexico 1 oz Silver Libertad PCGS MS68 Beautiful Toned,157639853030,"Feb 6, 2026",$250.00,$5.45,,,Fixed price,https://www.ebay.com/itm/157639853030
2009 Mo Proof Mexico Libertad 1 oz Silver 999 Onza Ounce,157698092019,"Feb 21, 2026",$175.00,$5.00,,,Fixed price,https://www.ebay.com/itm/157698092019
,,"Nov 14, 2025",$69.99,$0.00,,,Auction,
,,"Dec 14, 2025",$137.50,$1.00,,,Auction,
2009 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin BU,168044208187,"Jan 11, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168044208187
Mo Mexico Libertad Each 1 oz .999 fine silver Brilliant UNC 2009,168150800639,"Mar 9, 2026",$155.00,$5.07,,,Fixed price,https://www.ebay.com/itm/168150800639
2009 Mexico 1/4 Ounce Onza Oz Silver Libertad Proof KEY DATE LOW MINTAGE 3000,168194754796,"Mar 29, 2026",$64.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168194754796
,,"Dec 27, 2025",$69.99,$6.32,,,Fixed price,
"2009 MEXICO ""SILVER LIBERTAD"" 1 TROY ONZA .999 SILVER COIN BU",177784961535,"Jan 19, 2026",$110.00,$7.00,,,Fixed price,https://www.ebay.com/itm/177784961535
2009 Uncirculated 1oz 999 Mexican Liebertad BU Condition In Protective Capsule,177974545765,"Mar 26, 2026",$99.98,$5.00,,,Fixed price,https://www.ebay.com/itm/177974545765
,,"Jan 6, 2026",$183.50,$4.60,,,Auction,
2009 Mexican Mo Libertad Onza 1 oz Silver Uncirculated Coin,188077443800,"Feb 27, 2026",$131.00,$4.69,,,Auction,https://www.ebay.com/itm/188077443800
,,"Dec 6, 2025",$72.60,$3.17,,,Fixed price,
,,"Dec 16, 2025",$74.00,$0.00,,,Auction,
,,"Jan 1, 2026",$80.00,$0.00,,,Fixed price,
,,"Jan 4, 2026",$93.11,$2.95,,,Auction,
2009 Mexico Silver LIBERTAD 1 oz 999 Silver Coin ~ PCGS MS 67 ~ SEE PHOTOS,198229108019,"Mar 27, 2026",$135.07,$1.00,,,Fixed price,https://www.ebay.com/itm/198229108019
,,"Nov 30, 2025",$19.00,$0.00,,,Auction,
2009 Mo PCGS MS69 MEXICO - 1 oz Silver Libertad - Un Onza Coin #42530A,225576066708,"Mar 6, 2026",$219.95,$0.00,,,Fixed price,https://www.ebay.com/itm/225576066708
,,"Jan 4, 2026",$219.95,$0.00,,,Fixed price,
2009 Mexico 1/20 1/10 1/4 1/2 1 oz Silver Proof Libertad 5 Coin Set #54565G,226811612208,"Mar 2, 2026",$469.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226811612208
2009 Mexico 1/20 1/10 1/4 1/2 1 oz Silver Proof Libertad 5 Coin Set #54567G,226811614364,"Feb 22, 2026",$469.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226811614364
2009 Mexico 1/20 1/10 1/4 1/2 1 oz Silver Proof Libertad 5 Coin Set #56965C,227028786291,"Mar 3, 2026",$469.95,$5.95,,,Fixed price,https://www.ebay.com/itm/227028786291
,,"Oct 21, 2025",$25.00,$4.00,,,Auction,
,,"Nov 13, 2025",$55.00,$0.00,,,Fixed price,
,,"Jan 11, 2026",$99.00,$0.00,,,Fixed price,
2009 Mo PCGS MS69 - MEXICO - 1 oz Silver Libertad Onza #46568A,226055537700,"Apr 10, 2026",$219.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226055537700
,,"Jan 12, 2026",$92.97,$7.65,,,Fixed price,,2
2009 MO 1/20 oz PCGS PR70 DCAM MEXICO LIBERTAD .999 SILVER,127792256770,"Apr 11, 2026",$51.00,$8.10,,,Auction,https://www.ebay.com/itm/127792256770,1
PCGS PR 69 DCAM 2009 1/10 oz Mexico Libertad Coin,127792291115,"Apr 11, 2026",$46.00,$8.10,,,Auction,https://www.ebay.com/itm/127792291115,1
PCGS PR 69 DCAM 2009 1/10 oz Mexico Libertad Coin,127792300604,"Apr 11, 2026",$50.00,$8.10,,,Auction,https://www.ebay.com/itm/127792300604,1
PCGS PR 69 DCAM 2009 1/10 oz Mexico Libertad Coin,127792309469,"Apr 11, 2026",$47.00,$8.10,,,Auction,https://www.ebay.com/itm/127792309469,1
PCGS PR 69 DCAM 2009 1/10 oz Mexico Libertad Coin,127792317632,"Apr 11, 2026",$36.00,$7.30,,,Auction,https://www.ebay.com/itm/127792317632,1
,,"Nov 27, 2025",$859.00,$0.00,,,Auction,,1
,,"Dec 16, 2025",$180.00,$5.09,,,Fixed price,,1
,,"Dec 14, 2025",$35.00,$4.00,,,Auction,,1
2009 Mexico Libertad 1 oz .999 Fine Silver * BU * No Clouding. Several Pics.,227183483011,"Jan 25, 2026",$135.00,$5.52,,,Fixed price,https://www.ebay.com/itm/227183483011,1
Lot (2) 1/20 Oz Onza Silver Mexico Proof Libertad Coins Mexican 2009 2011,227185210591,"Feb 1, 2026",$39.89,$4.00,,,Auction,https://www.ebay.com/itm/227185210591,1
2009 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin BU,227189047698,"Jan 25, 2026",$110.00,$5.00,,,Fixed price,https://www.ebay.com/itm/227189047698,1
2009 Mexico Libertad Silver Coin 1 oz MS 999,227198864218,"Feb 4, 2026",$117.51,$10.00,,,Auction,https://www.ebay.com/itm/227198864218,1
2009 Mexico Libertad 1 Ounce .999 Fine Silver Coin - Gem Brilliant Uncirculated,227218684622,"Feb 22, 2026",$124.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227218684622,1
,,"Nov 24, 2025",$25.00,$5.15,,,Fixed price,,1
,,"Dec 19, 2025",$142.78,$15.41,,,Auction,,1
2- 2009 MO Mexico 1 Onza Silver Coins MS67 Libertad,236631993498,"Feb 23, 2026",$240.00,$5.77,,,Fixed price,https://www.ebay.com/itm/236631993498,1
2009 Libertad Brilliance UNC Mexico 1 Onza Silver,236728705019,"Apr 1, 2026",$110.00,$5.52,,,Fixed price,https://www.ebay.com/itm/236728705019,1
,,"Nov 19, 2025","$1,400.00",$0.00,,,Fixed price,,1
,,"Dec 7, 2025",$71.00,$0.00,,,Auction,,1
,,"Dec 27, 2025",$92.00,$4.25,,,Auction,,1
2009 Mexico Libertad 1 oz Fine Silver .999 BU,257321195963,"Jan 24, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257321195963,1
2009 Mexico Libertad 1 oz Fine Silver .999 BU,257332641819,"Jan 27, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257332641819,1
2009 Mexico Libertad 1 oz Fine Silver .999 BU,257333003774,"Jan 27, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257333003774,1
2009 Mexico Libertad 1 oz BU Mexican Silver Coin Roll of 20 Original Pack,257376878715,"Feb 26, 2026","$3,150.00",$13.43,,,Fixed price,https://www.ebay.com/itm/257376878715,1
2009 Mexico 1 oz Silver Libertad Coin,257409221668,"Mar 22, 2026",$112.50,$5.95,,,Auction,https://www.ebay.com/itm/257409221668,1
2009 Mexican Libertad 1 Onza Plata Pura 1 Ounce .999 Fine Silver Coin - Gem BU,257414173576,"Mar 29, 2026",$99.00,$6.00,,,Auction,https://www.ebay.com/itm/257414173576,1
2009 Mexico 1 oz .999 Silver Libertad Coin,257420390196,"Mar 29, 2026",$96.00,$5.95,,,Auction,https://www.ebay.com/itm/257420390196,1
2009-Mo Onza Mexico 1 oz Silver Libertad PCGS MS 69 | Uncirculated UNC BU,267580748194,"Feb 20, 2026",$175.00,$5.77,,,Auction,https://www.ebay.com/itm/267580748194,1
A 2009 1oz .999 Fine Silver Mexican Libertad,267597326937,"Mar 14, 2026",$111.49,$5.00,,,Auction,https://www.ebay.com/itm/267597326937,1
2009 Mo PCGS MS67 1 oz Silver Mexico Libertad Mexican Onza Coin - Blue Label,267622677785,"Mar 28, 2026",$155.00,$5.89,,,Fixed price,https://www.ebay.com/itm/267622677785,2
,,"Oct 27, 2025",$50.00,$5.00,,,Auction,,1
,,"Nov 16, 2025",$65.00,$3.99,,,Auction,,1
2009 Mexico 1 oz Silver Libertad Coin,287101720086,"Feb 2, 2026",$112.50,$7.70,,,Auction,https://www.ebay.com/itm/287101720086,1
2009 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287130939710,"Feb 15, 2026",$110.50,$3.99,,,Auction,https://www.ebay.com/itm/287130939710,1
2009 Mexico 1/20 1/10 1/4 1/2 1 oz Silver Proof Libertad 5 Coin Set New In Box,297489083660,"Mar 27, 2026",$465.00,$7.00,,,Fixed price,https://www.ebay.com/itm/297489083660,1
,,"Nov 2, 2025",$118.50,$18.57,,,Auction,,1
,,"Dec 25, 2025",$84.99,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$90.00,$8.10,,,Fixed price,,1
2009 Mexico 1 oz Silver Libertad Coin,297955429570,"Jan 28, 2026",$133.00,$6.75,,,Auction,https://www.ebay.com/itm/297955429570,1
2009 Mexico 1 oz Silver Libertad Coin,298041519917,"Feb 27, 2026",$117.50,$3.40,,,Auction,https://www.ebay.com/itm/298041519917,1
,,"Dec 16, 2025",$76.00,$5.75,,,Auction,,1
,,"Jan 26, 2026",$220.00,$7.95,,,Auction,,1
Lot of 2 - MS 67 Mo Mexico Libertad Each 1 oz .999 fine silver 2005/2009,306744294406,"Feb 6, 2026",$222.53,$5.62,,,Auction,https://www.ebay.com/itm/306744294406,1
2009 Mexico 1 oz Silver Libertad Coin,306761128540,"Feb 16, 2026",$112.50,$6.75,,,Auction,https://www.ebay.com/itm/306761128540,1
2009 Mexico 1 oz Silver Libertad Coin,306803514273,"Mar 14, 2026",$118.00,$6.75,,,Auction,https://www.ebay.com/itm/306803514273,1
2009-Mo Mexico 1 Onza Silver Libertad PCGS MS67 | 1 oz .999 Plata Pura | Onza,306822104433,"Mar 17, 2026",$159.99,$0.00,,,Fixed price,https://www.ebay.com/itm/306822104433,1
,,"Dec 28, 2025",$119.00,$5.15,,,Fixed price,,1
,,"Oct 30, 2025",$63.00,$0.00,,,Fixed price,,1
"2009 MEXICO ""SILVER LIBERTAD"" 1 TROY ONZA .999 99.99 % PURE SILVER 1 OZ COIN BU",317780954377,"Jan 26, 2026",$127.50,$5.07,,,Auction,https://www.ebay.com/itm/317780954377,1
"2015 MEXICO ""SILVER LIBERTAD"" 1 TROY ONZA .999 SILVER COIN BU",317813975934,"Feb 4, 2026",$109.00,$3.95,,,Auction,https://www.ebay.com/itm/317813975934,1
2009 Mo PCGS MS69 MEXICO - 1 oz Silver Libertad - Un Onza Coin #42531A,325654472839,"Jan 27, 2026",$219.95,$0.00,,,Fixed price,https://www.ebay.com/itm/325654472839,1
