Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 11, 2025",$158.36,$0.00,,,Fixed price,,3
2023 Reverse Proof Morgan & Peace Silver Dollar 2-Coin Set (OGP Box & CoA)(23XS),177824445342,"Mar 5, 2026",$220.00,$5.48,,,Fixed price,https://www.ebay.com/itm/177824445342,2
2023 $1 Morgan & Peace Dollar Reverse Proof Commemorative Two-Coin Set,177993350478,"Apr 11, 2026",$180.00,$6.71,,,Fixed price,https://www.ebay.com/itm/177993350478,3
2023 Morgan and Peace Dollar Reverse Proof 2 coin Set w/ OGP,187891035715,"Jan 17, 2026",$189.50,$5.09,,,Fixed price,https://www.ebay.com/itm/187891035715,2
,,"Dec 2, 2025",$164.95,$0.00,,,Fixed price,,2
,,"Dec 4, 2025",$159.45,$0.00,,,Fixed price,,2
2023 MORGAN & PEACE DOLLAR US MINT SILVER REVERSE PROOF SET OGP/COA ~~ PRISTINE,198056235559,"Jan 26, 2026",$227.15,$5.23,,,Fixed price,https://www.ebay.com/itm/198056235559,2
2023 S Reverse Proof Morgan Silver Dollar NGC PF69 First Releases,204646881253,"Jan 23, 2026",$99.99,$6.00,,,Fixed price,https://www.ebay.com/itm/204646881253,2
2023 S Morgan and Peace Dollar Reverse Proof Set- 23XS (OGP/COA) In hand,204781805735,"Jan 18, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/204781805735,2
"2023 S Reverse Proof $1 Morgan and Peace Dollar 2pc Set Box ,OGP & COA ID031/032",204807659836,"Jan 18, 2026",$199.99,$5.00,,,Fixed price,https://www.ebay.com/itm/204807659836,2
,,"Dec 20, 2025",$162.67,$5.00,,,Fixed price,,3
2023 S Morgan Reverse Proof Silver Dollar NGC PF 70 Early Releases,205970544606,"Feb 5, 2026",$149.98,$0.00,,,Fixed price,https://www.ebay.com/itm/205970544606,3
"2023 ""S"" Morgan & Peace Silver Dollar *REVERSE PROOF* (2 Coin) Set Box & COA",206001403049,"Jan 16, 2026",$199.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206001403049,4
"2024 ""S"" Morgan & Peace Silver Dollar *REVERSE PROOF* (2 Coin) Set Box & COA",206001491236,"Jan 16, 2026",$199.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206001491236,2
2023 US Mint Morgan and Peace Dollar Set Reverse Proofs Two Coins,227124366819,"Jan 23, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227124366819,2
"2023-S Morgan and Peace Silver Dollar 2pc Reverse Proof Set Box ,OGP & COA",236594873506,"Jan 22, 2026",$199.00,$7.22,,,Fixed price,https://www.ebay.com/itm/236594873506,3
,,"Oct 28, 2025",$249.00,$9.25,,,Fixed price,,2
,,"Dec 19, 2025",$169.99,$0.00,,,Fixed price,,2
"2023 Morgan & Peace Dollar ""Reverse Proof"" 2 Coin Set With Box And COA (Last 2)",267212164339,"Jan 18, 2026",$185.38,$4.99,,,Fixed price,https://www.ebay.com/itm/267212164339,2
2023 REVERSE PROOF SILVER PEACE & MORGAN DOLLAR WITH BOX/COA***2 COIN SET,267566377072,"Feb 18, 2026",$219.99,$5.42,,,Fixed price,https://www.ebay.com/itm/267566377072,2
,,"Dec 19, 2025",$155.01,$9.95,,,Fixed price,,2
