Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 20, 2025",$142.50,$0.00,,,Auction,,1
,,"Nov 28, 2025",$124.00,$3.95,,,Auction,,1
,,"Dec 1, 2025",$232.50,$0.00,,,Auction,,1
,,"Dec 10, 2025",$165.39,$0.00,,,Auction,,1
,,"Jan 12, 2026",$114.99,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$153.50,$8.40,,,Auction,,1
,,"Dec 18, 2025",$184.50,$0.00,,,Auction,,1
1888-S $1 Morgan Silver Dollar XF45 NGC San Francisco - 780b,147035310312,"Jan 16, 2026",$170.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147035310312,1
,,"Dec 21, 2025",$211.50,$8.00,,,Auction,,1
,,"Dec 27, 2025",$154.50,$8.40,,,Auction,,1
,,"Dec 27, 2025",$194.12,$0.00,,,Auction,,1
1888-S Morgan Silver Dollar - Rim Damage,147081289395,"Jan 15, 2026",$123.53,$0.00,,,Auction,https://www.ebay.com/itm/147081289395,1
1888 S Morgan Silver Dollar Excellent Shape,147093451935,"Jan 21, 2026",$147.50,$7.70,,,Auction,https://www.ebay.com/itm/147093451935,1
1888-S Morgan Silver Dollar Key Date XF Details (Cleaned) - 954b,147107267324,"Feb 3, 2026",$191.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147107267324,1
Pair of Morgan Silver Dollars 1888-O PCGS MS63 & 1882-S PCGS MS64,147107335514,"Jan 26, 2026",$265.00,$5.52,,,Auction,https://www.ebay.com/itm/147107335514,1
1888-S Morgan Silver Dollar BU *UNCIRCULATED* MS E376 YDCBQ,147108931983,"Feb 12, 2026",$384.75,$0.00,,,Fixed price,https://www.ebay.com/itm/147108931983,1
"1888-S Morgan Dollar - Unc details, Dark Rev (#61267-L)",147110046147,"Jan 22, 2026",$102.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147110046147,1
1888 S Morgan Silver Dollar. Guaranteed Authentic Nice Coin. NGC Good Details,147128730646,"Feb 1, 2026",$119.90,$0.00,,,Fixed price,https://www.ebay.com/itm/147128730646,1
1888-S Morgan Silver Dollar - Choice+,147147367709,"Feb 10, 2026",$161.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147147367709,1
1888-S MORGAN Silver Dollar ☆ 1061 ☆ Nice Orignal Coin - Checkmystoreout,147151158110,"Feb 15, 2026",$146.50,$4.50,,,Fixed price,https://www.ebay.com/itm/147151158110,1
1888 Morgan Silver Dollar NGC MS63 S$1 Philadelphia Minted No Reserve,147155239589,"Mar 15, 2026",$88.00,$1.62,,,Auction,https://www.ebay.com/itm/147155239589,1
"1888-S MORGAN SILVER DOLLAR, AU+ ☆ 1147 ☆ Bu Pl Coin",147162623437,"Feb 22, 2026",$325.00,$4.50,,,Fixed price,https://www.ebay.com/itm/147162623437,1
1888-S MORGAN SILVER DOLLAR NGC AU53 O6HIA25,147191049028,"Mar 10, 2026",$230.00,$12.99,,,Fixed price,https://www.ebay.com/itm/147191049028,1
"1884, 1888, and 1921 S $1 Morgan Silver Dollars in Littleton Packets",147200082722,"Mar 19, 2026",$183.35,$0.00,,,Auction,https://www.ebay.com/itm/147200082722,1
1888 S Morgan Silver Dollar,147223335582,"Mar 30, 2026",$48.10,$6.49,,,Auction,https://www.ebay.com/itm/147223335582,1
1888-S Morgan Silver Dollar - Choice++,147225025551,"Apr 2, 2026",$172.50,$0.00,,,Auction,https://www.ebay.com/itm/147225025551,1
1888 S Morgan Silver Dollar $1 -Better Date!- PCGS AU55,147228085983,"Apr 4, 2026",$324.99,$0.00,,,Auction,https://www.ebay.com/itm/147228085983,1
,,"Jan 8, 2026",$219.99,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$164.99,$0.00,,,Fixed price,,1
1888 **S** MORGAN SILVER DOLLAR *NICE COIN!* - FREE SHIPPING! M8161,157151453458,"Feb 27, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157151453458,1
1888 S Morgan Dollar KEY DATE AU/BU,157159243007,"Feb 19, 2026",$375.00,$5.78,,,Fixed price,https://www.ebay.com/itm/157159243007,1
1888 Morgan Dollar S$1 NGC MS61,157283936843,"Jan 14, 2026",$84.99,$0.00,,,Fixed price,https://www.ebay.com/itm/157283936843,1
,,"Dec 5, 2025",$169.99,$0.00,,,Fixed price,,1
,,"Oct 19, 2025",$179.99,$0.00,,,Fixed price,,1
,,"Jan 12, 2026",$255.00,$0.00,,,Fixed price,,1
,,"Oct 19, 2025",$355.00,$4.99,,,Auction,,1
,,"Oct 23, 2025",$195.00,$7.50,,,Fixed price,,1
