Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
A0153- 2002 Topps Baseball Cards 401-600 +Rookies -You Pick- 15+ FREE US SHIP,334192392703,"May 18, 2026",$0.73,$0.28,,,Fixed price,https://www.ebay.com/itm/334192392703,119
B5445- 2002 Fleer Maximum Football Card #s 1-250 -You Pick- 15+ FREE US SHIP,336086096596,"May 18, 2026",$0.80,$0.89,,,Fixed price,https://www.ebay.com/itm/336086096596,49
A7773- 2002 Upper Deck BB Card #s 251-500 +Rookies -You Pick- 15+ FREE US SHIP,334849974349,"May 18, 2026",$0.78,$0.22,,,Fixed price,https://www.ebay.com/itm/334849974349,43
A5899- 2002 Bowman Chrome BB Cards 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234692975346,"May 16, 2026",$2.08,$0.00,,,Fixed price,https://www.ebay.com/itm/234692975346,29
A1839- 2002 Bowman Baseball Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334770182172,"May 15, 2026",$0.75,$0.22,,,Fixed price,https://www.ebay.com/itm/334770182172,63
A0153- 2002 Topps Baseball Cards 601-719 +Inserts -You Pick- 15+ FREE US SHIP,334192417665,"May 14, 2026",$0.79,$0.50,,,Fixed price,https://www.ebay.com/itm/334192417665,83
A7650- 2002 Pacific FB Card #s 251-500 +Rookies -You Pick- 15+ FREE US SHIP,336543232087,"May 14, 2026",$0.86,$0.73,,,Fixed price,https://www.ebay.com/itm/336543232087,41
A1950- 2002 Topps Chrome BB Card #s 1-395 +Rookies -You Pick- 15+ FREE US SHIP,335021290412,"May 13, 2026",$0.85,$0.80,,,Fixed price,https://www.ebay.com/itm/335021290412,27
B3686- 2002 SP Authentic BB Card #s 1-230 +Inserts -You Pick- 15+ FREE US SHIP,235119516780,"May 12, 2026",$1.68,$0.21,,,Fixed price,https://www.ebay.com/itm/235119516780,48
A6057- 2002 Ultra Baseball Card #s 1-300 +Rookies -You Pick- 15+ FREE US SHIP,235189156120,"May 11, 2026",$1.08,$0.40,,,Fixed price,https://www.ebay.com/itm/235189156120,41
B0141- 2002-03 Topps Hockey Card #s 1-200 -You Pick- 15+ FREE US SHIP,236773983381,"May 11, 2026",$0.84,$0.10,,,Fixed price,https://www.ebay.com/itm/236773983381,17
B1433- 2002 Donruss Football Cards 1-200 +Inserts -You Pick- 15+ FREE US SHIP,234657583270,"May 10, 2026",$0.73,$1.09,,,Fixed price,https://www.ebay.com/itm/234657583270,22
B5109- 2002 Fleer Authentix FB Cards 1-230 +Inserts -You Pick- 15+ FREE US SHIP,235896827052,"May 9, 2026",$0.83,$0.42,,,Fixed price,https://www.ebay.com/itm/235896827052,31
B4951- 2002 Upper Deck MVP Football Card #s 1-200 -You Pick- 15+ FREE US SHIP,235525830483,"May 6, 2026",$0.72,$0.00,,,Fixed price,https://www.ebay.com/itm/235525830483,29
B1026- 2002 Topps Total BB Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,235005010713,"May 5, 2026",$0.77,$0.51,,,Fixed price,https://www.ebay.com/itm/235005010713,35
B5751- 2002 Topps Gold Label BB #s 1-200 +Inserts -You Pick- 15+ FREE US SHIP,256677739406,"May 3, 2026",$0.83,$0.83,,,Fixed price,https://www.ebay.com/itm/256677739406,37
A6551- 2002-03 UD Top Shelf Hockey Card #s 1-135 -You Pick- 15+ FREE US SHIP,235580271587,"May 3, 2026",$0.86,$0.42,,,Fixed price,https://www.ebay.com/itm/235580271587,21
B1399- 2002 Sweet Spot Classics BB #s 1-90 +Inserts -You Pick- 15+ FREE US SHIP,234654973561,"Apr 29, 2026",$0.93,$0.16,,,Fixed price,https://www.ebay.com/itm/234654973561,54
B3452- 2002-03 UD SuperStars Sports Card #s 1-200 -You Pick- 15+ FREE US SHIP,336359096441,"Apr 29, 2026",$1.33,$0.17,,,Fixed price,https://www.ebay.com/itm/336359096441,42
B5829- 2002 Fleer WWE Raw vs SmackDown 1-90 +Inserts -You Pick- 15+ FREE US SHIP,236168629236,"Apr 29, 2026",$1.70,$0.51,,,Fixed price,https://www.ebay.com/itm/236168629236,27
B6463- 2002 Upper Deck Manchester United Legends -You Pick- 15+ FREE US SHIP,235992496978,"Apr 24, 2026",$2.07,$0.50,,,Fixed price,https://www.ebay.com/itm/235992496978,33
A8594- 2002 Bowman Chrome FB Cards 1-275 +Inserts -You Pick- 15+ FREE US SHIP,335518678172,"Apr 21, 2026",$1.65,$0.66,,,Fixed price,https://www.ebay.com/itm/335518678172,32
B7272- 2002 Diamond Kings Bronze Foil BB #s 1-160 -You Pick- 15+ FREE US SHIP,257286454205,"Apr 12, 2026",$3.47,$0.33,,,Fixed price,https://www.ebay.com/itm/257286454205,45
A1646- 2002 Topps Gallery BB Cards 1-200 +Rookies -You Pick- 15+ FREE US SHIP,236165071789,"Apr 12, 2026",$1.25,$0.84,,,Fixed price,https://www.ebay.com/itm/236165071789,20
B2118- 2002 Topps Traded Gold BB #s 1-275 Parallels -You Pick- 15+ FREE US SHIP,334832839179,"Apr 11, 2026",$0.91,$0.00,,,Fixed price,https://www.ebay.com/itm/334832839179,45
2002-D US Mint Uncirculated Coin Set 10 Coins OGP COA and Order Form,156220894599,"Apr 5, 2026",$6.00,$5.00,,,Fixed price,https://www.ebay.com/itm/156220894599
2002 P D State Quarter Set In US Mint Cello BU 10 CN-Clad Coin Set,202972515669,"Apr 5, 2026",$4.94,$3.95,,,Fixed price,https://www.ebay.com/itm/202972515669
A4190- 2002-03 Crown Royale Hk #s 1-138 +Inserts -You Pick- 15+ FREE US SHIP,234586145639,"Apr 4, 2026",$1.20,$0.26,,,Fixed price,https://www.ebay.com/itm/234586145639
B2200- 2002 Fleer Tradition BB #s 251-500 +Inserts -You Pick- 15+ FREE US SHIP,334614412454,"Apr 4, 2026",$0.91,$0.00,,,Fixed price,https://www.ebay.com/itm/334614412454
"2002 US Mint Proof Set in Original Government Packaging with CoA, Free Shipping",234327350479,"Apr 4, 2026",$12.75,$0.00,,,Fixed price,https://www.ebay.com/itm/234327350479
2002 US Proof Set in OGP,144659408313,"Apr 4, 2026",$11.99,$0.00,,,Fixed price,https://www.ebay.com/itm/144659408313
A0153- 2002 Topps Baseball Cards 201-400 +Rookies -You Pick- 15+ FREE US SHIP,334192392614,"Apr 4, 2026",$0.94,$0.26,,,Fixed price,https://www.ebay.com/itm/334192392614
2002 US Women's Olympic Hockey Team Trading Cards Pick From List,388400912255,"Apr 4, 2026",$4.56,$1.39,,,Fixed price,https://www.ebay.com/itm/388400912255
B6682- 2002-03 Topps Heritage Hockey Card #s 1-186 -You Pick- 15+ FREE US SHIP,236102298260,"Apr 3, 2026",$0.99,$0.99,,,Fixed price,https://www.ebay.com/itm/236102298260
B5592- 2002 Upper Deck Vintage BB #s 1-200 +Rookies -You Pick- 15+ FREE US SHIP,236362447734,"Apr 3, 2026",$0.70,$0.00,,,Fixed price,https://www.ebay.com/itm/236362447734
A7616- 2002 Topps Chrome Traded Baseball #s 1-200 -You Pick- 15+ FREE US SHIP,236435558645,"Apr 3, 2026",$1.15,$0.00,,,Fixed price,https://www.ebay.com/itm/236435558645
A9560- 2002-03 Topps Hockey Chrome 1-181 +Inserts -You Pick- 15+ FREE US SHIP,335111771035,"Apr 3, 2026",$0.99,$0.30,,,Fixed price,https://www.ebay.com/itm/335111771035
2002 P and D Sacagawea Dollar BU 2 Coins Cellos US Mint Set Native American UNC,312536748558,"Apr 2, 2026",$7.83,$0.00,,,Fixed price,https://www.ebay.com/itm/312536748558
A1839- 2002 Bowman BB Card #s 251-440 +Inserts -You Pick- 15+ FREE US SHIP,234916553552,"Apr 2, 2026",$0.80,$0.00,,,Fixed price,https://www.ebay.com/itm/234916553552
A9990- 2002 Topps Football Cards 201-385 +Inserts -You Pick- 15+ FREE US SHIP,334332690641,"Apr 2, 2026",$0.70,$0.00,,,Fixed price,https://www.ebay.com/itm/334332690641
B0038- 2002-03 Sweet Shot Bk Cards 1-116 +Inserts -You Pick- 15+ FREE US SHIP,234441036176,"Apr 1, 2026",$0.99,$0.35,,,Fixed price,https://www.ebay.com/itm/234441036176
A6681- 2002-03 Stadium Club Bk Cards 1-133 +Inserts -You Pick- 15+ FREE US SHIP,235299997483,"Apr 1, 2026",$0.80,$0.00,,,Fixed price,https://www.ebay.com/itm/235299997483
B0848- 2002 Donruss Fan Club BB #s 1-284 +Inserts -You Pick- 15+ FREE US SHIP,236371979018,"Mar 31, 2026",$0.85,$0.00,,,Fixed price,https://www.ebay.com/itm/236371979018
A9786- 2002 Fleer Focus JE BB Cards 1-250 Inserts -You Pick- 15+ FREE US SHIP,235758837674,"Mar 31, 2026",$0.91,$0.00,,,Fixed price,https://www.ebay.com/itm/235758837674
A7649- 2002 Topps Ten Baseball #s 1-200 +Inserts -You Pick- 15+ FREE US SHIP,335124030799,"Mar 31, 2026",$0.83,$0.33,,,Fixed price,https://www.ebay.com/itm/335124030799
B5147- 2002 SP Authentic Golf Card #s 1-90 -You Pick- 15+ FREE US SHIP,235595614060,"Mar 30, 2026",$0.74,$0.00,,,Fixed price,https://www.ebay.com/itm/235595614060
A6057- 2002 Ultra Gold Medallion BB Cards 1-250 -You Pick- 15+ FREE US SHIP,257115903287,"Mar 30, 2026",$0.84,$0.10,,,Fixed price,https://www.ebay.com/itm/257115903287
B1124- 2002 Upper Deck Golf Card #s 1-130 +Inserts -You Pick- 15+ FREE US SHIP,335538663118,"Mar 30, 2026",$0.74,$0.00,,,Fixed price,https://www.ebay.com/itm/335538663118
A7648- 2002 Topps Archives BB Cards 1-200 +Inserts -You Pick- 15+ FREE US SHIP,257418231146,"Mar 30, 2026",$1.04,$1.09,,,Fixed price,https://www.ebay.com/itm/257418231146
A4505- 2002-03 Upper Deck Victory Hk Card #s 1-220 -You Pick- 15+ FREE US SHIP,336232637059,"Mar 30, 2026",$0.73,$0.10,,,Fixed price,https://www.ebay.com/itm/336232637059,150
A5724- 2002-03 Between the Pipes Hk Card #s 1-150 -You Pick- 15+ FREE US SHIP,335122126278,"Mar 28, 2026",$1.01,$0.39,,,Fixed price,https://www.ebay.com/itm/335122126278
