Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896 S Barber Silver Quarter 25C Old Soap Box Holder ANACS G 06 - Barber Quarter,257312894173,"Mar 10, 2026",$790.44,$1.99,,,Fixed price,https://www.ebay.com/itm/257312894173
,,"Mar 10, 2026",$790.44,$1.99,,,Fixed price,,1
1898-S Barber Quarter CERTIFIED NGC XF 40 Silver 25c,376858796861,"Mar 8, 2026",$255.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376858796861
1896-S Barber Quarter ANACS AG3 Details Key Date 25C,127708337912,"Mar 2, 2026",$325.00,$0.00,,,Auction,https://www.ebay.com/itm/127708337912,1
,,"Mar 2, 2026",$325.00,$0.00,,,Auction,,1
1896-S Barber Quarter 25C Key Date Coin - Certified NGC G4 (Good),235408611558,"Feb 25, 2026",$700.00,$0.00,,,Fixed price,https://www.ebay.com/itm/235408611558,1
,,"Feb 25, 2026",$700.00,$0.00,,,Fixed price,,1
1896-S Barber Quarter 25c PCGS G04 G4,136198583347,"Feb 22, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136198583347,1
,,"Feb 22, 2026",$650.00,$0.00,,,Fixed price,,1
1896-S 25Cent Graded ANACS Good 4 Barber Quarter Coin Rare Investment Piece,277724335413,"Feb 20, 2026",$595.00,$5.99,,,Fixed price,https://www.ebay.com/itm/277724335413,1
,,"Feb 20, 2026",$595.00,$5.99,,,Fixed price,,1
1896-S Barber Quarter PCGS G-06,188006612743,"Feb 18, 2026",$950.00,$5.20,,,Fixed price,https://www.ebay.com/itm/188006612743,1
,,"Feb 18, 2026",$950.00,$5.20,,,Fixed price,,1
,,"Feb 16, 2026",$920.00,$12.95,,,Fixed price,,1
,,"Feb 15, 2026",$699.99,$0.00,,,Fixed price,,1
,,"Feb 5, 2026",$575.98,$0.00,,,Fixed price,,1
,,"Feb 3, 2026",$49.99,$4.99,,,Fixed price,,1
,,"Feb 2, 2026",$15.50,$1.50,,,Fixed price,,1
