Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *4283,127649895907,"Feb 3, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127649895907,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *8803,127653862933,"Feb 5, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127653862933,1
1982 MEXICO 1oz SILVER FIRST YEAR LIBERTAD BRILLIANT UNCIRCULATED QUALITY,127662457829,"Mar 27, 2026",$240.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127662457829,1
1982 MEXICO ONZA 1OZ SILVER LIBERTAD NGC MS65 RED CORE FlRST YEAR,127667814528,"Feb 8, 2026",$161.00,$3.00,,,Fixed price,https://www.ebay.com/itm/127667814528,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *8954,127670380081,"Feb 13, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127670380081,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *6171,127688635243,"Feb 23, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127688635243,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *2613,127697875113,"Feb 28, 2026",$117.45,$0.00,,,Auction,https://www.ebay.com/itm/127697875113,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *4909,127699870081,"Mar 1, 2026",$117.50,$0.00,,,Auction,https://www.ebay.com/itm/127699870081,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *8274,127701404325,"Mar 2, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127701404325,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *7222,127709144565,"Mar 6, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127709144565,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *8091,127709354723,"Mar 6, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127709354723,1
1982 Mo Mexico Silver Libertad - PCGS - MS 67,127712601080,"Mar 13, 2026",$195.00,$6.43,,,Fixed price,https://www.ebay.com/itm/127712601080,1
