Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
B5341- 1998 Metal Universe BB Cards 1-220 +Inserts -You Pick- 15+ FREE US SHIP,335493555488,"Mar 28, 2026",$0.75,$0.00,,,Fixed price,https://www.ebay.com/itm/335493555488
A7629- 1998 Bowman's Best FB Cards 1-125 +Inserts -You Pick- 15+ FREE US SHIP,334502433409,"Apr 2, 2026",$0.86,$0.14,,,Fixed price,https://www.ebay.com/itm/334502433409
A9151- 1998-99 Metal Universe BK #s 1-125 +Inserts -You Pick- 15+ FREE US SHIP,334165112327,"Apr 3, 2026",$1.72,$0.16,,,Fixed price,https://www.ebay.com/itm/334165112327
A7545- 1998-99 O-Pee-Chee Chrome Hk 1-242 +Inserts -You Pick- 15+ FREE US SHIP,335154602970,"Apr 1, 2026",$0.71,$0.18,,,Fixed price,https://www.ebay.com/itm/335154602970
A2778- 1998 Pacific Online BB #s 733-780 +Inserts -You Pick- 15+ FREE US SHIP,236048456488,"Mar 19, 2026",$0.99,$0.18,,,Fixed price,https://www.ebay.com/itm/236048456488
1992-1998 Washington Quarter Silver Proof 7 Coin Set US Mint 50C Coins,147188630492,"Mar 30, 2026",$147.13,$0.00,,,Fixed price,https://www.ebay.com/itm/147188630492
A8696- 1998 Stadium Club BB Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334120454378,"Mar 23, 2026",$0.87,$0.00,,,Fixed price,https://www.ebay.com/itm/334120454378
B2021- 1998-99 SP Authentic Bk Cards 1-90 +Inserts -You Pick- 15+ FREE US SHIP,234732119663,"Mar 31, 2026",$5.32,$0.60,,,Fixed price,https://www.ebay.com/itm/234732119663
1998-S Washington PROOF Quarter 25Cent Coin from US Mint Proof Set Very Nice,315344650078,"Mar 30, 2026",$4.35,$0.75,,,Fixed price,https://www.ebay.com/itm/315344650078
A8696- 1998 Stadium Club BB Cards 251-400 +Inserts -You Pick- 15+ FREE US SHIP,334120463802,"Mar 23, 2026",$0.80,$0.00,,,Fixed price,https://www.ebay.com/itm/334120463802
A1232- 1998 Fleer Tradition BB #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234576849456,"Apr 4, 2026",$0.77,$0.00,,,Fixed price,https://www.ebay.com/itm/234576849456
A9002- 1998 Fleer Brilliants FB #s 1-150 +Inserts -You Pick- 15+ FREE US SHIP,335367294147,"Mar 10, 2026",$1.62,$0.30,,,Fixed price,https://www.ebay.com/itm/335367294147
1998 - P&D Uncirculated US Mint Coin Set in OGP,134768486486,"Mar 23, 2026",$10.25,$0.00,,,Fixed price,https://www.ebay.com/itm/134768486486
1998-S US Mint Proof Set 5 Coin Set OGP Original Government Packaging,145592150678,"Apr 2, 2026",$16.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145592150678
US 1998 SC 3209 Bi-Color Re-Issue of 1898 Trans-Mississippi Expo Set of 11 MNH,168205901982,"Apr 1, 2026",$7.25,$0.00,,,Fixed price,https://www.ebay.com/itm/168205901982
B7409- 1998 Playoff Unsung Heroes Banquet FB Cards -You Pick- 15+ FREE US SHIP,236421305082,"Mar 18, 2026",$1.19,$0.10,,,Fixed price,https://www.ebay.com/itm/236421305082
A4227- 1998 Donruss Signature BB #s 1-140 +Inserts -You Pick- 15+ FREE US SHIP,256824205901,"Mar 15, 2026",$3.38,$0.43,,,Fixed price,https://www.ebay.com/itm/256824205901
B7803- 1998 Playoff Prestige Retail FB Cards 1-200 -You Pick- 15+ FREE US SHIP,257263721817,"Apr 4, 2026",$1.05,$0.60,,,Fixed price,https://www.ebay.com/itm/257263721817
