Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2024 Mexico 1/2 oz Reverse Proof Gold Libertad,116270328585,"Mar 3, 2026","$2,585.27",$49.99,,,Fixed price,https://www.ebay.com/itm/116270328585
2024 1/2 oz Mexican Libertad .999 Gold Coin REVERSE PROOF #A528,146840623992,"Dec 23, 2025","$2,423.00",$0.00,,,Fixed price,https://www.ebay.com/itm/146840623992
2023 Mexico 1/2 oz Proof Gold Libertad,126212329698,"Jan 16, 2026","$2,458.44",$0.00,,,Fixed price,https://www.ebay.com/itm/126212329698
1994 Mexico 1/2 oz Gold Libertad BU,127689819721,"Feb 17, 2026","$3,094.77",$0.00,,,Fixed price,https://www.ebay.com/itm/127689819721
Mexican Gold Libertad Onza 1/2 oz Random Year Impaired,205839207005,"Feb 24, 2026","$2,594.62",$0.00,,,Fixed price,https://www.ebay.com/itm/205839207005
2024 Mexico 1/2 oz Proof Gold Libertad,145918116035,"Apr 3, 2026","$2,514.58",$0.00,,,Fixed price,https://www.ebay.com/itm/145918116035
2024 Gold Mexican Libertad Onza 1/2 oz NGC MS70 ER Mexico Label,177545876195,"Jan 1, 2026","$2,453.83",$0.00,,,Fixed price,https://www.ebay.com/itm/177545876195
2022 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Ultra Low Mintage 500,127725667310,"Mar 9, 2026","$3,273.97",$0.00,,,Fixed price,https://www.ebay.com/itm/127725667310
2019 Mexico 1/2 oz Gold Libertad BU,113877736248,"Nov 22, 2025","$2,315.27",$49.99,,,Fixed price,https://www.ebay.com/itm/113877736248
"2018 Mexico 1/2 oz Onza Proof Gold Libertad Coin – Ultra Low Mintage 1,000",127725494849,"Mar 19, 2026","$2,700.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127725494849
2022 Mexico 1/2 oz Onza Proof Gold Libertad Coin,127725612181,"Mar 30, 2026","$2,860.67",$0.00,,,Fixed price,https://www.ebay.com/itm/127725612181
LIBERTAD – MEXICO – 2018 1/2 OZ REVERSE PROOF GOLD COIN IN CAPSULE,133789257221,"Jan 22, 2026","$3,599.99",$25.00,,,Fixed price,https://www.ebay.com/itm/133789257221
,,"Nov 12, 2025","$3,159.00",$0.00,,,Fixed price,
2024 Mexico 1/2 oz Gold Libertad BU,145918116031,"Jan 30, 2026","$2,813.42",$0.00,,,Fixed price,https://www.ebay.com/itm/145918116031
,,"Nov 19, 2025",$66.75,$0.00,,,Fixed price,
Mexico Gold Coin Libertad 1/2 oz 1/2 Onza - BU - Random Date,376673433344,"Apr 3, 2026","$2,426.12",$0.00,,,Fixed price,https://www.ebay.com/itm/376673433344
1/2 oz Mexican Gold Libertad Coin (Random Year),389724309516,"Apr 8, 2026","$2,675.41",$0.00,,,Fixed price,https://www.ebay.com/itm/389724309516
2024 Mexico Libertad 1/2oz .999 Gold PCGS MS70 First Day of Issue,397087914886,"Jan 11, 2026","$2,515.00",$8.15,,,Fixed price,https://www.ebay.com/itm/397087914886
29mm AIRTITE COIN CAPSULE HOLDER Black Ring Mexican 1/2 oz Gold Libertad,115668598010,"Mar 26, 2026",$1.75,$5.00,,,Fixed price,https://www.ebay.com/itm/115668598010
,,"Oct 26, 2025","$4,800.00",$0.00,,,Fixed price,
1991 Mexico 1/2 oz Gold Libertad BU,117042301250,"Feb 17, 2026","$3,041.44",$0.00,,,Fixed price,https://www.ebay.com/itm/117042301250
,,"Oct 13, 2025","$2,184.99",$0.00,,,Fixed price,
,,"Oct 28, 2025","$2,250.00",$0.00,,,Fixed price,
,,"Oct 29, 2025","$2,300.00",$0.00,,,Fixed price,
,,"Nov 9, 2025","$2,300.00",$0.00,,,Fixed price,
,,"Dec 6, 2025","$3,300.00",$7.20,,,Auction,
2022 Mexico Libertad 1/2 oz Reverse Proof Gold coin - In Capsule,127639404565,"Mar 5, 2026","$3,049.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127639404565
2018 Mexico Libertad 1/2 oz Proof Gold coin - In Capsule,127639405649,"Feb 13, 2026","$2,700.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127639405649
"2016 Mexican Libertad 1/2 oz Gold Proof Coin (w/Capsule) – Low Mintage 2,100",127725482970,"Mar 10, 2026","$2,844.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127725482970
2020 Mexico 1/2 oz Onza Proof Gold Libertad Coin - Ultra Low Mintage 250,127725569102,"Mar 17, 2026","$3,321.00",$0.00,,,Auction,https://www.ebay.com/itm/127725569102
2021 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Low Mintage 500,127725589034,"Mar 10, 2026","$3,419.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127725589034
"2023 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Low Mintage 1,000",127725597680,"Mar 9, 2026","$3,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127725597680
"2018 Mexico 1/2 oz Onza Proof Gold Libertad Coin – Ultra Low Mintage 1,000",127734157011,"Mar 16, 2026","$2,950.00",$0.00,,,Auction,https://www.ebay.com/itm/127734157011
"2018 Mexico 1/2 oz Onza Proof Gold Libertad Coin – Ultra Low Mintage 1,000",127734157349,"Mar 18, 2026","$2,800.00",$0.00,,,Auction,https://www.ebay.com/itm/127734157349
"2018 Mexico 1/2 oz Onza Proof Gold Libertad Coin – Ultra Low Mintage 1,000",127734157909,"Mar 21, 2026","$2,803.00",$0.00,,,Auction,https://www.ebay.com/itm/127734157909
2019 Mexico 1/2 oz Onza Gold Libertad Coin - Ultra Low Mintage 650,127734627096,"Mar 19, 2026","$2,625.00",$0.00,,,Auction,https://www.ebay.com/itm/127734627096
2019 Mexico 1/2 oz Onza Gold Libertad Coin - Ultra Low Mintage 650,127734627449,"Mar 22, 2026","$2,673.00",$0.00,,,Auction,https://www.ebay.com/itm/127734627449
"2019 Mexico Libertad 1/2 oz Gold Proof - Low Mintage 650 - Coin Only, No Capsule",127734631130,"Mar 18, 2026","$2,804.00",$0.00,,,Auction,https://www.ebay.com/itm/127734631130
2020 Mexico 1/2 oz Onza Gold Libertad Coin - Low Mintage 700,127734634732,"Mar 16, 2026","$2,801.00",$0.00,,,Auction,https://www.ebay.com/itm/127734634732
2020 Mexico 1/2 oz Onza Gold Libertad Coin - Low Mintage 700,127734635413,"Mar 18, 2026","$2,650.00",$0.00,,,Auction,https://www.ebay.com/itm/127734635413
2020 Mexico 1/2 oz Onza Gold Libertad Coin - Low Mintage 700,127734635783,"Mar 21, 2026","$2,600.00",$0.00,,,Auction,https://www.ebay.com/itm/127734635783
2021 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Low Mintage 500,127734642986,"Mar 21, 2026","$3,250.00",$0.00,,,Auction,https://www.ebay.com/itm/127734642986
"2023 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Low Mintage 1,000",127734647730,"Mar 16, 2026","$2,900.00",$0.00,,,Auction,https://www.ebay.com/itm/127734647730
"2023 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Low Mintage 1,000",127734648433,"Mar 18, 2026","$3,000.00",$0.00,,,Auction,https://www.ebay.com/itm/127734648433
"2023 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Low Mintage 1,000",127734649018,"Mar 21, 2026","$3,093.00",$0.00,,,Auction,https://www.ebay.com/itm/127734649018
2022 Mexico 1/2 oz Onza Proof Gold Libertad Coin,127734652120,"Mar 16, 2026","$2,877.00",$0.00,,,Auction,https://www.ebay.com/itm/127734652120
2022 Mexico 1/2 oz Onza Proof Gold Libertad Coin,127734652860,"Mar 18, 2026","$2,778.00",$0.00,,,Auction,https://www.ebay.com/itm/127734652860
2022 Mexico 1/2 oz Onza Proof Gold Libertad Coin,127734653201,"Mar 21, 2026","$2,818.00",$0.00,,,Auction,https://www.ebay.com/itm/127734653201
2022 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Ultra Low Mintage 500,127734657326,"Mar 16, 2026","$3,160.00",$0.00,,,Auction,https://www.ebay.com/itm/127734657326
2022 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Ultra Low Mintage 500,127734658124,"Mar 18, 2026","$3,055.00",$0.00,,,Auction,https://www.ebay.com/itm/127734658124
2024 1/2 oz Mexican Libertad .999 Gold Coin REVERSE PROOF #A528,146840623992,"Dec 23, 2025","$2,425.19",$0.00,,,Fixed price,https://www.ebay.com/itm/146840623992,17
,,"Jan 11, 2026","$2,515.00",$8.15,,,Fixed price,,2
2022 Mexico 1/2 oz Onza Reverse Proof Gold Libertad Coin - Ultra Low Mintage 500,127734658909,"Mar 21, 2026","$3,050.00",$0.00,,,Auction,https://www.ebay.com/itm/127734658909,1
"2019 Mexico 1/4 oz Onza Gold Libertad Coin - Low Mintage 1,500",127734661858,"Mar 18, 2026","$1,375.00",$0.00,,,Auction,https://www.ebay.com/itm/127734661858,1
2022 Mexico 1/2 oz Proof Gold Libertad Circulated Coin- In Capsule,127763782555,"Apr 1, 2026","$2,651.00",$0.00,,,Auction,https://www.ebay.com/itm/127763782555,1
2022 Mexico 1/2 oz Proof Gold Libertad Circulated Coin- In Capsule,127763783419,"Apr 2, 2026","$2,800.00",$0.00,,,Auction,https://www.ebay.com/itm/127763783419,1
2022 Mexico 1/2 oz Proof Gold Libertad Circulated Coin- In Capsule,127763783698,"Apr 3, 2026","$2,808.00",$0.00,,,Auction,https://www.ebay.com/itm/127763783698,1
"2018 Mexico 1/2 oz Proof Gold Libertad Circulated Coin -Ultra Low Mintage 1,000",127763790778,"Apr 1, 2026","$2,701.00",$0.00,,,Auction,https://www.ebay.com/itm/127763790778,1
"2018 Mexico 1/2 oz Proof Gold Libertad Circulated Coin -Ultra Low Mintage 1,000",127763794205,"Apr 2, 2026","$2,656.00",$0.00,,,Auction,https://www.ebay.com/itm/127763794205,1
"2018 Mexico 1/2 oz Proof Gold Libertad Circulated Coin -Ultra Low Mintage 1,000",127763794498,"Apr 3, 2026","$2,838.99",$0.00,,,Auction,https://www.ebay.com/itm/127763794498,1
2022 Mexico 1/2 oz Reverse Proof Gold Libertad Circulated Coin-Ultra Low Mint,127763801085,"Apr 1, 2026","$3,012.00",$0.00,,,Auction,https://www.ebay.com/itm/127763801085,1
2022 Mexico 1/2 oz Reverse Proof Gold Libertad Circulated Coin-Ultra Low Mint,127763801807,"Apr 2, 2026","$3,142.00",$0.00,,,Auction,https://www.ebay.com/itm/127763801807,1
2022 Mexico 1/2 oz Reverse Proof Gold Libertad Circulated Coin-Ultra Low Mint,127763802173,"Apr 3, 2026","$2,950.00",$0.00,,,Auction,https://www.ebay.com/itm/127763802173,1
2019 Mexico 1/2 oz Gold Libertad Circulated Proof Coin - Ultra Low Mintage 650,127763827859,"Apr 2, 2026","$2,800.00",$0.00,,,Auction,https://www.ebay.com/itm/127763827859,1
2019 Mexico 1/2 oz Gold Libertad Circulated Proof Coin - Ultra Low Mintage 650,127763828215,"Apr 3, 2026","$2,800.00",$0.00,,,Auction,https://www.ebay.com/itm/127763828215,1
"2023 Mexico 1/2 oz Reverse Proof Gold Libertad Circulate Coin- Low Mintage 1,000",127763853254,"Apr 1, 2026","$2,900.00",$0.00,,,Auction,https://www.ebay.com/itm/127763853254,1
"2023 Mexico 1/2 oz Reverse Proof Gold Libertad Circulate Coin- Low Mintage 1,000",127763854206,"Apr 2, 2026","$2,838.88",$0.00,,,Auction,https://www.ebay.com/itm/127763854206,1
,,"Nov 16, 2025","$2,800.00",$12.10,,,Fixed price,,1
Mexico 2024 1/2-oz Gold Libertad Onza NGC MS70 ER Mexico Label,146938656906,"Dec 15, 2025","$2,443.10",$0.00,,,Fixed price,https://www.ebay.com/itm/146938656906,2
,,"Nov 23, 2025","$2,400.00",$0.00,,,Auction,,1
2024 Mexico 1/2 oz Reverse Proof Gold Libertad,147137084984,"Feb 15, 2026","$2,900.00",$0.00,,,Auction,https://www.ebay.com/itm/147137084984,1
2024 MEXICO 1/2 ONZA GOLD LIBERTAD NGC REVERSE PF 70 FIRST RELEASES RARE 1/2 OZ,156415194159,"Feb 18, 2026","$3,449.95",$0.00,,,Fixed price,https://www.ebay.com/itm/156415194159,1
,,"Dec 4, 2025","$2,874.95",$0.00,,,Fixed price,,1
,,"Jan 6, 2026","$4,250.00",$15.35,,,Fixed price,,1
,,"Nov 24, 2025","$2,060.00",$0.00,,,Fixed price,,1
2017 Mexico 1/2 oz Proof Gold Libertad PR-70 NGC Ultra Cameo! Wow,157475496546,"Jan 17, 2026","$2,850.00",$11.30,,,Fixed price,https://www.ebay.com/itm/157475496546,1
2024 Gold Mexican Libertad Onza 1/2 oz NGC MS70 ER Mexico Label BU! Green,157511195557,"Feb 25, 2026","$3,050.00",$12.10,,,Fixed price,https://www.ebay.com/itm/157511195557,1
2010 1/2 oz Libertad NGC Proof 69 Ultra Cameo 600 Minted 53 Total Pf69 UC Rare,157517193761,"Feb 4, 2026","$3,500.00",$5.20,,,Fixed price,https://www.ebay.com/itm/157517193761,1
1981 MEXICO 1/2 ONZA GOLD LIBERTAD NGC MS 64 RARE BEAUTIFUL BU 1/2 OZ COIN,157541104310,"Feb 4, 2026","$3,124.95",$0.00,,,Fixed price,https://www.ebay.com/itm/157541104310,1
2011 MEXICO GOLD LIBERTAD 1/2 ONZA NGC MS 69 RARE 1500 MINTED GEM 1/2 OZ,157612501689,"Mar 2, 2026","$3,349.95",$0.00,,,Fixed price,https://www.ebay.com/itm/157612501689,1
Mexico 1981 Mo 1/2 Oz Onza Gold Libertad GEM Uncirculated Coin PQ Amazing Coin,157636934667,"Feb 7, 2026","$3,200.00",$11.00,,,Fixed price,https://www.ebay.com/itm/157636934667,1
,,"Oct 16, 2025","$2,824.95",$0.00,,,Fixed price,,1
2019 MEXICO GOLD LIBERTAD 1/2 ONZA NGC MS 70 FIRST RELEASES RARE PERFECT 1/2 OZ,167742598312,"Feb 13, 2026","$3,349.95",$0.00,,,Fixed price,https://www.ebay.com/itm/167742598312,1
2019 1/10 N 1/2 Oz GOLD MEXICAN LIBERTAD PCGS PR70DCAM First Strike Coin.,168144073565,"Feb 7, 2026","$4,655.90",$0.00,,,Fixed price,https://www.ebay.com/itm/168144073565,1
2024 Gold Mexican Libertad Onza 1/2 oz Brilliant Uncirculated,177567611443,"Nov 17, 2025","$2,221.67",$0.00,,,Fixed price,https://www.ebay.com/itm/177567611443,1
,,"Oct 18, 2025","$2,570.00",$0.00,,,Fixed price,,1
,,"Nov 5, 2025","$2,202.00",$4.29,,,Auction,,1
Mexico 1981 Mo 1/2 Oz Onza Gold Libertad GEM Uncirculated Coin,188238854596,"Apr 10, 2026","$2,950.00",$7.45,,,Auction,https://www.ebay.com/itm/188238854596,1
,,"Dec 14, 2025","$2,300.00",$0.00,,,Fixed price,,1
2018 Mo Mexican Libertad 1/2 Onza PROOF 1/2 oz Gold Mexico Coin Perfect PF70 NGC,198100329430,"Feb 22, 2026","$3,400.00",$30.00,,,Auction,https://www.ebay.com/itm/198100329430,1
,,"Nov 13, 2025",$70.00,$0.00,,,Fixed price,,1
1/2 oz gold Mexico 2016 Libertad,267565298463,"Feb 7, 2026","$2,650.00",$0.00,,,Auction,https://www.ebay.com/itm/267565298463,1
1981 MO GOLD MEXICO 1/2 ONZA OZ WINGED LIBERTAD COIN NGC MINT STATE 66 MS66,277659806311,"Jan 22, 2026","$3,189.00",$8.00,,,Fixed price,https://www.ebay.com/itm/277659806311,1
1981 MO GOLD MEXICO 1/2 ONZA OZ WINGED LIBERTAD COIN NGC MINT STATE 68 MS68 !!!,277659847153,"Mar 7, 2026","$4,399.00",$8.00,,,Fixed price,https://www.ebay.com/itm/277659847153,1
,,"Dec 1, 2025","$4,995.00",$0.00,,,Fixed price,,1
2016 MEXICO 1/2 oz. GOLD LIBERTAD PROOF NGC PF70,298144687766,"Mar 20, 2026","$2,985.00",$0.00,,,Fixed price,https://www.ebay.com/itm/298144687766,1
,,"Dec 12, 2025","$2,495.00",$0.00,,,Fixed price,,1
,,"Dec 19, 2025","$4,995.00",$0.00,,,Fixed price,,1
2024 MEXICO 1/2 oz. GOLD LIBERTAD REVERSE PROOF NGC PF70,306833675763,"Mar 23, 2026","$2,975.00",$0.00,,,Fixed price,https://www.ebay.com/itm/306833675763,1
