Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Morgan Dollar 1896 S $1 Silver Coin Circulated Uncertified,397693671282,"Apr 29, 2026",$85.00,$5.62,,,Fixed price,https://www.ebay.com/itm/397693671282,1
1896-S VF+ Morgan Silver Dollar,276527158610,"Apr 28, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/276527158610,1
04/0000028 L#886 1896 S Morgan Silver Dollar Coin (cjr),389949723984,"Apr 28, 2026",$230.00,$0.00,,,Auction,https://www.ebay.com/itm/389949723984,1
1896-S Morgan Silver Dollar $1 - San Francisco,135934658030,"Apr 28, 2026",$137.75,$6.00,,,Fixed price,https://www.ebay.com/itm/135934658030,1
"1896-S VF-XF Morgan Silver Dollar, 90% Silver, SCARCE DATE!",236770590284,"Apr 28, 2026",$100.99,$0.00,,,Auction,https://www.ebay.com/itm/236770590284,1
G/VG 1896-S Morgan Silver Dollar (1 coin) *5329,127822599042,"Apr 28, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127822599042,1
1896-S Morgan SILVER Dollar,178071576941,"Apr 28, 2026",$60.80,$5.48,,,Fixed price,https://www.ebay.com/itm/178071576941,1
1896-S Morgan Silver Dollar PCGS VF25 Gold Shield Label - T371,267640609797,"Apr 28, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267640609797,1
1884 S 1896-S Morgan Dollar Set Nice Eye Appeal low mintage,366374732870,"Apr 28, 2026",$219.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366374732870,1
"1896-S Key Date PCGS MS63 OGH Morgan Silver Dollar, Very Nice, Under Graded!",168336499546,"Apr 27, 2026","$4,400.00",$50.00,,,Fixed price,https://www.ebay.com/itm/168336499546,1
"1896-S Morgan Silver Dollar Coin, Choice AU Tough Better Date++",318110986941,"Apr 26, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318110986941,1
1896 Morgan Silver Dollar NGC MS63 S$1 Philadelphia Mint No Reserve,377118448911,"Apr 26, 2026",$84.00,$0.00,,,Auction,https://www.ebay.com/itm/377118448911,1
1896-S MORGAN SILVER DOLLAR~FINE ~NICE COIN~,397847345685,"Apr 26, 2026",$73.15,$5.75,,,Auction,https://www.ebay.com/itm/397847345685,1
1896-O Morgan Silver Dollar $1 - XF Condition- Nice Coin From the 1800's,127655231151,"Apr 26, 2026",$78.00,$3.95,,,Fixed price,https://www.ebay.com/itm/127655231151,1
1896-S $1 Morgan Silver Dollar - Better Date,267639424459,"Apr 26, 2026",$84.00,$1.00,,,Auction,https://www.ebay.com/itm/267639424459,1
1896 Morgan Silver Dollar NGC MS63 S$1 Philadelphia Mint No Reserve,377120966551,"Apr 26, 2026",$88.00,$3.50,,,Auction,https://www.ebay.com/itm/377120966551,1
Lot (5) CAC MS63 Morgan Silver Dollars 1880 S 1882 S 1885 1896 Uncirculated $1,358451715160,"Apr 26, 2026",$432.00,$7.41,,,Auction,https://www.ebay.com/itm/358451715160,1
1896-S San Francisco Morgan Silver Dollar Very Fine Details,168319178470,"Apr 26, 2026",$129.99,$4.79,,,Auction,https://www.ebay.com/itm/168319178470,1
1896-S MORGAN SILVER DOLLAR - KEY DATE - TONED BEAUTY,188274443768,"Apr 26, 2026",$46.88,$7.00,,,Auction,https://www.ebay.com/itm/188274443768,1
1896 S Morgan Silver Dollar $1 - Cleaned,257468285074,"Apr 26, 2026",$120.00,$1.99,,,Auction,https://www.ebay.com/itm/257468285074,1
[Removed] Item 406866275396,406866275396,"Apr 22, 2026",$33.33,$6.00,,,Fixed price,,3
1896-S San Francisco Mint Silver Morgan Dollar Key Date Fine A-471,117111385539,"Apr 22, 2026",$90.00,$8.10,,,Fixed price,https://www.ebay.com/itm/117111385539,1
1896 S MORGAN SILVER DOLLAR F+ DETAILS SAN FRANCISCO MINT COIN,127667404849,"Apr 22, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127667404849,1
1896-S Morgan Dollar Silver $1 ANACS VF35 Details Tougher Date,157822301127,"Apr 16, 2026",$160.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157822301127,1
04/00000016 L#2736 1896 Morgan Silver Dollar Coin,157833927017,"Apr 16, 2026",$222.00,$0.00,,,Auction,https://www.ebay.com/itm/157833927017,1
[Removed] Item 178005385781,178005385781,"Apr 15, 2026",$30.28,$0.00,,,Fixed price,,14
1896 S Morgan Silver Dollar,147246546524,"Apr 14, 2026",$59.00,$6.49,,,Auction,https://www.ebay.com/itm/147246546524,1
1896 S Morgan Silver Dollar,147246547700,"Apr 14, 2026",$74.00,$6.49,,,Auction,https://www.ebay.com/itm/147246547700,1
1896 S Morgan Silver Dollar,147250217501,"Apr 14, 2026",$53.00,$6.49,,,Auction,https://www.ebay.com/itm/147250217501,1
1896 1880 Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *403,127799704133,"Apr 13, 2026",$104.50,$0.00,,,Auction,https://www.ebay.com/itm/127799704133,1
"Lot of 3 Morgan 90% Silver Dollars - 1896, 1921, 1921 - S, Free Shipping",147257297434,"Apr 13, 2026",$174.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147257297434,1
"1896-S Morgan Silver Dollar, Key Date",147246623899,"Apr 12, 2026",$56.76,$0.00,,,Auction,https://www.ebay.com/itm/147246623899,1
"1896 s morgan dollar, circ",117129281338,"Apr 10, 2026",$80.00,$4.78,,,Auction,https://www.ebay.com/itm/117129281338,1
"1896-S Morgan Silver Dollar, Semi- Key Date, San Francisco Mint,#4936",137191541711,"Apr 9, 2026",$235.00,$5.07,,,Fixed price,https://www.ebay.com/itm/137191541711,1
1896 S Morgan Silver Dollar,147239522673,"Apr 8, 2026",$53.06,$6.49,,,Auction,https://www.ebay.com/itm/147239522673,1
1896 S Morgan Silver Dollar,147235345764,"Apr 6, 2026",$60.00,$7.49,,,Auction,https://www.ebay.com/itm/147235345764,1
"1883 S, 1896 O, and 1900 S $1 Morgan Silver Dollars in Capsules",137172259310,"Apr 5, 2026",$175.50,$0.00,,,Auction,https://www.ebay.com/itm/137172259310,1
1896-S Morgan Silver Dollar $1 - San Francisco,168267741751,"Apr 3, 2026",$75.00,$5.00,,,Auction,https://www.ebay.com/itm/168267741751
1896-S Morgan Silver Dollar,117114778889,"Apr 2, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117114778889
1896-S MORGAN SILVER DOLLAR XF TOUGH DATE SAN FRANCISCO MINT,157796655463,"Apr 2, 2026",$200.00,$7.16,,,Fixed price,https://www.ebay.com/itm/157796655463
1896 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157784299814,"Apr 1, 2026",$95.52,$3.50,,,Auction,https://www.ebay.com/itm/157784299814
1896 S Morgan Silver Dollar San Francisco,177831780880,"Apr 1, 2026",$95.00,$5.07,,,Fixed price,https://www.ebay.com/itm/177831780880
1896-S Morgan Silver Dollar. San Francisco Lot#119,126910957152,"Apr 1, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126910957152,1
Lot of 6 Circulated Morgan Silver Dollars - 1896 O - 1921 S,157783632605,"Apr 1, 2026",$302.00,$7.86,,,Auction,https://www.ebay.com/itm/157783632605,1
,,"Apr 1, 2026",$95.00,$0.00,,,Fixed price,,1
1896 S Morgan Silver Dollar,147223218504,"Mar 30, 2026",$51.10,$6.49,,,Auction,https://www.ebay.com/itm/147223218504
1896-S $1 PCGS AU50 Morgan Silver Dollar 50917572,188176203760,"Mar 30, 2026","$1,499.95",$0.00,,,Fixed price,https://www.ebay.com/itm/188176203760
1896 S US Morgan Silver Dollar $1 AG/G,188196135443,"Mar 29, 2026",$53.00,$4.99,,,Auction,https://www.ebay.com/itm/188196135443
1896 S MORGAN Silver Dollar PCGS VF Detail Cleaned San Francisco Coin 7244 Wow,147207493696,"Mar 29, 2026",$144.50,$0.00,,,Auction,https://www.ebay.com/itm/147207493696,1
1896 S Morgan Silver Dollar $1 NGC VF30 Circulated Genuine,157767953395,"Mar 28, 2026",$210.00,$5.96,,,Fixed price,https://www.ebay.com/itm/157767953395
1896 S Morgan Silver Dollar PCGS VF20 Nice Original GOLD SHIELD,177984401845,"Mar 28, 2026",$190.00,$10.00,,,Fixed price,https://www.ebay.com/itm/177984401845
1896-S $1 MORGAN SILVER ONE DOLLAR,117101925751,"Mar 27, 2026",$82.56,$5.50,,,Auction,https://www.ebay.com/itm/117101925751
1896-S Morgan Silver Dollar. Note Rim Dings so begin bid at $5 Less days Melt.,188187662942,"Mar 27, 2026",$59.95,$5.21,,,Auction,https://www.ebay.com/itm/188187662942
,,"Mar 27, 2026",$82.56,$5.50,,,Auction,,1
1896 S Morgan Dollar,127749188824,"Mar 25, 2026",$125.00,$5.07,,,Fixed price,https://www.ebay.com/itm/127749188824
1896 S Morgan Silver Dollar,147212851765,"Mar 24, 2026",$48.00,$6.49,,,Auction,https://www.ebay.com/itm/147212851765
"1896-S US Morgan Silver Dollar, .900 Silver, XF Details, YOU GRADE",127708711654,"Mar 22, 2026",$299.95,$10.49,,,Fixed price,https://www.ebay.com/itm/127708711654
1896-S Morgan Silver Dollar PCGS VF30,157763071723,"Mar 22, 2026",$240.00,$5.77,,,Fixed price,https://www.ebay.com/itm/157763071723
03/00000022 L#4838 1896 S Morgan Silver Dollar Coin,157774676423,"Mar 22, 2026",$302.00,$0.00,,,Auction,https://www.ebay.com/itm/157774676423
1896-S MORGAN SILVER DOLLAR XF TOUGH DATE SAN FRANCISCO MINT,157775110383,"Mar 22, 2026",$200.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157775110383
1896-S Morgan Dollar Nice! #DOF10,146814801117,"Mar 18, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146814801117
1896-S Morgan Silver Dollar- Better Date,198176038614,"Mar 18, 2026",$85.00,$5.39,,,Auction,https://www.ebay.com/itm/198176038614
1896-S $1 Morgan Silver Dollar VF / XF Details Cleaned Nice Coin See Pics 7866,117082537320,"Mar 18, 2026",$95.00,$5.00,,,Auction,https://www.ebay.com/itm/117082537320,1
,,"Mar 18, 2026",$95.00,$5.00,,,Auction,,1
1896-S MORGAN SILVER DOLLAR NGC XF40 01EAD26,137107619434,"Mar 17, 2026",$525.00,$16.99,,,Fixed price,https://www.ebay.com/itm/137107619434
1896 s - MORGAN SILVER DOLLAR,127746570450,"Mar 15, 2026",$130.00,$5.29,,,Auction,https://www.ebay.com/itm/127746570450
1879-S Reverse of 1878 Morgan Dollar : NGC AU53,157736336960,"Mar 15, 2026",$249.99,$8.95,,,Auction,https://www.ebay.com/itm/157736336960
