Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 16, 2025",$141.00,$9.89,,,Fixed price,,1
,,"Nov 11, 2025",$39.00,$0.00,,,Auction,,1
,,"Nov 9, 2025",$39.11,$0.00,,,Auction,,1
,,"Nov 9, 2025",$40.07,$0.00,,,Auction,,1
,,"Nov 12, 2025",$39.88,$0.00,,,Auction,,1
,,"Nov 12, 2025",$47.95,$0.00,,,Auction,,1
,,"Nov 11, 2025",$44.00,$0.00,,,Auction,,1
,,"Nov 12, 2025",$40.02,$0.00,,,Auction,,1
,,"Nov 14, 2025",$47.95,$0.00,,,Auction,,1
,,"Nov 15, 2025",$27.00,$4.95,,,Auction,,1
,,"Nov 14, 2025",$38.04,$0.00,,,Auction,,1
,,"Nov 18, 2025",$37.09,$0.00,,,Auction,,1
,,"Nov 21, 2025",$41.00,$0.00,,,Auction,,1
,,"Nov 24, 2025",$44.05,$0.00,,,Auction,,1
,,"Nov 24, 2025",$40.40,$0.00,,,Auction,,1
,,"Nov 24, 2025",$41.00,$0.00,,,Auction,,1
,,"Nov 26, 2025",$46.00,$0.00,,,Auction,,1
,,"Dec 1, 2025",$43.66,$0.00,,,Auction,,1
,,"Dec 3, 2025",$47.95,$0.00,,,Auction,,1
,,"Dec 4, 2025",$47.95,$0.00,,,Auction,,1
,,"Dec 2, 2025",$39.59,$0.00,,,Auction,,1
,,"Dec 4, 2025",$44.95,$5.95,,,Fixed price,,1
,,"Dec 4, 2025",$48.00,$0.00,,,Auction,,1
,,"Dec 7, 2025",$50.99,$0.00,,,Auction,,1
,,"Dec 12, 2025",$60.00,$5.00,,,Fixed price,,1
,,"Dec 1, 2025",$180.00,$5.55,,,Fixed price,,1
,,"Dec 3, 2025",$85.50,$5.25,,,Fixed price,,1
,,"Dec 19, 2025",$45.00,$5.15,,,Fixed price,,1
,,"Dec 10, 2025",$48.49,$0.00,,,Auction,,1
1890-O & 1891-O $1 Morgan Silver Dollar New Orleans 2-Coin Set - PCGS F15 CC943,127542972122,"Jan 25, 2026",$220.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127542972122,1
,,"Dec 4, 2025",$34.00,$5.15,,,Fixed price,,1
,,"Dec 9, 2025",$51.00,$0.00,,,Auction,,1
,,"Dec 9, 2025",$57.00,$0.00,,,Auction,,1
,,"Dec 12, 2025",$47.49,$0.00,,,Auction,,1
,,"Dec 13, 2025",$34.00,$4.76,,,Auction,,1
,,"Dec 11, 2025",$51.51,$0.00,,,Auction,,1
,,"Dec 12, 2025",$49.00,$0.00,,,Auction,,1
,,"Dec 13, 2025",$194.50,$5.95,,,Auction,,1
,,"Dec 18, 2025",$56.95,$0.00,,,Auction,,1
,,"Dec 16, 2025",$46.00,$0.00,,,Auction,,1
,,"Dec 19, 2025",$47.95,$0.00,,,Auction,,1
,,"Dec 18, 2025",$54.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$52.00,$0.00,,,Auction,,1
,,"Dec 19, 2025",$56.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$49.00,$0.00,,,Auction,,1
