Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Apr 3, 2026",$177.50,$5.20,,,Auction,,1
"1919-D Standing Liberty Quarter Extremely Fine XF Coin, Tiny Scratch #38090",397790340830,"Apr 2, 2026",$499.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397790340830
"1919-D Standing Liberty Quarter Denver, Highly Collectible, Scarce Nice Key Date",168273321003,"Apr 1, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/168273321003
"1919-D Standing Liberty Quarter, Hard To Find Key Date, Choice VF++",389801214219,"Apr 1, 2026",$29.75,$2.99,,,Fixed price,https://www.ebay.com/itm/389801214219
1919-D Standing Li-berty Quarter 25C Coin - Certified Detail (EF) - Rare!,306838224902,"Apr 1, 2026",$24.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306838224902
1919-D Standing Liberty Quarter 25c VF Very Fine Key Date Coin,327077141644,"Apr 1, 2026",$399.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327077141644
,,"Apr 1, 2026",$29.95,$0.00,,,Fixed price,,2
,,"Apr 1, 2026",$29.75,$2.99,,,Fixed price,,2
NGC XF45 1919 D STANDING LIBERTY QUARTER VERY TOUGH DATE GREAT EYE APPEAL,267381617374,"Mar 31, 2026",$975.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267381617374
1919 D Standing Liberty Quarter ANACS Grade AG 3,177964668724,"Mar 30, 2026",$60.00,$5.07,,,Auction,https://www.ebay.com/itm/177964668724
,,"Mar 30, 2026",$60.00,$5.07,,,Auction,,1
"1919 D Silver Standing Liberty Quarter, Denver, Good/VG Details",327072380536,"Mar 29, 2026",$301.99,$4.79,,,Fixed price,https://www.ebay.com/itm/327072380536
1919-D Standing Liberty Quarter 25C 90% Silver NICE TONING/DETAILS SEMI-KEY DATE,206147362474,"Mar 28, 2026",$485.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206147362474
,,"Mar 28, 2026",$24.99,$0.00,,,Fixed price,
1919 D Standing Liberty Quarter - 90% Silver 25C US Coin - KEY DATE Better Grade,389785057207,"Mar 27, 2026",$259.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389785057207
"1919 D Silver Standing Liberty Quarter, Denver, About Good Details",327034165698,"Mar 26, 2026",$299.99,$4.79,,,Fixed price,https://www.ebay.com/itm/327034165698
"1919-D Standing Liberty Quarter, Hard To Find Key Date, Choice VF++",389778360533,"Mar 25, 2026",$27.00,$2.99,,,Fixed price,https://www.ebay.com/itm/389778360533
,,"Mar 25, 2026",$27.00,$2.99,,,Fixed price,,2
"1919-D Standing Liberty Quarter, Hard To Find Key Date, Choice VF++",168229313766,"Mar 23, 2026",$29.96,$2.99,,,Fixed price,https://www.ebay.com/itm/168229313766
"1919-D Standing Liberty Quarter, Very Good+, Better Date 0312-08",147220007038,"Mar 23, 2026",$217.00,$8.95,,,Fixed price,https://www.ebay.com/itm/147220007038
,,"Mar 23, 2026",$29.96,$2.99,,,Fixed price,,8
,,"Mar 23, 2026",$217.00,$8.95,,,Fixed price,,1
--1919 D Standing Liberty Quarter High relief version As shown in the figure--,358329334355,"Mar 22, 2026",$21.37,$0.00,,,Fixed price,https://www.ebay.com/itm/358329334355,4
,,"Mar 22, 2026",$21.37,$0.00,,,Fixed price,,4
1919-D Standing Liberty Quarter 25c Coin,317993261398,"Mar 21, 2026",$260.99,$5.29,,,Auction,https://www.ebay.com/itm/317993261398
1919-D Standing Liberty Quarter Very Fine VF Coin #36077,397676987258,"Mar 20, 2026",$379.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397676987258
1919 D STANDING LIBERTY QUARTER VF DETAILS,198179203102,"Mar 19, 2026",$431.71,$5.17,,,Auction,https://www.ebay.com/itm/198179203102
1919-D Standing Liberty Quarter Obverse Cut 6807,236694552398,"Mar 17, 2026",$130.00,$6.00,,,Fixed price,https://www.ebay.com/itm/236694552398
1919-D STANDING LIBERTY QUARTER PCGS VF35 KEY DATE,157431835619,"Mar 16, 2026",$625.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157431835619
,,"Mar 16, 2026",$625.00,$0.00,,,Fixed price,,1
1919-D Standing Liberty Quarter Denver US Mint American Coin Excellent Condition,358184592131,"Mar 13, 2026",$27.95,$2.99,,,Fixed price,https://www.ebay.com/itm/358184592131
1919-D Standing Liberty Quarter,267603303890,"Mar 13, 2026",$350.00,$10.00,,,Fixed price,https://www.ebay.com/itm/267603303890
,,"Mar 13, 2026",$27.95,$2.99,,,Fixed price,,2
"1919 D Silver Standing Liberty Quarter, Denver, Good/VG Details",206121483351,"Mar 12, 2026",$248.99,$8.99,,,Fixed price,https://www.ebay.com/itm/206121483351
1919-D Standing Liberty Quarter - Key Date / 90% Silver Coin,227249457130,"Mar 12, 2026",$30.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227249457130
,,"Mar 12, 2026",$248.99,$8.99,,,Fixed price,,1
1919-D Standing Liberty Quarter - Key Date / 90% Silver Coin / Beautiful! - NR!,137101770515,"Mar 11, 2026",$406.00,$1.00,,,Auction,https://www.ebay.com/itm/137101770515
"1919 D 25C Standing Liberty Quarter NGC Very Fine, Low Mintage Key Date",277692374072,"Mar 11, 2026",$505.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277692374072
,,"Mar 11, 2026",$406.00,$1.00,,,Auction,,1
Fine+/Very Fine 1919 D Denver Standing liberty silver 25C quarter Free Shipping,188117959268,"Mar 10, 2026",$275.50,$0.00,,,Fixed price,https://www.ebay.com/itm/188117959268
1919 D Standing Liberty Quarter VF/XF Key Date,157672441215,"Mar 9, 2026",$525.00,$7.55,,,Fixed price,https://www.ebay.com/itm/157672441215
1919-D Standing Liberty Quarter F Key Date,157731819607,"Mar 9, 2026",$250.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157731819607
"Very good--1919-D Standing Liberty Quarter, Avidly Pursued Choice",177924073081,"Mar 9, 2026",$27.69,$0.00,,,Fixed price,https://www.ebay.com/itm/177924073081
,,"Mar 9, 2026",$525.00,$7.55,,,Fixed price,,1
,,"Mar 9, 2026",$250.00,$8.75,,,Fixed price,,1
,,"Mar 9, 2026",$27.69,$0.00,,,Fixed price,,1
1919-D Standing Liberty Quarter Fine details badly damaged,188117863705,"Mar 4, 2026",$104.50,$0.00,,,Auction,https://www.ebay.com/itm/188117863705,1
1919-D Standing Liberty Quarter Denver US Mint American Coin Excellent Condition,389684566072,"Mar 3, 2026",$27.00,$2.99,,,Fixed price,https://www.ebay.com/itm/389684566072,3
,,"Mar 3, 2026",$27.00,$2.99,,,Fixed price,,3
"Very good--1919-D Standing Liberty Quarter, Avidly Pursued Choice",177904034157,"Feb 28, 2026",$27.69,$0.00,,,Fixed price,https://www.ebay.com/itm/177904034157,1
,,"Feb 25, 2026",$23.66,$5.99,,,Fixed price,,6
,,"Feb 17, 2026",$29.68,$0.00,,,Fixed price,,7
,,"Feb 14, 2026",$385.00,$0.00,,,Fixed price,,1
,,"Jan 30, 2026",$575.00,$8.10,,,Fixed price,,1
,,"Jan 29, 2026",$29.88,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$29.99,$4.99,,,Fixed price,,16
,,"Jan 25, 2026",$150.00,$5.20,,,Fixed price,,1
,,"Jan 23, 2026",$250.00,$5.00,,,Fixed price,,1
,,"Jan 22, 2026",$800.00,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$37.00,$5.89,,,Fixed price,,1
,,"Jan 11, 2026",$470.00,$4.99,,,Auction,,1
,,"Dec 27, 2025",$99.99,$0.00,,,Fixed price,,1
,,"Dec 25, 2025",$431.99,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$257.62,$0.00,,,Auction,,1
,,"Dec 21, 2025",$250.50,$8.32,,,Auction,,1
,,"Dec 13, 2025",$350.00,$0.00,,,Fixed price,,1
,,"Dec 7, 2025",$175.00,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$29.99,$0.00,,,Fixed price,,1
,,"Nov 28, 2025",$275.00,$5.20,,,Fixed price,,1
