Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1890 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin Collectible,366322525124,"Jul 9, 2026",$88.88,$0.00,,,Fixed price,https://www.ebay.com/itm/366322525124,9
1890-O Morgan Silver Dollar,117286739648,"Jul 7, 2026",$55.00,$2.00,,,Auction,https://www.ebay.com/itm/117286739648,1
1890 O MORGAN SILVER DOLLAR COIN ALMOST UNCIRCULATED BEAUTY!,117270892024,"Jul 3, 2026",$64.00,$0.00,,,Auction,https://www.ebay.com/itm/117270892024,1
1890 O Morgan Silver Dollar,117270643444,"Jun 28, 2026",$55.00,$0.00,,,Auction,https://www.ebay.com/itm/117270643444,1
1890-O $1 Morgan Silver Dollar,117252592549,"Jun 23, 2026",$50.00,$2.00,,,Auction,https://www.ebay.com/itm/117252592549,1
Morgan 1890-O Silver Dollar New Orleans Mint Circulated Business Strike $1 Coin,117258542534,"Jun 23, 2026",$43.01,$6.99,,,Fixed price,https://www.ebay.com/itm/117258542534,1
1890-O Morgan Silver Dollar - New Orleans Mint - AU/BU- 90% Silver - Original,117207797689,"May 28, 2026",$52.00,$5.17,,,Auction,https://www.ebay.com/itm/117207797689,1
1890-O Morgan Silver Dollar *SHINY* Free Shipping,117200704677,"May 25, 2026",$61.75,$0.00,,,Fixed price,https://www.ebay.com/itm/117200704677,1
1890 O Morgan Silver Dollar ~ UNC HIGH GRADE ~ 90% Silver $1,117186057731,"May 15, 2026",$97.00,$2.07,,,Auction,https://www.ebay.com/itm/117186057731,1
ROLL 1890-O MORGAN SILVER DOLLARS.. CH/GEM BU (2 ROLLS AVAILABLE),198302492434,"May 14, 2026","$1,925.00",$9.95,,,Fixed price,https://www.ebay.com/itm/198302492434,2
MORGAN SILVER DOLLAR 1890 O BETTER DATE NICE AU/BU 90% SILVER DOLLAR,117172115582,"May 12, 2026",$76.86,$6.95,,,Auction,https://www.ebay.com/itm/117172115582,1
MORGAN SILVER DOLLAR 1890 O BETTER DATE 90% SILVER DOLLAR,117164889691,"May 4, 2026",$54.00,$6.95,,,Auction,https://www.ebay.com/itm/117164889691,1
1890 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,366322524602,"May 3, 2026",$87.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322524602,6
1890-O $1 Morgan Silver Dollar,116989598983,"Apr 23, 2026",$55.00,$6.50,,,Fixed price,https://www.ebay.com/itm/116989598983,1
1890-O Morgan Dollar $1 Silver US Coin New Orleans Mint VF 90% Silver,117150149468,"Apr 22, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117150149468,1
ROLL 1890-O MORGAN SILVER DOLLARS.. CH/GEM BU (3 ROLLS AVAILABLE),206196025708,"Apr 21, 2026","$1,925.00",$9.95,,,Fixed price,https://www.ebay.com/itm/206196025708,2
1890-O Morgan Head Silver Dollar,117134185247,"Apr 16, 2026",$61.00,$4.95,,,Auction,https://www.ebay.com/itm/117134185247,1
MORGAN SILVER DOLLARS LOT OF 2 1880 O AND 1890 90% SILVER DOLLARS $2 FACE,117135968003,"Apr 16, 2026",$104.50,$5.95,,,Auction,https://www.ebay.com/itm/117135968003,1
1890-O Morgan Silver Dollar Better Date,117134287487,"Apr 14, 2026",$49.00,$6.99,,,Auction,https://www.ebay.com/itm/117134287487,1
1890-O Morgan Dollar Silver Circulated Business Strike New Orleans $1 Coin,117117224295,"Mar 30, 2026",$58.00,$5.68,,,Fixed price,https://www.ebay.com/itm/117117224295,1
,,"Mar 30, 2026",$58.00,$5.68,,,Fixed price,,1
"1890-O Morgan Half Dollar 90% Silver - New Orleans Mint - Shiny, Great Coin!",117098585211,"Mar 27, 2026",$61.00,$0.00,,,Auction,https://www.ebay.com/itm/117098585211,1
"Two Morgan Half Dollars, 1904, & 1890-O, 90% Silver - Worn",117098916208,"Mar 27, 2026",$84.00,$5.00,,,Auction,https://www.ebay.com/itm/117098916208,1
,,"Mar 27, 2026",$61.00,$0.00,,,Auction,,1
,,"Mar 27, 2026",$84.00,$5.00,,,Auction,,1
1890-O MORGAN DOLLAR,117109847040,"Mar 26, 2026",$53.00,$4.80,,,Fixed price,https://www.ebay.com/itm/117109847040,1
,,"Mar 26, 2026",$53.00,$4.80,,,Fixed price,,1
1890 o morgan silver dollar,117091401996,"Mar 23, 2026",$51.00,$4.88,,,Auction,https://www.ebay.com/itm/117091401996,1
,,"Mar 23, 2026",$51.00,$4.88,,,Auction,,1
1890-O United States Morgan Silver Dollar,117068545436,"Mar 10, 2026",$53.00,$6.95,,,Auction,https://www.ebay.com/itm/117068545436,1
,,"Mar 10, 2026",$53.00,$6.95,,,Auction,,1
"1890-O PCGS MS CAC VAM-10 ""Comet"" (HOT 50)",117064779538,"Mar 8, 2026",$207.50,$0.00,,,Auction,https://www.ebay.com/itm/117064779538,1
,,"Mar 8, 2026",$207.50,$0.00,,,Auction,,1
MORGAN SILVER DOLLAR 1890 O AU+ NICE BETTER DATE SILVER DOLLAR 90%,117057044542,"Mar 5, 2026",$67.00,$5.95,,,Auction,https://www.ebay.com/itm/117057044542,1
,,"Mar 5, 2026",$67.00,$5.95,,,Auction,,1
"lot of 4 morgan silver dollars 1900 O, 1888 O, 1891 O , 1890",117011336666,"Feb 28, 2026",$315.00,$8.30,,,Fixed price,https://www.ebay.com/itm/117011336666,1
,,"Feb 28, 2026",$315.00,$8.30,,,Fixed price,,1
1890-O MORGAN SILVER DOLLAR BEAUTIFUL EF DETAIL COLLECTOR GRADE COIN M-1427,116931166908,"Feb 27, 2026",$79.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116931166908
1890-O Morgan Silver Dollar MONSTER Tab TONER RAINBOW PCGS MS64 Reverse Mount,127575322837,"Feb 25, 2026",$300.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127575322837,1
,,"Feb 25, 2026",$300.00,$5.00,,,Fixed price,,1
