Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1885-O Morgan Dollar, Frosty Choice Uncirculated to GEM BU From Original Roll",365474761925,"Feb 21, 2026",$129.66,$0.00,,,Fixed price,https://www.ebay.com/itm/365474761925,3
,,"Nov 18, 2025",$21.14,$0.00,,,Fixed price,,3
1885-P Morgan Silver Dollar Nicely Circulated - Great Set Builder - STOCK,388482756284,"Jan 5, 2026",$61.00,$0.00,,,Fixed price,https://www.ebay.com/itm/388482756284,4
,,"Nov 9, 2025",$21.03,$0.00,,,Fixed price,,3
,,"Nov 8, 2025",$18.60,$0.00,,,Fixed price,,16
Binion Silver Dollar 1885-O Morgan Silver Dollar MS63 NGC,389246230110,"Dec 24, 2025",$134.83,$0.00,,,Fixed price,https://www.ebay.com/itm/389246230110,3
2023 Fiji S$1 1885-CC Morgan Dollar NGC MS70 - David Ryder Signed - 99.9% Silver,397123732320,"Mar 10, 2026",$146.67,$5.37,,,Fixed price,https://www.ebay.com/itm/397123732320,3
,,"Nov 2, 2025",$26.92,$0.00,,,Fixed price,,7
,,"Nov 1, 2025",$19.33,$0.00,,,Fixed price,,3
,,"Jan 6, 2026",$63.00,$4.00,,,Fixed price,,4
1885-O Morgan Silver Dollar MS63 PCGS Blue Label,126651298578,"Jan 2, 2026",$87.48,$0.00,,,Fixed price,https://www.ebay.com/itm/126651298578,2
AU+ 1885-O Morgan Silver Dollar (1 coin),127139095564,"Jan 13, 2026",$68.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127139095564,2
1885 Morgan Silver Dollar MS64 NGC Brown Label,127302850586,"Feb 2, 2026",$124.48,$0.00,,,Fixed price,https://www.ebay.com/itm/127302850586,2
1885-CC Morgan Silver Dollar GSA Treasure MS64 CAC CACg,127406876522,"Jan 25, 2026","$1,250.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127406876522,2
[Removed] Item 127454896993,127454896993,"Dec 2, 2025",$21.56,$0.00,,,Fixed price,,3
1885-O Morgan Silver Dollar NGC MS 63 Very Clean And Bright,127472903872,"Feb 4, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127472903872,2
1885-O Morgan Silver Dollar MS63 NGC Brown Label,135220886687,"Nov 30, 2025",$86.98,$0.00,,,Fixed price,https://www.ebay.com/itm/135220886687,2
,,"Dec 27, 2025",$50.00,$9.00,,,Fixed price,,4
1885 Morgan Silver Dollar – NAS Mint State – Philadelphia Mint – Vault Stored,157260526030,"Jan 17, 2026",$75.00,$4.99,,,Fixed price,https://www.ebay.com/itm/157260526030,2
1882-1901 - O Morgan Silver Dollar 90% Silver - One From Lot,168077399381,"Jan 20, 2026",$69.99,$12.48,,,Fixed price,https://www.ebay.com/itm/168077399381,5
,,"Dec 23, 2025",$72.50,$3.82,,,Fixed price,,2
