Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin ZM,127553543361,"Jan 19, 2026",$79.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127553543361,1
,,"Dec 10, 2025",$39.00,$4.65,,,Fixed price,,1
,,"Dec 22, 2025",$52.00,$1.41,,,Auction,,1
,,"Dec 19, 2025",$49.00,$0.00,,,Auction,,1
1896 O $1 Morgan Silver Dollar -0831,127560695026,"Jan 14, 2026",$65.00,$6.09,,,Fixed price,https://www.ebay.com/itm/127560695026,1
,,"Dec 20, 2025",$52.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$52.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$50.00,$0.00,,,Auction,,1
,,"Dec 19, 2025",$52.00,$0.00,,,Auction,,1
,,"Dec 22, 2025",$54.00,$0.00,,,Auction,,1
,,"Dec 22, 2025",$50.00,$2.77,,,Auction,,1
,,"Dec 23, 2025",$58.00,$0.00,,,Auction,,1
,,"Dec 26, 2025",$65.50,$0.00,,,Auction,,1
,,"Dec 26, 2025",$62.00,$0.00,,,Auction,,1
,,"Dec 27, 2025",$66.00,$0.00,,,Auction,,1
,,"Dec 30, 2025",$52.27,$2.77,,,Auction,,1
,,"Dec 31, 2025",$58.00,$0.00,,,Auction,,1
,,"Dec 31, 2025",$56.95,$0.00,,,Auction,,1
,,"Dec 29, 2025",$74.10,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$52.95,$5.25,,,Fixed price,,1
,,"Jan 1, 2026",$62.00,$0.00,,,Auction,,1
,,"Dec 29, 2025",$698.00,$19.74,,,Fixed price,,1
,,"Jan 3, 2026",$64.00,$0.00,,,Auction,,1
,,"Dec 31, 2025",$659.00,$17.67,,,Fixed price,,1
,,"Jan 7, 2026",$81.00,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$71.00,$0.00,,,Auction,,1
,,"Jan 2, 2026",$265.00,$5.00,,,Fixed price,,1
,,"Jan 9, 2026",$62.00,$0.00,,,Auction,,1
,,"Jan 9, 2026",$84.00,$8.40,,,Auction,,1
1896-O MORGAN SILVER DOLLAR~XF/AU CLEANED ~NICE COIN~,127604301908,"Feb 20, 2026",$89.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127604301908,1
,,"Jan 8, 2026",$99.99,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$64.00,$0.00,,,Auction,,1
,,"Jan 13, 2026",$63.00,$2.42,,,Auction,,1
1896-O Morgan Silver Dollar 90% American Coin #186,127610618360,"Jan 14, 2026",$73.00,$2.42,,,Auction,https://www.ebay.com/itm/127610618360,1
,,"Jan 13, 2026",$132.50,$0.00,,,Auction,,1
VF 1896-O Morgan Silver Dollar (1 coin) *0723,127612746135,"Jan 15, 2026",$72.18,$0.00,,,Auction,https://www.ebay.com/itm/127612746135,1
1896 O Morgan Silver Dollar Cleaned,127613959115,"Jan 19, 2026",$75.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127613959115,1
G/VG 1896-O Morgan Silver Dollar (1 coin) *5915,127616488905,"Jan 17, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127616488905,1
"lot of 5 Morgan silver dollars, 1890 S, 1894 0, 1896 O, 1900, 1902",127621701147,"Jan 18, 2026",$322.50,$5.65,,,Auction,https://www.ebay.com/itm/127621701147,1
VG/F 1896-O Morgan Silver Dollar (1 coin) *2238,127622379384,"Jan 20, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127622379384,1
1896-O $1 Morgan Dollar Silver Coin PCGS Genuine Rim Damage- AU Detail,127626222523,"Jan 22, 2026",$72.00,$2.20,,,Auction,https://www.ebay.com/itm/127626222523,1
G/VG 1896-O Morgan Silver Dollar (1 coin) *1757,127626717547,"Jan 22, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/127626717547,1
1896 Morgan Silver Dollar - O In Bezel & 27” Chain,127627800904,"Feb 16, 2026",$75.00,$5.50,,,Fixed price,https://www.ebay.com/itm/127627800904,1
1879-O 1896-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *568,127628354632,"Jan 21, 2026",$144.50,$0.00,,,Auction,https://www.ebay.com/itm/127628354632,1
VF 1896-O Morgan Silver Dollar (1 coin) *5496,127629904611,"Jan 24, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/127629904611,1
VG/F 1896-O Morgan Silver Dollar (1 coin) *5757,127629916136,"Jan 24, 2026",$77.25,$0.00,,,Auction,https://www.ebay.com/itm/127629916136,1
"1892-S, 1894-O & 1896-S Morgan Silver Dollars NGC VG8, F12, F15",127629998581,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127629998581,1
US Silver Dollar Collection 1896 O Morgan Silver Dollar With Ford Stamp,127630144127,"Jan 24, 2026",$70.69,$0.00,,,Auction,https://www.ebay.com/itm/127630144127,1
VF 1896-O Morgan Silver Dollar (1 coin) *3724,127633906393,"Jan 26, 2026",$86.00,$0.00,,,Auction,https://www.ebay.com/itm/127633906393,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *505,127635624437,"Jan 25, 2026",$85.00,$0.00,,,Auction,https://www.ebay.com/itm/127635624437,1
VF 1896-O Morgan Silver Dollar (1 coin) *5860,127641508804,"Jan 30, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127641508804,1
1896-O Morgan Dollar,127641562821,"Jan 30, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/127641562821,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *496,127641921957,"Jan 28, 2026",$81.55,$0.00,,,Auction,https://www.ebay.com/itm/127641921957,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *332,127645416147,"Jan 30, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/127645416147,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *287,127653824635,"Feb 3, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127653824635,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *096,127657566110,"Feb 5, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/127657566110,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *362,127657754949,"Feb 5, 2026",$72.25,$0.00,,,Auction,https://www.ebay.com/itm/127657754949,1
