Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2023 1/10 Oz Silver MEXICAN LIBERTAD Proof Coin.,167914610776,"Feb 11, 2026",$38.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167914610776,2
"4pc 2018 Mexico Proof Libertad Onza Set 1/2, 1/4, 1/10th & 1/20th .999 Silver",137011243381,"Feb 10, 2026",$157.50,$0.00,,,Auction,https://www.ebay.com/itm/137011243381,1
2024 Mo Mexico 1/10 Oz Onza Silver Libertad Proof *0337,136994217053,"Feb 4, 2026",$36.00,$0.00,,,Auction,https://www.ebay.com/itm/136994217053,1
2024 Mo Mexico 1/10 Oz Onza Silver Libertad Proof,127406856986,"Feb 3, 2026",$27.23,$0.00,,,Fixed price,https://www.ebay.com/itm/127406856986
2020 Proof Silver Libertad 1/10 Onza Coin 1/10 Ounce In Capsule,136932004651,"Feb 1, 2026",$29.99,$7.70,,,Fixed price,https://www.ebay.com/itm/136932004651,2
,,"Feb 1, 2026",$29.99,$7.70,,,Fixed price,,2
"2023 Mexico BU Silver Libertad 5 Coin Set (1, 1/2, 1/4, 1/10, & 1/20 oz)",296062113437,"Jan 30, 2026",$191.98,$0.00,,,Fixed price,https://www.ebay.com/itm/296062113437
"2023 Mexico BU Silver Libertad 5 Coin Set (1, 1/2, 1/4, 1/10, & 1/20 oz)",296062113437,"Jan 30, 2026",$194.98,$0.00,,,Fixed price,https://www.ebay.com/itm/296062113437,14
"2023 Mexico BU Silver Libertad 5 Coin Set (1, 1/2, 1/4, 1/10, & 1/20 oz)",296062113437,"Jan 30, 2026",$203.91,$0.00,,,Fixed price,https://www.ebay.com/itm/296062113437,12
Mexico 2024 1/10-oz Proof Silver Libertad Onza NGC PF70UC ER Mexico Label,135583035983,"Jan 28, 2026",$60.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135583035983,1
2024 Mexico Libertad .999 Silver 1/10 ounce PROOF Coin in capsule,147107405717,"Jan 28, 2026",$28.25,$6.00,,,Auction,https://www.ebay.com/itm/147107405717,1
,,"Jan 28, 2026",$28.25,$6.00,,,Auction,,1
2018 Mexican Libertad .999 Fine Silver 1/10 Oz Just Pulled From Unopen Roll,227188366562,"Jan 25, 2026",$23.88,$3.12,,,Fixed price,https://www.ebay.com/itm/227188366562,2
2020 1/20 1/10 & 1/4 oz Silver Libertad PROOF Set Very Low Mintage!!,117001004337,"Jan 25, 2026",$150.00,$19.14,,,Fixed price,https://www.ebay.com/itm/117001004337,1
,,"Jan 25, 2026",$23.88,$3.12,,,Fixed price,,2
,,"Jan 25, 2026",$150.00,$19.14,,,Fixed price,,1
2018 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,116988137279,"Jan 24, 2026",$19.99,$5.30,,,Auction,https://www.ebay.com/itm/116988137279,1
,,"Jan 24, 2026",$19.99,$5.30,,,Auction,,1
Price for 1: **ONLY 6.5k MINT** 2018 Mexico 1/10 oz Silver Libertad Proof km#610,297959840941,"Jan 23, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/297959840941
2023 1/10 Oz .999 Silver Proof Mo Mexico Libertad Coin W/Capsule Mexican Silver!,187444167786,"Jan 23, 2026",$26.33,$7.83,,,Fixed price,https://www.ebay.com/itm/187444167786,3
2018 1/10 Oz Silver MEXICAN LIBERTAD Proof Coin.,167916659760,"Jan 23, 2026",$33.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167916659760,1
,,"Jan 23, 2026",$29.99,$0.00,,,Fixed price,,3
,,"Jan 23, 2026",$26.33,$7.83,,,Fixed price,,3
2023 Silver 1/10 oz Mexican Libertad BU,335731903125,"Jan 22, 2026",$15.74,$0.00,,,Fixed price,https://www.ebay.com/itm/335731903125,7
WOW 2020 Silver Libertad BU 1/20 1/10 1/4 1/2 and 1 OZ Lot Very Limited Mintage,116995431131,"Jan 22, 2026",$260.00,$35.00,,,Fixed price,https://www.ebay.com/itm/116995431131,2
,,"Jan 22, 2026",$15.74,$0.00,,,Fixed price,,7
,,"Jan 22, 2026",$260.00,$35.00,,,Fixed price,,2
"2024 Libertad .999 Silver 5 Coin Bank Set 1, 1/2, 1/4,1/10,1/20 = 1.9 oz Total!",116985000588,"Jan 18, 2026",$250.00,$3.00,,,Fixed price,https://www.ebay.com/itm/116985000588,1
,,"Jan 18, 2026",$250.00,$3.00,,,Fixed price,,1
2023 Mexico Libertad Proof 1/10 oz Silver Coin In Capsule,396030144297,"Jan 17, 2026",$26.41,$0.00,,,Fixed price,https://www.ebay.com/itm/396030144297
,,"Jan 17, 2026",$22.75,$7.80,,,Fixed price,,2
2020 1/20 1/10 & 1/4 oz Silver Libertad PROOF Set Very Low Mintage!!,116984686664,"Jan 17, 2026",$120.00,$7.50,,,Fixed price,https://www.ebay.com/itm/116984686664,1
[2] 2024 Silver Mexican Libertad Onza 1/4 & 1/10 oz Brilliant Uncirculated,127629557566,"Jan 17, 2026",$44.00,$5.15,,,Fixed price,https://www.ebay.com/itm/127629557566,1
,,"Jan 17, 2026",$26.95,$0.00,,,Fixed price,,5
,,"Jan 17, 2026",$120.00,$7.50,,,Fixed price,,1
,,"Jan 17, 2026",$44.00,$5.15,,,Fixed price,,1
"LIBERTAD MEXICO 2023 Fractional Set 1/2 , 1/4 , 1/10 ,1/20 oz Proof Silver Coin",145572956147,"Jan 16, 2026",$121.99,$25.00,,,Fixed price,https://www.ebay.com/itm/145572956147
"3pc 2024 Mexico Proof Libertad Onza Set 1, 1/4 & 1/20th .999 Silver",136935407819,"Jan 16, 2026",$192.50,$0.00,,,Auction,https://www.ebay.com/itm/136935407819,1
2024 Mexico Libertad Onza 1/10oz .999 Silver,136935414881,"Jan 16, 2026",$31.00,$0.00,,,Auction,https://www.ebay.com/itm/136935414881,1
,,"Jan 16, 2026",$121.99,$25.00,,,Fixed price,,5
,,"Jan 16, 2026",$192.50,$0.00,,,Auction,,1
,,"Jan 16, 2026",$31.00,$0.00,,,Auction,,1
2024 Mo Mexico 1/10 Oz Onza Silver Libertad Proof *9285,136932982928,"Jan 15, 2026",$35.00,$0.00,,,Auction,https://www.ebay.com/itm/136932982928,1
"2015 MO 1/10 ""Tenth"" oz silver MEXICO LIBERTAD Coin NGC MS67",157598560236,"Jan 15, 2026",$20.50,$5.07,,,Auction,https://www.ebay.com/itm/157598560236,1
,,"Jan 15, 2026",$35.00,$0.00,,,Auction,,1
,,"Jan 15, 2026",$20.50,$5.07,,,Auction,,1
2024 Mexico 1/10 oz Silver Libertad Coin – Proof Coin – Low Mintage!! Rare!!,376019756927,"Jan 14, 2026",$20.66,$4.83,,,Fixed price,https://www.ebay.com/itm/376019756927,3
,,"Jan 14, 2026",$20.00,$4.81,,,Fixed price,,2
2023 Mexico 1/10 Silver Libertad .999 Coin (BU),236533288970,"Jan 13, 2026",$19.67,$1.98,,,Fixed price,https://www.ebay.com/itm/236533288970,3
2017-Mo 1/10th oz Mexico Libertad,187342812160,"Jan 12, 2026",$24.99,$0.00,,,Fixed price,https://www.ebay.com/itm/187342812160
2016-Mo Mexico PCGS PR70DCAM 1/10 oz Proof Silver Libertad,267012397411,"Jan 12, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267012397411
,,"Jan 12, 2026",$24.99,$0.00,,,Fixed price,,3
,,"Jan 12, 2026",$50.00,$0.00,,,Fixed price,,3
,,"Jan 11, 2026",$51.00,$0.00,,,Fixed price,,2
,,"Jan 11, 2026",$25.99,$7.80,,,Fixed price,,1
2018 Libertad Onza 1/10 Ounce Oz Mexico Mexican Silver BU in Capsule,305790784277,"Jan 10, 2026",$18.28,$0.00,,,Fixed price,https://www.ebay.com/itm/305790784277
,,"Jan 10, 2026",$18.28,$0.00,,,Fixed price,
2018-Mo Mexico 1/10 oz Silver Proof Libertad PCGS PR 69 DCAM,304364534115,"Jan 10, 2026",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304364534115,6
,,"Jan 10, 2026",$150.00,$5.95,,,Fixed price,,1
,,"Jan 9, 2026",$31.99,$4.00,,,Fixed price,,4
2015 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914904061,"Jan 7, 2026",$39.88,$24.54,,,Fixed price,https://www.ebay.com/itm/167914904061,2
2017-Mo Mexico 1/10 oz Silver Proof Libertad PCGS PR 69 DCAM,304364522916,"Jan 6, 2026",$36.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304364522916
2016-Mo Mexico 1/10 onza oz .999 Fine Silver Proof Libertad PCGS PR 69 DCAM PF,304364505830,"Jan 6, 2026",$36.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304364505830,7
,,"Jan 6, 2026",$29.20,$0.00,,,Fixed price,,2
,,"Jan 6, 2026",$23.99,$5.99,,,Fixed price,,1
,,"Jan 4, 2026",$43.00,$0.00,,,Auction,,1
,,"Jan 3, 2026",$34.99,$39.90,,,Fixed price,,10
,,"Jan 1, 2026",$20.00,$1.32,,,Fixed price,,1
,,"Dec 31, 2025",$23.99,$5.29,,,Fixed price,,1
2024 Mexico 1/10 oz Silver Libertad Proof (In Capsule),126874767502,"Dec 30, 2025",$29.26,$0.00,,,Fixed price,https://www.ebay.com/itm/126874767502
,,"Dec 28, 2025",$12.50,$4.00,,,Auction,,1
,,"Dec 28, 2025",$38.00,$5.00,,,Auction,,1
2020 MEXICAN LIBERTAD 1/10 Oz Silver BU Coin.,165843571937,"Dec 27, 2025",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/165843571937,2
"LIBERTAD MEXICO 2024 Proof Silver Fractional Set 1/2 oz, 1/4 oz, 1/10 oz 1/20 oz",146349587816,"Dec 26, 2025",$122.49,$20.00,,,Fixed price,https://www.ebay.com/itm/146349587816,2
,,"Dec 26, 2025",$45.00,$0.00,,,Auction,,1
,,"Dec 25, 2025",$185.00,$9.00,,,Fixed price,,2
,,"Dec 25, 2025",$20.00,$1.32,,,Fixed price,,1
,,"Dec 24, 2025",$22.50,$4.76,,,Auction,,1
,,"Dec 23, 2025",$199.99,$9.99,,,Fixed price,,2
,,"Dec 23, 2025",$28.00,$4.54,,,Fixed price,,1
,,"Dec 22, 2025",$16.00,$1.38,,,Fixed price,
,,"Dec 22, 2025",$19.20,$0.00,,,Fixed price,,4
,,"Dec 22, 2025",$20.00,$5.05,,,Fixed price,,3
,,"Dec 21, 2025",$42.50,$0.00,,,Fixed price,,1
,,"Dec 20, 2025",$41.25,$6.00,,,Fixed price,,4
,,"Dec 20, 2025",$125.10,$5.15,,,Fixed price,,1
,,"Dec 19, 2025",$35.00,$4.89,,,Auction,,1
,,"Dec 17, 2025",$67.80,$0.00,,,Fixed price,
,,"Dec 17, 2025",$24.99,$3.99,,,Fixed price,,1
,,"Dec 17, 2025",$68.50,$0.00,,,Fixed price,,4
,,"Dec 15, 2025",$125.00,$5.15,,,Fixed price,,1
,,"Dec 13, 2025",$460.00,$5.75,,,Auction,,1
2020 Mexico 1/10 oz Silver Libertad Proof (In Capsule),114617314669,"Dec 11, 2025",$29.07,$0.00,,,Fixed price,https://www.ebay.com/itm/114617314669,1
,,"Dec 11, 2025",$600.00,$0.00,,,Fixed price,,1
,,"Dec 10, 2025",$184.47,$9.13,,,Fixed price,
,,"Dec 10, 2025",$187.50,$9.24,,,Fixed price,,4
,,"Dec 8, 2025",$38.62,$0.00,,,Fixed price,
,,"Dec 8, 2025",$23.00,$4.95,,,Fixed price,,1
,,"Dec 8, 2025",$475.00,$5.95,,,Fixed price,,1
,,"Dec 8, 2025",$38.95,$0.00,,,Fixed price,,5
,,"Dec 6, 2025",$32.00,$0.00,,,Auction,,1
2018 Mexico 1/10 Onza Libertad 1/10 oz 999 Fine Silver Mexican Art Mo 🇲🇽✅📈 BU,257185281427,"Dec 5, 2025",$18.99,$0.00,,,Fixed price,https://www.ebay.com/itm/257185281427
,,"Dec 5, 2025",$11.50,$5.00,,,Auction,,1
,,"Dec 5, 2025",$180.00,$5.09,,,Auction,,1
,,"Dec 3, 2025",$295.88,$0.00,,,Fixed price,
,,"Dec 3, 2025",$615.00,$0.00,,,Fixed price,,1
,,"Dec 2, 2025",$19.95,$0.00,,,Fixed price,,2
,,"Nov 29, 2025",$659.59,$5.37,,,Fixed price,,1
,,"Nov 26, 2025",$149.37,$6.95,,,Fixed price,
,,"Nov 25, 2025",$21.52,$0.00,,,Fixed price,
,,"Nov 25, 2025",$22.95,$0.00,,,Fixed price,,4
2024 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,134784869988,"Nov 24, 2025",$68.80,$0.00,,,Fixed price,https://www.ebay.com/itm/134784869988
,,"Nov 24, 2025",$16.50,$4.00,,,Auction,,1
,,"Nov 23, 2025",$190.00,$5.09,,,Fixed price,,1
,,"Nov 23, 2025",$91.00,$5.49,,,Auction,,1
,,"Nov 19, 2025",$29.95,$0.00,,,Auction,,1
,,"Nov 19, 2025",$17.50,$4.54,,,Auction,,1
,,"Nov 18, 2025",$29.99,$0.00,,,Fixed price,
,,"Nov 14, 2025",$92.95,$0.00,,,Fixed price,
,,"Nov 13, 2025",$196.84,$0.00,,,Fixed price,
,,"Nov 13, 2025",$205.45,$0.00,,,Fixed price,
,,"Nov 13, 2025",$195.95,$0.00,,,Fixed price,,2
,,"Nov 12, 2025",$13.00,$5.00,,,Fixed price,,1
2017 1/10 oz Silver Libertad PROOF Silver Coin .999 Fine Silver #A404,145754078282,"Nov 10, 2025",$22.30,$0.00,,,Fixed price,https://www.ebay.com/itm/145754078282
2017 1/10 oz Silver Libertad PROOF Silver Coin .999 Fine Silver #A404,145754078282,"Nov 10, 2025",$22.29,$0.00,,,Fixed price,https://www.ebay.com/itm/145754078282,23
2017 1/10 oz Silver Libertad PROOF Silver Coin .999 Fine Silver #A404,145754078282,"Nov 10, 2025",$22.22,$0.00,,,Fixed price,https://www.ebay.com/itm/145754078282,13
2024 Silver Mexican Libertad Onza 1/10 oz Brilliant Uncirculated,205012307053,"Nov 9, 2025",$16.35,$0.00,,,Fixed price,https://www.ebay.com/itm/205012307053
,,"Nov 9, 2025",$22.14,$0.00,,,Fixed price,,7
2024 Silver Mexican Libertad Onza 1/10 oz Brilliant Uncirculated,205012307053,"Nov 9, 2025",$16.33,$0.00,,,Fixed price,https://www.ebay.com/itm/205012307053,108
,,"Nov 7, 2025",$96.99,$4.99,,,Auction,,1
,,"Nov 5, 2025",$152.35,$0.00,,,Fixed price,
,,"Nov 5, 2025",$155.28,$0.00,,,Fixed price,
,,"Nov 5, 2025",$155.95,$0.00,,,Fixed price,,2
,,"Nov 4, 2025",$154.95,$0.00,,,Fixed price,
,,"Nov 4, 2025",$155.28,$0.00,,,Fixed price,,3
,,"Nov 3, 2025",$40.00,$3.95,,,Auction,,1
,,"Nov 3, 2025",$25.06,$3.95,,,Auction,,1
,,"Nov 2, 2025",$76.00,$0.00,,,Fixed price,,1
,,"Nov 1, 2025",$33.33,$0.00,,,Auction,,1
,,"Oct 31, 2025",$28.25,$6.00,,,Auction,,1
,,"Oct 27, 2025",$99.99,$5.99,,,Fixed price,,1
,,"Oct 26, 2025",$86.95,$0.00,,,Fixed price,,5
Mexico 2024 1/10-oz Silver Libertad Onza BU,135269278160,"Oct 24, 2025",$16.43,$0.00,,,Fixed price,https://www.ebay.com/itm/135269278160
,,"Oct 24, 2025",$42.27,$0.00,,,Fixed price,
Mexico 2024 1/10-oz Silver Libertad Onza BU,135269278160,"Oct 24, 2025",$16.34,$0.00,,,Fixed price,https://www.ebay.com/itm/135269278160,7
,,"Oct 21, 2025",$53.00,$4.91,,,Auction,,1
,,"Oct 20, 2025",$195.05,$5.95,,,Fixed price,,1
,,"Oct 19, 2025",$168.02,$5.49,,,Auction,,1
2024 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label - 10 Pack w/Case,404990667202,"Oct 13, 2025",$624.00,$0.00,,,Fixed price,https://www.ebay.com/itm/404990667202
