Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Rare 2015 Mexico 1/10 oz PROOF .999 Silver Libertad Coin in Capsule (#2),177922917928,"Mar 22, 2026",$29.99,$4.99,,,Fixed price,https://www.ebay.com/itm/177922917928
2023-Mo Mexico 1/10 oz Silver Libertad NGC MS 70 | Uncirculated UNC BU,305614386875,"Mar 21, 2026",$51.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305614386875
(5) Air-Tite Capsules DIRECT FIT 20mm 1/10 oz Mexico Silver Libertad FITS CASE!,324719258595,"Mar 21, 2026",$9.95,$0.00,,,Fixed price,https://www.ebay.com/itm/324719258595
2018 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,117090086169,"Mar 18, 2026",$26.99,$0.00,,,Fixed price,https://www.ebay.com/itm/117090086169
One - 1/10th oz Libertad 999 Silver 2024,137119268853,"Mar 18, 2026",$17.00,$6.43,,,Fixed price,https://www.ebay.com/itm/137119268853
RARE DATE 2007 Mexico 1/10 oz .999 Silver PROOF Libertad in Original Capsule,168213395555,"Mar 17, 2026",$57.00,$0.00,,,Auction,https://www.ebay.com/itm/168213395555
2026 Mexican Libertad 1/10 OZ .999 Fine Silver Limited Mintage Of ((3500)),198187040145,"Mar 15, 2026",$25.66,$5.33,,,Fixed price,https://www.ebay.com/itm/198187040145
2018 Mexican Libertad .999 Fine BU Silver 1/10 Oz Coin,117068632263,"Mar 15, 2026",$25.75,$4.88,,,Fixed price,https://www.ebay.com/itm/117068632263
2024 Silver Mexican Libertad Onza 1/10 oz Brilliant Uncirculated,177905237360,"Mar 15, 2026",$27.53,$0.00,,,Fixed price,https://www.ebay.com/itm/177905237360
2016 MEXICO LIBERTAD 1/10 oz PROOF 999 SILVER COIN IN ORIGINAL CAPSULE,373725099561,"Mar 15, 2026",$28.31,$15.30,,,Fixed price,https://www.ebay.com/itm/373725099561
Mexico 2023 1/10-oz Proof Silver Libertad Onza NGC PF70UC FR Mexico Label,134956287465,"Mar 14, 2026",$59.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134956287465
2024 Proof Silver Mexican Libertad Onza 1/10 oz NGC PF70UC FR Mexico Label,176880598931,"Mar 14, 2026",$60.95,$0.00,,,Fixed price,https://www.ebay.com/itm/176880598931
2010 Mexican Silver Libertad - Tenth Troy Ounce .999 Bullion 1/10 Oz PROOF COIN,374804927078,"Mar 14, 2026",$28.69,$3.88,,,Fixed price,https://www.ebay.com/itm/374804927078
2023 Mexico 1/10 oz 999 Silver Libertad Brilliant Uncirculated,135282588848,"Mar 13, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135282588848
2023 Mexico 1/10 oz 999 Silver Libertad Brilliant Uncirculated,135282588848,"Mar 13, 2026",$18.41,$0.00,,,Fixed price,https://www.ebay.com/itm/135282588848
2023 Mexico 1/10 oz 999 Silver Libertad Brilliant Uncirculated,135282588848,"Mar 13, 2026",$18.68,$0.00,,,Fixed price,https://www.ebay.com/itm/135282588848
2023 Mexico 1/10 oz 999 Silver Libertad Brilliant Uncirculated,135282588848,"Mar 13, 2026",$20.31,$0.00,,,Fixed price,https://www.ebay.com/itm/135282588848,9
2018 1/10 oz Mexico Libertad Silver Proof (In Capsule),127023793186,"Mar 12, 2026",$49.97,$0.00,,,Fixed price,https://www.ebay.com/itm/127023793186
2013 MEXICO 1/10 ONZA OZ SILVER PROOF LIBERTAD - 998B,147182886442,"Mar 12, 2026",$49.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147182886442
2019 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914648883,"Mar 12, 2026",$43.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167914648883
2016 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914868026,"Mar 12, 2026",$41.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167914868026
2017 MEXICO LIBERTAD 1/10 oz PROOF 999 SILVER COIN IN ORIGINAL CAPSULE,353679834864,"Mar 12, 2026",$25.90,$0.00,,,Fixed price,https://www.ebay.com/itm/353679834864
2019 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914648883,"Mar 12, 2026",$40.81,$0.00,,,Fixed price,https://www.ebay.com/itm/167914648883
2016 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914868026,"Mar 12, 2026",$37.46,$0.00,,,Fixed price,https://www.ebay.com/itm/167914868026
🔥 2026 1/10th oz libertad 999 Fine,137098224029,"Mar 11, 2026",$29.00,$18.48,,,Fixed price,https://www.ebay.com/itm/137098224029
2018-Mo 1/10th oz Mexico Libertad,177270019418,"Mar 9, 2026",$34.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177270019418
"2020 Mo Mexico Libertad 5 Coin Proof Set 1, 1/2, 1/4, 1/10, 1/20 oz 999 Silver",127707072949,"Mar 8, 2026",$399.00,$20.00,,,Fixed price,https://www.ebay.com/itm/127707072949
2016-Mo Mexico 1/10 onza oz .999 Fine Silver Proof Libertad PCGS PR 70 DCAM PF,127717327607,"Mar 8, 2026",$69.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127717327607
