Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1895 S $1 Morgan Silver Dollar NGC Fine Details,117075819453,"Mar 14, 2026",$456.00,$0.00,,,Auction,https://www.ebay.com/itm/117075819453
1895-S Morgan Silver Dollar #P33118,127702600029,"Mar 6, 2026",$385.00,$4.25,,,Auction,https://www.ebay.com/itm/127702600029
"1895-S Morgan Silver Dollar CACG Fine Details Mintage Only 400,000 Key Date",127713374749,"Mar 24, 2026",$575.00,$5.07,,,Fixed price,https://www.ebay.com/itm/127713374749
1895-S Circulated Silver Morgan Dollar,127772400324,"Apr 2, 2026",$310.00,$3.00,,,Auction,https://www.ebay.com/itm/127772400324
!!! KEY DATE 1895-S USA $1 MORGAN SILVER ONE DOLLAR CIRCULATED ORIGINAL,136476101807,"Mar 23, 2026",$225.00,$7.95,,,Fixed price,https://www.ebay.com/itm/136476101807
1895-S Morgan Silver Dollar *4006,137046341476,"Mar 14, 2026",$270.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137046341476
1895-S Morgan Silver Dollar $1 - Certified NGC Fine Details - Rare Date Coin!,137091700007,"Mar 30, 2026",$465.00,$10.00,,,Fixed price,https://www.ebay.com/itm/137091700007
1895-S Morgan Silver Dollar $1 - Certified PCGS VF Details - Rare Date Coin!,147174361135,"Mar 15, 2026",$772.44,$0.00,,,Fixed price,https://www.ebay.com/itm/147174361135
1895-S Morgan Silver Dollar G/VG Details Key Date Decent Eye Appeal,147189134890,"Mar 13, 2026",$361.00,$0.00,,,Auction,https://www.ebay.com/itm/147189134890
$1 1895 S KEY DATE MORGAN SILVER DOLLAR,147192726438,"Mar 15, 2026",$473.00,$4.85,,,Auction,https://www.ebay.com/itm/147192726438
1895 *S* MORGAN SILVER DOLLAR *PCGS VF20 (w/ gold shield)* FREE SHIP! - G1864,157378088794,"Mar 9, 2026","$1,050.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157378088794
1895-S MORGAN SILVER DOLLAR F DETAILS KEY DATE SAN FRANCISCO MINT,157704542834,"Mar 13, 2026",$405.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157704542834
1895-S $1 Morgan Silver Dollar PCGS AU58 Bright White Key Date Looks UNC,157741260503,"Mar 11, 2026","$4,500.00",$40.40,,,Fixed price,https://www.ebay.com/itm/157741260503
1895-S Morgan Silver Dollar PCGS G06,157763099839,"Mar 17, 2026",$400.00,$5.77,,,Fixed price,https://www.ebay.com/itm/157763099839
1895-S Morgan Silver Dollar $1 VF Very Fine Key Date San Francisco Mint,157775129382,"Apr 2, 2026",$550.00,$19.69,,,Fixed price,https://www.ebay.com/itm/157775129382
04/900000004 L#4127 1895 S Morgan Silver Dollar Coin (cxp),157807191687,"Apr 4, 2026",$215.00,$0.00,,,Auction,https://www.ebay.com/itm/157807191687
1895 S Morgan Silver Dollar Nice Circulated Condition from San Francisco Mint,168284633265,"Apr 3, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168284633265
1895-S Morgan Silver Dollar $1 Coin - Certified PCGS VF25 - Rare Date!,177871237764,"Mar 7, 2026","$1,106.75",$0.00,,,Fixed price,https://www.ebay.com/itm/177871237764
1895-S Morgan Silver Dollar Beautiful High Grade Coin Rare Date,177972039713,"Mar 25, 2026",$646.00,$0.00,,,Auction,https://www.ebay.com/itm/177972039713
1895-S $1 Morgan Silver Dollar PCGS VG08 Very Good Key Date,177975928960,"Apr 2, 2026",$525.00,$12.00,,,Fixed price,https://www.ebay.com/itm/177975928960
1895-S Morgan Silver Dollar $1 - Certified ICG XF40 (EF40) - Rare Date!,177995598086,"Apr 1, 2026","$1,450.00",$0.00,,,Fixed price,https://www.ebay.com/itm/177995598086
1895-S Morgan Silver Dollar $1 - Certified PCGS VG8 - Rare Date Coin!,188088749541,"Mar 22, 2026",$558.13,$0.00,,,Fixed price,https://www.ebay.com/itm/188088749541
1895-S Morgan Silver Dollar $1 Coin - Certified PCGS VF30 - Rare Date!,188175047688,"Mar 26, 2026","$1,180.00",$0.00,,,Fixed price,https://www.ebay.com/itm/188175047688
"1895-S Morgan Silver Dollar. Semi-key Only 400,000 Minted.",188199368072,"Mar 30, 2026",$299.95,$10.00,,,Auction,https://www.ebay.com/itm/188199368072
1895-S Morgan Silver Dollar $1 - Key Date - NGC VG10 EDC RED LABEL,188201637446,"Mar 29, 2026",$565.00,$15.95,,,Fixed price,https://www.ebay.com/itm/188201637446
"1895 ""S"" Morgan SILVER Dollar $1 ANACS G6 Details #115 Good 🗝️🗝️ ECC&C, Inc.",198074644752,"Mar 9, 2026",$379.99,$0.00,,,Fixed price,https://www.ebay.com/itm/198074644752
1895-S Morgan Silver Dollar $ MS62 Proof-Like PL ICG 950506-18,198252526174,"Apr 5, 2026","$6,250.00",$0.00,,,Fixed price,https://www.ebay.com/itm/198252526174
1895-S Morgan Silver Dollar VG Key Date,205856177766,"Mar 6, 2026",$450.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205856177766
1895 S US $1 coin Morgan Silver Dollar,227267397417,"Mar 31, 2026",$365.00,$5.07,,,Auction,https://www.ebay.com/itm/227267397417
"1895-S F / VF PCGS F15 Morgan Silver Dollar- Semi-Key Date, Nice Mid-Grade Look!",236675832149,"Mar 9, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236675832149
1895-S $1 Morgan Silver Dollar - Series Key Date,257382810285,"Mar 8, 2026",$225.70,$4.25,,,Auction,https://www.ebay.com/itm/257382810285
1895-S $1 Morgan Silver Dollar Lustrous Blast White Uncirculated Monster Scarce!,257389487402,"Mar 10, 2026","$1,955.00",$0.00,,,Auction,https://www.ebay.com/itm/257389487402
1895 S Morgan Silver Dollar PCGS F 12,257397619826,"Mar 15, 2026",$784.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257397619826
"1895-S MORGAN SILVER DOLLAR , F DETAILS",257403513963,"Mar 19, 2026",$595.00,$5.55,,,Fixed price,https://www.ebay.com/itm/257403513963
1895-S $1 Morgan Silver Dollar Lustrous Blast White Uncirculated Monster Scarce!,257405503351,"Mar 24, 2026","$1,976.00",$0.00,,,Auction,https://www.ebay.com/itm/257405503351
1895 S Morgan Silver Dollar $1 - Graffiti,257405907298,"Apr 2, 2026",$225.99,$1.99,,,Fixed price,https://www.ebay.com/itm/257405907298
1895 S Morgan Silver Dollar FLUX,257420953299,"Mar 23, 2026",$12.00,$0.74,,,Fixed price,https://www.ebay.com/itm/257420953299
"1895-S MORGAN SILVER DOLLAR , VG DETAILS",267578214279,"Mar 14, 2026",$395.00,$5.55,,,Fixed price,https://www.ebay.com/itm/267578214279
"1895-S MORGAN SILVER DOLLAR , F DETAILS",267586630537,"Mar 11, 2026",$595.00,$5.55,,,Fixed price,https://www.ebay.com/itm/267586630537
1895-S Morgan Silver Dollar PCGS VF35 Gold Shield Label - T268,267596127713,"Mar 13, 2026","$1,300.00",$0.00,,,Auction,https://www.ebay.com/itm/267596127713
1895-S Morgan Silver Dollar $1 - San Francisco Mint,267600114205,"Mar 17, 2026",$501.07,$5.29,,,Auction,https://www.ebay.com/itm/267600114205
"1895-S MORGAN SILVER DOLLAR , F DETAILS",267626955731,"Apr 2, 2026",$695.00,$8.55,,,Fixed price,https://www.ebay.com/itm/267626955731
"1895 S Morgan Silver Dollar NGC AG 2, Low Mintage Semi-Key Tough Date",277785596736,"Mar 8, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277785596736
PCGS 1895-S VF30 Morgan Dollar 🇺🇸,277806101571,"Mar 20, 2026",$992.30,$8.10,,,Auction,https://www.ebay.com/itm/277806101571
1895-S Morgan Silver Dollar 1895 S San Francisco Mint $1 USA Coin - Good Details,287229876531,"Mar 31, 2026",$306.20,$6.00,,,Auction,https://www.ebay.com/itm/287229876531
1895-S Morgan Silver Dollar PCGS Genuine Graffiti VF Detail GOLD SHIELD,306704709682,"Mar 30, 2026",$750.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306704709682
Nice Looking Key Date 1895 S Morgan Silver Dollar,306826374108,"Mar 23, 2026",$443.79,$5.49,,,Auction,https://www.ebay.com/itm/306826374108
1895-S Morgan Silver Dollar,306845538003,"Apr 3, 2026",$235.50,$5.52,,,Auction,https://www.ebay.com/itm/306845538003
1895-S $1 Morgan Silver Dollar Rare Key Date San Francisco mint,318029782848,"Mar 29, 2026",$305.00,$6.00,,,Auction,https://www.ebay.com/itm/318029782848
1895 S Morgan Dollar - Key Date - As Shown! (#2289),326968355826,"Mar 13, 2026",$450.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326968355826
,,"Nov 15, 2025",$28.88,$4.99,,,Fixed price,,27
,,"Nov 26, 2025",$16.93,$0.00,,,Fixed price,,16
,,"Nov 22, 2025",$24.99,$6.00,,,Fixed price,,6
,,"Oct 20, 2025",$26.40,$4.99,,,Fixed price,,5
[Removed] Item 397156855786,397156855786,"Oct 23, 2025",$24.49,$4.99,,,Fixed price,,4
[Removed] Item 177585022524,177585022524,"Nov 30, 2025",$29.99,$0.00,,,Fixed price,,3
,,"Nov 20, 2025",$28.32,$5.00,,,Fixed price,,3
[Removed] Item 167938448780,167938448780,"Nov 30, 2025",$29.99,$0.00,,,Fixed price,,2
[Removed] Item 177520929245,177520929245,"Nov 11, 2025",$24.99,$5.99,,,Fixed price,,2
,,"Nov 25, 2025",$21.50,$0.00,,,Fixed price,,2
,,"Oct 27, 2025",$202.50,$6.00,,,Auction,,1
1895 S Morgan Silver Dollar - Fine Details !!,116860073604,"Jan 28, 2026",$475.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116860073604,1
,,"Dec 30, 2025",$666.00,$0.00,,,Auction,,1
"1895-s, slab-su-58, Morgan silver dollar, RARE",116990840387,"Jan 20, 2026","$3,125.00",$15.00,,,Auction,https://www.ebay.com/itm/116990840387,1
1895-S Morgan Dollar NGC VG details- (Key Date),116998299894,"Feb 14, 2026",$546.25,$5.00,,,Fixed price,https://www.ebay.com/itm/116998299894,1
1895-S MORGAN SILVER DOLLAR,117017355756,"Feb 10, 2026",$360.00,$4.85,,,Auction,https://www.ebay.com/itm/117017355756,1
1895 S Morgan Silver Dollar,117030577765,"Feb 17, 2026",$396.20,$5.07,,,Auction,https://www.ebay.com/itm/117030577765,1
,,"Jan 12, 2026",$427.50,$0.00,,,Fixed price,,1
,,"Oct 15, 2025","$1,625.00",$0.00,,,Fixed price,,1
,,"Nov 13, 2025",$452.00,$7.35,,,Auction,,1
,,"Nov 19, 2025",$650.00,$5.00,,,Fixed price,,1
,,"Jan 2, 2026",$356.00,$5.00,,,Auction,,1
,,"Jan 3, 2026",$300.00,$0.00,,,Fixed price,,1
1895-S Morgan Silver Dollar,127658825513,"Feb 4, 2026",$450.00,$7.95,,,Fixed price,https://www.ebay.com/itm/127658825513,1
1895-S San Francisco Mint Morgan Silver Dollar VG,127673643941,"Feb 15, 2026",$341.20,$0.00,,,Auction,https://www.ebay.com/itm/127673643941,1
,,"Dec 23, 2025","$1,800.00",$10.00,,,Fixed price,,1
1895-S Morgan Silver Dollar *3511,136365834576,"Feb 13, 2026",$567.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136365834576,1
1895-S Morgan Silver Dollar VG10 ICG *5453,136525698052,"Jan 21, 2026",$555.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136525698052,1
VG/F 1895-S Morgan Silver Dollar (1 coin),136533764649,"Jan 16, 2026",$475.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136533764649,1
,,"Nov 2, 2025",$346.00,$5.95,,,Auction,,1
,,"Nov 21, 2025","$1,225.00",$9.25,,,Fixed price,,1
,,"Dec 22, 2025",$440.00,$0.00,,,Fixed price,,1
1895-O MORGAN DOLLAR S$1 PCGS VF 25,136940312289,"Jan 16, 2026",$480.00,$4.76,,,Fixed price,https://www.ebay.com/itm/136940312289,1
1895 s morgan dollar,136949996046,"Jan 14, 2026",$450.00,$4.95,,,Auction,https://www.ebay.com/itm/136949996046,1
1895-S MORGAN SILVER DOLLAR BETTER DATE GRADES GOOD ACTUAL COIN #8304,136985420610,"Feb 14, 2026",$375.00,$4.85,,,Fixed price,https://www.ebay.com/itm/136985420610,1
1895-S Morgan Silver Dollar PCGS F12,137031272943,"Feb 18, 2026",$550.00,$8.00,,,Auction,https://www.ebay.com/itm/137031272943,1
,,"Oct 22, 2025",$330.00,$0.00,,,Fixed price,,1
,,"Nov 15, 2025",$460.00,$0.00,,,Fixed price,,1
"1895-S Morgan Silver Dollar **EXTRA FINE +, INCREDIBLE KEY-DATE**",146904748160,"Feb 11, 2026","$1,295.95",$0.00,,,Fixed price,https://www.ebay.com/itm/146904748160,1
,,"Dec 29, 2025",$314.99,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$47.97,$4.95,,,Fixed price,,1
,,"Jan 11, 2026",$550.00,$4.50,,,Fixed price,,1
1895-S PCGS F12 Morgan Silver Dollar,147096019818,"Jan 17, 2026",$624.99,$24.99,,,Fixed price,https://www.ebay.com/itm/147096019818,1
1895-S MORGAN SILVER DOLLAR PCGS VG08 01EBD26,147100777836,"Feb 7, 2026",$495.00,$16.99,,,Fixed price,https://www.ebay.com/itm/147100777836,1
1895-S MORGAN DOLLAR PCGS F15,147109690408,"Feb 1, 2026",$620.00,$10.00,,,Auction,https://www.ebay.com/itm/147109690408,1
1895-S Morgan Silver Dollar $1 - Certified NGC Good Details - Rare Date Coin!,147124597787,"Feb 14, 2026",$403.75,$0.00,,,Fixed price,https://www.ebay.com/itm/147124597787,1
1895 S Morgan Dollar - #129 *Combined Shipping for Multiple Orders*,147126681126,"Feb 16, 2026","$2,900.90",$3.59,,,Auction,https://www.ebay.com/itm/147126681126,1
1895-S Morgan Silver Dollar PCGS F12 Key Date Great Eye Appeal Nice Strike,147140430165,"Feb 13, 2026",$617.50,$0.00,,,Auction,https://www.ebay.com/itm/147140430165,1
1895-S Morgan Silver Dollar $1 - Certified PCGS AU Details - Rare Date Coin!,147160407226,"Mar 2, 2026","$1,838.25",$0.00,,,Fixed price,https://www.ebay.com/itm/147160407226,1
1895 S Morgan Silver Dollar,147239526911,"Apr 8, 2026",$260.55,$6.49,,,Auction,https://www.ebay.com/itm/147239526911,1
,,"Jan 5, 2026","$1,499.99",$9.99,,,Fixed price,,1
1895-S NGC AU53 MORGAN DOLLAR,157281743107,"Feb 2, 2026","$2,750.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157281743107,1
,,"Oct 17, 2025",$490.00,$7.90,,,Fixed price,,1
,,"Nov 29, 2025",$525.00,$8.00,,,Fixed price,,1
,,"Nov 20, 2025",$450.00,$7.50,,,Fixed price,,1
,,"Jan 13, 2026",$255.00,$7.80,,,Fixed price,,1
,,"Nov 15, 2025",$377.00,$0.00,,,Auction,,1
,,"Dec 23, 2025","$1,978.38",$0.00,,,Fixed price,,1
,,"Jan 9, 2026","$1,356.00",$0.00,,,Fixed price,,1
1895-S Morgan Silver Dollar $1 PCGS F12 Low Mintage Key Date,157614923752,"Jan 15, 2026",$572.69,$8.35,,,Fixed price,https://www.ebay.com/itm/157614923752,1
1895 S Morgan Silver Dollar ICG Genuine Looks F/VF Key Date,157626819869,"Jan 24, 2026",$432.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157626819869,1
1895-S Morgan Silver Dollar PCGS VF25 CAC Green Bean,157637297609,"Jan 30, 2026","$1,269.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157637297609,1
1895 S Morgan Silver Dollar NGC Graded Good Details,157648572792,"Feb 3, 2026",$345.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157648572792,1
1895-S MORGAN SILVER DOLLAR F+ DETAILS KEY DATE SAN FRANCISCO MINT,157676903628,"Feb 12, 2026",$450.00,$8.10,,,Fixed price,https://www.ebay.com/itm/157676903628,1
1895-S MORGAN SILVER DOLLAR VG KEY DATE SAN FRANCISCO MINT,157678496654,"Mar 4, 2026",$450.00,$8.30,,,Fixed price,https://www.ebay.com/itm/157678496654,1
1895 S Morgan Silver Dollar $1 PCGS AG3 Nice Original Key Date,157685432620,"Feb 20, 2026",$320.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157685432620,1
1895-S MORGAN SILVER DOLLAR. Rare! Exact photo shown! Very good condition.,157693588643,"Feb 26, 2026",$360.00,$4.99,,,Auction,https://www.ebay.com/itm/157693588643,1
02/0000022 L#6309 1895 S Morgan Silver Dollar Coin PCGS VF25 (mfjz),157697789406,"Feb 22, 2026","$1,075.00",$0.00,,,Auction,https://www.ebay.com/itm/157697789406,1
03/00000001 L#1838 1895 S Morgan Silver Dollar (ptpz),157716588986,"Mar 1, 2026",$905.00,$0.00,,,Auction,https://www.ebay.com/itm/157716588986,1
1895-S MORGAN DOLLAR TOUGH KEY DATE #1711,157791900025,"Apr 9, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157791900025,1
,,"Dec 30, 2025",$525.00,$0.00,,,Fixed price,,1
,,"Nov 10, 2025","$2,200.00",$4.65,,,Fixed price,,1
