Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1893 O Morgan Silver One Dollar S$1 Coin,177858603115,"Feb 22, 2026",$218.70,$0.00,,,Auction,https://www.ebay.com/itm/177858603115,1
,,"Oct 18, 2025","$4,199.00",$4.75,,,Fixed price,,1
,,"Oct 16, 2025","$8,452.24",$0.00,,,Fixed price,,1
,,"Dec 31, 2025","$3,500.00",$0.00,,,Fixed price,,1
,,"Nov 9, 2025","$3,300.00",$4.69,,,Auction,,1
,,"Nov 17, 2025","$3,383.00",$4.99,,,Auction,,1
,,"Dec 19, 2025","$17,500.00",$0.00,,,Fixed price,,1
1893-S Morgan Silver Dollar NGC VG-Details Key Date LOW MINTAGE BEAUTIFUL DETAIL,187998546865,"Feb 8, 2026","$3,751.00",$6.73,,,Auction,https://www.ebay.com/itm/187998546865,1
,,"Nov 26, 2025",$44.00,$3.95,,,Auction,,1
,,"Dec 28, 2025","$4,025.00",$2.95,,,Auction,,1
,,"Nov 17, 2025",$22.77,$0.00,,,Fixed price,,1
"1892-S Morgan Silver Dollar, PCGS, VG10",205988811302,"Jan 20, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205988811302,1
"Morgan Silver Dollar Lot Of 4 1893, 1890, 1883-O, 1890-S. Beautiful Lot!!",206009174202,"Jan 19, 2026",$400.00,$5.77,,,Auction,https://www.ebay.com/itm/206009174202,1
1893-S Morgan Silver Dollar NGC VG Details Cleaned,206188032435,"Apr 6, 2026","$4,595.95",$0.00,,,Fixed price,https://www.ebay.com/itm/206188032435,1
[Removed] Item 227072165088,227072165088,"Nov 18, 2025",$15.99,$15.00,,,Fixed price,,1
,,"Dec 8, 2025","$3,705.00",$0.00,,,Auction,,1
1893-S $1 Morgan Dollar PCGS AG-3 Gold Shield,227197599050,"Feb 19, 2026","$3,495.99",$0.00,,,Fixed price,https://www.ebay.com/itm/227197599050,1
MORGAN DOLLAR 1893 S PCGS GENUINE SCRATCH G DETAILS,227199635601,"Feb 2, 2026","$2,650.00",$4.50,,,Fixed price,https://www.ebay.com/itm/227199635601,1
1893 S Morgan Silver Dollar PCGS F12 Gold Shield 100k Mintage,227219704130,"Feb 17, 2026","$5,950.00",$0.00,,,Fixed price,https://www.ebay.com/itm/227219704130,1
,,"Dec 6, 2025",$495.00,$9.95,,,Fixed price,,1
,,"Nov 2, 2025","$4,800.00",$0.00,,,Auction,,1
,,"Nov 18, 2025",$34.00,$7.85,,,Auction,,1
,,"Dec 21, 2025","$3,451.00",$4.00,,,Auction,,1
,,"Jan 6, 2026",$75.00,$0.00,,,Fixed price,,1
"1893-CC Morgan Silver Dollar ""VG/F"" *Free S/H After 1st Item*",236573180356,"Jan 18, 2026",$446.20,$4.95,,,Auction,https://www.ebay.com/itm/236573180356,1
,,"Jan 11, 2026",$165.00,$5.99,,,Fixed price,,1
,,"Oct 28, 2025","$5,195.00",$1.99,,,Fixed price,,1
,,"Nov 11, 2025",$380.16,$11.84,,,Auction,,1
,,"Jan 13, 2026","$4,875.30",$1.99,,,Fixed price,,1
"Four Morgan Silver Dollars 1883 O , 1881 S , 1900 P , 1893 P in AU / BU Cond",257338762813,"Feb 2, 2026",$525.00,$9.95,,,Auction,https://www.ebay.com/itm/257338762813,1
1893 S PCGS G06 Morgan Dollar - KEY DATE! - PCGS Gold Shield,257351432163,"Feb 13, 2026","$4,150.00",$0.00,,,Auction,https://www.ebay.com/itm/257351432163,1
1893 S Morgan Silver Dollar $1 PCGS G Detail - Cleaned,257362491129,"Mar 11, 2026","$3,570.26",$1.99,,,Fixed price,https://www.ebay.com/itm/257362491129,1
1893 S Morgan Silver Dollar $1 Old Soap Box Holder ANACS G 06,257389838861,"Mar 3, 2026","$4,250.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257389838861,1
,,"Oct 30, 2025","$5,300.00",$0.00,,,Fixed price,,1
,,"Nov 12, 2025","$1,767.00",$28.00,,,Fixed price,,1
,,"Oct 31, 2025",$0.99,$0.25,,,Auction,,1
,,"Nov 14, 2025","$1,750.00",$28.00,,,Fixed price,,1
,,"Nov 7, 2025","$3,566.00",$0.00,,,Auction,,1
,,"Dec 16, 2025","$6,575.00",$0.00,,,Fixed price,,1
,,"Nov 21, 2025","$4,700.00",$0.00,,,Fixed price,,1
"1893-S Morgan Silver Dollar, VF25 ANACS (11665)",267474724463,"Feb 16, 2026","$7,800.00",$15.60,,,Fixed price,https://www.ebay.com/itm/267474724463,1
,,"Nov 26, 2025","$7,397.00",$0.00,,,Fixed price,,1
,,"Nov 28, 2025","$15,401.00",$0.00,,,Auction,,1
,,"Dec 22, 2025","$3,950.00",$0.00,,,Fixed price,,1
,,"Dec 7, 2025","$3,728.89",$0.00,,,Auction,,1
,,"Dec 12, 2025","$7,050.00",$0.00,,,Fixed price,,1
,,"Dec 26, 2025","$1,100.00",$6.18,,,Auction,,1
,,"Jan 4, 2026","$7,300.00",$14.99,,,Fixed price,,1
,,"Jan 2, 2026","$3,800.00",$14.99,,,Fixed price,,1
,,"Jan 5, 2026",$500.00,$4.69,,,Fixed price,,1
1893-S Morgan Silver Dollar PCGS F12 Gold Shield 100k Mintage,267549620454,"Mar 2, 2026","$6,100.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267549620454,1
1893-S Morgan Silver Dollar,267556981451,"Feb 4, 2026","$4,352.00",$0.00,,,Auction,https://www.ebay.com/itm/267556981451,1
"1893 Morgan Dollar Design 1/10oz .999 Fine SILVER, Franklin Mint Bar, 2009 S 25c",267558242004,"Feb 2, 2026",$17.50,$4.85,,,Auction,https://www.ebay.com/itm/267558242004,1
20 UNC BU Coins Morgan Dollar 1893 END / DMPL S END BESTEVER #5158,267566200427,"Mar 3, 2026","$2,480.00","$1,100.00",,,Fixed price,https://www.ebay.com/itm/267566200427,1
1893-S Morgan Dollar ***SERIES KEY DATE***,267569141683,"Feb 21, 2026","$3,175.00",$25.00,,,Fixed price,https://www.ebay.com/itm/267569141683,1
1893-S Morgan Silver Dollar $1 PCGS F12 Key Date Nice Original! Only 100K minted,267584773574,"Feb 25, 2026","$6,077.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267584773574,1
"1893 S Morgan Dollar NGC VF 35 Problem Free, Key Date of the Series",277279702231,"Feb 11, 2026","$11,920.00",$10.00,,,Fixed price,https://www.ebay.com/itm/277279702231,1
,,"Oct 19, 2025","$6,595.00",$0.00,,,Fixed price,,1
,,"Nov 9, 2025",$495.00,$0.00,,,Fixed price,,1
,,"Dec 13, 2025","$3,995.00",$13.95,,,Fixed price,,1
,,"Jan 7, 2026","$4,260.00",$13.00,,,Auction,,1
1893-S Morgan Dollar 🇺🇸,277861106802,"Apr 6, 2026","$4,292.50",$8.10,,,Auction,https://www.ebay.com/itm/277861106802,1
,,"Dec 1, 2025","$4,499.99",$14.99,,,Fixed price,,1
,,"Nov 1, 2025",$65.99,$0.00,,,Fixed price,,1
[Removed] Item 287099691645,287099691645,"Jan 27, 2026",$14.99,$5.80,,,Fixed price,,1
1893 S Morgan Silver Dollar PCGS Gold Shield G6,287190933458,"Apr 6, 2026","$4,975.00",$0.00,,,Fixed price,https://www.ebay.com/itm/287190933458,1
,,"Oct 16, 2025","$18,245.00",$29.95,,,Fixed price,,1
,,"Dec 15, 2025",$9.99,$4.79,,,Fixed price,,1
"1893-S Morgan Silver Dollar, Seldom Seen This Nice, Full Rims, RARE Key Date!",298076780279,"Mar 5, 2026","$3,199.00",$0.00,,,Auction,https://www.ebay.com/itm/298076780279,1
,,"Nov 5, 2025",$124.99,$0.00,,,Fixed price,,1
,,"Nov 8, 2025","$2,999.00",$7.99,,,Auction,,1
,,"Dec 5, 2025",$630.00,$31.82,,,Auction,,1
,,"Jan 11, 2026",$66.95,$0.00,,,Fixed price,,1
1893-s Morgan Dollar 1/200 Oz 999 Gold Full Size Coin Slab American Mint,306673868271,"Feb 9, 2026",$85.00,$5.00,,,Fixed price,https://www.ebay.com/itm/306673868271,1
1893 S PCGS G04 Morgan Dollar- PCGS Gold Shield,306788836134,"Feb 26, 2026","$4,299.99",$4.99,,,Fixed price,https://www.ebay.com/itm/306788836134,1
1893-S $1 Morgan Dollar PCGS AU50,306853756530,"Apr 6, 2026","$26,000.00",$5.29,,,Fixed price,https://www.ebay.com/itm/306853756530,1
,,"Nov 6, 2025",$624.00,$9.95,,,Fixed price,,1
,,"Dec 6, 2025",$480.00,$9.95,,,Fixed price,,1
,,"Nov 5, 2025","$2,995.80",$4.20,,,Fixed price,,1
,,"Nov 8, 2025",$127.50,$5.09,,,Auction,,1
,,"Nov 10, 2025","$4,200.00",$0.00,,,Fixed price,,1
,,"Dec 28, 2025","$4,200.00",$5.15,,,Fixed price,,1
Authentic 1893 p Philadelphia Morgan Dollar w/added “s” not San Francisco mint,317901146037,"Feb 24, 2026",$280.00,$12.00,,,Auction,https://www.ebay.com/itm/317901146037,1
,,"Nov 2, 2025",$103.50,$5.95,,,Auction,,1
,,"Jan 13, 2026","$5,008.00",$6.99,,,Auction,,1
,,"Dec 7, 2025",$650.00,$9.95,,,Fixed price,,1
,,"Dec 3, 2025","$1,136.11",$4.87,,,Auction,,1
,,"Dec 31, 2025","$3,495.00",$0.00,,,Fixed price,,1
1893-S Morgan Silver Dollar PCGS VG 8 Original Patina #2002,336399774153,"Feb 11, 2026","$4,950.00",$0.00,,,Fixed price,https://www.ebay.com/itm/336399774153,1
1893 S United States Morgan Silver Dollar NGC Good Details Improperly Cleaned,336410770708,"Jan 28, 2026","$3,499.99",$0.00,,,Fixed price,https://www.ebay.com/itm/336410770708,1
1893-S Morgan Dollar - PCGS VG08 VG8 - Gold Shield,336419627751,"Feb 11, 2026","$4,995.00",$0.00,,,Fixed price,https://www.ebay.com/itm/336419627751,1
1893-S Morgan Silver Dollar $1 NGC VF Very Fine Key Date Coin!!!,336421430327,"Feb 11, 2026","$4,999.99",$0.00,,,Auction,https://www.ebay.com/itm/336421430327,1
,,"Oct 19, 2025","$5,001.00",$13.79,,,Auction,,1
,,"Oct 20, 2025","$2,695.00",$10.10,,,Auction,,1
,,"Oct 23, 2025","$7,600.00",$59.30,,,Fixed price,,1
,,"Nov 3, 2025",$23.22,$0.00,,,Fixed price,,1
,,"Nov 30, 2025","$4,706.00",$15.00,,,Auction,,1
[Removed] Item 357984690561,357984690561,"Dec 8, 2025",$29.99,$0.00,,,Fixed price,,1
1893-S Morgan Silver Dollar $1 ICG VF30 Details Cleaned - Rare Key Date Coin!,358215955366,"Feb 14, 2026","$5,250.00",$0.00,,,Fixed price,https://www.ebay.com/itm/358215955366,1
1893 S Key Date United States Morgan Silver Dollar ANACS EF 40 Detail,358266371960,"Mar 4, 2026","$7,200.00",$0.00,,,Auction,https://www.ebay.com/itm/358266371960,1
1893-S Morgan Silver Dollar COPY United States Commemorative COPY No Silver,358370382169,"Apr 1, 2026",$8.99,$5.99,,,Fixed price,https://www.ebay.com/itm/358370382169,1
,,"Dec 18, 2025","$4,250.00",$0.00,,,Fixed price,,1
,,"Oct 17, 2025","$16,499.99",$0.00,,,Fixed price,,1
,,"Nov 27, 2025","$4,000.00",$0.00,,,Fixed price,,1
,,"Oct 30, 2025","$3,750.00",$13.50,,,Fixed price,,1
,,"Nov 15, 2025","$4,500.00",$0.00,,,Fixed price,,1
,,"Dec 15, 2025","$5,900.00",$4.65,,,Fixed price,,1
,,"Oct 18, 2025","$28,999.00",$0.00,,,Auction,,1
,,"Oct 23, 2025","$3,471.00",$0.00,,,Auction,,1
,,"Nov 8, 2025",$375.00,$0.00,,,Fixed price,,1
