Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu – 39MM IN STOCK!,167734946654,"Jan 29, 2026",$94.47,$22.59,,,Fixed price,https://www.ebay.com/itm/167734946654
1 oz. Modern 2025 LIBERTAD OF MEXICO coin tribute BU round .999 silver,187844223109,"Feb 13, 2026",$120.27,$17.98,,,Fixed price,https://www.ebay.com/itm/187844223109
,,"Dec 10, 2025",$76.33,$14.12,,,Fixed price,
,,"Nov 8, 2025",$63.47,$8.91,,,Fixed price,
2025 NGC PF70 First Day of Issue 1 oz Mexican Silver Libertad Reverse Proof Coin,167868019665,"Jan 13, 2026","$1,486.20",$26.35,,,Fixed price,https://www.ebay.com/itm/167868019665
2025 Mexico Libertad 1 Oz Onza 999 Silver Tribute Round Medallion - JR189,365928372447,"Mar 11, 2026",$108.96,$8.57,,,Fixed price,https://www.ebay.com/itm/365928372447
,,"Dec 12, 2025",$78.80,$10.17,,,Fixed price,
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu - Intaglio,406486013607,"Jan 25, 2026",$105.96,$7.95,,,Fixed price,https://www.ebay.com/itm/406486013607
,,"Dec 2, 2025",$32.49,$0.99,,,Fixed price,
2025 Mexico 1 Ounce Silver 1 Onza Vintage Libertad Flag - OGP STOCK,389071912924,"Mar 25, 2026",$146.33,$0.00,,,Fixed price,https://www.ebay.com/itm/389071912924
2025 PCGS PR70 First Day 1 oz Onza Mexican Silver Libertad Reverse Proof Coin,157599342296,"Feb 27, 2026","$1,858.97",$0.00,,,Fixed price,https://www.ebay.com/itm/157599342296
2025 Mexico 1 oz Silver Libertad Reverse Proof PF-70 NGC (ER),116791977126,"Mar 4, 2026","$1,728.46",$49.99,,,Fixed price,https://www.ebay.com/itm/116791977126
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,117077016606,"Apr 5, 2026",$203.44,$7.50,,,Fixed price,https://www.ebay.com/itm/117077016606
2025 Mexico LIBERTAD TRIBUTE – 1/2 TROY OUNCE .999 Fine Silver Bu – 30MM INSTOCK,157305381046,"Jan 8, 2026",$55.04,$20.92,,,Fixed price,https://www.ebay.com/itm/157305381046
,,"Nov 14, 2025",$65.14,$8.42,,,Fixed price,
,,"Dec 1, 2025",$65.55,$8.08,,,Fixed price,
,,"Oct 28, 2025",$26.09,$0.00,,,Fixed price,
Mexico Libertad Tribute 1 Oz 999 Silver Round [ Intaglio Mint],137049504761,"Mar 25, 2026",$135.00,$5.08,,,Fixed price,https://www.ebay.com/itm/137049504761
Mexico Libertad Tribute 1 Oz 999 Silver Round 1821-1947 Centenario Plata ONZA,166275843803,"Mar 17, 2026",$114.65,$0.00,,,Fixed price,https://www.ebay.com/itm/166275843803
1 oz. Modern 2025 LIBERTAD OF MEXICO coin tribute BU round .999 silver,188059621362,"Feb 17, 2026",$125.88,$17.99,,,Fixed price,https://www.ebay.com/itm/188059621362
,,"Dec 8, 2025",$74.95,$12.95,,,Fixed price,
2025 Mexico 1 Ounce Silver Libertad United Crypto States OGP - STOCK,376601968405,"Feb 9, 2026",$153.30,$0.00,,,Fixed price,https://www.ebay.com/itm/376601968405
,,"Dec 5, 2025",$68.94,$9.47,,,Fixed price,
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Copper Bu ~Intaglio in Cap,157626463612,"Feb 8, 2026",$12.89,$6.33,,,Fixed price,https://www.ebay.com/itm/157626463612
,,"Dec 11, 2025",$68.79,$0.00,,,Fixed price,
2025 Canada Maple Leaf Holo Pink Topaz Edition 1 oz Silver Coin,297781888512,"Jan 31, 2026",$174.53,$0.00,,,Fixed price,https://www.ebay.com/itm/297781888512
,,"Jan 4, 2026",$41.99,$0.00,,,Fixed price,
,,"Dec 11, 2025",$73.77,$9.43,,,Fixed price,
"2025 Mexico 1 oz Silver Libertad Reverse Proof EXTREMELY RARE YEAR, LOW MINT",127415205059,"Jan 13, 2026","$1,289.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127415205059
2025 Mexico Libertad Onza 1 Oz 999 Silver Round PCGS MS70 Certified - JR243,127614228383,"Jan 9, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127614228383
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Copper Bu ~Intaglio in Cap,157685125860,"Mar 15, 2026",$11.29,$4.01,,,Fixed price,https://www.ebay.com/itm/157685125860
,,"Jan 1, 2026",$142.50,$13.13,,,Fixed price,
2025 1 Oz .999 Fine Silver Intaglio Mint Mexico Libertad Trib Silver Round Stack,188079194427,"Mar 19, 2026",$175.14,$14.88,,,Fixed price,https://www.ebay.com/itm/188079194427
,,"Jan 6, 2026",$92.67,$0.00,,,Fixed price,
"2025 Mexico 1/10 oz Silver Libertad PF-70 NGC (ER, Coat of Arms)",127387714901,"Feb 18, 2026",$526.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127387714901
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Copper Bu ~Intaglio in Cap,157340824580,"Jan 20, 2026",$8.29,$6.70,,,Fixed price,https://www.ebay.com/itm/157340824580
2025 Mexico ANTIQUED LIBERTAD TRIBUTE – 1/2 TROY OZ .999 Fine Silver BU,157457023286,"Jan 23, 2026",$51.84,$6.33,,,Fixed price,https://www.ebay.com/itm/157457023286
,,"Nov 20, 2025",$64.00,$5.95,,,Fixed price,
,,"Oct 15, 2025",$59.99,$0.00,,,Fixed price,
2025 Mexico Libertad Tribute 2018 Mexico 1 oz .999 Silver Libertad Antiqued Fin.,177817686184,"Feb 21, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177817686184
2025 1 Oz .999 Mo Mexico Onza Silver Libertad NGC Reverse PF70 Mintage Only 1500,187694400521,"Jan 24, 2026","$1,852.50",$7.95,,,Fixed price,https://www.ebay.com/itm/187694400521
2025 1 Oz .999 Fine Silver Intaglio Mint Mexico Libertad Trib Silver Round Stack,188020340618,"Feb 17, 2026",$157.50,$7.70,,,Fixed price,https://www.ebay.com/itm/188020340618
Mexico Libertad 2025 1 Silver Coin 3gram .999 Fine NOT A OZ coin,198072229892,"Feb 10, 2026",$40.00,$5.33,,,Fixed price,https://www.ebay.com/itm/198072229892
,,"Dec 13, 2025",$69.95,$4.65,,,Fixed price,
,,"Dec 12, 2025",$47.03,$13.43,,,Fixed price,
,,"Dec 24, 2025",$79.99,$5.75,,,Fixed price,
2025 Reverse Proof Silver Mexican Libertad 5 oz PCGS PR70 1 of 600 RARE YEAR,116967092242,"Feb 22, 2026","$2,500.00",$7.46,,,Fixed price,https://www.ebay.com/itm/116967092242
,,"Nov 8, 2025",$63.95,$8.41,,,Fixed price,
,,"Jan 7, 2026",$101.42,$23.05,,,Fixed price,
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu – 39MM IN STOCK!,167734946654,"Jan 29, 2026",$95.97,$22.59,,,Fixed price,https://www.ebay.com/itm/167734946654
,,"Dec 10, 2025",$76.64,$14.12,,,Fixed price,
,,"Nov 8, 2025",$63.71,$7.91,,,Fixed price,
2025 Mexico 1 oz Silver Libertad Reverse Proof PF-70 NGC (ER),116791977126,"Mar 4, 2026","$1,760.33",$49.99,,,Fixed price,https://www.ebay.com/itm/116791977126
,,"Nov 14, 2025",$65.36,$8.91,,,Fixed price,
,,"Jan 9, 2026",$250.00,$0.00,,,Fixed price,
2025 Mexico Libertad Onza Medal Round 1 Oz Silver Plata PCGS MS70 - JR259,147157185037,"Feb 17, 2026",$290.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147157185037
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,137080977664,"Apr 11, 2026",$239.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137080977664
2025 Mexico Libertad Onza Medal Round 1 Oz Silver Plata PCGS MS69 - JR260,366206221731,"Feb 21, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366206221731
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu – 39MM IN STOCK!,167734946654,"Jan 29, 2026",$96.39,$22.59,,,Fixed price,https://www.ebay.com/itm/167734946654,59
2025 Mexico LIBERTAD TRIBUTE – 1/2 TROY OUNCE .999 Fine Silver Bu – 30MM INSTOCK,157305381046,"Jan 8, 2026",$55.98,$20.92,,,Fixed price,https://www.ebay.com/itm/157305381046,17
2025 Mexico 1 oz Silver Libertad Reverse Proof PF-70 NGC (ER),116791977126,"Mar 4, 2026","$1,804.93",$49.99,,,Fixed price,https://www.ebay.com/itm/116791977126,5
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,116988768888,"Jan 20, 2026",$392.00,$0.00,,,Auction,https://www.ebay.com/itm/116988768888,1
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,116993258364,"Jan 23, 2026",$430.00,$0.00,,,Auction,https://www.ebay.com/itm/116993258364,1
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,116999888194,"Jan 29, 2026",$329.00,$5.50,,,Auction,https://www.ebay.com/itm/116999888194,1
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,117038501625,"Feb 16, 2026",$280.00,$6.50,,,Fixed price,https://www.ebay.com/itm/117038501625,2
2025 1oz Mexico Libertad INTAGLIO TRIBUTE - 1oz .999 ULTRA RARE WITH MINT MARK,117050855879,"Feb 26, 2026",$279.00,$6.50,,,Fixed price,https://www.ebay.com/itm/117050855879,2
2025 Mexico Libertad Onza 1 Oz Silver Fantasy Round PCGS MS70 Certified,117068838637,"Mar 6, 2026",$295.00,$25.00,,,Fixed price,https://www.ebay.com/itm/117068838637,1
2025 Mexico 1 oz Silver Libertad NGC PF70 Early Release PERFECT RARE 500 MADE!,127382166014,"Mar 12, 2026","$7,999.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127382166014,1
2025 Mexico 1 oz Silver Reverse Proof Libertad NGC RP70 Early Release RARE!!!,127402347359,"Jan 13, 2026","$1,599.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127402347359,1
2025 Reverse Proof Silver Mexican Libertad 5 oz PCGS PR70 1 of 600 RARE YEAR,127607947453,"Feb 22, 2026","$2,500.00",$7.46,,,Fixed price,https://www.ebay.com/itm/127607947453,1
VERY RARE! 2025 MEXICO 1 OZ LIBERTAD NGC REVERSE PROOF PF70 SILVER,127661217979,"Feb 22, 2026","$1,899.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127661217979,1
2025 Mexico Libertad INTAGLIO TRIBUTE Silver -1oz. 999 RARE WITH Mo MINT MARK,127777413874,"Mar 29, 2026",$171.50,$6.43,,,Auction,https://www.ebay.com/itm/127777413874,1
2025 Mexico Libertad Onza 1 Oz Silver Fantasy Round PCGS MS70 Certified,127778945151,"Apr 7, 2026",$383.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127778945151,1
,,"Jan 12, 2026",$95.00,$5.15,,,Fixed price,,1
2025 PCGS GEM BU Libertad 1 Oz,136583685985,"Mar 14, 2026","$12,750.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136583685985,1
,,"Nov 1, 2025","$7,200.00",$23.60,,,Auction,,1
"2025 1 Oz .999 Mo Mexico Onza Silver Libertad Coin NGC Rev PF70 Mintage: 1,500",136755847063,"Jan 28, 2026","$1,999.99",$0.00,,,Fixed price,https://www.ebay.com/itm/136755847063,1
"2025 Mo Mexico Onza Silver 1 Oz. .999 Libertad Coin NGC Rev PF70 Mintage: 1,500.",137072004107,"Mar 29, 2026","$1,999.99",$0.00,,,Fixed price,https://www.ebay.com/itm/137072004107,1
2025 Mexico Libertad Onza 1 Oz Silver Reverse Proof NGC PF70 Coin Moneda - JR241,147075343679,"Jan 14, 2026","$1,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147075343679,1
2025-Mo PCGS (First Day of Issue) Green Aztec MS70 1/4 oz Silver Libertad Coin,147248474066,"Apr 8, 2026","$19,880.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147248474066,1
"2025 Mexico 1 oz Silver Libertad Reverse Proof RARE YEAR, Actual Coin Pictured!!",157256067767,"Apr 10, 2026","$1,750.00",$12.10,,,Fixed price,https://www.ebay.com/itm/157256067767,1
,,"Oct 14, 2025",$56.54,$5.95,,,Fixed price,,1
,,"Nov 4, 2025",$49.59,$5.95,,,Fixed price,,1
,,"Oct 18, 2025",$85.91,$21.32,,,Auction,,1
,,"Oct 25, 2025",$35.49,$5.95,,,Auction,,1
,,"Oct 25, 2025",$63.00,$5.95,,,Auction,,1
,,"Nov 8, 2025",$62.00,$5.95,,,Auction,,1
,,"Nov 15, 2025",$61.00,$5.95,,,Auction,,1
,,"Dec 8, 2025",$475.00,$5.95,,,Fixed price,,1
,,"Nov 21, 2025",$64.29,$6.70,,,Fixed price,,2
,,"Dec 6, 2025",$68.00,$5.95,,,Auction,,1
,,"Dec 14, 2025",$74.60,$5.95,,,Fixed price,,1
,,"Jan 12, 2026",$94.11,$5.95,,,Fixed price,,1
,,"Dec 13, 2025",$32.89,$5.95,,,Auction,,1
2025 Mexico Reverse Proof Silver Libertad Coin 1 oz 2 oz 5 oz Complete Set ! Wow,157537835041,"Mar 31, 2026","$4,200.00",$12.10,,,Fixed price,https://www.ebay.com/itm/157537835041,1
,,"Dec 16, 2025","$3,000.00",$0.00,,,Fixed price,,1
,,"Dec 27, 2025","$5,850.00",$15.35,,,Fixed price,,1
2025 Mexico 1 oz Silver Libertad NGC MS69 Early Release 300 Mintage Insane Rare,157605038427,"Mar 10, 2026","$16,000.00",$14.45,,,Fixed price,https://www.ebay.com/itm/157605038427,1
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Copper Bu ~Intaglio in Cap,157669375707,"Apr 1, 2026",$9.99,$5.95,,,Fixed price,https://www.ebay.com/itm/157669375707,1
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Copper Bu ~Intaglio!!!,157769605268,"Mar 24, 2026",$8.50,$5.95,,,Auction,https://www.ebay.com/itm/157769605268,1
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Copper Bu ~Intaglio!!!,157781399667,"Mar 29, 2026",$8.50,$1.54,,,Auction,https://www.ebay.com/itm/157781399667,1
2025 Mo Mexico 1/10 Onza Libertad Silver NGC PF69UC ~ Low Mintage 1500,157801505837,"Apr 4, 2026",$440.00,$14.12,,,Fixed price,https://www.ebay.com/itm/157801505837,1
2025 Mexico 1 oz Silver Reverse Proof Libertad NGC 70 Early Release FREE SHIP,157823999548,"Apr 11, 2026","$1,626.99",$0.00,,,Auction,https://www.ebay.com/itm/157823999548,1
,,"Oct 23, 2025","$1,175.00",$0.00,,,Auction,,1
,,"Jan 11, 2026","$1,277.50",$0.00,,,Auction,,1
2025 Mexico 1 oz Fine Silver 999 REVERSE PROOF Libertad (One Ounce) in Capsule,168075459104,"Jan 21, 2026","$1,426.00",$0.00,,,Auction,https://www.ebay.com/itm/168075459104,1
2025 Canada Maple Leaf Pink Topaz Edition 1 oz Silver Coin limited to 500!!,168155506170,"Mar 24, 2026",$200.00,$5.77,,,Fixed price,https://www.ebay.com/itm/168155506170,1
1 oz. Modern 2025 LIBERTAD OF MEXICO coin tribute BU round .999 silver,168213563888,"Mar 11, 2026",$118.74,$0.00,,,Fixed price,https://www.ebay.com/itm/168213563888,5
,,"Nov 17, 2025","$1,050.00",$4.91,,,Fixed price,,1
,,"Dec 11, 2025",$325.00,$8.00,,,Fixed price,,1
2025 1 Oz .999 Mo Mexico Onza Silver Libertad NGC Reverse PF70 Mintage Only 1500,188050991096,"Feb 25, 2026","$1,805.00",$10.50,,,Fixed price,https://www.ebay.com/itm/188050991096,1
,,"Dec 26, 2025","$4,000.00",$316.00,,,Fixed price,,1
