Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
NL - Lot of 2 Australian Silver Lunars - 1/2 OZ - 2010 Tiger - 2020 Mouse,287039809265,"Jan 19, 2026",$100.00,$5.00,,,Fixed price,https://www.ebay.com/itm/287039809265,1
Perth Mint Australian Lunar 2020 Mouse 1/2 oz 0.9999 Silver Coin 50 Cents,287164340088,"Mar 1, 2026",$52.00,$5.20,,,Auction,https://www.ebay.com/itm/287164340088,1
Perth Mint Australian Lunar Mouse 2020 1/2 oz Silver Coin 50 Cents,287164342733,"Mar 4, 2026",$49.99,$5.20,,,Auction,https://www.ebay.com/itm/287164342733,1
"2020-P $1 Australia Silver 1oz Lunar Year of the Mouse, FREE SHIPPING, 3/5",287181833927,"Mar 27, 2026",$134.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287181833927,1
2020 Australia Lunar Year of The Mouse Dragon Privy 1oz Silver coin,297987535772,"Feb 10, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297987535772,1
Australia 2020 Year of the Mouse 1/2 oz Perth Mint Silver Coin,297990190677,"Feb 3, 2026",$56.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297990190677,1
2020 Australian Opal Lunar Series Year of The Mouse 1 Oz Silver Proof Coin,298092714360,"Mar 6, 2026",$400.00,$9.65,,,Auction,https://www.ebay.com/itm/298092714360,1
,,"Dec 11, 2025",$69.99,$0.00,,,Fixed price,,1
Australian Lunar Series III 2020 Year Of The Mouse 1/10 Oz Gold Proof Coin,306718383384,"Jan 18, 2026",$615.00,$5.07,,,Fixed price,https://www.ebay.com/itm/306718383384,1
2020 P SILVER AUSTRALIA $1 LUNAR YEAR OF THE MOUSE 1 OZ COIN IN CAPSULE,306736267601,"Jan 30, 2026",$143.00,$5.95,,,Fixed price,https://www.ebay.com/itm/306736267601,1
,,"Oct 24, 2025",$48.00,$10.60,,,Fixed price,,1
,,"Dec 22, 2025",$74.99,$6.99,,,Fixed price,,1
2020 $1 Australian 1 Oz Silver Bullion Lunar Coin • Year of the Mouse In Capsule,317767516856,"Jan 19, 2026",$119.99,$5.29,,,Fixed price,https://www.ebay.com/itm/317767516856,1
,,"Dec 11, 2025",$79.98,$0.00,,,Fixed price,,1
,,"Jan 4, 2026",$47.00,$1.14,,,Auction,,1
2020 Australia Silver Lunar Year of The Mouse Coin with dragon privy.,326956849440,"Jan 17, 2026",$185.00,$4.95,,,Fixed price,https://www.ebay.com/itm/326956849440,1
First strike 2020 Silver Lunar Year of The Mouse Coin with dragon privy.,326992917739,"Feb 21, 2026",$155.00,$4.88,,,Fixed price,https://www.ebay.com/itm/326992917739,1
First strike 2020 Silver Lunar Year of The Mouse Coin with dragon privy.,327058091547,"Mar 27, 2026",$115.00,$5.40,,,Fixed price,https://www.ebay.com/itm/327058091547,1
First strike 2020 Silver Lunar Year of The Mouse Coin with dragon privy.,327080638300,"Apr 11, 2026",$125.00,$5.07,,,Fixed price,https://www.ebay.com/itm/327080638300,1
First strike 2020 Silver Lunar Year of The Mouse Coin with dragon privy.,327098055937,"Apr 12, 2026",$112.00,$5.07,,,Fixed price,https://www.ebay.com/itm/327098055937,1
,,"Nov 13, 2025",$63.63,$3.00,,,Auction,,1
,,"Dec 2, 2025",$74.00,$0.00,,,Fixed price,,1
2020 Australia Gilded Silver Lunar Year of the MOUSE NGC MS 70 1oz Coin,366237879377,"Mar 1, 2026",$199.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366237879377,1
2020 P Australia ** FIRST Releases ** Silver Lunar Year of the Mouse ** NGC MS70,366238302555,"Mar 2, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366238302555,1
,,"Dec 28, 2025",$62.00,$4.87,,,Auction,,1
Lot of 20 2020 $1 AUD Australia Lunar Series Year Of The Mouse 1 oz .999 Silver,376888339348,"Feb 5, 2026","$1,785.52",$0.00,,,Fixed price,https://www.ebay.com/itm/376888339348,1
,,"Jan 2, 2026",$115.00,$8.49,,,Fixed price,,1
,,"Oct 18, 2025",$115.00,$0.00,,,Fixed price,,1
,,"Jan 6, 2026",$109.95,$0.00,,,Fixed price,,1
2020 Australia Perth Mint Lunar Year of the Mouse BU 1/2 oz Silver (in Capsule),389507135901,"Jan 21, 2026",$68.99,$0.00,,,Fixed price,https://www.ebay.com/itm/389507135901,1
2020 Perth MINT Lunar Year of The Mouse 1 oz Silver Dragon Privy BU Australian,389712802067,"Mar 25, 2026",$126.00,$5.20,,,Fixed price,https://www.ebay.com/itm/389712802067,1
2020 Perth MINT Lunar Year of The Mouse 1 oz Silver Dragon Privy BU Australian,389808756795,"Mar 27, 2026",$130.00,$5.22,,,Fixed price,https://www.ebay.com/itm/389808756795,1
,,"Nov 21, 2025",$64.99,$0.00,,,Fixed price,,1
2020-P Australia Lunar Year of the Mouse 1 oz Silver PCGS MS 70 First Strike,406621411909,"Jan 22, 2026",$132.00,$0.00,,,Fixed price,https://www.ebay.com/itm/406621411909,1
2020 Australia Lunar Year of the Mouse 1 oz Silver Coin PCSG MS70 FS Red Label,133524951787,"Apr 16, 2026",$102.52,$9.90,,,Fixed price,https://www.ebay.com/itm/133524951787,17
2020 Australia Perth Mint Lunar Mouse Colorized 1/4 oz Silver Coin,167466888235,"Apr 14, 2026",$34.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167466888235,6
,,"Jan 14, 2026",$111.95,$4.65,,,Fixed price,,1
,,"Jan 13, 2026",$119.99,$0.00,,,Fixed price,,1
2020 Australia Perth Mint Lunar Mouse Colorized 1/4 oz Silver Coin in capsule,257300878628,"Apr 16, 2026",$36.00,$5.07,,,Fixed price,https://www.ebay.com/itm/257300878628,1
,,"Jan 17, 2026",$185.00,$4.95,,,Fixed price,,1
